IGM,iShares North American Tech ETF,NASDAQ
54.86,54.99,55.13,54.66
55.01,54.98,55.12,54.63
54.96,54.55,55.02,54.43
54.48,54.30,54.53,54.09
54.17,54.77,54.79,54.10
54.90,54.54,54.95,54.20
54.17,53.79,54.17,53.56
53.97,54.35,54.46,53.56
54.35,54.65,54.82,54.25
54.73,53.98,54.84,53.78
53.89,54.75,54.75,53.89
54.23,54.01,54.23,53.50
54.16,53.47,54.44,53.26
53.29,51.50,53.29,51.37
51.86,51.79,52.07,51.49
51.69,51.71,52.34,51.49
51.70,52.05,52.22,51.30
51.93,50.74,51.93,50.40
51.12,49.70,51.24,49.45
49.92,50.41,50.41,49.90
50.53,50.81,50.90,50.21
50.55,50.98,51.10,50.48
50.59,49.53,50.81,49.51
49.61,50.04,50.04,49.10
50.10,49.79,50.38,49.79
50.43,50.29,50.66,49.90
50.28,50.16,50.43,49.85
50.06,50.81,50.92,49.84
50.48,50.92,51.07,50.17
51.35,51.68,51.69,51.22
51.92,51.86,51.92,51.60
51.87,52.32,52.40,51.74
52.14,52.29,52.47,51.99
52.53,52.13,52.53,52.00
52.01,51.42,52.04,51.21
51.66,51.94,52.09,51.66
51.32,51.86,51.87,50.91
51.86,51.86,51.99,51.59
52.12,52.67,52.71,52.01
52.90,52.69,53.07,52.58
52.76,52.73,53.02,52.63
52.85,52.97,53.00,52.49
53.28,53.68,53.77,53.24
53.72,53.93,54.01,53.72
53.79,54.10,54.43,53.79
54.14,54.45,54.62,54.14
54.40,54.76,54.76,54.32
54.93,54.76,54.93,54.61
54.68,54.56,54.68,54.18
54.78,54.99,55.05,54.60
55.11,55.22,55.55,55.10
55.25,55.32,55.37,55.11
54.68,54.68,55.42,54.60
54.57,55.26,55.43,54.45
55.41,55.74,55.80,55.26
55.62,55.38,55.62,55.34
55.88,55.55,56.31,55.55
55.73,55.42,55.81,55.22
55.70,55.48,55.83,55.44
55.61,55.80,55.84,55.39
55.56,55.49,55.81,55.40
55.65,55.40,55.97,55.00
55.56,56.10,56.10,55.46
55.85,56.19,56.35,55.77
56.16,56.00,56.33,55.90
55.88,56.09,56.15,55.54
56.16,56.51,56.51,56.04
56.51,56.75,56.87,56.51
56.65,56.91,56.99,56.53
57.33,57.95,57.97,57.31
57.88,58.22,58.27,57.88
58.00,57.42,58.14,57.07
57.16,57.31,57.52,56.63
57.66,57.75,57.82,57.27
58.01,57.88,58.15,57.60
57.36,58.15,58.15,56.94
58.07,58.27,58.35,57.84
58.34,58.27,58.51,58.19
57.99,57.08,58.31,56.93
57.42,57.13,57.42,56.68
57.37,57.69,57.75,57.23
57.74,56.35,57.74,56.35
56.57,57.13,57.38,56.57
56.49,55.38,56.49,55.08
54.97,55.06,55.50,54.62
54.79,53.38,55.26,21.30
52.80,52.04,53.46,50.88
54.51,54.63,55.00,53.06
53.98,54.32,55.22,53.85
54.59,55.66,55.72,54.59
55.47,54.99,56.02,54.82
54.48,53.89,54.48,53.14
53.92,53.86,54.01,52.81
54.37,52.98,54.37,52.84
52.90,52.79,53.30,52.14
51.79,50.86,51.81,50.70
49.92,51.34,51.67,49.70
51.43,51.00,51.77,51.00
49.76,50.93,51.01,49.35
51.37,50.59,52.05,50.48
51.62,52.29,52.29,51.59
52.43,51.84,52.48,51.52
51.58,51.26,52.41,51.18
51.57,52.19,52.20,51.27
52.50,53.04,53.09,52.37
52.04,51.28,52.55,51.12
51.36,50.26,51.54,50.14
50.22,50.20,50.38,49.50
50.51,49.80,51.07,49.72
50.58,51.22,51.24,50.49
50.67,51.71,51.75,50.67
52.13,51.73,52.50,51.65
52.01,53.13,53.16,52.00
52.87,53.27,53.46,52.79
53.55,53.48,53.56,52.95
53.64,53.45,53.79,53.31
53.98,52.88,54.00,52.65
52.99,52.32,53.40,52.30
52.39,52.12,52.64,51.74
51.86,51.18,51.86,51.00
51.41,51.08,51.50,50.70
51.16,51.09,51.41,50.80
50.30,49.11,50.30,48.78
49.02,48.35,49.38,48.24
48.34,48.17,48.67,47.45
48.34,48.02,48.37,47.70
48.74,48.31,49.12,47.98
48.40,50.15,50.15,48.40
50.53,50.37,50.62,49.84
50.41,50.78,50.78,50.39
50.69,51.10,51.30,50.69
51.57,51.95,52.15,51.29
52.19,52.43,52.70,52.10
52.34,52.47,52.53,51.61
52.14,50.82,52.14,50.82
51.09,51.47,51.57,50.83
50.47,51.82,51.82,50.20
52.19,51.00,52.19,50.92
51.69,52.47,52.60,51.69
52.24,52.82,52.82,52.12
52.83,53.19,53.22,52.59
53.36,53.12,53.49,52.98
53.01,52.64,53.22,52.51
52.84,52.16,52.93,51.73
51.67,51.99,52.25,51.40
52.54,53.00,53.19,52.45
52.90,52.77,52.97,52.61
52.94,53.25,53.32,52.69
53.01,53.02,53.13,52.82
