CIDM,Cinedigm Corp - Class A Common Stock,NASDAQ
1.40,1.33,1.40,1.27
1.35,1.26,1.35,1.25
1.28,1.25,1.28,1.21
1.22,1.24,1.24,1.21
1.20,1.26,1.37,1.20
1.28,1.32,1.32,1.22
1.30,1.28,1.34,1.28
1.28,1.34,1.34,1.28
1.35,1.41,1.45,1.35
1.40,1.31,1.40,1.30
1.35,1.45,1.49,1.35
1.50,1.50,1.50,1.43
1.50,1.46,1.50,1.35
1.42,1.44,1.49,1.39
1.45,1.45,1.50,1.40
1.40,1.41,1.45,1.40
1.45,1.44,1.45,1.35
1.36,1.42,1.42,1.36
1.40,1.43,1.49,1.37
1.36,1.43,1.44,1.35
1.40,1.47,1.47,1.40
1.45,1.43,1.47,1.41
1.43,1.36,1.43,1.35
1.35,1.31,1.40,1.30
1.34,1.32,1.35,1.28
1.28,1.25,1.30,1.25
1.35,1.35,1.37,1.29
1.31,1.32,1.35,1.26
1.26,1.38,1.38,1.26
1.41,1.39,1.46,1.38
1.41,1.41,1.45,1.35
1.46,1.44,1.46,1.38
1.44,1.44,1.45,1.42
1.41,1.47,1.47,1.41
1.47,1.45,1.48,1.45
1.41,1.42,1.47,1.41
1.42,1.39,1.42,1.39
1.39,1.33,1.39,1.30
1.32,1.28,1.35,1.24
1.30,1.21,1.30,1.21
1.24,1.18,1.25,1.15
1.18,1.22,1.50,1.15
1.23,1.32,1.35,1.21
1.32,1.43,1.44,1.27
1.45,1.47,1.49,1.43
1.49,1.57,1.64,1.43
1.57,1.70,1.71,1.50
1.67,1.64,1.70,1.61
1.65,1.55,1.68,1.42
1.57,1.59,1.64,1.55
1.61,1.63,1.64,1.59
1.64,1.63,1.65,1.58
1.65,1.67,1.67,1.55
1.64,1.59,1.64,1.50
1.50,1.56,1.59,1.50
1.50,1.56,1.56,1.50
1.54,1.55,1.55,1.50
1.53,1.50,1.58,1.50
1.48,1.84,1.89,1.45
1.84,1.75,1.84,1.72
1.75,1.65,1.75,1.62
N/A,N/A,N/A,N/A
1.74,1.70,1.75,1.68
1.68,1.89,1.98,1.68
1.86,2.09,2.19,1.80
2.09,2.56,2.85,2.09
2.63,2.53,2.78,2.40
2.58,2.40,2.69,2.29
2.37,2.90,3.21,2.30
2.97,2.67,3.24,2.67
2.70,2.68,2.94,2.60
2.70,2.51,2.70,2.34
2.46,2.28,2.48,2.25
2.16,2.38,2.45,2.15
2.43,2.65,2.75,2.39
2.67,2.73,2.80,2.59
2.77,2.62,2.85,2.61
2.68,2.72,2.80,2.65
2.74,2.57,2.74,2.55
2.66,2.59,2.73,2.58
2.59,2.50,2.59,2.39
2.48,2.43,2.62,2.30
2.42,2.37,2.56,2.37
2.36,2.13,2.36,2.13
2.16,2.53,2.66,1.95
2.57,2.28,2.75,1.75
2.25,2.21,2.49,2.16
2.40,2.20,2.46,2.13
2.13,2.16,2.23,2.13
2.23,2.20,2.24,2.16
2.19,2.19,2.20,2.17
2.19,2.15,2.20,2.10
2.17,2.19,2.19,2.11
2.19,2.06,2.19,2.06
2.06,1.93,2.06,1.88
1.83,1.77,1.89,1.77
1.77,1.90,2.00,1.75
1.90,1.75,1.96,1.73
1.74,1.70,1.74,1.52
1.72,1.74,1.80,1.59
1.75,1.72,1.75,1.66
1.69,1.71,1.76,1.63
1.71,1.76,1.76,1.60
1.74,1.66,1.78,1.51
1.64,1.62,1.70,1.56
1.53,1.47,1.54,1.47
1.44,1.33,1.44,1.33
1.35,1.52,1.56,1.35
1.56,1.44,1.60,1.40
1.45,1.51,1.57,1.40
1.58,1.40,1.58,1.37
1.45,1.43,1.49,1.40
1.42,1.61,1.61,1.42
1.61,1.46,1.61,1.45
1.48,1.49,1.61,1.48
1.45,1.60,1.60,1.43
1.58,1.55,1.58,1.46
1.53,1.41,1.53,1.41
1.40,1.43,1.49,1.40
1.45,1.42,1.45,1.31
1.39,1.40,1.47,1.36
1.51,1.38,1.51,1.37
1.33,1.29,1.40,1.26
1.28,1.30,1.39,1.27
1.35,1.30,1.35,1.24
1.29,1.31,1.31,1.25
1.25,1.23,1.33,1.22
1.38,1.20,1.38,1.20
1.23,1.29,1.30,1.19
1.28,1.34,1.36,1.28
1.34,1.39,1.39,1.34
1.37,1.44,1.46,1.37
1.43,1.47,1.47,1.43
1.49,1.70,1.73,1.49
1.72,1.56,1.77,1.49
1.57,1.43,1.58,1.42
1.45,1.46,1.48,1.34
1.47,1.70,1.73,1.47
1.67,1.76,1.80,1.66
1.74,1.77,1.84,1.74
1.77,1.62,1.77,1.59
1.59,1.67,1.68,1.59
1.69,1.58,1.69,1.56
1.57,1.73,1.73,1.53
1.73,1.87,1.94,1.70
1.85,1.75,1.86,1.70
1.79,1.63,1.79,1.63
1.63,1.63,1.76,1.63
1.61,1.65,1.80,1.61
1.62,1.64,1.66,1.60
1.63,1.57,1.63,1.55
1.60,1.61,1.61,1.54
1.55,1.45,1.55,1.35
1.39,1.44,1.65,1.39
1.47,1.39,1.53,1.17
1.36,1.47,1.51,1.30
1.49,1.63,1.80,1.49
1.60,1.55,1.61,1.55
1.51,1.60,1.61,1.51
1.60,1.61,1.61,1.56
1.60,1.50,1.61,1.50
1.50,1.50,1.56,1.40
1.50,1.50,1.57,1.47
1.43,1.50,1.58,1.43
1.45,1.47,1.48,1.37
1.45,1.47,1.47,1.37
1.40,1.46,1.46,1.37
1.46,1.45,1.46,1.33
1.42,1.37,1.44,1.35
1.37,1.44,1.46,1.37
1.41,1.42,1.44,1.34
1.40,1.42,1.42,1.30
1.40,1.40,1.40,1.40
1.40,1.40,1.41,1.37
1.38,1.51,1.51,1.38
1.43,1.48,1.49,1.40
1.43,1.44,1.44,1.39
1.39,1.38,1.43,1.34
1.38,1.28,1.45,1.28
1.30,1.40,1.40,1.30
1.43,1.44,1.44,1.37
1.44,1.33,1.44,1.32
1.33,1.39,1.39,1.30
1.38,1.35,1.49,1.32
1.48,1.37,1.48,1.33
1.37,1.35,1.43,1.35
1.37,1.38,1.42,1.28
1.38,1.31,1.38,1.28
1.29,1.38,1.43,1.28
1.40,1.36,1.40,1.28
1.36,1.39,1.41,1.35
1.38,1.41,1.41,1.35
1.44,1.39,1.44,1.38
1.42,1.39,1.42,1.34
1.38,1.41,1.41,1.38
1.41,1.37,1.41,1.35
1.39,1.41,1.43,1.36
1.43,1.35,1.43,1.35
1.35,1.35,1.45,1.35
1.35,1.38,1.39,1.30
1.41,1.34,1.41,1.25
1.34,1.34,1.39,1.34
1.34,1.37,1.40,1.34
1.36,1.32,1.36,1.31
1.30,1.35,1.36,1.28
1.35,1.39,1.39,1.33
1.34,1.40,1.40,1.25
1.36,1.34,1.36,1.30
1.34,1.35,1.35,1.33
1.31,1.35,1.40,1.31
1.35,1.46,1.47,1.33
1.46,1.45,1.48,1.38
1.42,1.50,1.62,1.37
1.56,1.54,1.56,1.40
1.55,1.49,1.60,1.47
1.60,1.59,1.60,1.51
1.60,1.53,1.60,1.53
1.53,1.61,1.80,1.53
1.63,1.68,1.78,1.63
1.70,1.68,1.75,1.68
1.69,1.55,1.69,1.50
1.58,1.47,1.60,1.45
1.45,1.50,1.50,1.45
1.50,1.52,1.52,1.49
1.54,1.52,1.55,1.50
1.55,1.50,1.55,1.50
1.53,1.51,1.53,1.50
1.51,1.49,1.54,1.44
1.45,1.45,1.60,1.45
1.44,1.40,1.53,1.40
