RZG,Guggenheim S&P Smallcap 600 Pure Growth ETF,NASDAQ
38.07,38.19,38.28,38.00
38.48,38.31,38.56,38.27
38.47,38.32,38.47,38.22
38.42,38.45,38.51,38.17
38.25,38.47,38.53,38.25
38.77,38.36,38.82,38.32
37.89,37.82,37.89,37.82
37.88,38.26,38.26,37.88
38.34,38.63,38.63,38.34
37.82,38.10,38.10,37.82
38.66,38.76,38.80,38.65
38.56,38.39,38.56,37.99
37.84,37.84,37.84,37.76
37.69,37.03,37.78,37.03
37.18,37.12,37.18,37.02
36.93,36.77,37.05,36.72
36.59,36.74,36.74,36.59
37.26,36.50,37.26,36.47
36.62,36.03,36.87,35.94
36.13,36.42,36.44,36.13
36.36,36.79,36.79,36.36
36.77,36.52,36.77,36.35
36.13,35.35,36.18,35.34
35.43,35.26,35.43,34.76
35.10,35.12,35.48,34.96
35.52,35.54,37.01,35.21
35.46,35.65,35.73,35.31
35.59,36.27,36.27,35.59
35.67,36.40,36.41,35.67
36.78,37.04,37.04,36.65
37.14,37.21,37.21,37.11
37.24,37.21,37.24,37.21
37.30,37.63,37.66,37.30
37.72,37.59,37.72,37.59
37.06,37.12,37.28,37.05
37.27,37.39,37.39,37.27
36.95,37.33,37.33,36.95
37.16,37.45,37.46,37.16
37.54,38.15,38.15,37.54
38.32,38.50,38.60,38.32
38.62,38.47,38.66,38.45
38.68,38.68,38.68,38.52
39.17,39.36,39.39,39.17
39.39,39.58,39.61,39.39
39.51,39.55,39.92,39.50
39.56,39.65,39.90,39.56
39.69,39.87,39.87,39.67
39.88,39.88,39.89,39.72
39.78,39.87,39.87,39.65
39.78,40.10,40.10,39.76
40.07,40.44,40.60,40.07
40.44,40.38,40.45,40.36
39.81,39.81,40.31,39.66
39.53,40.22,40.22,39.45
40.33,40.90,40.93,40.25
40.76,40.51,40.76,40.51
40.62,40.64,40.96,40.62
40.33,40.15,40.38,39.99
40.16,40.18,40.29,40.16
40.48,40.33,40.48,40.08
40.25,40.35,40.59,40.25
40.56,40.12,40.56,40.10
40.51,41.05,41.05,40.51
41.03,41.07,41.08,41.03
41.00,41.03,41.14,41.00
40.74,40.96,40.96,40.74
40.86,41.00,41.00,40.84
41.05,41.14,41.26,41.02
40.97,41.21,41.27,40.97
41.67,42.27,42.27,41.67
42.51,42.54,42.57,42.38
42.41,42.08,42.50,41.83
41.93,41.73,41.93,41.56
42.04,42.43,42.44,42.04
42.63,42.68,42.68,42.37
42.32,43.24,43.27,42.15
43.29,43.52,43.52,43.24
43.50,43.52,43.95,43.50
43.55,42.81,43.58,42.81
42.81,42.60,42.81,42.15
42.76,43.37,43.37,42.66
43.46,42.08,43.46,42.08
42.08,42.79,42.89,42.08
42.22,41.71,42.22,41.65
41.24,41.47,41.56,41.13
