BG,Bunge Limited Bunge Limited,NASDAQ
64.25,64.65,65.21,64.11
64.94,66.88,67.15,64.94
67.89,69.05,69.36,67.25
68.89,70.93,71.25,68.30
70.65,71.29,71.38,70.65
71.68,70.28,72.75,70.02
69.46,68.61,69.59,67.71
68.45,68.13,68.82,66.95
67.69,68.07,68.95,66.17
71.00,69.85,74.04,69.21
70.03,69.00,70.19,67.89
68.04,67.75,68.64,67.06
67.73,64.08,67.97,63.82
64.14,62.88,64.88,62.81
63.28,62.67,63.88,62.55
62.63,62.02,62.99,62.00
63.32,61.49,63.50,60.83
61.99,60.07,62.08,59.64
60.48,58.79,61.19,58.54
59.24,59.67,60.75,58.88
60.02,61.39,61.43,59.95
61.51,60.50,61.54,59.85
57.50,58.55,59.28,57.50
58.37,58.75,59.05,57.33
58.57,56.90,58.95,56.87
57.28,57.86,58.26,57.25
57.91,58.06,58.22,57.15
57.68,58.76,58.88,57.37
58.29,58.66,58.71,57.33
59.28,59.70,60.13,58.66
60.03,61.24,61.26,59.97
60.84,61.21,61.41,60.34
61.32,61.31,61.67,60.69
61.68,61.50,61.87,60.94
61.42,60.13,61.68,59.99
60.08,60.05,60.16,58.63
59.62,60.40,60.48,59.08
60.02,59.59,60.66,59.58
59.70,60.26,60.39,59.70
60.48,61.41,61.81,60.40
61.54,61.57,62.08,61.12
61.42,60.89,62.15,60.34
61.50,63.27,63.45,61.34
63.50,62.20,63.85,62.08
62.10,62.37,62.81,62.10
62.24,61.85,62.60,61.08
61.43,60.94,61.50,60.51
62.49,60.84,62.59,60.58
60.46,60.48,60.73,59.88
60.67,60.01,60.67,59.60
60.02,61.68,61.81,60.02
61.64,61.99,62.48,61.46
62.01,62.01,62.07,61.09
61.86,63.16,63.21,61.20
63.28,65.34,66.02,63.13
65.07,64.38,65.07,63.95
64.69,63.76,64.83,63.68
63.84,63.84,64.06,63.34
63.99,63.53,64.06,63.18
63.88,63.25,63.95,62.58
62.82,61.63,63.01,61.25
61.92,61.85,62.74,61.72
62.29,61.00,62.55,60.91
60.83,60.18,61.39,60.10
60.06,59.78,60.14,59.60
59.62,59.22,59.62,58.95
59.76,60.35,60.48,59.26
60.64,61.63,61.69,60.36
61.30,59.81,61.52,59.79
59.95,60.67,60.68,59.75
60.53,60.41,61.09,60.13
59.97,59.94,60.77,59.75
59.93,59.74,59.93,58.75
59.83,59.73,60.25,59.52
60.00,58.46,60.00,58.27
58.09,58.44,58.45,57.79
58.16,58.73,58.78,57.80
58.83,58.05,59.70,57.92
58.00,56.33,58.00,56.20
56.40,57.28,57.69,56.40
56.72,53.50,57.75,53.39
53.57,52.95,54.73,52.47
53.45,53.62,53.85,52.95
53.03,52.32,53.49,51.96
51.84,51.25,52.08,50.49
51.06,50.76,52.01,48.11
50.64,51.48,51.55,50.08
53.88,51.90,53.88,51.43
51.92,51.24,51.99,50.86
51.40,54.75,54.93,51.21
55.00,51.73,55.00,51.56
51.50,50.73,52.07,50.06
50.93,50.49,51.88,49.47
51.12,51.02,52.63,50.95
50.60,50.01,50.68,49.20
49.16,48.07,49.16,47.85
47.30,47.84,48.55,47.16
48.02,47.52,48.49,47.39
46.49,47.19,47.58,45.36
47.74,47.96,48.63,47.13
49.06,49.39,49.68,48.61
49.17,48.76,49.40,48.60
48.31,48.14,49.14,48.14
48.66,49.15,49.22,48.00
49.08,49.09,49.53,48.33
48.49,48.60,49.93,48.36
49.01,47.45,49.03,47.42
47.25,47.76,47.90,47.07
49.28,50.25,51.90,49.28
51.25,50.94,52.48,50.84
50.46,52.23,52.41,50.39
52.32,52.26,52.88,51.96
52.55,54.37,54.45,52.27
53.84,53.33,54.19,52.99
53.21,53.61,53.72,53.04
53.59,53.24,53.82,53.08
54.22,54.04,54.22,53.42
53.40,52.76,54.11,52.74
52.71,52.72,53.13,52.20
52.84,51.28,52.91,51.09
51.38,52.29,52.75,51.30
52.02,51.96,52.51,51.66
51.03,49.39,51.13,49.26
49.09,49.19,50.12,49.02
49.09,49.81,49.86,48.74
50.16,49.78,50.50,49.46
50.04,50.06,50.94,49.57
50.10,52.18,52.20,50.10
53.01,53.18,53.30,52.16
53.21,53.94,54.08,53.00
53.98,53.58,54.32,53.40
53.93,53.96,54.90,53.86
53.95,54.06,54.12,53.49
54.00,54.00,54.20,53.11
53.97,51.98,54.22,51.85
52.34,52.06,52.59,51.76
51.71,53.41,53.54,51.71
53.44,53.62,54.08,53.34
54.34,53.95,55.00,53.67
53.92,55.08,55.25,53.92
55.11,55.10,56.35,54.98
55.36,55.83,55.95,55.04
55.72,53.97,55.85,53.79
48.82,46.29,48.84,45.83
46.17,49.65,50.25,46.17
50.29,52.14,52.74,50.29
51.72,51.57,52.27,51.45
51.49,51.61,52.19,51.35
51.30,54.48,54.93,51.06
55.50,55.66,55.86,54.26
55.82,54.97,56.00,54.62
54.31,54.92,56.26,54.31
53.81,53.21,53.96,53.00
52.17,54.41,54.80,51.82
54.08,54.19,54.85,53.90
54.17,54.00,54.25,53.62
55.01,54.81,55.60,54.06
55.00,54.76,55.07,54.25
54.70,54.07,54.70,53.32
53.95,53.64,54.04,53.06
54.24,53.12,54.68,53.11
52.82,51.95,52.82,51.05
51.25,52.05,52.31,51.00
51.74,51.13,52.40,51.00
51.33,52.84,53.07,50.52
52.25,52.00,52.78,52.00
51.36,53.00,53.25,51.24
53.86,53.88,54.50,53.62
53.96,55.65,55.80,53.81
56.70,55.65,56.97,54.99
55.55,54.86,55.55,54.74
55.03,55.93,56.35,55.00
56.25,56.70,57.20,56.25
57.05,57.04,57.69,56.70
57.42,58.10,58.24,57.13
57.59,56.09,57.87,56.04
56.00,56.65,56.96,55.63
56.60,57.09,57.28,56.39
57.31,57.46,57.55,56.46
57.89,57.50,57.89,56.96
57.45,56.66,57.70,56.44
56.49,58.63,58.90,56.35
57.91,59.47,60.17,57.80
60.15,60.74,61.51,60.01
60.87,60.35,61.06,60.06
60.74,61.61,61.61,60.03
61.40,61.19,61.98,60.80
61.57,59.16,61.67,58.16
59.58,57.45,59.61,56.38
57.03,57.63,57.74,56.50
57.88,57.84,58.50,54.80
57.89,58.09,58.92,57.82
58.36,58.76,58.80,57.41
59.14,60.37,61.00,59.14
60.97,61.31,61.98,60.40
59.99,60.84,61.34,59.99
61.86,61.65,62.49,61.03
61.81,61.04,61.87,60.90
61.59,60.65,61.70,60.15
60.89,60.78,60.99,60.41
60.16,60.04,60.59,58.01
60.27,60.65,61.28,60.23
61.12,61.24,61.87,60.72
61.26,61.74,61.82,60.71
62.07,62.56,62.86,62.04
62.06,62.21,62.53,61.15
61.43,61.70,62.37,61.38
62.86,58.95,63.13,58.36
60.25,60.07,61.00,58.85
60.58,60.65,61.56,60.50
61.20,59.94,61.20,59.46
59.90,59.67,59.90,59.05
60.47,60.62,60.93,59.26
60.69,60.25,61.15,60.01
60.26,59.81,60.28,59.50
60.01,61.32,62.32,60.01
61.41,61.85,61.85,60.69
61.34,62.17,62.30,60.82
61.60,60.37,61.82,59.80
60.50,60.18,61.17,59.80
59.58,59.54,59.93,59.00
59.39,60.18,60.31,59.16
60.76,61.32,61.85,60.76
61.22,61.52,61.56,60.96
61.52,61.39,61.79,60.70
60.81,60.60,60.89,60.07
61.19,62.30,62.38,61.16
61.51,61.67,62.67,61.51
61.24,60.78,61.54,60.12
60.13,60.82,61.38,60.05
61.68,61.98,62.04,61.50
61.85,62.54,62.72,61.50
62.44,63.94,64.14,62.24
64.00,64.36,64.97,63.70
64.90,63.82,65.06,63.80
63.81,63.24,64.49,62.97
63.07,62.69,63.43,62.20
62.63,62.39,62.94,62.26
62.60,62.56,62.71,61.53
62.72,62.62,62.91,62.22
62.75,61.51,63.40,61.36
62.06,61.65,62.89,61.36
61.99,62.04,62.04,61.67
62.87,62.02,62.91,61.92
62.30,62.24,62.74,61.90
62.34,63.75,64.20,62.29
63.94,64.00,64.48,63.48
64.10,64.22,64.33,63.83
64.35,64.31,64.44,63.88
64.44,64.58,65.15,64.12
64.79,65.19,65.40,64.71
65.33,65.52,65.89,64.89
65.95,65.39,66.00,64.95
65.79,65.43,65.96,65.03
65.83,66.85,67.01,65.57
66.93,67.38,67.38,66.59
67.16,66.89,67.63,66.28
67.07,66.50,67.47,66.21
67.17,66.58,67.27,66.27
67.10,67.29,68.15,66.93
67.54,69.86,70.23,67.54
70.71,70.89,70.90,69.96
70.93,70.44,71.24,70.04
72.36,70.90,72.65,70.61
70.31,69.48,70.38,68.56
70.05,70.04,70.72,69.85
68.35,69.27,70.00,67.55
68.99,68.48,69.26,68.11
68.64,69.00,69.14,68.30
69.08,68.37,69.15,67.97
68.74,66.82,68.74,66.63
66.91,68.07,68.33,66.25
69.07,68.69,70.40,68.50
68.91,69.52,70.00,68.76
69.57,69.62,69.90,68.70
69.69,69.91,69.92,69.05
70.00,69.70,70.35,69.53
69.85,69.87,70.07,69.40
70.33,69.78,70.78,69.12
70.38,69.03,71.45,67.38
69.68,71.36,71.50,69.51
71.54,72.30,72.48,71.54
72.44,72.31,72.78,71.68
72.42,74.45,74.81,72.42
74.47,74.22,74.72,73.06
74.54,74.24,74.87,73.59
73.35,72.28,74.16,72.14
72.05,70.59,72.05,69.34
70.45,70.74,71.45,69.92
71.29,71.49,71.69,70.73
72.20,72.17,72.49,71.51
72.20,70.82,72.50,70.02
70.71,71.48,71.70,70.70
72.05,72.10,72.50,71.27
72.72,71.90,72.85,71.09
71.97,70.68,72.17,70.57
70.90,70.97,71.30,70.22
70.35,70.43,70.75,69.67
