CVCO,Cavco Industries,NASDAQ
36.37,37.45,37.59,36.20
37.41,36.27,37.41,36.27
36.34,35.00,36.34,34.50
34.87,36.39,36.63,34.87
36.89,37.63,37.87,36.89
37.85,36.96,37.85,36.50
36.63,37.23,37.32,36.63
37.23,39.04,39.80,37.23
38.93,40.00,40.00,38.75
40.13,39.50,40.15,39.17
39.68,40.12,40.29,39.45
39.75,38.36,40.30,38.27
38.52,36.37,38.52,36.15
36.37,36.04,36.85,35.95
36.45,36.30,37.82,36.13
36.90,35.43,36.95,35.38
35.18,36.23,36.32,35.09
36.39,36.02,36.39,35.88
35.95,35.84,36.41,35.76
35.99,34.28,36.17,34.23
34.40,34.27,34.89,34.12
34.30,34.46,35.25,34.18
34.23,33.80,34.43,33.80
33.80,33.33,34.04,32.95
33.15,33.67,34.00,32.99
34.08,34.37,35.31,34.06
34.16,33.43,35.27,33.21
32.94,34.03,34.21,32.78
33.66,33.93,34.11,33.66
34.25,35.00,35.79,33.61
35.19,37.05,37.05,34.98
37.01,36.86,37.01,36.21
36.68,36.29,36.92,35.88
36.49,34.95,36.49,33.60
34.95,34.92,35.69,34.34
35.10,35.38,35.39,34.13
34.84,35.66,35.75,34.64
34.73,35.02,35.84,34.73
35.28,35.79,35.81,34.89
35.75,36.50,36.95,35.31
36.52,37.10,37.19,36.52
37.25,37.48,37.48,35.96
37.50,37.71,37.88,36.19
37.79,38.20,38.25,36.89
37.98,38.53,39.06,37.98
38.42,38.82,39.32,38.42
38.70,39.40,39.40,38.70
38.01,38.44,39.06,38.01
38.52,38.56,38.65,38.11
38.76,38.55,38.76,38.35
38.71,38.53,39.06,38.32
39.00,37.35,39.01,37.35
37.62,35.49,37.95,35.49
35.25,34.98,35.81,34.81
35.09,34.76,35.42,34.41
34.74,34.78,34.94,34.70
34.80,35.13,35.49,34.80
35.34,35.35,36.14,35.16
35.35,35.38,35.45,35.00
35.51,34.53,35.85,34.30
34.26,34.14,35.04,34.14
N/A,N/A,N/A,N/A
33.89,34.26,34.26,33.50
33.93,35.01,35.70,33.93
34.78,34.81,35.89,34.37
34.54,34.62,35.18,34.47
34.51,35.01,35.55,33.96
35.32,35.13,35.33,34.79
34.96,35.13,35.13,34.72
35.41,36.21,36.21,34.55
36.07,35.98,36.21,35.25
35.95,35.76,35.96,35.03
35.45,35.98,36.35,35.45
36.08,36.89,37.11,35.59
36.75,35.44,37.31,34.80
35.10,36.82,36.82,34.95
36.66,37.43,37.52,36.65
37.30,37.83,38.15,37.30
37.74,37.45,38.23,37.42
37.77,37.89,38.12,37.50
38.20,39.20,39.24,38.12
39.09,39.17,40.70,38.99
39.39,42.31,43.41,39.17
41.72,40.68,42.43,40.02
40.59,39.79,40.59,39.29
39.57,38.13,40.09,38.13
38.21,37.50,38.90,37.25
38.98,38.21,38.98,37.66
37.97,38.19,38.44,37.15
38.64,38.59,38.65,37.41
38.98,37.17,38.98,36.75
37.64,36.64,37.64,36.01
36.96,37.62,37.96,36.00
38.14,38.12,38.77,37.35
38.13,37.45,39.51,36.71
36.76,35.64,37.44,35.46
35.29,36.02,36.36,35.29
36.60,36.08,36.66,36.08
35.42,36.29,36.59,34.55
35.67,35.00,36.47,34.80
34.51,37.18,37.31,34.51
36.96,36.51,37.31,35.98
36.12,34.02,36.12,34.02
34.12,34.97,35.00,34.00
34.80,34.85,35.09,34.43
34.02,33.51,34.24,33.50
34.57,33.50,34.57,33.48
34.70,34.00,34.70,33.50
34.13,34.10,34.78,33.60
34.51,34.36,35.00,33.50
34.05,35.19,35.27,34.05
35.61,35.87,36.57,35.29
35.22,36.83,36.98,35.22
36.41,37.45,37.97,36.17
37.62,37.21,37.67,36.83
37.45,37.50,37.70,36.77
37.80,37.75,37.80,37.39
37.75,36.92,37.76,36.39
36.83,36.46,36.85,36.17
36.29,35.87,36.29,35.66
35.85,35.88,36.33,35.67
35.99,35.59,36.05,35.50
35.41,35.37,35.60,35.02
35.27,35.18,35.63,35.05
35.00,35.28,35.92,34.95
35.42,35.32,35.85,35.02
35.58,34.44,35.86,34.41
34.73,34.96,34.96,34.42
35.16,35.18,35.31,34.65
35.08,35.97,36.04,35.08
35.82,35.76,36.36,35.74
36.12,36.00,36.77,34.80
36.00,35.66,36.01,35.32
35.80,35.42,35.95,35.42
35.08,33.90,35.08,33.87
34.09,33.93,34.25,33.74
33.77,34.40,34.41,33.76
35.43,33.75,35.43,33.75
34.29,34.08,34.52,33.80
33.93,33.74,34.15,33.65
33.94,35.30,35.33,33.81
35.44,35.13,36.28,34.93
35.22,34.41,35.22,33.78
34.78,34.76,35.35,34.39
34.20,35.06,35.90,34.20
35.48,35.28,35.48,34.68
35.61,36.84,36.89,34.74
37.12,37.26,37.46,36.85
36.29,36.60,37.16,36.18
36.22,35.61,36.91,35.00
35.89,37.34,37.42,35.57
36.92,36.21,37.16,35.67
35.57,34.04,36.13,33.97
33.60,34.09,34.95,33.60
33.89,33.54,34.60,33.54
33.55,33.65,34.12,33.50
34.09,34.88,35.14,33.72
35.29,35.16,35.51,33.95
34.92,33.53,35.60,33.50
33.52,33.50,33.67,33.45
33.56,33.53,34.01,33.50
33.50,34.08,34.57,33.50
33.79,34.84,35.24,33.79
34.00,35.31,35.98,33.89
35.80,34.15,35.80,33.80
33.93,33.50,34.10,33.50
34.03,33.51,34.10,33.40
34.07,34.09,34.09,33.63
34.01,34.38,34.69,33.89
34.61,34.95,35.24,34.59
34.92,34.50,34.92,34.41
34.69,34.39,34.84,34.09
34.79,35.51,35.75,34.68
35.20,34.84,35.40,34.76
34.65,34.45,34.74,34.01
34.23,34.17,34.75,33.90
34.14,33.88,34.14,33.52
33.61,33.20,33.62,33.03
33.63,32.27,33.69,32.00
32.31,32.38,32.66,31.81
32.80,32.09,32.80,31.72
32.01,32.35,33.11,32.01
32.22,32.01,32.66,31.53
32.30,33.06,33.34,32.10
33.16,32.76,33.16,32.43
32.76,33.84,33.84,32.48
33.68,33.65,33.68,33.14
33.28,35.91,35.98,33.28
35.99,35.29,36.00,34.74
35.10,35.15,35.83,34.94
35.36,35.12,35.45,34.99
34.95,34.97,35.25,34.95
35.15,34.14,35.15,34.08
34.41,35.18,35.24,34.01
34.70,34.50,34.88,34.20
34.33,34.66,34.72,34.28
34.70,34.69,35.00,34.64
34.75,32.49,35.09,32.44
32.92,32.37,32.92,31.90
33.05,32.82,33.25,32.54
32.45,33.19,34.57,32.45
33.43,33.26,33.91,32.55
33.38,33.03,34.09,32.96
33.54,32.22,33.54,31.92
32.32,32.33,32.49,32.19
32.08,32.21,32.64,32.00
32.26,32.93,33.19,31.85
32.47,32.71,32.87,32.25
31.90,31.69,32.45,31.59
32.20,32.59,32.63,31.50
32.72,33.33,33.55,32.28
33.56,33.96,33.97,33.23
34.43,37.31,37.35,33.85
37.39,36.56,37.51,36.19
36.44,36.18,36.71,35.83
35.83,36.18,37.01,35.82
36.36,36.89,37.19,35.95
36.58,36.71,36.84,36.39
36.45,35.56,36.45,35.04
35.20,35.41,35.44,34.96
35.10,33.67,35.10,33.58
33.69,33.81,34.15,33.22
34.12,34.15,34.42,33.87
34.21,34.22,34.22,33.89
34.32,35.08,35.09,34.22
34.67,33.03,34.67,32.75
33.36,34.51,34.62,32.80
34.04,34.20,34.77,33.30
33.97,34.53,34.65,33.73
34.14,36.46,36.98,34.14
37.12,37.52,37.63,36.76
37.65,37.43,37.65,36.83
37.12,37.78,37.80,36.65
37.76,37.70,37.76,37.49
37.80,37.79,37.80,37.32
37.80,37.62,38.08,37.31
37.34,37.15,37.57,36.41
36.92,38.94,38.94,36.42
38.96,39.83,39.96,38.46
39.89,39.50,39.89,39.17
39.61,39.59,39.91,39.35
39.59,40.25,40.29,39.59
40.10,43.56,43.56,39.74
43.24,45.05,45.82,42.57
45.39,46.71,46.71,44.18
46.71,46.90,47.06,45.84
46.75,46.29,47.00,46.01
46.01,47.68,47.89,46.01
47.85,47.89,48.49,47.72
48.12,48.27,48.42,47.41
48.89,48.31,49.00,47.99
48.32,46.69,48.32,46.69
47.24,47.46,47.65,47.03
47.75,47.91,48.57,45.69
47.92,48.69,48.79,47.77
48.74,48.88,49.04,48.59
48.80,48.26,48.90,47.00
48.00,47.79,48.32,47.56
48.44,48.22,48.77,48.15
48.63,46.67,48.63,46.41
46.47,45.12,46.65,44.44
45.23,46.23,47.16,45.10
46.00,44.85,46.22,44.22
44.75,43.38,44.87,43.38
43.25,42.86,44.31,42.45
43.07,43.17,44.31,42.70
42.67,43.41,44.59,42.67
42.95,44.10,44.25,42.54
44.06,44.75,45.69,43.45
44.80,44.22,45.60,43.99
44.03,41.64,44.03,40.29
41.61,41.19,41.61,40.11
41.45,41.79,42.04,41.45
41.49,39.58,41.50,39.48
39.66,39.55,39.71,38.94
39.44,38.25,39.44,38.14
38.40,39.80,40.44,38.40
39.66,40.29,41.45,39.43
39.95,38.57,40.87,38.40
38.39,39.02,39.33,37.76
38.70,40.63,40.86,38.70
40.81,39.65,41.72,39.25
39.38,39.30,39.65,39.12
40.17,41.30,42.12,39.94
41.36,41.55,43.51,41.10
41.78,41.06,41.78,40.15
40.44,39.00,40.44,38.92
39.22,39.56,40.18,39.22
41.90,39.38,41.90,39.18
39.43,40.55,40.55,39.43
40.78,40.82,41.04,40.39
