GS,Goldman Sachs Group,NASDAQ
170.05,173.08,174.25,169.51
173.00,176.14,176.26,172.57
175.38,174.26,175.38,173.76
174.32,177.67,178.75,173.95
176.33,174.31,177.43,173.95
175.06,171.56,175.06,170.52
170.01,167.82,170.48,167.03
168.01,169.07,169.67,166.12
168.00,168.53,170.72,167.21
167.60,165.21,167.80,164.58
165.01,166.86,167.40,163.90
165.80,167.79,168.18,164.32
169.29,160.87,171.00,156.77
158.69,154.12,159.75,152.25
156.13,154.98,158.30,154.50
154.91,150.88,156.50,150.70
150.75,151.50,152.93,148.27
154.23,153.29,155.20,149.95
154.44,148.72,154.88,147.81
149.82,153.13,155.25,149.21
153.65,156.94,157.50,153.65
157.92,157.23,159.94,157.11
155.27,150.68,156.06,150.45
150.82,154.16,154.46,148.87
154.27,151.10,154.60,150.82
152.70,152.49,153.53,149.65
152.77,153.63,155.35,151.76
154.40,154.05,155.32,152.25
152.37,153.93,154.50,151.14
155.30,157.40,157.74,154.60
158.00,157.26,158.19,155.81
155.61,155.73,156.59,154.88
154.51,156.18,157.00,154.49
157.20,156.71,157.97,156.03
156.81,156.70,160.21,155.91
157.34,158.33,159.25,156.87
156.23,156.44,156.44,154.32
156.26,156.35,156.99,155.26
156.51,156.54,158.29,156.17
157.18,158.75,159.75,156.91
159.04,157.72,159.45,157.23
158.25,163.61,163.85,158.11
165.11,167.18,168.25,165.00
167.88,169.84,170.69,167.46
169.22,168.85,172.20,168.00
170.26,171.94,172.34,168.87
171.40,173.51,173.57,171.10
175.01,174.96,176.34,174.00
173.95,173.53,175.20,170.38
174.33,176.19,176.42,173.56
176.86,176.64,177.88,175.57
176.20,177.45,177.75,175.66
177.90,177.90,178.21,175.95
176.21,176.16,176.95,175.23
176.25,174.83,176.81,173.29
173.64,174.41,175.96,173.64
175.24,174.90,178.73,174.78
175.38,172.87,175.48,171.91
173.87,174.05,174.43,171.64
174.26,171.38,174.78,170.70
170.00,170.63,171.66,169.85
171.72,170.22,172.00,169.50
170.68,173.16,173.37,169.77
172.61,172.90,173.89,172.15
172.89,176.36,177.90,172.81
176.10,179.50,180.80,175.28
180.28,179.12,181.00,177.50
179.36,177.84,180.38,177.84
177.56,179.25,180.00,177.11
183.91,184.92,185.94,183.07
185.54,184.27,185.60,183.66
183.62,160.70,186.41,155.55
155.60,163.32,163.73,155.00
166.44,159.98,166.71,158.00
161.67,158.93,163.14,157.00
157.93,159.05,162.00,156.29
160.19,157.40,160.72,157.00
156.72,152.03,156.99,151.52
150.25,153.04,156.19,150.15
156.66,157.01,157.65,154.69
159.55,160.24,161.05,158.34
151.90,145.20,152.50,143.30
147.84,149.50,150.65,146.54
149.03,149.45,152.35,147.83
148.10,148.19,151.22,147.20
147.48,142.32,148.63,139.06
145.38,142.99,146.55,141.50
149.09,143.83,149.90,141.20
142.40,141.97,145.50,141.55
144.24,147.20,147.65,142.28
148.36,144.65,148.45,144.42
143.41,143.23,144.15,141.90
143.47,142.64,144.30,138.53
143.69,137.36,143.75,136.60
137.95,140.10,140.13,136.10
138.20,136.10,139.49,135.75
137.08,140.62,143.45,136.25
142.00,136.69,142.95,136.51
134.73,142.56,143.19,134.20
144.29,140.30,145.80,139.69
142.93,144.95,145.05,141.04
144.42,144.26,145.80,143.10
144.26,141.86,146.40,141.70
142.00,144.83,145.00,141.14
144.91,144.04,145.25,142.50
142.17,142.25,145.87,141.71
142.28,138.68,143.27,137.85
139.14,137.78,139.68,135.05
138.59,136.80,139.42,136.22
137.60,133.77,137.77,131.30
133.33,135.64,136.05,133.00
137.11,133.44,137.11,133.40
134.63,136.90,137.40,133.30
136.06,137.06,138.26,135.71
136.95,137.32,138.38,135.22
137.82,138.18,139.72,137.52
139.65,137.74,140.15,137.31
137.54,134.79,137.75,134.59
133.90,135.07,136.38,132.73
134.14,134.98,135.98,133.11
136.99,139.66,140.90,135.43
140.38,136.66,140.38,136.53
134.98,133.76,135.85,133.17
133.68,131.27,134.30,131.02
131.69,131.14,133.75,129.50
132.11,131.08,132.38,129.69
133.74,132.26,134.39,131.07
132.44,135.83,136.13,132.07
136.92,135.46,137.17,133.56
135.36,138.06,138.50,134.59
137.61,137.25,138.31,136.03
138.50,140.25,141.20,138.11
139.29,139.06,139.59,137.65
140.02,145.22,146.25,137.82
151.47,146.17,152.00,146.05
147.67,145.68,147.70,144.10
142.18,148.91,149.73,141.55
150.05,146.99,150.97,146.86
148.88,146.55,149.88,144.16
146.65,147.38,148.41,144.57
147.39,148.20,149.00,145.21
149.09,147.23,149.66,147.00
147.00,147.20,148.65,146.78
148.27,152.58,153.15,147.63
151.35,150.82,153.41,150.80
152.82,152.74,153.64,151.61
152.12,153.19,153.96,151.41
153.62,156.41,157.25,153.00
155.63,155.92,156.22,154.40
154.54,155.18,156.06,153.77
155.93,155.40,156.20,154.59
154.02,153.90,154.77,153.18
151.72,149.25,152.00,148.91
147.81,149.42,150.59,147.81
149.38,148.08,150.45,148.08
147.58,147.76,149.18,147.00
148.68,148.59,149.79,148.14
148.54,149.20,149.94,147.73
148.67,147.05,149.66,146.28
147.44,148.24,148.97,147.25
148.12,146.74,148.50,146.60
144.80,143.95,145.49,143.82
142.81,144.68,145.33,142.75
144.94,141.81,145.16,141.66
141.13,139.75,141.74,138.25
138.83,136.66,140.11,136.65
136.25,136.93,138.01,135.79
139.01,139.74,140.34,137.80
139.93,139.78,140.15,138.45
141.62,147.29,147.99,141.33
146.15,145.21,146.24,144.15
145.38,147.54,149.66,145.36
149.79,149.14,150.68,148.50
149.46,150.39,150.75,148.81
152.32,154.37,154.70,152.30
153.54,152.53,153.75,152.23
151.67,152.56,152.80,150.67
152.28,152.23,152.48,151.16
152.11,150.98,152.47,150.56
150.98,151.90,152.40,149.89
152.11,151.40,154.57,151.09
149.95,148.07,150.55,147.69
146.36,144.91,146.87,143.98
146.25,147.28,147.60,145.82
147.01,146.00,148.41,145.78
146.51,145.01,146.69,144.06
145.02,144.42,145.02,142.54
145.25,144.58,146.98,144.30
145.20,147.70,148.50,144.82
147.70,146.57,148.47,144.70
147.56,149.57,150.28,146.07
149.75,150.84,152.33,149.13
152.11,151.11,152.36,150.03
151.15,152.66,153.40,150.62
152.67,152.20,153.09,151.27
151.30,155.21,155.45,151.01
156.30,154.73,156.69,154.39
154.23,151.59,154.29,150.55
152.69,150.69,152.69,150.66
150.93,153.70,154.38,150.85
155.14,156.72,159.70,154.11
156.21,159.60,160.25,154.86
159.58,159.30,161.50,158.10
159.89,157.76,159.98,157.50
159.36,157.39,159.45,156.27
156.72,158.29,158.73,156.53
157.19,160.15,160.59,157.00
160.86,163.24,163.79,160.44
162.15,161.13,163.60,160.95
161.77,161.57,162.96,160.17
162.06,162.82,163.00,161.80
163.18,162.63,163.18,160.57
163.62,166.39,166.40,162.69
165.99,171.07,171.18,165.92
169.95,169.20,171.61,169.10
170.30,166.55,170.85,166.00
