QRHC,Quest Resource Holding Corporation. - Common Stock,NASDAQ
N/A,N/A,N/A,N/A
0.23,0.30,0.30,0.23
0.27,0.27,0.27,0.27
0.20,0.28,0.28,0.20
0.28,0.28,0.28,0.28
0.27,0.27,0.27,0.27
0.20,0.26,0.26,0.20
0.22,0.25,0.25,0.22
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.20,0.24,0.24,0.20
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.22,0.25,0.25,0.22
0.25,0.23,0.25,0.20
0.23,0.23,0.23,0.23
0.20,0.22,0.22,0.20
0.20,0.23,0.23,0.19
0.23,0.23,0.23,0.23
0.21,0.28,0.28,0.21
0.24,0.23,0.24,0.20
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.20,0.24,0.24,0.20
0.22,0.22,0.22,0.22
0.22,0.29,0.29,0.21
0.25,0.25,0.26,0.25
0.24,0.24,0.24,0.24
0.24,0.25,0.25,0.21
0.25,0.29,0.29,0.25
0.26,0.27,0.30,0.23
0.23,0.27,0.27,0.23
0.23,0.26,0.26,0.21
0.23,0.25,0.25,0.23
0.26,0.30,0.30,0.24
0.28,0.28,0.28,0.28
0.28,0.28,0.28,0.28
0.23,0.27,0.27,0.23
0.28,0.28,0.28,0.28
0.26,0.26,0.26,0.26
0.28,0.30,0.30,0.28
0.29,0.29,0.29,0.29
0.26,0.30,0.30,0.26
0.22,0.27,0.27,0.22
0.24,0.24,0.24,0.24
0.24,0.27,0.27,0.24
0.27,0.29,0.29,0.27
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.24,0.29,0.29,0.24
0.29,0.29,0.29,0.29
0.24,0.30,0.30,0.24
0.30,0.30,0.30,0.30
0.25,0.29,0.29,0.25
0.23,0.30,0.30,0.23
0.30,0.34,0.34,0.28
0.30,0.26,0.30,0.26
0.29,0.30,0.30,0.25
0.30,0.30,0.30,0.30
0.30,0.35,0.35,0.30
0.30,0.34,0.45,0.30
0.35,0.35,0.35,0.35
0.32,0.30,0.32,0.30
0.35,0.35,0.35,0.35
0.38,0.38,0.38,0.38
0.32,0.38,0.38,0.32
0.38,0.38,0.38,0.38
0.35,0.35,0.35,0.35
0.38,0.34,0.40,0.34
0.38,0.40,0.40,0.38
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.35,0.38,0.38,0.35
0.40,0.40,0.40,0.40
0.42,0.40,0.42,0.40
0.40,0.42,0.42,0.35
0.42,0.36,0.42,0.36
0.42,0.36,0.42,0.32
0.36,0.36,0.36,0.36
0.33,0.33,0.38,0.33
0.31,0.34,0.34,0.31
0.31,0.30,0.31,0.30
0.25,0.32,0.37,0.25
0.34,0.28,0.37,0.28
0.37,0.32,0.37,0.32
0.31,0.31,0.32,0.31
0.32,0.32,0.32,0.32
0.32,0.39,0.39,0.32
0.35,0.42,0.42,0.25
0.38,0.34,0.38,0.34
0.33,0.33,0.33,0.33
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.31,0.30,0.31,0.30
0.31,0.30,0.31,0.30
0.25,0.32,0.33,0.23
0.26,0.34,0.34,0.26
0.25,0.34,0.34,0.25
