AGEN,Agenus Inc. - Common Stock,NASDAQ
3.84,3.86,3.96,3.72
3.78,3.76,3.84,3.72
3.66,3.72,3.81,3.66
3.72,3.60,3.78,3.60
3.66,4.08,4.14,3.60
4.14,4.31,4.31,4.02
4.44,4.65,4.86,4.26
4.68,6.30,6.66,4.51
6.72,5.93,7.20,5.76
5.76,5.71,5.94,4.92
5.70,5.40,6.36,5.40
5.40,5.04,5.70,4.80
5.08,5.22,5.28,4.80
4.92,4.86,5.15,4.86
4.80,4.67,4.86,4.44
4.44,4.50,4.80,4.44
4.50,4.90,4.98,4.44
4.92,4.92,5.37,4.56
4.92,4.51,5.28,4.50
4.50,4.92,5.04,4.50
5.10,5.04,5.10,4.80
5.10,4.74,5.10,4.74
4.74,4.62,4.85,4.62
4.50,4.40,4.62,4.38
4.41,4.62,4.74,4.38
4.86,4.41,4.86,4.41
4.50,4.44,4.74,4.44
4.41,4.41,4.68,4.35
4.44,4.35,4.44,4.26
4.44,4.44,4.44,4.27
4.26,4.86,4.92,4.26
4.74,4.50,4.86,4.44
4.80,4.89,4.90,4.50
4.80,4.86,5.10,4.80
5.04,5.00,5.04,4.58
4.98,4.74,4.98,4.67
4.86,4.86,4.86,4.74
4.86,4.62,4.86,4.62
4.68,4.62,4.80,4.62
4.50,4.59,4.83,4.50
4.50,4.56,4.72,4.50
4.62,4.56,4.68,4.50
4.52,4.57,4.64,4.52
4.56,4.50,4.59,4.50
4.50,4.62,4.71,4.50
4.56,4.62,4.86,4.56
4.86,4.80,4.86,4.68
4.75,4.62,4.80,4.62
4.68,4.62,4.68,4.50
4.62,4.61,4.67,4.50
4.75,4.50,4.92,4.50
4.60,4.80,4.80,4.56
4.80,4.70,4.80,4.56
4.68,4.50,4.68,4.50
4.51,4.68,4.74,4.51
4.62,4.57,4.68,4.52
4.56,4.50,4.56,4.50
4.51,4.38,4.55,4.38
4.38,4.43,4.44,4.32
4.43,4.20,4.43,4.20
4.21,4.36,4.38,4.21
N/A,N/A,N/A,N/A
4.20,4.23,4.26,4.20
4.20,4.36,4.38,4.20
4.31,4.38,4.46,4.31
4.50,4.38,4.50,4.26
4.44,4.50,4.53,4.38
4.62,5.70,5.70,4.57
8.76,7.80,10.32,7.08
8.10,7.02,8.10,6.84
6.90,7.38,7.50,6.24
7.62,7.26,7.62,6.72
7.20,6.84,7.20,6.66
6.66,7.02,7.02,6.30
6.84,7.08,7.74,6.84
7.08,7.38,7.50,7.08
7.50,7.38,7.50,7.14
7.50,7.14,7.56,6.96
7.26,6.96,7.26,6.72
6.96,6.84,7.02,6.60
6.78,7.38,7.98,6.42
7.38,6.96,7.38,6.78
7.38,7.38,7.56,6.90
7.14,6.78,7.22,6.78
6.78,6.66,6.96,6.60
6.60,5.76,6.66,5.59
6.30,5.64,6.30,5.46
6.30,6.60,6.79,5.88
7.38,7.74,8.70,7.26
8.64,8.28,8.76,7.80
7.80,7.44,7.98,7.20
7.32,7.38,7.68,6.96
7.62,8.10,8.34,7.32
8.46,8.28,8.88,7.86
8.16,8.16,8.64,7.62
7.38,6.48,7.56,6.42
6.00,6.06,6.84,5.95
6.12,6.42,6.84,6.12
6.06,6.18,6.42,6.00
6.42,6.06,6.54,6.06
6.30,6.24,6.36,6.06
6.18,6.18,6.24,6.06
6.18,5.94,6.18,5.76
5.87,5.82,6.00,5.82
6.18,6.06,6.18,5.82
6.00,6.12,6.42,5.77
6.12,5.47,6.36,5.47
5.70,5.04,5.70,4.93
5.10,4.80,5.33,4.80
4.98,5.16,5.22,4.92
5.04,5.69,5.70,4.92
5.58,5.70,5.82,5.52
5.52,5.88,5.88,5.52
5.88,5.70,5.94,5.70
5.70,5.80,5.82,5.46
5.64,5.82,5.82,5.58
5.88,5.70,5.88,5.61
5.64,5.26,5.76,5.22
5.22,5.10,5.58,5.10
5.10,5.28,5.40,5.10
5.12,5.40,5.64,5.12
5.28,5.28,5.64,5.16
5.10,5.04,5.26,5.04
4.98,4.87,5.10,4.81
4.80,4.62,4.80,4.50
4.38,4.71,4.80,4.38
4.68,4.50,4.92,4.50
4.50,4.80,4.92,4.50
4.62,4.68,4.88,4.62
4.68,4.56,4.80,4.50
4.38,4.56,4.73,4.38
4.47,4.86,5.04,4.47
4.92,4.92,5.10,4.74
4.80,4.62,4.92,4.62
4.62,4.68,4.79,4.50
4.62,4.62,4.74,4.50
4.60,4.74,4.90,4.50
4.80,4.54,4.86,4.54
4.51,4.68,4.80,4.50
4.80,4.77,4.80,4.68
4.74,4.74,4.87,4.68
5.28,5.47,5.88,5.28
5.64,5.52,5.70,5.40
5.70,5.22,5.70,4.98
5.58,5.10,5.58,4.98
5.40,5.16,5.58,5.16
5.46,5.04,5.46,4.99
5.22,5.04,5.22,5.01
4.92,4.86,5.04,4.81
4.98,4.92,4.98,4.75
4.92,4.80,4.98,4.77
4.80,4.68,4.80,4.68
5.04,4.56,5.04,4.56
4.56,4.62,4.68,4.50
4.44,4.50,4.56,4.44
4.38,4.50,4.63,4.38
4.50,4.50,4.62,4.48
4.50,4.67,4.80,4.44
4.50,4.50,4.74,4.50
4.56,4.56,4.62,4.44
4.62,4.56,4.68,4.56
4.50,4.68,4.74,4.50
4.44,5.12,5.63,4.44
5.28,4.62,5.28,4.62
4.73,4.68,4.90,4.62
4.92,4.68,4.92,4.68
4.68,4.62,4.74,4.62
4.53,4.68,4.74,4.53
4.74,4.56,4.86,4.51
4.56,4.71,4.74,4.56
4.74,4.80,4.80,4.68
4.80,4.80,4.86,4.74
4.74,4.92,5.04,4.74
4.86,5.59,5.82,4.80
5.71,5.58,5.80,5.16
5.46,5.28,5.52,5.22
5.28,5.43,5.51,5.22
5.28,5.42,5.46,5.28
5.52,5.34,5.58,5.34
5.40,6.24,6.72,5.34
6.42,5.88,6.48,5.75
5.87,5.88,6.42,5.73
6.00,5.94,6.42,5.94
6.24,5.79,6.24,5.78
5.76,6.00,6.00,5.70
5.82,6.12,6.24,5.82
6.00,6.00,6.18,5.95
6.06,5.94,6.06,5.82
5.82,5.85,5.94,5.82
5.82,5.77,6.00,5.76
5.73,5.73,5.88,5.73
5.76,6.06,6.18,5.76
6.06,6.48,6.48,6.06
6.54,6.36,6.60,6.24
6.24,5.95,6.30,5.76
5.95,6.06,6.24,5.76
6.06,6.30,6.30,5.93
6.30,6.12,6.30,6.06
6.12,6.30,6.30,5.94
6.30,6.06,6.30,6.00
6.06,5.94,6.18,5.88
5.94,5.88,6.00,5.82
5.82,5.76,6.00,5.76
5.82,5.77,5.88,5.71
5.95,5.88,6.18,5.88
5.88,5.88,6.00,5.82
5.88,5.76,5.94,5.76
5.99,5.46,6.00,5.40
5.46,5.40,5.76,5.34
5.46,5.34,5.64,5.30
5.34,5.64,5.64,5.28
5.64,5.46,5.70,5.40
5.58,5.63,5.64,5.52
5.64,5.99,6.06,5.64
5.94,5.82,6.00,5.76
5.76,5.40,5.94,5.34
5.52,5.52,5.70,5.40
5.52,5.58,5.70,5.46
5.64,5.49,5.64,5.40
5.58,5.52,5.64,5.35
5.40,5.40,5.64,5.34
5.36,5.46,5.62,5.36
5.58,5.48,5.58,5.46
5.46,5.52,5.52,5.40
5.57,5.52,5.64,5.46
5.43,5.40,5.50,5.34
