OHGI,One Horizon Group,NASDAQ
1.30,1.30,1.30,1.30
1.30,1.29,1.30,0.51
1.29,1.29,1.29,1.29
1.29,1.29,1.29,1.29
0.51,1.29,1.29,0.51
1.29,1.29,1.29,0.60
1.15,1.29,1.29,1.15
1.35,1.39,1.39,0.60
1.40,1.40,1.40,1.40
1.39,1.39,1.39,0.60
1.39,1.39,1.39,1.39
0.60,1.39,1.39,0.60
1.29,1.29,1.29,1.29
0.60,1.30,1.30,0.60
1.05,1.29,1.29,1.05
1.05,1.05,1.05,1.05
0.65,1.28,1.28,0.65
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
0.65,1.28,1.28,0.65
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.05,1.24,1.28,1.05
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.15,0.94,1.20,0.15
0.65,0.56,0.97,0.56
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.70,0.65,0.70,0.33
0.70,0.65,0.70,0.65
0.70,0.70,0.70,0.70
0.69,0.69,0.69,0.69
0.75,0.69,0.75,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.60,0.69,0.60
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.30,0.68,0.68,0.30
0.68,0.68,0.68,0.68
0.15,0.69,0.69,0.15
0.30,0.69,0.69,0.30
0.30,0.60,0.60,0.30
0.30,0.60,0.60,0.30
0.61,0.61,0.61,0.61
0.35,0.51,0.60,0.35
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.35,0.51,0.51,0.35
0.51,0.51,0.51,0.51
0.35,0.51,0.51,0.35
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.30,0.51,0.51,0.30
0.51,0.51,0.51,0.51
0.30,0.51,0.51,0.30
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.25,0.51,0.51,0.25
0.51,0.51,0.51,0.51
0.25,0.51,0.51,0.25
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.15
0.51,0.51,0.51,0.51
0.15,0.51,0.51,0.15
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.15,0.51,0.51,0.15
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.45,0.45,0.45,0.45
0.20,0.45,0.45,0.20
0.46,0.51,0.51,0.46
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.49
0.50,0.45,0.60,0.42
0.52,0.52,0.52,0.31
0.60,0.59,0.60,0.59
0.59,0.60,0.60,0.59
0.31,0.49,0.49,0.31
0.55,0.55,0.55,0.55
0.35,0.49,0.49,0.35
0.49,0.49,0.49,0.49
0.35,0.49,0.49,0.35
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.35
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.54,0.54,0.49
