SLB,Schlumberger N.V. Common Stock,NASDAQ
66.39,67.11,67.20,66.12
66.99,67.30,67.62,66.73
67.17,68.80,68.94,67.03
68.49,69.51,69.81,68.21
69.19,70.65,72.00,69.09
71.30,70.65,71.56,69.37
69.20,69.59,70.71,68.80
69.71,70.85,71.08,68.22
70.11,71.29,71.83,70.11
71.22,70.83,71.97,70.14
69.87,70.93,71.25,69.54
69.77,69.09,70.15,67.98
69.02,68.31,69.49,67.52
67.39,65.24,68.38,64.92
65.69,65.81,66.58,64.50
65.25,65.75,67.75,64.77
65.46,65.70,66.29,64.82
66.12,64.63,66.75,64.23
65.40,63.46,66.19,62.89
64.30,64.79,65.20,63.93
65.50,66.12,66.53,64.97
65.72,65.99,66.88,65.57
64.99,62.50,65.19,62.33
62.61,62.06,63.17,60.26
62.23,62.12,63.68,61.57
63.13,63.76,64.99,63.00
63.61,63.65,64.25,62.35
63.56,64.76,64.90,62.55
63.70,64.30,64.73,63.12
65.33,65.65,65.75,64.57
65.83,65.43,66.00,64.88
65.88,65.81,66.33,65.09
63.36,63.90,64.39,62.98
60.09,61.57,61.94,59.75
61.50,60.88,61.72,60.16
61.13,60.91,61.50,60.36
60.09,60.81,60.94,59.42
61.13,61.10,61.40,60.52
61.83,61.42,61.98,60.96
61.59,62.81,62.88,61.00
63.39,63.23,64.03,63.03
63.24,62.88,63.73,62.27
63.41,63.81,63.94,63.21
63.83,64.48,64.65,63.78
64.04,64.10,64.57,63.70
64.01,64.20,64.52,63.23
64.06,63.90,64.19,63.35
64.17,64.54,64.67,63.80
64.10,64.31,64.67,63.30
64.81,65.52,65.66,64.17
65.77,66.60,66.98,65.50
66.50,65.25,66.73,64.80
64.32,64.32,65.78,63.74
62.70,63.49,64.30,62.04
63.53,63.03,63.97,62.78
62.41,62.21,63.31,62.01
62.85,60.76,63.25,60.67
61.12,61.67,61.99,61.10
62.32,63.07,63.40,62.18
63.30,63.05,63.83,62.77
63.43,63.46,63.56,62.94
64.24,64.57,64.87,63.97
65.03,65.77,66.23,64.76
65.89,66.79,67.02,65.80
66.85,66.04,66.85,65.68
65.48,66.62,66.79,65.04
67.07,66.53,67.35,66.23
66.20,66.31,66.84,66.15
66.40,65.51,66.40,64.61
66.00,67.10,67.42,65.77
67.01,67.21,67.50,66.68
66.46,65.80,67.16,64.86
65.18,65.24,65.92,64.51
66.40,67.85,68.00,66.19
67.89,68.02,68.50,67.17
67.26,68.18,68.41,66.78
70.14,72.68,73.19,69.90
72.60,72.69,73.17,72.25
72.39,70.31,72.59,70.00
70.77,71.01,71.14,69.12
72.27,73.15,73.99,71.30
73.33,71.42,73.80,70.53
71.12,71.31,71.98,70.06
69.55,68.95,70.56,68.51
67.36,67.30,68.32,66.44
67.12,65.35,68.11,61.00
64.59,62.86,65.64,62.21
65.52,66.83,67.00,65.52
66.03,66.84,67.89,65.96
67.31,66.65,67.65,65.61
67.07,66.94,68.32,65.98
66.54,64.88,66.68,64.02
65.22,64.15,65.39,62.50
65.11,63.74,66.15,63.45
63.45,62.59,64.41,61.64
60.92,59.22,61.16,58.93
57.79,60.50,60.67,57.55
60.13,57.60,60.54,57.55
56.05,58.46,58.59,55.66
59.33,58.75,60.34,58.65
60.58,60.02,61.08,58.60
59.48,56.15,59.81,55.46
54.45,51.75,54.45,51.67
53.72,56.31,56.42,53.35
57.33,56.63,57.53,54.45
55.70,55.74,57.95,55.17
55.87,54.23,56.60,54.11
54.43,55.56,55.71,53.85
56.35,55.47,57.94,55.21
57.79,59.17,59.35,57.35
58.44,59.48,59.71,58.22
60.40,58.66,60.91,58.51
59.71,60.87,61.06,59.15
59.79,60.81,61.65,59.79
61.36,61.36,61.59,60.56
61.14,60.53,61.24,59.46
61.64,60.33,61.89,59.81
