IEI,iShares 3-7 Year Treasury Bond ETF,NASDAQ
110.16,110.24,110.33,110.11
110.60,110.59,110.75,110.51
110.64,110.44,110.64,110.34
110.45,110.40,110.60,110.35
110.70,110.56,110.70,110.51
110.62,110.68,110.74,110.57
111.10,111.16,111.17,110.98
110.93,110.79,111.08,110.76
111.06,111.06,111.20,110.96
111.31,111.36,111.50,111.31
111.32,111.25,111.32,111.20
111.45,111.46,111.59,111.42
111.34,111.77,111.79,111.29
111.70,111.83,111.87,111.69
111.67,111.73,111.80,111.67
111.97,111.87,111.98,111.74
111.99,111.63,112.07,111.61
111.52,111.77,111.77,111.52
111.63,112.04,112.04,111.52
111.74,111.63,111.74,111.53
111.70,111.68,111.75,111.60
111.58,111.44,111.62,111.44
111.83,112.08,112.08,111.75
112.13,112.34,112.52,112.07
112.15,112.22,112.32,112.13
112.17,111.98,112.28,111.92
112.02,111.67,112.02,111.63
111.70,111.70,111.74,111.55
111.93,111.91,111.99,111.87
111.69,112.01,112.10,111.69
111.86,111.63,111.95,111.55
111.67,111.40,111.67,111.27
111.25,111.27,111.31,111.11
111.26,111.30,111.36,111.24
111.48,111.83,111.86,111.40
111.82,111.80,111.96,111.75
112.23,112.16,112.23,112.04
112.21,112.26,112.39,112.18
112.18,112.12,112.23,112.06
112.04,112.22,112.23,111.99
112.07,112.22,112.24,112.04
112.12,112.25,112.32,112.04
111.96,111.87,111.96,111.75
111.76,111.74,111.81,111.70
111.97,111.88,111.97,111.80
111.79,111.71,111.79,111.64
111.65,111.58,111.65,111.49
111.42,111.59,111.72,111.37
111.64,111.65,111.67,111.52
111.67,111.93,111.97,111.63
111.95,111.92,111.97,111.77
111.86,111.67,111.86,111.63
111.48,111.48,111.71,111.46
111.76,111.75,111.76,111.63
111.81,111.65,111.84,111.64
111.32,110.92,111.36,110.85
110.89,110.77,110.93,110.51
110.64,110.94,110.98,110.64
110.99,110.94,111.08,110.86
110.94,110.98,110.99,110.79
111.10,111.18,111.23,111.07
110.87,110.82,110.92,110.77
110.31,110.09,110.33,109.98
110.30,110.31,110.39,110.15
110.35,110.71,110.78,110.32
110.82,110.64,110.92,110.61
110.57,110.67,110.72,110.43
110.84,110.88,110.98,110.74
111.15,111.01,111.16,110.89
111.06,110.89,111.09,110.87
110.88,111.09,111.13,110.82
111.20,111.53,111.57,111.15
111.48,111.30,111.48,111.28
111.23,111.25,111.25,111.06
111.29,111.41,111.43,111.22
111.54,111.19,111.62,111.18
111.05,111.02,111.07,110.92
111.14,111.11,111.23,111.04
111.48,111.86,111.89,111.39
111.60,111.48,111.64,111.36
111.51,111.64,111.69,111.41
111.78,111.98,112.04,111.75
111.61,111.54,111.65,111.47
112.04,112.00,112.06,111.90
112.37,112.37,112.62,112.22
112.51,113.00,169.69,112.24
113.06,113.02,113.57,112.77
112.30,112.47,112.65,112.25
112.68,112.59,112.68,112.36
112.50,112.41,112.55,112.39
112.57,112.60,112.60,112.26
112.93,113.13,113.28,112.90
113.11,112.97,113.35,112.93
112.95,113.43,113.49,112.93
113.40,113.37,113.70,113.32
113.80,113.94,114.16,113.72
114.48,113.91,114.48,113.84
114.03,113.89,114.15,113.82
114.29,114.01,114.44,113.94
113.79,113.80,113.80,113.40
113.31,113.18,113.31,113.06
113.35,113.45,113.69,113.28
113.61,113.53,113.64,113.32
113.49,113.16,113.51,113.13
112.91,113.07,113.22,112.83
113.80,113.98,114.00,113.69
113.93,114.22,114.25,113.90
114.08,114.00,114.20,113.95
113.83,114.04,114.07,113.76
113.71,113.40,113.74,113.36
113.70,113.82,113.91,113.50
113.50,113.73,113.75,113.35
113.78,113.51,113.81,113.45
113.72,113.72,113.79,113.57
113.81,114.01,114.12,113.80
113.96,113.91,114.00,113.85
113.52,113.81,113.89,113.52
113.95,114.26,114.26,113.84
114.33,114.49,114.55,114.28
114.66,114.53,114.71,114.39
114.51,114.65,114.82,114.51
114.92,115.10,115.10,114.85
115.20,115.36,115.40,115.20
115.40,115.33,115.40,115.10
115.15,115.06,115.37,115.04
114.97,114.99,115.12,114.82
114.99,115.26,115.32,114.93
115.34,115.12,115.34,115.10
114.92,114.98,115.08,114.78
114.90,114.85,114.94,114.82
114.90,114.91,115.10,114.88
114.83,114.60,114.83,114.52
114.90,115.05,115.08,114.78
115.18,115.36,115.49,115.18
115.46,115.75,115.84,115.46
115.72,115.64,115.79,115.58
115.82,115.74,115.94,115.70
115.75,116.06,116.09,115.72
115.82,115.85,115.88,115.65
115.76,115.56,115.85,115.52
115.41,115.53,115.55,115.32
115.27,115.25,115.41,115.22
115.28,115.68,115.71,115.26
115.73,115.98,116.08,115.72
116.33,116.38,116.41,116.17
115.99,115.94,116.13,115.90
116.27,116.44,116.48,116.20
