ITIC,Investors Title Company - Common Stock,NASDAQ
31.00,34.17,34.99,31.00
33.10,33.07,33.90,32.40
32.74,32.52,33.72,32.52
32.44,32.00,33.30,32.00
32.10,32.30,32.30,32.10
31.63,32.91,32.91,31.63
32.19,33.00,33.56,32.19
32.35,33.43,34.20,32.35
33.20,33.51,33.92,32.60
33.68,33.46,34.30,33.46
33.27,33.60,33.88,33.27
34.41,33.66,34.41,33.42
33.64,33.51,34.33,33.45
33.50,34.19,34.46,33.50
33.80,34.21,34.53,33.52
33.82,34.45,34.70,33.70
34.43,34.20,34.63,33.74
34.70,35.01,35.01,34.41
34.20,34.41,35.10,34.07
34.05,34.11,34.40,33.41
34.24,35.20,35.68,34.24
34.70,34.31,34.70,34.31
34.49,34.49,34.49,34.49
33.59,34.18,34.18,33.57
33.77,34.41,34.41,33.77
33.78,34.55,34.91,33.78
35.15,35.15,35.15,35.15
34.45,35.07,35.28,34.39
34.38,35.41,35.41,34.38
34.20,35.10,35.15,34.20
34.21,34.90,34.90,34.20
34.10,35.40,35.40,33.52
34.21,34.69,35.09,34.19
34.36,35.04,35.04,34.25
34.49,34.11,34.69,33.70
34.30,33.84,34.30,33.84
34.20,34.20,34.20,34.20
34.39,34.52,35.06,34.30
34.46,34.50,34.50,34.46
34.50,34.50,34.50,33.28
34.20,34.17,34.23,33.30
33.80,34.66,35.18,33.22
34.00,34.14,35.00,33.99
34.21,34.62,34.92,34.18
33.55,34.60,35.00,33.55
34.99,34.50,35.24,34.30
34.56,35.00,35.00,34.56
34.99,35.00,35.00,34.42
34.51,34.76,34.76,34.51
35.15,36.22,36.57,35.15
36.57,36.57,36.57,36.57
35.54,35.54,35.54,35.54
36.50,36.00,36.50,34.53
35.52,37.54,37.54,35.52
35.51,35.65,37.67,35.50
36.10,36.38,36.64,36.00
35.65,34.10,35.65,34.10
34.09,34.09,34.09,34.09
35.46,33.36,35.49,33.36
36.94,35.60,36.94,34.95
33.80,33.99,34.25,33.50
33.67,33.68,34.20,33.67
34.01,34.01,34.01,34.01
34.15,33.67,34.15,33.65
33.65,33.97,34.04,33.65
33.95,33.08,33.95,32.60
32.53,33.45,33.45,32.53
32.78,33.25,33.25,32.65
32.89,33.49,33.49,32.89
33.49,33.51,34.81,33.49
33.50,34.40,34.40,33.13
36.47,34.30,36.50,34.30
33.90,34.98,34.98,33.90
34.20,34.90,34.90,34.20
34.08,35.04,35.30,34.08
35.04,35.04,35.04,35.04
35.87,34.79,35.87,33.54
35.06,35.17,35.17,35.06
33.53,33.95,33.95,33.53
33.45,33.28,33.45,33.28
34.01,33.50,34.01,33.50
32.92,32.89,32.97,32.78
33.28,33.61,35.87,33.00
33.51,33.60,33.73,33.50
33.04,33.04,33.04,33.04
32.76,34.19,34.19,32.50
33.03,32.98,34.23,32.81
33.53,33.25,33.53,33.25
33.03,33.00,33.03,33.00
32.83,32.76,32.83,32.76
32.80,32.85,32.85,32.80
34.67,33.76,35.53,32.81
32.81,33.07,33.07,32.81
33.06,33.31,33.35,33.06
32.88,32.88,32.88,32.88
32.90,33.00,33.00,32.00
31.70,31.70,31.70,31.70
31.91,32.10,32.10,31.89
32.56,32.10,32.56,31.25
32.10,32.10,32.10,32.10
32.10,32.10,32.10,32.10
31.35,34.36,34.36,31.35
34.36,34.36,34.36,34.36
34.36,34.36,34.36,34.36
31.55,31.25,31.55,31.25
34.35,33.69,34.35,32.78
33.69,33.69,33.69,33.69
33.00,32.95,33.55,31.61
32.95,32.95,32.95,32.95
31.88,31.73,31.88,31.72
32.97,31.99,32.97,31.42
32.88,31.54,32.96,31.54
