MEIP,MEI Pharma,NASDAQ
0.75,0.69,0.75,0.69
0.70,0.69,0.70,0.69
0.69,0.70,0.72,0.68
0.70,0.71,0.72,0.70
0.71,0.77,0.90,0.71
0.82,0.80,0.82,0.76
0.77,0.76,0.79,0.74
0.76,0.76,0.77,0.73
0.78,0.76,0.80,0.74
0.76,0.72,0.76,0.66
0.74,0.74,0.77,0.73
0.74,0.72,0.79,0.72
0.79,0.73,0.79,0.72
0.70,0.67,0.75,0.65
0.70,0.70,0.71,0.69
0.70,0.70,0.70,0.68
0.67,0.67,0.67,0.67
0.70,0.65,0.70,0.65
0.65,0.65,0.70,0.65
0.62,0.63,0.68,0.60
0.63,0.66,0.66,0.62
0.62,0.62,0.63,0.61
0.61,0.61,0.61,0.60
0.61,0.58,0.61,0.57
0.58,0.58,0.59,0.57
0.59,0.56,0.59,0.51
0.55,0.54,0.59,0.51
0.55,0.57,0.57,0.53
0.55,0.58,0.58,0.55
0.58,0.59,0.60,0.53
0.54,0.58,0.58,0.54
0.58,0.58,0.59,0.57
0.55,0.56,0.58,0.54
0.54,0.53,0.55,0.50
0.51,0.55,0.55,0.51
0.55,0.55,0.55,0.55
0.56,0.56,0.56,0.54
0.56,0.60,0.60,0.56
0.60,0.54,0.60,0.54
0.55,0.55,0.55,0.55
0.57,0.57,0.59,0.56
0.57,0.57,0.57,0.57
0.58,0.54,0.58,0.51
0.55,0.55,0.59,0.55
0.57,0.57,0.57,0.56
0.59,0.56,0.59,0.56
0.54,0.55,0.55,0.54
0.54,0.51,0.54,0.51
0.51,0.51,0.51,0.51
0.55,0.49,0.55,0.49
0.49,0.47,0.50,0.47
0.50,0.52,0.55,0.50
0.53,0.53,0.55,0.53
0.53,0.48,0.53,0.46
0.46,0.53,0.55,0.46
0.54,0.53,0.55,0.47
0.53,0.51,0.53,0.50
0.51,0.51,0.53,0.50
0.49,0.54,0.57,0.49
0.54,0.55,0.55,0.51
4.81,5.05,6.45,4.81
4.59,5.10,5.15,4.59
5.10,5.15,5.20,5.10
5.11,5.27,5.49,4.90
4.91,5.01,5.01,4.91
4.90,5.10,5.44,4.90
5.00,4.95,5.15,4.95
4.75,4.75,4.90,4.75
4.70,4.38,4.70,4.31
4.37,4.70,4.72,4.26
4.59,4.80,4.80,4.59
4.80,4.91,5.08,4.80
5.00,4.89,5.09,4.85
4.88,4.88,4.88,4.88
5.08,5.08,5.08,4.89
