AMTX,Aemetis,NASDAQ
N/A,N/A,N/A,N/A
1.90,2.50,2.50,1.90
2.50,2.30,2.50,2.25
2.25,2.30,2.30,2.00
2.30,2.60,2.60,2.30
2.75,2.70,2.75,2.70
2.70,2.60,2.70,2.20
2.30,2.30,2.30,2.30
2.70,2.30,2.70,2.30
2.60,2.60,2.70,2.50
2.60,2.60,2.70,2.30
2.60,2.60,2.60,2.60
2.70,2.50,2.70,2.50
2.70,2.70,2.70,2.50
2.68,2.68,2.70,2.68
2.68,2.70,2.70,2.68
2.70,2.10,2.70,2.00
2.60,2.60,2.60,2.60
2.50,2.70,2.70,2.50
2.70,3.20,3.20,2.70
3.30,2.95,3.30,2.95
2.90,2.90,2.90,2.50
2.60,3.00,3.00,2.60
3.29,3.20,3.29,3.20
3.20,3.20,3.20,3.00
3.00,2.70,3.00,2.50
2.50,2.40,2.80,2.40
2.50,2.60,2.60,2.50
2.60,2.60,2.60,2.60
2.60,2.70,2.70,2.60
2.70,2.50,2.80,2.30
2.50,2.10,2.50,2.10
2.40,2.10,2.40,2.10
2.45,2.50,2.60,2.30
2.50,2.50,2.60,2.30
2.20,2.60,2.60,2.20
2.60,2.50,2.60,2.20
2.50,2.50,2.50,2.50
2.25,2.20,2.25,2.20
2.25,2.20,2.25,2.20
2.25,2.20,2.25,2.20
2.25,2.10,2.25,2.00
2.00,2.20,2.20,1.80
2.20,2.20,2.20,1.90
2.20,1.90,2.20,1.90
1.90,2.00,2.10,1.90
2.10,2.10,2.10,2.10
2.00,2.20,2.20,2.00
2.20,2.30,2.30,2.20
2.30,2.10,2.30,2.10
N/A,N/A,N/A,N/A
2.10,2.20,2.20,2.10
2.20,2.20,2.20,2.20
2.20,1.96,2.20,1.95
2.00,2.00,2.00,1.75
N/A,N/A,N/A,N/A
2.00,1.99,2.00,1.90
1.90,1.90,1.90,1.90
1.90,2.00,2.00,1.80
1.90,1.90,1.90,1.90
1.80,1.90,1.90,1.80
N/A,N/A,N/A,N/A
1.80,1.70,1.90,1.50
1.70,1.60,1.80,1.50
1.60,1.60,1.60,1.50
1.60,1.40,1.60,1.40
1.50,1.50,1.60,1.40
1.60,2.00,2.00,1.54
1.90,2.00,2.00,1.90
2.00,2.00,2.00,2.00
2.00,2.00,2.10,2.00
2.00,2.20,2.20,2.00
2.20,2.00,2.30,2.00
1.80,2.00,2.00,1.80
2.00,2.00,2.00,2.00
2.00,2.00,2.00,1.90
N/A,N/A,N/A,N/A
1.50,2.00,2.00,1.50
1.60,1.60,1.60,1.60
1.80,1.70,1.80,1.60
2.00,1.60,2.00,1.60
1.60,1.60,1.60,1.40
1.50,1.70,2.00,1.50
1.60,2.00,2.00,1.50
2.00,2.00,2.00,1.95
1.70,1.70,1.70,1.70
1.80,1.90,1.90,1.50
1.50,1.55,1.70,1.50
1.50,1.70,1.70,1.50
N/A,N/A,N/A,N/A
1.70,1.70,1.70,1.70
1.70,1.70,2.00,1.50
1.50,1.70,1.70,1.50
1.50,1.70,1.70,1.50
1.50,1.70,1.70,1.50
1.50,1.70,1.70,1.50
N/A,N/A,N/A,N/A
1.50,1.70,1.80,1.50
1.70,1.52,1.75,1.52
1.50,1.50,1.50,1.50
1.65,1.50,1.65,1.50
1.50,1.50,1.50,1.50
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
N/A,N/A,N/A,N/A
1.40,1.70,1.70,1.40
1.70,1.40,1.70,1.40
1.10,1.40,1.70,1.10
1.15,1.10,1.30,0.50
1.15,1.20,1.20,1.12
N/A,N/A,N/A,N/A
1.20,1.10,1.20,1.10
1.10,1.25,1.25,1.10
1.10,1.10,1.10,1.10
1.20,1.25,1.25,1.20
N/A,N/A,N/A,N/A
