VMW,Vmware,NASDAQ
43.15,43.57,43.80,43.00
43.72,45.25,45.50,43.19
45.33,45.67,46.46,45.06
45.24,45.14,45.81,44.42
45.20,45.25,45.37,44.51
45.47,44.83,45.67,44.27
44.29,44.63,44.96,43.55
44.81,45.44,45.80,43.78
45.26,47.45,47.60,45.05
47.24,45.92,47.50,45.46
45.90,46.69,47.16,45.77
46.06,44.98,46.20,44.53
45.18,43.94,45.69,43.25
43.69,41.58,43.69,41.09
42.00,42.00,42.49,41.30
48.84,47.29,48.95,46.70
46.88,46.66,47.25,45.30
46.82,46.31,46.89,45.31
46.80,45.41,46.84,45.00
44.94,45.58,45.75,44.30
45.71,45.64,46.07,44.96
45.62,46.29,46.45,45.03
45.79,44.01,45.90,44.01
44.07,44.40,44.43,42.76
44.66,44.25,45.25,43.93
44.85,45.67,45.94,44.80
45.77,45.43,45.89,44.69
45.47,46.45,46.52,45.01
46.16,46.54,46.58,45.47
46.82,47.11,47.12,46.51
47.26,47.40,47.95,46.85
47.39,48.26,48.50,47.04
48.27,48.50,48.74,48.04
48.64,48.37,48.91,48.24
47.96,48.16,48.86,47.50
48.18,48.80,49.24,48.05
47.81,49.08,49.21,47.50
48.97,49.51,49.73,48.37
49.63,50.27,50.32,49.28
50.18,50.97,52.15,50.10
50.91,50.75,51.57,50.41
50.85,51.77,52.03,50.37
52.33,53.94,54.15,51.72
53.89,54.23,54.68,53.50
54.13,53.89,54.75,53.58
53.86,54.28,54.60,53.75
54.27,54.03,54.45,53.33
54.60,53.68,54.60,53.30
53.36,53.73,54.02,52.76
54.00,54.03,54.11,53.50
54.05,53.47,54.32,53.30
53.49,52.85,53.93,52.72
52.98,52.98,53.32,52.13
52.78,53.78,54.07,52.13
53.88,54.35,54.55,52.73
54.18,54.30,54.67,53.79
54.60,54.49,54.99,54.26
54.68,53.53,54.68,53.31
53.95,53.21,53.95,52.51
53.31,52.98,53.63,51.93
52.86,53.30,53.48,52.14
53.58,52.47,54.07,51.66
52.53,53.91,54.00,52.35
53.96,54.60,54.90,53.44
54.32,53.78,54.63,53.45
53.43,53.87,54.24,52.80
54.08,54.71,54.81,53.70
55.30,57.25,58.39,55.26
57.12,56.64,57.25,56.50
57.52,56.65,57.58,56.15
56.53,56.43,56.92,56.10
56.62,56.39,57.84,56.11
56.17,55.56,56.73,54.69
55.95,56.52,57.31,55.16
58.09,61.66,62.00,57.05
60.59,61.48,61.75,59.55
61.28,62.64,62.90,60.78
62.93,63.55,63.81,62.67
63.08,61.77,63.35,61.34
62.16,62.50,62.53,60.26
63.06,62.50,63.25,62.18
62.74,61.64,62.98,61.59
62.06,62.69,63.19,61.37
62.09,60.56,62.09,59.70
59.52,60.75,61.44,58.32
60.50,58.65,61.50,51.23
57.83,56.44,58.62,53.96
59.66,60.64,61.19,59.66
59.83,60.87,62.62,59.50
61.40,62.84,62.92,61.19
62.61,62.19,64.59,61.78
61.16,60.20,61.38,58.93
60.11,60.25,61.08,58.60
60.77,59.78,61.95,59.15
59.28,58.82,60.24,57.80
57.90,57.86,59.44,57.23
55.95,60.34,60.41,55.95
60.20,61.75,62.94,60.20
59.18,61.27,61.37,58.79
63.01,64.48,65.95,62.45
65.73,66.60,66.60,64.79
66.34,66.21,67.17,65.52
65.00,65.23,66.94,64.51
65.27,66.16,66.21,64.00
66.86,70.71,71.14,66.51
69.16,68.29,71.38,67.71
68.45,67.55,70.29,67.20
67.95,66.82,68.39,65.43
67.44,66.56,69.16,66.17
67.97,68.91,68.95,67.01
67.93,69.80,69.90,67.53
70.61,69.90,71.00,69.33
71.00,71.68,72.42,70.58
71.61,71.35,72.00,70.53
71.47,72.52,73.00,71.13
72.39,71.93,73.00,71.62
72.95,70.87,73.10,70.34
70.40,69.00,71.10,68.79
69.35,69.56,70.24,67.89
69.35,67.60,69.55,67.35
66.65,68.03,68.31,66.11
67.57,67.47,68.48,66.63
65.96,64.60,66.38,64.02
64.15,62.59,64.64,62.27
62.76,63.68,63.88,61.17
63.79,63.28,64.21,62.53
64.54,64.81,66.29,64.01
65.49,69.69,70.00,65.49
70.05,69.97,70.95,68.32
69.86,69.99,70.70,69.47
70.01,70.74,71.43,69.80
71.50,71.38,71.93,70.73
72.02,74.09,74.86,71.95
74.42,74.45,74.56,72.73
74.03,72.11,74.09,71.87
72.30,73.35,73.91,71.65
71.68,72.42,72.58,69.87
74.76,73.16,75.00,72.05
73.92,75.66,76.10,73.44
75.54,78.55,78.61,75.06
78.50,77.87,79.00,77.61
78.08,78.49,79.94,77.40
78.30,76.54,78.99,76.23
77.46,76.66,77.83,75.46
75.67,77.53,78.09,74.64
