HMNY,Helios and Matheson Analytics Inc - Common Stock,NASDAQ
1.40,0.74,1.40,0.74
0.74,0.74,0.74,0.74
0.79,1.09,1.09,0.79
1.09,0.86,1.09,0.71
0.80,0.93,0.94,0.80
0.75,0.92,1.20,0.75
0.92,0.92,0.92,0.92
0.88,0.93,0.93,0.88
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.77,0.77,0.77,0.76
0.77,0.57,0.84,0.57
0.70,0.65,0.70,0.65
0.65,0.65,0.65,0.65
0.61,0.65,0.66,0.61
0.65,0.65,0.65,0.65
0.61,0.66,0.66,0.61
0.66,0.66,0.66,0.66
0.65,0.65,0.65,0.64
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65
0.62,0.76,0.76,0.61
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.74,0.75,0.75,0.74
0.76,0.76,0.76,0.76
0.76,0.80,0.80,0.76
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.71,0.70,0.80,0.70
0.69,0.76,0.76,0.69
1.38,1.30,1.38,0.85
1.13,1.10,1.40,0.96
1.08,1.05,1.08,1.02
1.04,1.08,1.08,1.03
1.15,1.03,1.15,1.03
1.04,1.04,1.04,1.04
0.73,2.48,4.05,0.73
2.40,2.07,2.95,2.00
2.03,1.65,2.07,1.53
1.36,1.65,1.92,1.36
1.63,1.81,1.84,1.57
1.70,1.60,1.81,1.47
1.61,1.34,1.61,1.33
1.52,1.47,1.60,1.30
1.38,1.35,1.46,1.35
1.44,1.39,1.44,1.31
1.38,1.23,1.39,1.12
1.29,1.22,1.35,1.12
1.14,1.14,1.28,1.13
1.15,1.26,1.39,1.15
1.30,1.31,1.60,1.30
1.34,1.34,1.40,1.28
1.31,1.30,1.31,1.28
1.30,1.28,1.39,1.28
1.44,1.32,1.44,1.28
1.42,1.30,1.42,1.22
1.34,1.30,1.34,1.24
1.42,1.37,1.42,1.22
1.37,1.37,1.37,1.37
1.31,1.25,1.31,1.25
1.29,1.31,1.32,1.29
1.28,1.28,1.29,1.24
1.24,1.24,1.24,1.24
1.21,1.22,1.29,1.21
1.23,1.20,1.24,1.16
1.20,1.20,1.20,1.16
1.20,1.22,1.22,1.16
1.16,1.16,1.16,1.16
1.21,1.22,1.22,1.15
1.22,1.15,1.22,1.15
1.14,1.10,1.14,1.07
1.00,0.92,1.02,0.82
0.86,0.85,0.94,0.84
0.86,0.90,0.90,0.86
0.91,0.91,0.91,0.91
0.92,1.15,1.25,0.92
1.15,1.11,1.15,1.10
1.03,1.25,1.25,1.02
1.21,1.14,1.21,1.05
0.97,1.01,1.05,0.96
1.00,0.97,1.00,0.97
0.92,0.91,0.92,0.85
0.85,0.91,0.91,0.85
1.25,0.97,1.25,0.95
0.96,0.97,0.97,0.95
0.97,0.97,0.97,0.97
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.06,1.06,1.06,1.00
1.06,1.06,1.06,1.06
1.10,1.19,1.20,1.10
1.19,1.19,1.19,1.19
1.19,1.19,1.19,1.19
1.02,1.02,1.02,1.02
1.02,1.02,1.02,1.02
0.84,0.90,0.90,0.84
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.93,0.90,0.93,0.90
0.90,0.75,0.90,0.75
0.75,0.75,0.75,0.75
0.82,0.82,0.82,0.75
0.80,0.80,0.80,0.80
0.85,0.85,0.85,0.85
0.81,0.96,1.00,0.73
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.88,0.79,0.88,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.83,0.83,0.83,0.83
0.83,0.83,0.83,0.83
0.71,0.93,0.93,0.71
0.65,0.89,0.89,0.65
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76
0.89,0.89,0.89,0.89
0.90,0.90,0.90,0.90
0.76,0.74,0.76,0.73
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.81,0.85,0.85,0.81
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.74,0.87,0.87,0.74
0.87,0.87,0.87,0.87
0.87,0.87,0.87,0.87
0.76,0.74,0.76,0.74
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.70,0.70,0.70,0.69
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.70,0.80,0.80,0.65
0.80,0.80,0.80,0.80
