SSYS,Stratasys,NASDAQ
17.51,18.11,18.12,17.35
18.22,18.04,18.22,17.70
17.97,18.10,18.10,17.87
18.12,18.11,18.12,17.65
18.13,18.16,18.37,18.05
18.23,18.27,18.45,18.09
18.21,18.26,18.37,18.02
18.29,18.66,18.89,18.16
18.64,18.57,18.76,18.42
18.66,18.63,18.80,18.23
21.25,26.78,26.87,21.25
26.51,26.94,27.98,25.82
27.00,24.63,27.12,24.59
24.74,24.37,24.75,24.24
24.50,24.09,24.64,23.85
24.00,23.71,24.24,23.69
23.59,23.82,23.99,23.40
23.93,23.63,24.14,23.50
23.77,23.00,23.77,23.00
23.02,22.79,23.21,22.65
22.87,22.87,23.25,22.70
22.94,23.39,23.82,22.88
23.35,23.11,23.64,22.94
23.09,23.23,23.46,22.52
23.16,22.71,23.50,22.70
22.99,23.49,23.52,22.54
23.34,24.23,24.25,22.97
24.18,24.88,24.95,23.77
24.66,25.65,25.65,24.58
25.69,25.84,26.18,25.50
26.42,29.00,29.10,26.29
29.04,29.05,29.30,27.56
28.93,28.76,30.11,28.41
28.75,28.48,29.17,28.43
28.59,27.26,28.59,27.07
27.25,27.25,27.70,27.08
26.98,26.51,27.03,26.16
26.61,26.37,26.74,26.10
26.63,27.50,27.66,26.32
27.49,27.07,27.50,26.97
27.19,26.77,27.42,26.57
26.76,26.82,26.95,26.58
27.02,27.29,27.40,26.58
27.20,27.35,27.67,27.04
27.32,27.70,27.72,27.07
27.59,28.42,28.44,27.55
28.23,28.44,28.95,28.00
28.68,28.51,28.70,28.13
28.55,27.88,28.65,27.73
28.07,27.33,28.07,27.10
27.29,27.69,28.00,27.18
27.56,27.54,27.83,27.29
27.71,25.84,27.71,25.84
25.66,26.90,27.17,25.23
26.83,26.87,27.13,26.74
26.82,26.75,27.52,26.63
26.97,26.42,27.37,26.37
26.49,25.98,27.03,25.92
25.91,24.83,25.95,24.69
24.90,24.97,25.06,24.15
24.97,24.43,25.49,24.37
24.50,24.08,25.06,23.88
24.09,25.51,25.61,24.09
25.42,25.91,26.17,25.31
25.96,24.79,26.03,24.67
24.75,24.95,25.25,24.39
24.92,25.00,25.42,24.67
24.95,24.75,25.34,24.67
24.82,25.45,25.45,24.82
25.66,26.45,26.45,25.35
26.50,27.10,27.16,26.15
27.08,26.80,27.08,26.08
26.61,26.51,26.76,25.32
26.67,26.00,26.70,25.86
25.92,26.13,26.14,25.73
25.76,26.69,26.70,25.34
26.61,26.74,26.99,26.04
26.69,27.01,27.40,26.58
26.96,25.86,27.06,25.76
26.10,25.67,27.20,25.50
25.70,24.76,25.70,24.28
24.84,23.84,25.00,23.83
24.02,25.02,25.23,24.00
24.55,24.01,24.58,23.61
23.80,23.60,23.93,23.16
23.45,23.15,24.18,22.25
23.12,22.70,23.76,21.79
23.67,24.28,24.32,23.23
23.94,24.76,25.25,23.71
24.84,25.05,25.22,24.21
25.05,25.33,25.50,24.87
25.09,24.34,25.09,23.10
24.57,24.15,24.57,23.09
24.57,24.59,25.32,24.41
24.45,24.47,24.75,23.65
23.81,23.11,24.29,22.72
22.72,23.94,24.36,22.30
23.99,23.04,24.49,22.98
22.43,23.45,23.48,22.04
23.58,23.13,24.31,23.02
23.72,23.47,24.09,22.98
23.46,23.26,24.00,23.23
23.06,22.68,23.50,22.68
22.71,23.35,23.92,22.71
23.50,23.92,24.36,23.45
23.22,23.10,23.88,22.80
23.16,22.20,23.18,22.16
22.25,22.27,23.63,22.00
22.53,22.65,23.16,21.86
23.13,23.86,23.96,22.59
23.53,24.79,24.83,23.53
25.13,24.90,25.46,24.65
25.20,25.45,25.62,24.76
25.22,26.09,26.66,24.95
26.16,25.80,26.60,25.58
25.75,26.09,26.12,25.41
26.57,25.28,26.61,25.12
25.34,24.77,26.03,24.66
24.68,24.69,24.90,24.03
24.44,24.03,24.62,23.70
24.15,25.16,25.31,23.85
25.08,25.95,26.11,25.01
25.59,24.26,25.80,23.95
24.32,24.56,24.79,24.06
24.48,24.60,24.92,23.80
24.88,23.68,24.94,23.51
24.05,22.52,24.13,22.42
22.69,23.08,23.13,22.43
23.41,23.54,23.58,22.51
23.53,24.16,24.20,23.47
24.11,23.43,24.26,23.40
23.80,23.82,24.08,23.41
23.80,23.93,24.45,23.56
23.89,23.52,23.89,23.21
23.28,22.63,23.55,22.58
23.11,23.65,24.00,22.84
23.25,23.67,23.72,22.77
23.79,23.30,24.18,23.20
23.62,24.02,24.16,23.62
23.83,24.64,24.86,23.83
24.81,25.27,25.41,24.48
25.38,25.20,25.43,24.59
22.44,22.88,24.27,22.10
23.00,22.63,23.01,21.81
22.14,22.71,22.79,22.00
23.20,22.75,23.20,22.34
22.59,23.01,23.21,22.43
23.19,23.41,23.43,22.76
23.25,22.79,23.62,22.75
22.41,23.05,23.19,22.11
23.16,22.97,23.16,22.78
22.72,22.55,22.92,22.48
22.10,21.59,22.50,21.43
21.26,21.58,21.73,20.89
21.55,21.09,21.80,21.04
20.91,21.48,21.53,20.81
21.71,21.77,22.50,21.62
21.80,21.70,22.01,21.56
21.56,21.14,21.64,21.13
