WHR,Whirlpool Corporation Common Stock,NASDAQ
81.38,81.95,82.23,80.50
81.92,81.78,81.95,80.56
81.73,81.06,82.44,80.87
81.73,82.80,83.49,81.06
82.43,84.56,84.73,82.43
84.82,84.02,85.17,83.88
83.24,82.35,83.24,81.55
83.07,83.07,83.36,82.03
82.81,83.17,84.00,82.75
83.14,82.30,83.85,81.95
82.00,82.64,82.69,81.34
82.25,81.36,82.25,80.02
81.25,78.83,81.59,78.10
78.17,77.57,78.96,75.94
79.34,76.72,79.39,76.03
76.35,76.10,77.45,75.35
75.79,75.88,76.37,74.54
76.05,75.68,76.88,74.75
76.12,75.18,76.98,74.87
75.63,76.06,76.32,75.33
78.86,82.23,83.27,78.85
81.26,82.08,82.57,80.58
80.93,78.63,81.06,78.38
78.45,76.12,79.10,73.30
76.19,75.61,77.38,74.25
76.80,77.88,78.23,75.18
77.95,77.64,78.71,76.38
77.93,80.34,80.48,77.39
79.03,81.17,81.25,79.03
80.37,82.31,82.39,79.69
82.20,83.06,83.21,82.03
82.89,84.56,84.85,82.03
83.93,84.67,85.14,83.93
84.90,84.52,85.12,84.13
84.01,82.92,84.53,82.41
83.02,83.55,83.65,81.85
82.09,83.61,83.79,82.06
83.54,84.16,84.44,82.99
84.50,85.89,85.92,83.67
86.35,86.38,86.94,85.91
86.49,86.69,87.52,86.09
86.81,85.50,86.96,85.31
86.19,86.67,86.99,85.80
86.84,86.87,87.22,86.26
86.77,87.25,88.08,86.54
87.07,86.94,87.76,86.49
86.87,86.53,86.87,85.76
86.73,86.00,86.89,85.58
85.69,86.29,87.76,84.96
86.36,88.07,88.23,85.94
88.37,88.61,89.16,88.05
88.62,88.90,89.40,88.62
86.28,86.28,88.90,85.98
85.93,88.45,88.77,85.50
88.83,89.83,89.95,88.34
89.58,89.14,89.88,88.72
90.05,89.13,91.11,89.06
89.61,90.01,90.84,89.00
90.24,90.08,90.64,89.51
90.03,89.00,90.30,88.57
88.45,87.25,88.86,86.92
88.08,87.77,88.99,86.86
88.14,90.74,90.99,88.14
90.57,91.48,91.62,89.74
91.20,89.11,91.60,88.80
88.68,92.06,92.31,88.66
92.13,93.31,93.54,91.12
93.47,94.44,94.91,93.04
93.98,92.13,94.25,91.68
92.65,92.86,93.02,91.58
92.23,93.22,94.71,92.08
94.61,93.41,94.74,91.60
92.81,93.60,94.31,91.69
94.34,96.09,96.91,94.34
96.05,98.77,98.95,95.88
97.91,101.12,101.53,97.77
100.09,102.22,102.42,99.20
114.57,112.42,118.44,112.28
111.75,107.73,113.33,107.51
106.02,110.68,111.25,104.82
111.09,110.76,111.63,109.49
110.81,108.87,111.44,108.85
110.28,111.71,112.38,109.31
110.84,109.14,110.95,108.38
107.98,104.21,108.00,102.45
103.81,102.90,105.66,95.39
103.43,98.14,104.11,97.56
101.75,106.64,106.69,101.74
104.38,105.24,107.88,104.09
106.04,111.41,111.78,105.75
111.21,108.73,111.84,108.08
107.35,106.69,107.83,104.82
106.89,108.12,108.57,103.86
109.15,104.47,111.00,103.94
103.51,99.62,104.00,97.66
96.28,93.15,97.49,92.64
92.08,99.04,99.29,90.79
97.68,97.36,100.19,97.26
95.26,99.04,99.15,94.11
100.49,99.00,103.36,98.34
100.27,104.66,105.90,100.27
104.54,104.44,106.83,103.50
102.42,98.98,104.76,98.80
99.92,103.54,103.56,99.04
103.54,101.29,103.87,100.20
98.93,95.65,100.16,94.95
96.35,92.35,96.42,92.24
93.10,94.10,95.07,90.21
94.76,94.96,98.35,94.28
97.25,99.77,100.09,96.72
98.27,98.24,100.18,96.19
100.17,98.23,100.73,97.81
99.12,102.48,102.70,98.28
101.93,102.80,103.78,99.88
