BCLI,Brainstorm Cell Therapeutics Inc. - Common Stock,NASDAQ
3.75,3.90,3.90,3.75
3.90,3.60,3.90,3.08
3.60,3.87,3.87,3.15
3.30,3.90,3.90,3.30
3.75,3.60,3.75,3.46
3.45,3.75,3.75,3.45
3.75,3.75,3.82,3.52
3.75,3.75,3.75,3.52
3.75,3.82,3.82,3.75
nan,3.82,nan,nan
3.75,3.82,3.90,3.46
3.75,3.60,3.75,3.50
3.68,3.45,3.68,3.45
3.68,3.68,3.68,3.45
3.75,3.75,3.75,3.45
3.75,3.75,3.75,3.68
3.75,3.75,3.75,3.68
3.75,3.75,3.75,3.60
3.68,3.75,3.75,3.60
3.75,4.35,4.35,3.75
4.20,4.05,4.42,4.05
4.35,4.35,4.35,4.28
4.35,4.42,4.42,4.28
4.42,4.20,4.42,4.20
4.20,4.35,4.50,4.20
5.25,4.88,5.25,4.50
5.10,4.80,5.10,4.65
4.80,4.95,5.10,4.65
nan,5.40,nan,nan
5.40,5.25,5.48,5.10
5.55,5.62,5.85,5.25
5.40,5.48,5.48,5.25
5.92,6.30,6.68,5.55
6.75,6.30,7.05,5.18
6.60,6.30,6.68,6.00
6.30,5.97,6.60,5.72
6.00,5.10,6.00,4.95
4.95,4.95,4.98,4.65
5.10,4.95,5.10,4.65
4.95,4.95,4.95,4.80
5.25,5.40,5.62,4.95
5.55,5.32,5.55,5.10
5.32,5.32,5.32,5.25
5.32,4.95,5.40,4.65
4.94,4.80,4.94,4.50
4.65,4.35,4.65,4.35
4.20,4.50,4.50,4.20
4.50,4.50,4.65,4.35
4.50,4.80,5.18,4.50
5.25,5.10,5.25,4.80
4.80,5.10,5.10,4.80
4.95,4.80,5.10,4.65
5.10,4.95,5.25,4.65
5.10,5.10,5.18,4.95
4.80,5.07,5.10,4.80
5.07,5.10,5.18,4.80
5.18,4.95,5.18,4.65
4.80,4.80,5.02,4.65
4.95,4.80,4.95,4.65
4.80,4.80,4.80,4.80
4.80,5.02,5.10,4.65
N/A,N/A,N/A,N/A
4.65,4.66,4.80,4.65
4.80,4.80,4.80,4.80
4.80,4.65,4.80,4.65
4.65,4.65,4.80,4.65
4.78,4.65,4.78,4.35
4.78,4.65,4.78,4.35
4.80,4.42,4.80,4.35
4.56,4.58,4.58,4.35
4.65,4.42,4.65,4.35
4.42,4.41,4.50,4.41
4.58,4.42,4.58,4.35
4.47,4.48,4.48,4.35
4.35,4.35,4.48,4.22
4.28,4.32,4.35,4.20
4.35,4.35,4.35,4.22
4.35,4.48,4.48,4.22
4.35,4.28,4.35,4.22
4.50,4.06,4.50,4.05
4.12,4.28,4.35,4.06
4.28,4.05,4.28,4.05
4.05,4.56,4.56,4.05
4.50,4.20,4.65,4.20
4.35,4.20,4.35,4.20
4.20,4.20,4.35,3.90
3.90,4.05,4.05,3.90
4.18,4.35,4.35,3.90
4.35,4.35,4.35,4.05
4.05,4.50,4.50,4.05
4.65,4.50,4.80,4.36
4.50,4.50,4.65,4.36
4.50,4.35,4.50,4.20
4.35,4.20,4.35,4.20
3.98,3.96,4.20,3.90
3.92,4.20,4.20,3.90
3.90,4.18,4.18,3.90
3.45,3.75,4.17,3.30
3.75,3.75,3.75,3.60
3.60,3.90,3.90,3.60
3.60,3.90,3.90,3.60
nan,3.90,nan,nan
3.60,3.90,3.90,3.60
3.75,3.90,3.90,3.60
4.05,4.05,4.05,3.90
4.05,4.05,4.05,3.60
4.05,3.75,4.05,3.30
3.90,3.38,3.90,3.30
3.60,3.45,3.60,3.45
3.45,3.39,3.45,3.38
3.39,3.45,3.45,3.30
2.85,3.45,3.58,2.85
3.45,3.45,3.45,3.08
3.30,3.22,3.45,3.15
3.22,3.28,3.30,3.15
3.30,3.15,3.30,3.08
3.30,3.36,3.38,3.30
3.30,3.30,3.36,3.30
3.15,3.27,3.27,3.15
3.27,3.15,3.30,3.15
3.08,3.15,3.15,3.08
3.00,3.15,3.30,3.00
3.00,3.00,3.00,3.00
2.85,3.00,3.00,2.85
2.85,3.00,3.15,2.85
nan,2.85,nan,nan
2.85,3.00,3.00,2.70
2.78,3.27,3.27,2.78
3.00,3.30,3.30,2.85
2.70,3.30,3.30,2.70
2.85,3.28,3.38,2.85
3.00,3.15,3.15,3.00
3.30,3.00,3.30,2.92
2.97,2.98,2.98,2.85
2.85,2.85,2.98,2.85
2.70,2.86,3.00,2.70
3.00,2.85,3.00,2.70
2.85,2.85,2.85,2.78
2.85,2.85,2.85,2.85
2.85,3.00,3.00,2.40
3.15,3.00,3.15,2.70
3.00,3.15,3.15,3.00
3.15,3.82,3.90,3.15
3.75,3.75,3.90,3.32
3.45,3.60,3.68,3.45
3.60,3.45,3.60,3.45
3.30,3.30,3.30,3.00
3.22,3.00,3.22,3.00
3.00,2.85,3.00,2.85
3.00,2.85,3.00,2.85
3.00,3.00,3.00,2.85
3.00,3.45,3.45,2.91
3.00,2.70,3.00,2.55
3.00,3.00,3.30,2.70
3.00,3.00,3.22,3.00
3.08,3.00,3.24,3.00
3.00,3.27,3.27,2.85
3.00,3.00,3.00,3.00
3.00,2.85,3.00,2.70
2.85,3.00,3.00,2.85
3.00,3.00,3.00,2.70
2.78,2.78,3.00,2.78
3.00,3.00,3.00,2.85
3.00,3.00,3.00,2.85
2.85,3.15,3.15,2.85
3.15,3.08,3.15,3.08
3.00,3.15,3.15,2.92
3.15,3.15,3.15,2.92
2.70,3.15,3.15,2.70
nan,3.14,nan,nan
3.14,3.14,3.14,3.00
3.00,3.15,3.15,3.00
3.15,3.00,3.15,3.00
3.00,3.15,3.15,3.00
3.30,3.30,3.30,3.00
3.15,3.30,3.30,3.15
3.15,3.30,3.30,3.15
3.30,3.30,3.30,3.15
3.30,3.30,3.30,3.15
3.15,3.22,3.22,3.00
3.00,3.22,3.30,3.00
3.30,3.28,3.30,3.28
3.22,3.30,3.30,3.08
3.30,3.30,3.30,3.08
3.08,3.29,3.29,3.08
3.15,3.15,3.15,3.08
3.29,3.30,3.30,3.29
3.30,3.30,3.30,3.00
3.00,3.28,3.28,2.70
2.85,3.27,3.27,2.85
3.00,3.00,3.15,3.00
3.00,3.06,3.15,3.00
3.27,3.27,3.27,3.15
3.30,3.75,3.90,3.30
4.35,4.35,4.50,4.05
4.50,4.12,4.50,3.90
4.12,3.60,4.12,3.60
3.60,3.30,3.60,3.22
3.45,3.22,3.45,3.08
3.22,3.15,3.22,3.00
3.22,3.30,3.30,3.15
3.08,3.22,3.30,3.08
3.22,3.30,3.30,3.15
3.28,3.30,3.30,3.15
3.28,3.30,3.30,3.28
3.30,3.22,3.30,3.15
3.15,3.00,3.15,2.92
3.00,3.00,3.08,3.00
3.00,3.00,3.00,3.00
3.15,2.92,3.30,2.85
3.00,2.92,3.00,2.92
3.00,3.15,3.15,3.00
3.15,3.22,3.30,3.08
3.30,3.00,3.30,3.00
3.30,3.30,3.30,3.00
3.30,3.15,3.30,3.00
3.15,3.08,3.15,2.92
2.96,3.08,3.08,2.96
2.96,3.08,3.08,2.96
3.08,3.15,3.15,3.08
3.15,3.15,3.15,2.92
