LANC,Lancaster Colony Corporation - Common Stock,NASDAQ
50.08,49.90,50.44,49.71
49.99,50.39,51.68,49.30
50.48,50.57,51.28,50.09
50.41,50.49,50.52,49.71
50.31,50.38,50.44,49.94
49.86,50.72,50.86,49.86
50.41,50.99,51.47,49.70
50.93,51.91,52.28,50.69
51.98,51.68,52.00,51.63
51.93,50.83,51.93,50.58
50.74,51.40,51.74,50.74
51.00,51.00,51.19,50.57
51.15,50.99,51.57,50.66
51.11,50.88,51.44,50.79
51.21,51.25,51.47,50.93
51.25,50.98,51.25,50.95
51.06,52.79,53.04,50.96
53.18,53.71,54.39,51.10
53.92,54.55,54.95,53.79
54.55,54.35,54.90,54.14
54.23,55.74,55.90,53.90
55.73,55.24,55.94,55.19
55.16,54.29,55.16,54.29
54.17,54.88,55.00,53.88
55.01,54.82,55.11,54.59
55.37,55.18,56.19,54.65
54.94,55.20,55.52,54.72
55.27,56.64,56.73,54.68
56.35,57.68,57.79,55.85
57.99,57.77,58.00,56.99
57.91,58.02,58.38,57.51
58.18,58.24,58.42,57.98
58.50,58.92,59.27,57.97
59.18,58.92,59.46,58.36
58.71,58.52,58.98,58.21
58.75,58.79,59.23,58.43
58.29,58.21,59.04,57.87
58.38,57.54,58.49,57.40
57.54,57.74,58.09,57.01
57.80,57.94,58.16,57.58
58.15,58.26,58.55,57.80
58.16,58.89,59.04,58.14
59.28,59.77,59.83,58.93
59.59,59.06,59.59,58.98
59.06,59.43,59.79,58.83
59.38,59.10,59.38,58.84
58.84,59.08,59.13,58.37
58.81,58.32,58.87,58.20
58.13,58.63,58.77,58.00
58.86,58.69,58.86,57.83
58.62,58.95,59.23,58.62
58.82,59.61,59.66,58.82
59.91,58.71,59.96,58.64
58.65,59.68,59.74,58.20
59.82,60.06,60.07,59.29
59.97,59.61,59.97,59.35
60.04,59.12,60.04,59.09
59.35,59.13,59.73,58.95
59.10,59.28,59.51,58.96
59.19,59.26,59.96,59.01
58.89,58.96,59.68,58.66
59.31,59.07,60.73,58.69
59.32,59.26,59.36,58.47
58.92,59.37,59.37,58.88
59.69,59.06,59.98,58.80
58.81,58.65,59.02,58.00
58.81,58.59,58.81,58.19
58.55,58.93,59.28,58.55
58.88,59.00,59.39,58.61
59.25,59.52,59.52,58.89
59.43,59.68,60.09,59.24
59.73,60.12,60.45,59.13
59.82,59.88,60.18,59.37
59.83,60.39,60.39,59.41
60.25,61.03,61.10,60.23
60.83,61.14,61.21,60.49
61.34,61.09,61.50,60.69
60.86,60.90,61.60,60.86
60.51,60.03,61.13,59.98
60.14,60.21,60.56,59.58
60.34,56.63,61.20,56.09
56.70,54.97,56.72,54.71
54.97,54.58,55.15,54.25
54.00,53.75,54.15,53.31
53.70,54.50,54.70,53.46
54.26,53.96,54.91,51.77
53.78,52.76,54.23,52.64
54.09,54.05,54.37,53.26
53.78,54.15,54.61,53.33
54.39,55.36,55.38,54.00
55.31,54.35,55.31,54.14
54.27,54.93,55.16,53.78
55.19,54.82,55.70,53.95
55.32,54.07,55.51,53.96
54.00,54.57,54.64,53.61
54.30,54.65,55.39,54.11
54.29,54.97,55.17,53.88
54.70,54.67,55.22,53.91
54.07,54.67,54.85,53.58
54.79,54.07,55.19,53.94
54.71,55.18,55.65,54.64
54.99,54.66,55.12,54.23
54.22,53.82,54.73,53.82
53.84,54.42,54.46,53.74
54.20,55.09,55.24,53.93
54.47,53.37,55.00,53.25
53.54,53.19,54.31,53.10
53.13,54.16,54.29,52.62
54.46,54.62,55.07,53.79
55.02,55.25,55.63,54.47
54.81,55.08,55.18,54.50
55.33,55.21,55.73,54.98
55.54,55.24,55.73,55.01
55.07,55.12,55.69,55.03
55.34,54.81,55.49,54.68
54.91,55.42,55.64,54.78
55.91,54.65,55.99,54.51
54.82,55.35,55.98,54.82
55.15,54.45,55.21,54.44
54.30,54.39,54.90,54.27
54.53,54.66,54.93,53.68
54.71,54.70,55.18,54.22
54.28,53.90,54.50,53.86
54.02,53.36,54.05,53.15
53.19,52.89,53.67,52.44
53.16,52.51,53.17,52.51
52.83,52.52,53.87,52.32
52.69,53.10,53.16,52.13
53.48,53.66,53.73,53.27
53.69,53.70,53.98,53.15
53.35,53.32,53.58,53.02
53.54,53.65,53.81,53.16
53.43,53.57,54.00,53.19
53.53,53.13,53.69,52.78
52.81,51.67,53.35,51.64
51.81,52.16,52.22,51.81
51.97,52.60,52.63,51.87
52.81,51.93,53.01,51.92
52.53,52.83,53.10,52.44
52.60,53.89,53.98,52.49
54.20,54.34,54.76,54.03
54.70,54.40,54.99,54.27
54.26,53.37,54.57,53.24
53.75,52.69,54.06,52.35
52.15,51.92,52.92,51.92
52.32,52.05,52.75,51.87
52.11,51.72,52.30,51.67
51.69,51.95,52.36,51.69
51.64,51.07,51.75,51.01
51.01,49.93,51.01,49.69
50.29,50.15,50.46,49.53
49.72,49.62,49.99,49.34
49.25,48.97,49.37,48.90
48.74,49.01,49.12,48.51
48.83,48.79,49.10,48.76
48.53,49.20,49.58,48.53
49.49,49.73,49.75,48.89
49.63,48.49,49.73,48.13
43.93,47.17,47.53,43.28
47.16,46.13,47.75,45.94
46.16,45.87,46.28,45.74
45.65,45.51,45.99,45.46
45.27,46.26,46.42,44.93
46.45,45.96,46.75,45.75
46.42,47.35,47.48,45.62
47.11,46.23,47.94,46.23
46.08,45.57,46.37,45.42
46.12,46.18,46.73,45.82
46.22,45.74,46.22,45.06
45.98,46.17,46.49,45.51
46.18,46.00,46.39,45.75
45.82,45.78,46.18,45.67
46.01,45.85,46.20,45.75
45.85,45.86,46.08,45.75
46.17,45.71,46.34,45.24
45.68,45.79,46.17,45.53
45.63,45.88,46.11,45.39
45.74,45.57,46.11,45.34
45.97,45.77,46.09,45.50
46.03,46.62,46.65,45.57
46.48,45.99,46.71,45.96
45.76,45.84,46.24,45.47
45.53,45.47,45.96,45.38
45.96,46.41,46.41,45.65
46.51,46.17,46.72,45.88
46.16,46.99,47.04,45.94
46.73,47.06,47.14,46.35
47.19,47.50,47.88,47.16
47.89,47.95,48.06,47.49
47.92,46.97,48.11,46.95
47.40,48.52,48.54,47.16
48.55,48.56,48.95,48.36
48.89,48.36,48.89,48.19
48.54,48.64,48.84,47.90
48.56,48.65,48.82,48.39
48.45,48.80,48.97,48.32
48.89,49.68,50.07,48.73
49.77,50.02,50.37,49.77
50.47,50.01,50.47,49.99
50.26,50.74,50.77,50.26
50.31,50.69,50.75,50.25
50.68,50.48,51.08,50.39
50.44,50.65,50.73,50.02
50.75,50.52,50.75,49.92
50.87,50.53,51.12,50.42
50.46,50.73,51.10,50.02
50.59,50.43,50.59,49.87
50.84,50.26,51.07,50.08
50.04,49.92,50.14,49.47
50.15,49.68,50.24,49.40
50.18,49.71,50.44,49.48
49.70,49.61,50.09,49.12
50.21,50.73,50.84,50.06
50.84,50.84,50.98,50.54
50.79,51.21,51.22,50.63
51.21,51.21,51.45,51.11
51.10,51.11,51.28,50.28
50.88,50.74,50.97,50.57
50.44,50.57,51.20,50.44
50.84,51.52,51.63,50.67
51.16,50.60,51.53,50.39
50.75,50.58,51.07,50.48
51.03,52.25,52.26,51.03
52.30,52.23,52.83,52.01
52.10,52.40,52.48,51.84
52.09,51.89,52.14,51.49
52.39,52.47,52.75,51.39
52.26,52.59,52.95,52.26
52.52,52.62,52.81,51.70
52.37,52.07,52.44,51.91
52.79,52.91,53.31,52.67
53.13,53.72,53.72,53.08
53.60,54.13,54.30,53.57
53.88,54.80,54.89,53.78
55.00,55.82,55.88,54.82
55.79,55.21,56.16,55.14
55.30,55.71,55.82,54.70
55.91,55.67,55.98,55.21
55.65,55.70,55.90,55.29
56.03,56.32,56.75,55.92
56.32,56.52,56.94,56.11
56.59,56.64,57.05,56.36
56.76,57.00,57.46,55.95
57.31,57.20,57.54,56.82
57.47,57.09,57.79,57.00
57.20,57.41,57.54,56.90
57.54,57.81,58.35,57.54
57.60,57.91,58.59,56.97
58.08,57.58,58.38,57.51
57.76,57.56,58.18,57.38
57.61,57.60,58.08,57.52
57.66,57.20,57.79,57.20
57.36,57.37,58.23,57.05
57.70,55.26,57.80,54.70
55.19,55.40,55.76,54.86
55.33,53.57,55.56,53.45
53.71,52.98,53.98,51.96
52.69,52.88,53.07,52.30
53.11,53.92,54.17,52.88
54.40,54.26,54.54,53.84
54.34,54.05,54.61,53.78
53.84,54.28,54.45,53.54
53.97,54.12,54.39,53.66
54.15,53.63,54.39,53.58
53.35,53.85,54.38,53.13
54.29,53.54,54.73,53.44
53.62,54.24,54.63,53.33
54.07,53.87,54.23,53.40
53.86,53.87,54.24,53.53
56.86,57.12,58.22,54.21
57.20,55.87,57.33,55.72
56.13,55.57,56.32,55.49
55.75,56.29,56.66,55.66
56.08,56.05,56.87,55.76
55.94,56.84,56.84,55.63
56.86,56.79,56.94,56.33
56.74,56.09,57.32,55.81
55.84,57.09,57.09,55.29
56.73,57.26,57.54,56.70
56.84,57.22,57.65,56.49
56.74,59.18,59.52,56.57
59.05,58.25,59.62,58.20
57.89,57.82,58.52,57.35
57.85,58.05,58.77,57.85
58.11,58.81,58.89,57.85
59.00,58.24,59.00,57.41
57.65,57.78,58.93,57.65
57.90,57.24,58.51,57.07
57.41,55.96,57.58,55.81
55.92,57.54,57.60,55.92
58.03,57.72,58.77,57.33
57.60,56.41,57.81,56.10
56.14,56.50,56.71,55.53
56.68,56.75,57.68,56.15
56.53,56.18,57.10,55.83
56.31,55.71,56.46,55.46
55.23,56.06,56.55,55.23
56.01,56.14,56.52,55.74
55.47,55.19,56.96,55.12
55.02,54.99,55.34,54.53
54.51,54.83,55.18,54.49
53.87,54.60,55.06,53.87
54.66,54.95,55.47,54.32
55.44,54.54,55.69,54.51
54.77,57.18,58.81,54.77
58.25,58.52,59.31,58.17
58.76,58.48,58.83,58.29
58.50,58.84,59.25,58.02
59.13,59.55,59.73,58.50
59.60,59.12,59.99,59.10
59.47,59.09,59.71,59.02
58.85,59.78,60.03,58.53
59.81,60.30,60.52,59.67
60.40,60.60,60.80,59.89
61.02,61.23,61.44,60.71
61.46,61.21,61.63,60.88
61.25,62.13,62.59,60.99
61.98,61.39,61.98,61.02
61.46,61.07,61.46,60.71
61.50,61.48,61.60,61.24
61.39,61.62,61.82,61.27
61.44,61.66,62.04,61.40
61.85,61.90,62.14,61.45
61.72,62.26,62.61,61.56
62.05,63.07,63.41,61.66
62.59,61.93,62.59,61.70
62.04,62.03,62.40,61.94
62.62,62.67,62.91,62.17
63.00,62.64,63.00,62.27
62.50,62.45,62.75,62.04
62.51,64.21,64.62,62.46
64.22,64.62,64.72,63.87
60.82,62.07,63.18,59.54
62.09,61.14,62.74,60.82
61.17,59.70,61.17,58.92
59.33,60.07,60.31,59.27
59.79,59.90,60.73,59.35
59.36,60.13,60.74,58.92
60.47,60.43,61.50,60.10
60.49,60.75,61.04,60.36
60.75,61.21,61.61,60.72
61.03,61.51,61.66,60.72
61.21,62.55,62.83,61.04
62.53,61.50,62.74,61.00
61.17,61.34,61.89,61.00
61.03,61.11,61.67,60.92
61.19,60.98,61.22,60.62
61.23,61.81,62.01,60.79
61.48,61.18,61.59,61.02
60.66,60.76,61.08,60.25
61.01,60.10,61.01,60.10
60.20,59.84,60.20,59.32
59.67,60.43,60.55,59.39
60.39,60.71,60.94,60.39
60.89,60.64,61.13,59.59
60.45,58.38,60.50,58.33
58.76,58.06,58.86,57.80
57.63,56.91,57.66,56.78
56.96,56.84,57.51,56.60
57.32,57.26,57.49,56.78
56.69,57.30,57.49,56.53
57.52,57.44,57.74,57.16
57.12,57.50,57.67,57.12
57.61,57.99,58.29,56.73
58.07,58.48,58.88,58.05
58.14,57.99,58.48,57.68
57.93,59.25,59.29,57.93
59.39,58.89,59.94,58.86
58.73,59.70,60.25,58.73
59.96,60.20,60.36,59.23
59.91,60.34,60.86,59.91
59.74,59.68,59.75,59.08
59.61,59.92,60.28,59.61
59.91,60.56,61.00,59.85
60.58,60.97,61.06,60.14
60.96,61.02,62.09,60.55
61.25,60.82,61.52,60.81
61.07,61.58,61.71,60.84
61.51,61.65,61.77,61.23
61.44,62.52,62.53,61.24
62.57,63.37,63.42,62.57
62.77,63.54,63.73,62.51
62.95,63.20,63.32,61.14
62.94,63.08,64.15,62.93
63.11,63.08,63.59,61.91
63.27,62.93,63.34,62.69
62.89,62.95,63.01,62.47
62.55,62.07,62.61,61.80
62.29,62.37,62.61,62.12
62.37,62.64,62.95,62.08
62.70,63.08,63.77,62.70
63.25,62.60,63.25,62.32
62.18,61.97,62.46,61.86
62.13,61.82,62.33,61.48
62.10,60.23,62.10,60.01
60.38,60.18,60.92,60.05
59.86,60.13,60.34,59.43
60.47,59.56,60.60,59.21
59.25,57.70,59.95,57.67
57.87,58.72,59.36,57.72
58.34,56.33,58.97,56.33
56.39,57.16,57.77,55.03
56.14,54.11,57.41,54.11
55.13,57.85,57.99,53.91
56.36,55.99,57.43,55.45
56.11,58.43,59.17,55.99
58.62,57.63,58.98,57.30
58.06,58.77,59.44,57.55
58.06,57.89,58.76,57.59
58.30,57.52,59.14,57.15
56.53,55.02,57.10,54.71
54.42,54.40,55.39,53.60
55.38,53.86,57.47,53.61
54.14,57.01,57.33,54.10
56.95,57.74,58.00,55.56
58.21,56.69,58.21,56.46
56.39,57.57,57.93,55.86
58.27,59.49,59.64,57.72
59.24,60.70,60.94,59.24
61.01,60.62,61.93,60.10
60.49,59.75,61.53,59.58
58.94,58.29,59.88,58.19
56.68,58.19,58.50,56.31
58.58,60.46,60.80,57.73
60.14,59.77,60.99,59.53
59.32,58.13,59.62,57.65
57.36,58.51,59.71,57.36
58.86,59.00,59.29,57.86
59.67,60.03,60.62,58.65
60.42,60.99,61.11,59.90
61.19,61.12,61.40,60.39
60.19,59.89,60.35,59.48
60.14,59.44,61.20,59.44
59.66,58.72,60.50,58.66
57.26,58.48,58.91,56.43
58.40,60.12,60.18,58.07
60.50,60.90,60.98,59.80
61.74,61.26,62.63,60.93
61.34,59.66,61.85,59.42
60.55,60.56,61.00,59.23
59.61,61.01,61.98,59.61
61.09,59.46,62.66,59.41
59.01,62.01,62.18,59.00
61.97,61.98,62.25,61.10
61.98,62.54,62.66,61.75
62.63,62.11,63.34,61.69
62.87,63.27,63.34,62.32
62.88,63.05,63.44,62.67
63.37,63.60,63.96,62.91
63.09,63.48,63.79,62.96
63.94,63.82,64.98,63.03
63.51,61.67,63.59,61.23
