CASC,Cascadian Therapeutics,NASDAQ
33.18,33.42,34.08,32.70
33.84,34.62,34.80,33.42
34.68,34.92,35.34,34.68
34.56,33.72,34.74,33.60
34.44,35.10,35.28,33.42
35.34,35.04,35.40,34.56
35.04,33.06,35.28,32.10
33.60,33.21,33.60,31.92
32.82,33.00,33.24,32.40
33.18,31.98,33.36,31.86
31.86,32.28,33.00,31.80
32.04,32.16,32.28,30.90
32.04,31.56,32.40,31.50
31.44,30.78,31.78,30.48
30.60,29.58,30.60,29.28
29.58,29.64,30.48,29.28
29.94,30.30,30.60,29.64
30.60,29.76,31.08,29.76
29.82,29.40,30.36,29.10
29.76,29.04,29.76,28.20
29.40,30.06,30.36,28.32
29.94,30.06,30.66,29.76
30.00,28.92,30.06,28.61
28.92,29.58,29.64,27.72
29.58,28.80,29.58,28.08
29.16,28.36,29.28,28.08
28.86,29.04,29.24,28.44
29.10,30.66,30.90,29.10
30.48,30.84,30.96,30.00
31.14,31.14,31.20,30.38
30.90,29.82,31.20,28.80
30.30,29.70,31.32,29.28
29.88,29.76,30.24,29.58
29.88,29.52,30.12,29.40
29.52,29.16,29.70,28.80
29.46,28.86,29.70,28.80
28.62,28.74,29.34,28.38
28.74,28.80,29.70,28.32
29.22,29.52,29.70,28.80
29.46,29.88,30.42,28.98
30.84,29.64,30.84,29.28
29.64,29.58,29.70,29.34
29.58,29.70,30.00,29.58
29.76,30.30,30.78,29.70
30.30,29.82,30.30,29.70
29.82,29.88,30.60,29.70
29.64,29.88,29.98,29.40
29.82,29.34,30.24,28.86
28.92,28.86,29.52,28.62
28.86,29.16,29.94,28.80
29.40,28.86,29.70,28.86
28.80,28.74,29.22,28.62
28.62,28.38,28.68,27.12
28.14,28.68,29.94,27.66
20.22,20.94,22.38,18.96
20.22,20.52,21.00,20.22
20.58,21.06,21.30,20.58
21.60,20.52,21.60,20.52
20.52,20.58,20.70,20.17
20.46,20.70,21.12,20.40
20.58,20.70,20.94,20.46
