UUU,Universal Security Instruments,NASDAQ
5.40,5.75,5.75,5.34
5.81,5.55,5.98,5.41
5.45,5.52,5.59,5.42
5.50,5.32,5.50,5.31
5.37,5.32,5.42,5.30
5.32,5.47,5.49,5.32
5.58,5.59,5.60,5.40
5.50,5.50,5.50,5.50
5.53,5.55,5.55,5.53
5.64,5.60,5.64,5.55
5.65,5.43,5.65,5.35
5.55,5.43,5.56,5.41
5.47,5.51,5.55,5.45
5.51,5.41,5.72,5.41
5.35,5.41,5.50,5.35
5.50,5.49,5.64,5.45
5.51,5.40,5.69,5.40
5.47,5.41,5.50,5.41
5.47,5.41,5.75,5.41
5.48,5.35,5.48,5.30
5.35,5.35,5.35,5.35
5.36,5.60,5.68,5.36
5.69,5.54,5.74,5.54
6.00,5.75,6.46,5.69
5.89,5.73,5.89,5.73
5.70,5.60,5.70,5.48
5.57,5.60,5.60,5.39
5.70,5.59,5.80,5.59
5.68,5.79,5.80,5.68
5.82,5.80,5.90,5.45
5.89,5.95,5.95,5.84
5.90,5.80,5.90,5.80
5.95,5.83,5.95,5.79
5.83,5.83,5.83,5.83
5.83,5.80,5.93,5.80
5.38,5.86,5.95,5.38
5.70,5.74,5.90,5.70
5.90,5.79,6.20,5.70
5.91,5.73,5.91,5.70
5.85,5.82,5.85,5.80
5.71,6.13,6.13,5.71
6.04,5.86,6.04,5.71
5.85,5.85,5.85,5.85
5.82,5.90,6.22,5.75
6.00,6.02,6.02,6.00
5.90,6.15,6.36,5.90
6.15,6.30,6.30,6.15
6.06,6.16,6.16,6.06
6.14,6.23,6.24,6.10
6.23,6.23,6.23,6.23
6.23,6.23,6.23,6.23
6.23,6.23,6.23,6.23
6.16,6.16,6.56,6.14
6.04,6.45,6.45,6.04
6.44,6.23,6.44,6.21
6.31,6.31,6.31,6.31
6.31,6.31,6.31,6.31
6.41,6.61,7.51,6.41
6.59,6.54,6.59,6.36
6.58,6.52,6.58,6.12
6.51,6.41,6.55,6.41
6.43,6.63,6.63,6.43
6.75,6.95,7.00,6.72
6.85,6.75,6.85,6.75
6.80,6.70,6.80,6.70
6.52,6.55,6.55,6.52
6.65,6.65,6.79,6.55
6.65,6.72,6.72,6.65
6.73,6.70,6.73,6.55
6.84,6.90,6.90,6.84
6.87,6.67,6.87,6.65
6.67,6.67,6.67,6.67
6.65,6.71,6.75,6.57
6.51,6.51,6.51,6.51
6.68,6.70,6.72,6.68
6.77,6.89,6.89,6.77
6.85,7.05,7.24,6.58
6.95,6.77,7.10,6.77
6.76,6.52,6.76,6.50
6.52,6.52,6.52,6.52
6.54,6.50,6.74,6.50
6.54,7.09,7.09,6.54
6.11,6.89,6.90,6.09
6.89,6.89,6.89,6.89
6.51,6.67,6.70,6.51
6.81,6.83,7.21,6.81
6.70,6.50,6.90,6.50
7.00,6.75,7.00,6.75
6.70,6.62,6.70,6.62
6.60,6.85,6.85,6.60
6.84,6.80,6.84,6.80
6.59,6.50,6.60,6.50
6.80,6.72,6.80,6.50
6.80,6.80,6.80,6.80
6.60,6.74,6.80,6.60
6.52,5.95,6.80,5.75
5.61,5.73,5.78,5.60
5.61,5.75,5.85,5.61
5.52,5.69,5.69,5.52
5.51,5.51,5.51,5.51
5.57,5.57,5.57,5.56
5.60,5.67,5.67,5.60
5.60,5.50,5.60,5.43
5.57,5.45,5.60,5.42
5.45,5.45,5.45,5.45
5.49,5.58,5.60,5.49
5.60,5.38,5.64,5.38
5.39,5.30,5.40,5.16
5.30,5.30,5.30,5.30
5.34,5.94,5.96,5.34
5.86,5.94,5.94,5.83
5.90,5.94,5.94,5.88
5.92,6.00,6.00,5.92
6.00,6.15,6.20,6.00
6.10,6.08,6.11,6.08
6.19,6.14,6.20,6.04
5.37,6.00,6.05,5.37
6.03,6.05,6.05,6.02
6.33,6.48,6.49,6.26
6.58,6.35,6.58,6.35
6.26,6.15,6.26,5.85
6.10,6.00,6.10,6.00
5.90,5.88,5.94,5.80
5.92,5.95,5.95,5.92
5.98,5.65,5.98,5.50
5.70,5.65,5.70,5.65
5.61,5.62,5.69,5.19
5.69,5.78,5.79,5.56
5.85,5.72,5.88,5.70
5.65,5.60,5.65,5.46
