ALX,Alexander's,NASDAQ
305.00,301.11,311.90,298.93
298.55,299.32,301.02,297.34
299.08,300.95,302.00,299.08
299.71,306.34,312.28,298.86
304.34,305.68,305.78,299.78
307.35,291.71,307.35,291.70
291.70,300.72,303.02,289.00
302.70,304.75,306.61,297.06
305.00,303.54,306.74,302.76
305.38,300.98,306.77,299.88
300.50,304.28,304.28,298.98
302.82,299.00,302.82,297.81
300.06,293.56,300.06,292.17
293.56,285.70,295.59,282.00
286.99,286.40,289.70,279.80
284.99,286.05,288.88,284.00
283.58,289.34,291.55,281.35
290.97,289.95,291.81,286.35
291.34,292.29,295.00,290.54
293.00,294.82,295.00,292.59
294.00,287.75,296.81,286.97
287.73,280.06,287.73,278.55
278.06,271.77,278.06,271.55
272.70,281.32,281.32,272.01
280.05,273.24,280.70,272.74
275.80,272.31,276.14,271.75
271.35,272.72,285.97,270.15
271.10,282.71,283.59,267.94
280.74,293.48,297.00,280.74
295.38,298.84,299.84,291.88
299.00,298.35,300.00,298.00
297.38,298.50,299.97,296.49
298.75,297.00,298.75,295.12
297.19,300.00,300.00,295.01
300.00,298.98,300.80,294.53
298.63,300.22,302.49,296.98
295.04,298.00,299.02,295.04
299.17,292.00,299.74,291.33
293.08,294.97,294.97,290.45
295.98,294.98,295.98,292.97
294.82,293.86,297.02,292.98
295.00,298.46,298.46,294.00
299.00,303.38,303.64,296.99
302.37,304.75,304.81,299.93
303.18,305.38,306.74,303.18
305.00,306.00,306.00,304.18
305.00,304.83,305.00,304.00
305.05,304.55,305.05,302.83
302.95,299.55,303.07,299.00
299.93,300.51,301.51,297.55
302.06,302.14,303.19,299.72
301.24,301.20,302.02,300.00
303.12,296.00,303.12,294.70
295.00,299.76,299.76,295.00
299.00,301.23,303.19,296.82
300.55,303.40,303.98,300.54
303.54,301.81,309.00,301.81
303.81,301.27,304.23,300.52
302.19,302.45,302.45,300.00
302.00,301.85,302.00,296.62
301.00,299.13,308.30,299.13
302.03,298.80,305.41,298.41
300.00,310.00,310.00,300.00
308.00,314.88,314.96,308.00
313.50,313.50,315.96,308.44
313.17,312.35,314.25,312.35
313.17,314.37,316.35,311.20
314.08,313.00,314.60,311.37
312.26,314.30,316.00,312.26
315.32,323.70,324.27,314.40
322.58,320.99,323.16,320.00
321.02,315.00,322.96,313.50
314.39,317.73,318.99,314.39
318.86,322.49,322.49,316.53
323.64,329.03,329.80,323.64
326.79,338.01,340.00,323.91
337.26,337.43,337.43,330.55
337.98,335.97,339.84,335.97
335.30,319.92,337.21,319.92
323.26,322.50,326.75,321.01
324.45,336.27,336.32,323.01
335.78,317.82,335.78,315.87
321.14,323.99,325.00,321.14
319.99,303.15,322.49,300.86
301.00,299.37,310.59,297.69
296.39,291.25,302.53,290.37
288.76,283.13,296.48,282.03
292.00,303.80,303.81,292.00
301.00,303.54,311.17,297.57
305.38,324.72,326.92,305.38
323.97,324.60,328.51,319.43
322.69,311.86,322.69,308.01
314.86,315.23,317.98,305.36
319.20,305.52,319.20,305.52
305.32,299.83,307.00,298.50
295.00,295.00,297.74,293.99
291.00,299.50,301.19,291.00
299.37,296.20,302.49,294.01
291.20,297.74,300.00,291.20
300.00,309.81,313.86,300.00
315.50,318.65,320.84,305.69
316.19,324.37,326.59,316.19
320.99,312.66,324.49,312.66
316.00,322.98,322.99,312.99
320.44,318.50,324.96,316.79
316.64,295.24,316.91,294.60
295.48,293.02,299.85,293.02
292.85,298.28,299.45,291.50
300.30,297.73,309.05,295.24
304.00,308.71,308.71,300.76
305.31,313.39,313.40,305.31
315.54,324.98,326.07,315.54
325.33,335.18,335.18,324.00
332.60,335.12,339.18,332.60
334.23,334.42,338.09,330.23
319.06,334.57,338.50,319.06
338.00,320.68,339.85,317.33
322.80,315.80,323.00,315.05
315.61,316.85,320.81,311.00
313.69,307.70,313.69,306.82
309.50,320.42,325.07,304.69
320.08,316.69,321.97,313.49
312.00,307.56,312.00,304.67
308.00,302.92,311.92,302.92
304.61,309.37,309.37,297.33
311.84,305.75,311.92,304.02
309.99,300.39,311.75,297.16
301.79,313.73,313.73,301.79
316.90,313.25,323.24,307.05
313.00,314.80,315.68,310.00
314.62,314.34,315.99,314.05
318.34,319.67,321.29,317.90
318.12,318.51,319.85,315.50
318.13,314.07,318.13,311.83
312.01,301.50,312.01,301.50
303.01,304.31,305.82,299.51
299.31,308.84,308.84,299.31
310.98,302.57,310.98,300.75
306.57,319.98,321.37,306.00
318.81,327.25,327.54,315.03
329.15,334.49,335.57,322.71
336.11,333.02,336.85,330.05
331.66,331.47,332.59,328.39
334.04,327.75,334.04,326.84
324.42,334.17,334.74,320.92
339.00,338.43,342.30,333.38
338.43,335.14,338.43,333.54
336.10,334.13,336.10,330.95
330.48,326.91,332.73,322.94
320.98,327.82,327.82,317.48
329.68,330.86,332.10,327.30
327.70,327.00,328.75,320.54
326.01,318.26,326.01,317.01
313.34,313.36,315.97,307.98
313.13,303.53,314.50,303.04
303.00,305.50,306.56,303.00
308.11,311.97,313.50,308.11
311.44,313.00,314.48,311.44
311.88,308.74,313.48,306.50
306.34,304.36,306.34,302.84
305.95,300.00,305.95,299.96
298.00,300.25,301.00,297.21
298.85,309.07,311.48,298.00
310.47,308.59,310.69,308.59
311.13,311.01,311.13,306.00
309.44,305.08,309.49,304.67
304.42,304.55,304.55,300.68
308.55,309.50,309.72,305.05
309.50,308.39,309.50,306.25
311.42,310.21,311.42,306.80
306.70,303.80,308.18,303.80
305.61,305.07,307.00,303.50
308.71,303.82,308.71,302.03
304.50,302.50,304.50,302.00
305.00,307.05,307.05,305.00
306.29,306.99,309.79,306.29
305.37,309.93,310.72,305.37
306.32,306.52,308.50,306.32
310.00,304.50,310.00,304.50
307.22,324.32,324.77,307.22
324.20,332.39,347.83,323.61
330.69,325.07,335.19,325.00
325.89,309.11,325.89,309.11
313.42,315.96,317.79,313.42
315.04,313.00,315.45,310.96
312.89,316.38,316.40,308.38
314.36,315.49,317.00,312.34
316.99,315.78,316.99,305.01
317.12,322.50,323.64,314.45
322.55,324.17,325.34,319.66
328.17,342.60,342.60,328.17
340.10,340.01,341.79,336.04
342.50,341.89,343.70,338.00
342.64,345.59,345.98,341.74
344.90,346.56,348.61,342.79
344.52,349.00,349.99,340.86
349.00,350.45,352.00,347.50
349.00,350.16,352.34,349.00
354.49,352.53,354.56,350.31
354.70,358.69,359.84,354.70
353.68,354.94,357.16,353.68
355.96,362.51,362.51,355.96
365.03,363.95,368.80,360.52
364.00,366.75,366.75,364.00
368.10,369.49,369.49,368.10
369.50,369.95,369.95,367.07
368.47,372.90,374.89,368.00
372.90,373.50,374.65,370.10
372.46,375.84,376.95,370.60
377.80,376.00,377.80,373.30
381.48,380.80,383.91,379.84
380.58,379.52,380.58,376.57
386.00,397.29,404.00,382.00
400.00,406.00,406.00,396.00
402.76,409.83,409.83,402.00
410.58,408.59,414.07,405.62
411.89,406.10,411.89,404.01
401.65,398.80,402.50,398.80
396.01,395.86,398.72,395.50
394.01,403.39,403.72,394.01
400.11,407.05,408.92,398.40
408.98,412.74,412.74,408.98
416.00,413.82,417.96,411.70
413.81,410.00,415.93,408.85
410.21,406.95,410.21,405.24
401.00,395.20,401.00,393.30
400.00,401.15,401.26,397.55
398.84,398.04,398.84,398.04
393.06,390.74,393.06,382.30
385.00,385.48,387.42,381.61
391.00,389.86,391.00,386.38
391.12,397.92,397.92,391.12
399.94,397.56,399.94,392.98
396.10,397.86,399.97,396.10
399.99,401.91,402.54,399.99
403.36,391.40,403.36,391.40
393.36,392.82,393.36,387.20
