NKE,Nike,NASDAQ
66.06,65.35,66.07,65.12
65.14,65.61,65.79,64.70
65.40,65.21,65.69,64.94
65.12,65.85,66.00,65.05
65.79,65.72,65.85,64.94
65.92,64.91,65.93,64.65
64.60,64.82,65.10,64.28
65.11,65.40,65.67,64.78
65.49,64.99,65.83,64.75
64.78,64.39,65.01,63.95
64.20,64.71,64.80,63.96
64.21,64.18,64.41,63.57
64.31,63.64,64.34,63.03
63.51,62.98,64.24,62.95
63.37,63.67,64.04,63.31
63.33,63.74,64.11,63.05
63.67,64.00,64.17,63.25
64.25,63.52,65.00,63.37
63.64,63.75,64.65,63.55
63.97,64.10,64.45,63.51
64.29,63.93,64.29,63.61
63.69,64.00,64.10,63.32
63.53,62.09,63.75,62.05
62.02,61.70,62.23,60.89
61.62,61.30,62.12,61.23
61.78,62.51,63.10,61.67
62.51,62.64,62.95,62.25
62.43,62.95,63.17,62.12
62.52,62.49,62.55,61.72
62.82,63.65,63.65,62.33
63.87,64.48,64.69,63.62
64.49,64.44,64.59,63.91
64.14,64.35,64.60,64.01
64.57,64.31,64.77,64.03
64.30,64.13,64.55,63.61
64.00,64.93,65.02,64.00
65.01,66.16,66.28,64.01
66.23,67.60,67.85,66.23
67.91,68.24,68.71,67.61
68.06,68.03,68.33,67.68
67.70,67.64,67.97,67.26
68.02,67.63,68.06,67.44
67.83,68.32,68.51,67.83
67.97,68.82,68.96,67.97
68.76,68.93,69.18,68.53
68.91,69.12,69.25,68.41
69.10,69.75,69.85,68.71
69.42,69.90,69.99,69.41
69.75,70.39,70.73,69.72
70.33,70.38,71.05,70.10
70.39,70.88,71.33,70.28
73.35,74.66,75.35,73.30
74.26,73.52,74.32,73.12
72.89,73.88,74.16,72.82
74.40,74.49,74.59,73.97
74.35,73.38,74.39,73.01
74.17,73.57,74.78,73.53
73.80,73.89,74.75,73.37
74.16,73.97,74.33,73.58
74.01,73.81,74.40,73.55
73.49,73.50,74.10,73.28
73.96,74.01,74.39,73.75
74.19,74.11,74.82,73.62
73.54,73.91,74.15,73.50
73.97,73.59,74.19,73.30
73.46,73.99,74.28,73.06
74.18,75.18,75.28,73.65
75.29,75.53,75.95,75.20
75.43,75.51,75.93,74.75
75.61,75.80,75.86,75.00
75.57,75.64,75.82,74.97
75.59,75.17,76.00,74.98
74.95,75.58,75.80,74.25
76.02,76.36,76.58,75.90
76.40,76.72,77.14,76.17
76.29,78.23,78.53,76.21
77.82,77.90,78.44,77.30
77.91,78.02,78.47,77.78
77.67,76.74,78.49,76.61
76.94,76.44,78.03,76.14
77.10,77.57,77.69,76.72
77.45,75.91,77.88,75.89
76.01,77.77,78.39,75.91
78.02,77.35,78.55,77.10
76.87,75.21,77.30,74.70
74.55,72.30,75.99,66.99
71.35,70.61,72.44,69.78
73.89,76.65,76.77,73.74
75.80,76.43,77.07,75.76
76.71,77.85,77.98,76.01
77.65,75.55,77.99,75.35
74.63,73.74,75.00,73.18
73.73,73.63,73.85,72.03
74.16,72.93,75.01,72.70
72.54,72.25,72.72,71.00
70.53,70.31,71.59,69.57
69.14,71.39,71.78,68.14
71.17,71.34,71.91,70.71
70.09,72.91,73.00,69.27
73.52,72.52,73.62,71.92
73.28,73.90,73.96,72.76
73.62,72.38,73.86,71.96
71.44,71.18,72.62,70.70
71.31,73.00,73.06,71.31
73.20,73.63,73.86,72.94
72.36,70.77,72.47,70.16
70.54,69.59,71.02,69.48
69.59,70.26,70.43,68.65
70.52,70.01,71.33,69.67
71.19,71.75,72.55,71.14
71.29,72.33,72.64,71.03
72.49,72.22,72.95,71.91
72.29,73.98,73.98,72.29
