LECO,Lincoln Electric Holdings,NASDAQ
53.85,53.80,54.28,53.52
53.55,53.35,53.83,52.82
54.35,55.26,55.40,53.52
55.32,56.30,56.40,55.08
56.04,56.58,56.62,55.88
56.93,58.07,58.41,56.61
57.52,56.89,57.99,56.43
57.18,56.70,57.83,56.47
56.52,55.76,56.58,55.04
55.69,55.50,55.81,54.91
55.74,56.41,56.74,55.31
56.14,55.47,56.14,54.95
55.65,54.94,55.88,54.51
55.06,52.35,55.25,52.21
52.35,51.94,52.44,50.96
51.75,51.56,52.22,50.93
51.17,50.42,51.48,49.83
50.48,49.90,50.56,47.92
50.13,48.83,50.73,48.65
48.97,49.15,49.50,48.54
49.01,49.94,50.16,49.00
49.80,50.03,50.06,49.17
49.71,47.61,49.71,47.49
47.61,47.19,47.75,46.10
47.94,47.60,48.20,47.13
48.05,48.42,48.60,47.64
47.55,48.17,48.46,47.55
47.94,48.69,48.92,47.75
48.20,49.10,49.11,47.81
49.40,49.80,49.86,49.08
49.80,50.37,50.40,49.66
50.49,51.04,51.15,50.12
50.98,51.65,51.71,50.50
51.31,48.54,51.57,48.53
48.20,47.35,48.35,47.27
47.46,48.21,48.42,47.46
47.46,47.92,48.12,47.15
48.07,47.70,48.07,47.33
47.91,48.83,48.88,47.85
48.87,49.82,49.83,48.87
51.37,51.27,52.19,51.15
51.29,51.41,51.97,51.15
51.61,51.56,51.78,51.19
51.55,51.76,52.00,51.44
51.45,51.87,52.01,51.45
51.79,52.20,52.25,51.73
51.75,52.39,52.44,51.66
52.45,54.00,54.00,52.38
54.04,54.11,54.19,53.42
54.38,54.17,54.53,53.91
54.22,54.80,54.99,54.22
54.51,54.99,55.36,54.17
55.14,53.78,55.36,53.75
53.30,54.49,54.52,53.17
54.64,55.40,55.56,54.29
55.02,53.80,55.16,53.70
54.36,53.39,54.58,53.38
53.58,53.74,54.36,53.32
53.70,54.60,54.91,53.63
54.50,54.33,55.00,54.15
54.26,54.33,54.57,53.89
54.74,55.13,55.22,53.97
55.31,56.14,56.15,55.31
55.67,56.20,56.50,55.40
56.10,56.58,56.78,56.06
56.79,56.91,57.00,56.20
57.00,58.07,58.07,56.83
58.09,59.42,60.10,58.04
59.04,59.36,59.73,58.65
59.71,60.00,60.16,59.38
59.74,60.36,60.65,59.67
59.83,58.60,59.88,58.34
59.96,59.22,60.91,58.60
59.73,59.24,60.62,59.11
59.41,59.47,60.15,59.11
58.78,60.33,60.54,58.20
60.56,61.04,61.19,60.49
60.88,61.11,62.86,60.02
60.48,60.36,61.06,59.23
60.88,60.37,61.37,59.81
60.66,61.54,61.82,60.53
61.47,59.99,62.30,59.94
60.41,61.79,62.17,59.99
60.49,59.39,60.63,59.23
59.00,57.80,59.04,57.71
57.45,55.51,58.63,53.26
