CLNT,Cleantech Solutions International,NASDAQ
53.60,65.00,65.50,53.60
65.50,63.70,66.70,60.10
64.90,67.40,69.00,63.30
68.90,64.20,69.00,62.60
66.70,69.80,71.40,62.20
72.10,77.30,82.00,69.30
77.30,72.80,79.50,71.80
72.60,72.80,74.40,68.00
74.40,71.00,75.80,70.00
74.40,67.50,74.40,65.50
69.50,69.10,71.00,68.40
70.30,65.10,70.30,65.00
65.90,55.50,66.70,53.90
59.70,53.50,59.70,53.50
53.50,55.50,56.50,53.50
56.00,51.60,56.00,51.00
51.60,49.50,51.60,46.40
50.50,50.38,51.50,48.78
51.20,51.00,54.20,50.10
51.90,50.70,52.50,49.70
51.00,52.20,54.20,50.20
53.25,53.80,54.60,52.40
54.70,50.60,54.70,50.00
50.00,50.20,50.50,48.20
51.30,52.80,54.70,50.00
55.10,56.26,56.50,53.50
57.50,57.60,59.40,57.00
57.10,58.30,58.70,56.20
59.00,55.60,59.00,55.00
55.60,56.30,57.50,55.30
56.60,57.10,57.50,56.50
57.10,56.00,57.50,55.00
56.00,55.30,56.00,55.00
57.40,55.93,57.50,54.00
57.00,53.00,57.10,52.50
53.20,54.30,56.40,52.50
54.00,53.50,54.00,53.00
53.60,52.20,53.90,51.70
53.00,55.80,56.30,53.00
56.00,60.98,61.80,56.00
62.20,60.80,63.00,59.98
61.00,59.20,62.00,59.00
59.50,57.00,59.70,56.80
57.40,57.40,58.40,56.86
57.80,58.20,58.60,57.80
57.80,57.00,57.84,55.30
57.40,55.20,57.40,54.80
55.50,56.00,56.50,55.50
57.00,55.90,57.00,55.40
57.00,56.60,57.00,55.90
57.00,53.10,57.00,51.50
54.70,53.20,54.80,52.50
53.10,51.60,54.40,51.10
51.10,50.50,52.00,50.00
50.30,52.00,52.00,49.50
52.00,52.00,53.50,51.00
53.00,52.00,53.00,51.50
51.50,49.00,52.40,49.00
50.50,49.60,50.50,49.00
49.70,49.80,50.00,47.00
51.40,48.30,51.90,48.00
N/A,N/A,N/A,N/A
49.90,48.70,49.90,48.10
49.50,50.00,51.00,48.30
50.40,51.50,51.90,49.90
52.00,50.90,52.00,50.70
51.00,50.40,51.90,50.40
50.30,49.30,51.00,48.90
49.20,49.20,49.50,48.80
49.90,48.60,49.90,48.60
48.50,49.20,49.50,48.50
49.00,47.90,49.20,47.80
47.90,47.90,48.10,47.50
48.00,48.20,48.50,47.71
48.00,47.80,48.50,47.20
47.50,48.20,48.50,47.20
48.20,47.66,48.50,47.50
48.00,48.00,49.00,47.50
47.50,47.30,48.17,45.60
47.60,43.70,49.00,42.70
