ULTA,Ulta Salon,NASDAQ
19.23,18.85,19.25,18.59
18.92,18.76,19.16,18.56
18.75,19.22,19.25,18.69
19.60,20.86,20.98,19.37
21.00,21.61,21.62,20.87
21.62,21.28,21.62,21.05
21.28,21.14,21.60,20.87
20.63,21.31,21.41,20.63
21.09,20.44,21.48,20.40
20.54,20.35,20.54,19.75
20.17,20.21,20.45,20.07
20.09,20.10,20.31,19.71
20.16,20.00,20.49,19.50
19.96,20.05,20.49,19.57
20.15,19.74,20.47,19.73
19.66,19.97,20.26,19.24
19.93,19.91,20.00,19.64
20.00,19.29,20.16,19.15
19.31,19.40,19.97,19.30
19.49,19.79,19.99,19.42
19.74,19.49,19.74,18.88
19.44,19.12,19.62,19.00
18.93,18.01,19.01,18.00
18.00,17.92,18.13,17.52
17.85,17.87,18.60,17.53
18.12,17.94,18.26,17.80
17.84,17.29,18.00,17.05
17.16,17.75,17.92,17.05
17.53,17.86,17.90,17.53
18.15,18.39,18.49,17.92
18.53,18.45,18.68,18.26
18.37,18.42,18.54,18.24
18.43,17.94,18.45,17.93
17.95,17.98,18.28,17.56
17.95,17.72,18.01,17.27
17.75,18.36,18.43,17.62
18.08,18.10,18.50,17.95
18.17,18.33,18.50,18.12
18.50,19.12,19.21,18.38
19.24,19.67,19.69,19.13
19.65,19.97,20.03,19.27
20.03,21.21,21.21,19.87
21.45,21.40,21.62,20.96
21.41,20.98,21.74,20.74
21.02,21.17,21.49,20.72
21.24,21.47,21.62,21.08
21.40,21.54,21.56,20.64
21.94,23.33,23.35,21.58
22.52,22.11,23.06,21.17
22.35,22.86,22.94,21.91
23.01,22.49,23.17,22.44
22.49,22.64,22.73,21.88
21.70,21.70,22.50,21.61
21.51,22.07,22.15,21.32
22.14,22.21,22.30,21.62
22.06,21.97,22.29,21.00
22.08,22.72,23.28,22.00
22.98,22.50,23.14,22.40
22.68,22.81,22.90,22.33
22.98,23.21,23.45,22.80
23.22,22.62,23.39,22.54
22.81,22.15,23.02,21.84
22.26,22.63,22.63,21.64
22.65,23.19,23.26,22.58
23.10,22.20,23.20,22.09
22.19,22.15,22.47,21.89
22.18,23.20,23.38,22.18
23.14,23.22,24.10,23.04
23.14,22.84,23.14,22.44
23.03,23.26,23.29,22.72
23.36,23.81,24.09,23.31
23.81,23.61,23.98,23.10
23.47,22.17,23.52,22.06
22.28,22.82,22.88,22.25
22.78,23.18,23.30,22.43
22.99,24.59,24.85,22.75
24.73,25.36,25.40,24.29
25.46,24.97,25.76,24.73
22.87,22.75,23.65,21.66
23.31,22.98,23.72,22.86
23.26,24.08,24.10,23.24
24.15,23.12,24.75,23.09
23.47,23.93,24.55,23.30
23.74,23.01,23.77,22.83
22.64,22.50,23.13,22.01
22.48,21.99,22.77,20.71
21.95,21.24,22.47,21.14
22.66,22.82,23.00,22.20
22.68,23.40,24.09,22.51
23.58,24.70,25.04,23.33
24.94,24.18,25.40,23.96
23.88,23.74,24.23,23.50
23.96,23.76,24.75,23.64
23.93,23.50,24.50,23.47
23.31,23.51,23.97,22.91
22.85,22.16,22.97,22.10
21.70,23.32,23.83,21.35
23.33,23.55,24.07,23.33
22.71,22.86,23.09,22.00
23.18,23.62,24.09,22.79
24.32,24.59,24.78,23.24
25.25,25.58,26.00,24.81
25.41,24.75,25.98,24.75
24.82,23.59,25.09,22.86
23.55,23.90,24.14,23.17
23.70,23.16,23.90,22.73
23.40,22.23,23.48,21.57
22.28,21.42,22.52,21.25
21.60,21.90,22.19,21.24
22.19,22.40,22.60,21.92
22.67,24.68,24.87,22.62
24.75,24.53,24.89,23.75
25.18,25.12,25.37,24.81
25.04,25.85,26.50,24.86
26.13,25.80,26.46,24.86
25.97,26.18,26.49,25.83
26.49,25.55,26.75,25.13
25.53,25.05,25.87,24.91
25.00,24.97,25.21,24.46
24.75,24.42,24.81,24.10
24.47,24.92,24.92,23.86
24.93,25.82,26.03,24.92
25.26,24.04,25.26,23.81
23.97,23.66,24.48,23.42
23.75,23.00,23.99,22.68
23.12,23.08,23.31,22.79
23.30,22.21,23.88,22.02
22.22,23.35,23.46,22.06
23.61,22.97,23.73,22.61
22.95,23.51,23.54,22.50
23.44,23.09,23.48,22.51
23.49,23.89,23.93,23.05
23.74,23.60,23.74,22.78
23.56,23.30,23.56,22.73
23.03,22.77,23.06,22.59
22.90,22.90,23.06,22.51
22.66,23.15,23.24,22.23
23.31,22.86,23.31,22.45
23.27,24.12,24.17,23.07
24.08,24.74,24.76,23.85
24.83,25.42,25.50,24.65
25.55,24.67,25.89,24.41
24.56,24.61,24.82,24.11
24.93,25.44,25.67,24.77
25.03,25.26,25.53,24.68
25.65,25.43,25.87,25.17
25.38,25.33,25.49,24.51
25.45,24.90,25.45,24.73
24.74,24.89,24.97,24.17
24.44,24.79,24.88,23.56
24.90,24.71,25.00,24.43
24.45,24.09,24.66,23.96
23.50,22.95,23.90,22.84
22.52,22.97,23.25,22.11
22.81,22.18,23.05,22.06
22.14,22.58,22.93,21.83
22.88,23.24,23.53,22.71
23.09,24.04,24.15,22.75
24.05,23.44,24.29,23.41
23.40,23.36,23.55,22.88
23.44,23.19,23.70,23.16
22.92,22.96,23.40,22.20
22.69,23.58,23.65,22.69
23.74,23.27,23.97,23.13
23.64,23.71,23.98,23.21
23.52,23.54,23.79,23.21
23.56,22.70,23.56,22.45
22.93,22.26,23.22,20.67
22.29,22.23,23.49,21.60
25.23,26.30,26.47,24.30
26.41,26.40,26.74,26.06
26.75,26.71,26.95,26.39
26.92,26.35,26.96,25.97
26.36,26.21,26.88,26.19
26.50,27.65,27.70,26.41
27.52,28.59,29.25,27.34
28.40,28.01,28.56,27.87
27.89,28.03,28.15,27.53
28.33,28.15,28.45,27.54
28.31,28.23,28.33,27.54
28.35,29.11,29.47,28.35
