SRCL,Stericycle,NASDAQ
55.56,55.16,55.90,55.08
54.98,54.67,55.05,54.20
54.42,54.63,54.92,54.38
54.35,54.72,54.75,54.30
54.84,55.34,55.50,54.30
55.25,55.35,55.59,54.70
55.26,54.87,55.26,54.73
55.07,55.78,55.83,54.55
55.41,55.52,55.87,55.41
54.98,54.81,55.89,54.59
54.88,56.12,56.19,54.88
55.85,55.19,55.85,54.65
55.84,55.01,56.03,54.75
54.99,54.80,55.40,54.70
54.93,54.27,54.93,54.13
54.26,53.81,54.65,53.69
53.92,53.77,54.14,53.13
54.06,53.42,54.06,52.97
53.69,52.91,54.03,52.90
52.91,53.48,53.58,52.70
53.66,53.59,53.66,52.99
53.25,54.48,54.65,53.00
54.11,52.99,54.93,52.82
53.76,52.00,53.82,51.50
52.21,51.16,52.39,50.97
51.63,51.55,52.02,51.22
50.98,51.20,51.75,50.88
50.95,51.65,51.88,50.62
51.54,51.36,51.54,50.91
51.77,52.45,52.45,51.61
52.43,53.02,53.20,52.08
53.14,53.50,53.60,53.03
53.29,54.30,54.55,53.29
54.27,54.60,54.64,53.99
54.46,53.98,54.68,53.96
54.34,54.83,54.93,53.96
54.26,55.93,56.00,54.13
56.09,55.18,56.09,54.96
55.32,55.57,55.57,55.20
56.50,56.14,56.50,55.43
56.31,55.78,56.41,55.58
55.75,55.30,55.83,55.20
55.30,55.35,55.71,55.26
55.15,54.68,55.16,54.57
54.57,54.65,54.91,54.36
54.57,54.38,54.70,54.27
54.38,54.56,54.56,54.03
54.60,54.49,54.86,54.20
54.59,54.93,55.04,54.16
54.82,55.27,55.36,54.82
55.25,55.49,55.62,55.08
55.29,55.49,55.57,55.16
55.94,55.61,56.55,55.16
55.53,56.10,56.25,55.14
56.07,56.38,56.44,56.02
55.49,54.71,55.86,54.34
54.78,54.50,54.93,54.41
54.70,54.50,54.70,54.29
54.72,55.04,55.37,54.52
55.20,54.90,55.20,54.57
54.26,54.50,54.85,54.26
54.67,54.77,55.03,54.27
54.77,55.08,55.17,54.68
54.75,55.14,55.25,54.75
54.88,54.57,54.91,54.46
54.50,54.35,54.50,54.06
54.29,54.58,54.58,53.83
54.70,55.57,55.68,54.49
55.38,55.81,56.00,55.18
55.80,55.90,55.93,54.94
55.16,55.75,56.00,55.14
