JKI,iShares Morningstar Mid-Cap ETF,NASDAQ
65.45,65.78,65.92,65.45
65.60,66.16,66.16,65.60
66.09,66.43,66.44,66.09
66.52,66.80,66.82,66.51
66.60,66.71,66.71,66.54
67.10,67.11,67.12,66.76
66.52,66.34,66.77,66.22
66.55,67.18,67.18,66.55
67.11,67.33,67.37,66.92
67.20,66.43,67.20,66.20
66.55,67.24,67.24,66.48
66.75,66.73,66.79,66.49
67.00,65.86,67.46,65.86
65.70,64.24,65.70,64.24
64.99,64.74,65.05,64.58
64.65,64.24,64.91,64.24
64.02,64.39,64.40,63.50
64.59,63.85,64.69,63.63
63.92,63.02,64.51,63.00
63.18,63.89,63.89,63.18
64.77,65.24,65.24,64.65
64.96,64.67,64.96,64.47
63.59,62.66,63.59,62.66
62.00,62.49,62.49,61.16
63.00,62.43,63.00,62.43
62.94,62.84,63.12,62.80
62.48,62.83,63.08,62.48
62.61,63.44,63.46,62.27
62.58,63.49,63.49,62.58
64.14,64.77,64.77,63.86
65.08,65.11,65.11,64.96
65.11,65.50,65.52,65.11
65.46,66.05,66.07,65.42
66.04,66.11,66.16,65.97
65.88,65.27,65.88,65.10
65.36,65.55,65.74,65.33
64.81,65.68,65.71,64.81
65.92,66.06,66.06,65.74
66.30,66.89,66.89,66.30
67.01,67.11,67.42,67.01
67.37,67.29,67.64,67.14
67.40,67.41,67.44,67.18
68.12,68.55,68.56,68.12
68.75,68.80,68.84,68.63
68.54,68.77,69.20,68.45
68.97,69.40,69.47,68.97
69.17,69.67,69.67,69.15
69.74,69.71,69.92,69.71
69.23,69.81,69.81,69.23
70.71,70.55,70.71,69.98
71.01,71.21,71.48,70.93
71.14,70.97,71.23,70.82
70.23,70.23,71.29,70.15
69.63,70.76,70.86,69.59
70.73,71.36,71.36,70.73
71.20,71.15,71.36,71.09
71.19,70.92,71.38,70.79
70.60,70.32,70.89,70.19
70.79,70.81,70.94,70.61
70.98,70.87,71.16,70.63
70.61,70.72,71.10,70.61
71.13,71.36,71.62,71.07
72.00,72.68,72.68,72.00
72.37,73.16,73.18,72.37
72.92,72.59,72.96,72.27
72.15,72.65,72.69,71.85
72.74,72.96,72.97,72.59
73.22,73.18,73.32,73.09
73.08,73.21,73.21,72.79
73.51,74.23,74.23,73.51
74.14,74.25,74.27,73.92
73.87,72.86,73.88,72.50
72.55,72.78,72.92,71.94
73.34,73.98,73.98,73.33
74.48,74.11,74.48,73.91
73.85,74.95,74.97,73.74
75.13,75.79,75.79,74.96
75.84,75.42,76.20,75.42
74.96,73.23,74.99,73.23
73.49,73.38,73.80,73.00
74.12,74.74,74.94,74.12
74.87,73.63,74.97,73.61
73.72,74.35,74.50,73.72
73.32,72.40,73.32,72.35
71.69,71.71,72.68,71.18
71.37,68.80,71.61,65.00
69.00,67.85,69.84,67.14
70.40,71.28,71.37,69.61
71.06,71.52,72.38,70.97
71.78,72.55,72.66,71.78
72.23,71.97,72.92,71.97
71.45,69.82,71.45,69.68
70.56,70.51,70.86,68.90
71.16,69.39,71.44,69.09
68.95,68.87,69.64,67.66
67.16,66.32,67.26,65.69
65.32,66.79,66.80,63.97
66.69,66.01,67.20,66.01
64.33,65.91,66.05,63.59
66.58,65.96,67.30,65.96
67.45,68.74,68.74,67.45
68.38,68.00,68.64,67.77
67.18,66.19,67.98,66.19
66.72,67.78,67.89,66.54
68.23,68.34,68.61,68.21
67.14,65.65,67.41,65.65
65.98,64.65,66.07,64.65
64.63,65.19,65.25,64.00
