TECH,Bio-Techne Corp - Common Stock,NASDAQ
69.06,68.68,69.74,68.27
68.49,68.09,68.99,67.59
68.40,67.91,68.46,67.79
68.03,68.07,68.81,67.57
67.88,67.94,68.30,67.19
68.28,67.50,68.71,67.20
67.21,67.40,67.68,67.05
67.71,68.20,68.24,67.26
67.98,68.25,68.42,67.90
68.04,67.06,68.39,67.04
67.02,67.50,67.98,67.02
66.86,66.83,67.34,66.06
66.70,65.63,66.78,65.55
65.78,65.43,66.16,65.07
65.74,64.94,65.74,64.57
64.74,65.32,65.49,64.24
65.03,65.63,65.68,64.82
65.48,65.85,66.44,65.16
65.85,65.62,66.93,65.62
65.52,66.18,66.29,65.05
64.00,65.69,65.81,63.04
63.21,63.99,64.35,63.10
63.61,62.83,63.80,62.65
62.99,61.48,63.28,60.33
61.66,61.19,62.86,60.63
61.75,61.20,62.16,60.95
60.96,60.49,60.96,60.00
60.56,60.51,60.72,60.03
60.05,61.79,61.82,60.05
61.93,61.50,61.93,61.24
61.52,62.06,62.20,61.23
62.24,62.48,62.62,61.92
62.52,63.06,63.08,62.18
63.00,62.86,63.19,62.36
62.58,63.08,63.29,62.06
63.03,63.71,63.77,63.03
63.21,63.51,63.82,63.10
63.69,63.92,63.97,63.21
63.89,64.75,65.13,63.72
64.68,65.57,65.74,64.68
65.80,65.49,65.88,65.16
65.50,65.45,65.54,65.19
65.49,65.69,66.00,64.95
65.49,65.11,66.44,64.85
65.12,65.03,65.21,64.60
64.86,65.12,65.92,64.63
64.76,65.58,65.62,64.30
65.86,65.38,65.86,64.84
65.46,65.77,66.35,65.46
65.68,65.87,66.02,65.41
66.11,65.90,66.19,65.46
65.66,65.97,66.13,65.66
66.00,65.57,66.23,65.40
65.25,66.21,66.49,65.10
66.37,66.93,67.01,65.10
66.85,66.10,66.85,66.04
66.53,65.96,66.53,65.31
65.89,65.39,66.18,64.74
65.34,65.32,65.54,65.12
65.54,64.89,65.58,64.61
64.63,63.58,64.95,63.46
63.65,63.65,64.18,63.26
63.56,63.30,63.63,63.11
63.00,63.20,63.41,63.00
63.00,63.10,63.25,62.73
63.17,62.82,63.17,62.59
62.74,62.62,62.75,62.15
62.53,62.05,62.62,61.88
61.85,62.71,62.96,61.58
63.05,63.01,63.65,62.32
63.15,63.65,64.03,63.15
63.55,63.73,63.93,63.50
63.60,64.07,64.16,62.91
64.25,65.00,65.12,63.67
64.96,65.37,65.50,64.78
64.92,65.25,65.28,64.36
65.16,65.46,65.53,65.00
65.61,65.62,65.92,65.02
65.30,64.50,66.12,64.43
64.09,64.81,64.87,63.51
65.07,65.95,66.13,64.42
66.17,66.25,67.65,65.98
66.52,66.40,66.66,66.13
64.20,64.66,65.13,63.38
64.01,63.01,64.52,62.96
62.84,62.03,62.94,60.47
61.86,61.79,62.10,60.44
63.20,63.36,63.76,62.71
63.15,63.57,63.89,62.54
63.67,63.51,63.80,62.58
63.24,63.00,63.56,62.76
62.76,61.96,62.76,61.50
62.32,62.40,62.71,60.83
62.71,61.32,63.07,61.09
61.05,61.55,61.99,60.79
60.69,60.58,61.26,59.99
59.97,60.35,60.62,59.87
60.39,60.15,61.02,59.98
59.26,59.83,60.00,58.04
60.19,60.47,61.58,59.48
61.49,60.80,62.10,60.55
61.05,60.55,61.05,59.36
60.42,60.05,61.42,59.87
60.13,60.94,60.94,59.86
61.19,61.38,61.74,60.87
60.90,59.85,61.25,59.63
60.11,58.95,60.48,58.94
59.01,58.00,59.36,57.67
58.11,57.10,58.47,57.10
57.61,58.68,58.71,57.49
58.15,59.40,59.81,58.15
59.63,59.56,60.33,59.47
59.65,60.34,60.40,59.51
60.25,60.38,60.88,60.25
60.25,60.33,60.99,60.01
60.31,60.23,61.19,60.11
60.84,59.61,61.41,59.47
59.54,58.90,60.53,58.86
59.01,58.48,59.09,58.03
58.60,57.99,59.11,57.83
57.98,59.32,59.60,57.98
59.12,59.68,60.33,58.51
59.04,58.18,59.57,58.01
58.01,57.45,58.41,57.36
57.53,56.40,57.53,55.63
56.60,56.56,57.21,55.89
57.03,57.17,57.85,56.72
57.39,57.60,57.77,56.65
58.05,58.16,58.90,57.72
58.23,57.74,58.37,57.53
57.39,57.43,57.94,57.21
57.75,58.60,58.70,57.55
58.57,58.46,59.00,58.32
58.36,57.88,58.64,57.55
57.75,56.56,58.19,56.50
56.52,56.77,56.95,56.39
56.64,57.34,57.42,56.18
57.62,56.14,57.62,56.08
56.63,57.08,57.75,56.42
57.08,57.22,57.73,56.43
57.48,58.92,59.10,56.97
59.05,59.16,59.44,58.55
59.00,58.62,59.52,58.50
59.18,57.97,59.65,57.63
57.49,58.40,58.71,57.00
59.04,58.94,59.53,58.49
58.92,60.91,61.31,58.92
61.11,61.35,61.49,60.14
61.03,61.09,61.74,60.65
60.69,62.39,62.60,60.64
62.64,62.60,63.44,61.55
61.92,61.51,62.88,61.22
60.89,60.10,61.13,60.08
59.47,60.35,60.56,58.53
60.07,59.73,60.79,59.40
59.61,59.69,59.94,59.23
60.22,61.01,61.43,59.36
60.89,61.13,61.35,60.51
60.94,59.69,61.06,59.35
59.64,60.12,60.14,59.05
60.42,59.79,61.11,59.64
59.23,58.40,59.23,58.17
57.94,58.59,58.80,57.91
58.85,58.25,59.14,58.06
58.70,59.56,59.64,58.01
59.23,58.80,59.61,58.72
58.60,57.73,58.95,57.50
58.47,58.94,59.47,58.13
58.96,59.25,59.39,58.61
59.93,60.00,60.18,59.67
60.88,59.35,60.88,59.17
59.28,59.48,60.10,59.04
60.13,60.15,60.46,59.38
60.19,59.82,60.29,59.62
60.23,60.27,60.53,59.88
60.34,60.74,61.00,60.29
60.52,61.40,61.66,60.52
61.35,60.96,61.64,60.88
61.16,60.89,61.69,60.81
60.92,61.47,61.87,60.92
61.52,60.84,61.83,60.69
60.61,60.89,61.42,60.61
60.49,60.17,60.84,60.12
60.61,61.33,61.64,60.29
61.26,60.86,61.45,60.73
60.84,60.69,61.10,60.59
60.68,61.15,61.19,60.68
61.54,61.73,62.43,61.36
61.84,61.80,62.15,61.22
61.80,61.42,61.99,61.36
62.00,62.77,62.91,61.76
62.80,62.39,63.17,62.15
62.68,62.12,62.68,61.90
62.11,61.86,62.47,61.79
61.73,61.75,62.11,61.58
61.53,62.23,62.39,61.10
62.50,61.85,62.50,61.54
61.85,61.86,62.23,61.46
62.09,62.18,62.46,61.11
62.03,63.08,63.32,61.77
62.58,61.59,63.08,61.48
61.91,62.84,63.36,61.74
62.99,63.93,63.96,62.34
63.99,64.29,64.34,63.25
64.65,64.16,64.72,63.34
63.65,60.58,63.71,60.50
60.20,60.95,61.26,60.08
61.45,61.46,62.00,61.14
61.46,60.92,61.84,60.91
61.24,61.15,61.25,60.90
61.50,61.31,61.59,60.96
61.32,61.18,61.60,60.64
61.60,60.50,61.64,60.49
60.48,60.21,60.56,59.74
59.86,60.30,60.40,59.74
60.28,60.22,60.65,60.11
59.94,60.68,61.11,59.81
60.13,60.82,61.00,60.00
60.80,60.55,60.82,60.15
60.82,60.73,61.19,60.53
60.20,59.80,60.90,59.48
59.98,60.12,60.48,59.53
60.49,60.52,60.91,60.20
60.42,60.16,60.55,59.66
59.88,59.84,60.37,58.90
59.29,59.42,60.53,58.60
59.92,60.65,60.82,59.92
60.26,60.65,60.99,60.16
60.26,60.36,60.66,59.93
59.85,60.07,60.44,59.39
60.47,60.99,61.15,60.12
61.05,61.83,62.09,60.88
61.85,62.55,62.77,61.83
62.50,61.73,62.59,61.51
61.88,61.51,62.24,61.24
61.66,61.52,62.00,61.19
61.66,61.37,61.99,61.01
61.74,63.53,63.90,61.56
63.48,63.31,63.91,62.97
63.51,64.50,64.73,63.45
64.30,65.33,65.88,64.30
65.40,65.94,66.99,65.03
65.99,66.04,66.62,65.44
66.41,66.71,67.00,65.96
66.95,67.04,67.26,66.49
67.14,67.21,67.61,67.01
67.19,67.15,67.44,66.93
67.05,67.33,67.74,67.05
67.33,67.68,67.91,67.08
67.64,68.02,68.12,67.40
67.80,66.89,67.88,66.83
66.72,65.67,66.92,65.58
66.20,66.49,67.28,66.20
66.74,66.40,67.16,65.53
66.21,67.30,67.75,65.96
67.19,66.35,67.40,66.31
66.15,66.18,66.68,65.81
66.05,66.88,67.35,65.76
66.38,66.47,67.12,65.79
66.50,65.94,66.50,65.33
65.70,65.92,66.34,65.70
65.71,66.76,66.89,65.46
66.28,67.49,67.49,66.28
67.50,67.15,67.63,67.06
67.05,67.00,67.46,66.66
67.35,67.25,67.61,66.97
67.31,68.11,68.47,67.27
67.93,67.41,68.33,66.75
67.34,68.13,68.50,67.34
67.88,69.30,69.96,67.88
69.32,68.60,70.00,68.36
68.91,68.95,69.73,68.14
69.50,69.02,69.80,68.04
69.02,68.93,70.20,68.78
68.97,68.35,69.52,67.78
67.86,68.72,69.14,67.17
68.87,69.11,69.83,68.65
68.98,68.66,69.46,68.32
68.27,67.81,68.43,67.22
67.82,68.15,68.39,67.52
68.04,68.38,68.70,67.67
68.46,68.67,68.74,67.92
68.40,68.51,68.75,68.08
68.83,68.66,68.99,68.27
68.66,68.97,69.20,68.50
68.78,71.43,72.21,68.78
72.09,70.86,72.71,70.81
71.13,70.27,71.63,69.67
70.70,69.94,71.18,69.86
70.20,71.57,71.57,70.00
72.38,71.69,73.00,71.62
72.11,70.88,72.50,70.43
70.99,71.66,72.01,70.99
72.36,72.90,73.22,72.11
73.05,73.10,73.11,72.01
73.53,72.24,73.65,71.50
72.36,73.26,73.96,71.85
73.31,72.75,73.43,72.36
72.16,71.50,72.60,70.88
71.61,72.09,72.32,70.93
71.80,71.02,72.08,71.00
70.16,70.20,70.80,69.44
70.24,69.77,70.68,69.69
70.63,70.12,70.63,70.12
70.67,70.65,70.99,70.40
71.61,71.34,72.25,70.68
71.50,71.14,71.56,70.43
71.21,70.57,71.34,70.20
70.74,71.29,71.57,70.18
71.38,71.51,71.95,71.19
71.84,71.11,71.86,70.85
70.98,71.96,72.62,70.98
72.43,71.57,72.43,71.42
71.56,71.59,71.72,71.21
71.75,72.65,72.67,71.54
72.99,73.54,73.61,72.79
73.61,73.71,73.89,73.31
74.16,74.08,74.35,73.83
74.00,74.45,74.99,73.61
74.73,73.75,74.73,73.22
73.85,73.77,74.42,73.12
73.56,73.82,73.83,73.12
74.00,73.70,74.13,73.26
73.51,73.68,73.86,72.99
73.91,74.38,74.75,73.41
74.01,73.38,74.38,72.17
73.74,73.62,73.86,72.84
74.05,74.98,75.00,74.05
75.00,75.40,75.63,74.70
75.54,75.41,75.74,74.84
75.45,76.71,77.68,75.04
76.83,76.80,77.16,76.23
76.95,76.94,77.38,76.71
77.12,77.71,77.99,76.68
78.00,77.67,78.49,77.66
77.67,79.90,80.34,77.67
79.84,78.56,80.20,78.46
77.87,77.51,78.45,77.26
77.99,78.18,79.10,77.58
77.90,78.75,79.00,77.77
78.79,79.70,79.87,78.79
