APC,Anadarko Petroleum Corporation Common Stock,NASDAQ
63.60,64.74,64.90,63.47
65.16,66.56,66.80,64.74
66.84,67.14,67.62,66.37
66.86,67.03,67.34,66.17
66.71,67.06,67.22,66.27
67.58,66.31,68.20,65.73
65.65,64.14,65.65,63.70
64.37,66.47,66.88,63.43
66.70,66.77,66.85,65.98
66.77,65.89,67.01,65.15
65.17,66.92,66.92,65.17
66.07,65.77,66.35,65.36
67.11,64.15,67.30,64.02
64.00,63.13,65.00,62.98
63.88,64.93,65.72,63.55
64.24,63.89,65.38,63.59
65.94,64.98,66.21,63.92
66.54,65.38,67.00,65.17
66.07,63.78,66.68,63.35
64.42,65.10,65.37,63.92
64.86,66.34,66.49,63.86
66.24,66.41,67.05,65.86
65.05,62.79,65.47,62.78
62.66,62.95,63.44,60.75
63.02,62.33,63.81,61.93
63.03,63.54,64.34,62.61
63.42,64.04,64.49,62.71
63.81,65.53,65.65,63.39
64.31,65.32,65.53,63.90
66.84,67.92,68.11,66.55
67.99,68.81,69.00,67.92
69.75,70.39,70.50,69.19
70.19,70.18,70.59,69.75
70.41,69.19,70.53,68.70
68.73,69.18,69.54,67.89
69.19,69.64,70.38,69.06
68.38,69.70,69.78,67.90
69.99,70.13,70.36,68.75
70.50,70.41,71.08,69.80
70.80,70.88,72.76,70.41
71.28,70.17,71.68,70.10
70.40,70.12,71.45,69.71
70.87,72.11,72.33,70.78
72.23,71.14,72.23,70.91
70.43,71.23,71.78,70.30
71.40,71.29,71.94,70.70
71.05,72.32,72.41,71.00
72.80,72.05,72.80,71.50
71.68,71.30,71.83,70.18
71.80,71.89,71.95,71.03
72.19,73.14,73.89,72.10
72.60,70.94,72.68,70.45
71.59,69.99,71.59,69.22
69.15,70.52,70.75,68.50
70.99,70.77,71.07,69.87
70.09,70.36,70.66,69.73
70.90,68.75,70.90,68.48
68.84,69.40,69.61,68.05
69.80,71.53,71.64,69.50
71.74,72.35,72.45,70.90
72.55,72.83,73.68,72.35
73.72,74.31,74.43,73.71
74.82,74.74,74.95,74.13
74.46,73.95,75.00,73.73
73.25,72.49,73.56,72.12
72.00,73.08,73.35,70.91
73.62,73.30,74.15,72.77
73.03,72.91,73.78,72.72
72.61,72.54,72.80,71.37
72.86,74.07,74.13,71.72
74.11,74.74,75.07,73.85
74.05,73.50,74.87,72.94
72.71,73.32,73.40,72.16
73.55,73.94,74.14,72.73
73.91,72.58,74.04,71.54
71.81,73.37,73.51,71.60
72.96,74.11,74.16,71.60
73.77,73.18,74.19,73.04
72.62,70.10,72.74,69.78
70.86,70.20,70.88,69.22
70.59,67.33,71.22,66.41
66.00,62.16,66.22,61.71
61.10,64.03,66.17,59.83
63.19,64.40,64.95,62.10
64.20,61.83,64.25,61.43
61.49,60.95,63.06,57.18
60.63,58.88,61.21,57.63
61.09,57.63,61.25,56.72
56.33,55.84,57.82,55.60
55.47,56.96,57.48,55.36
56.72,57.85,59.20,55.95
58.59,57.32,58.59,56.50
58.00,57.18,58.70,55.64
58.17,58.04,59.43,57.77
58.04,56.68,58.11,55.72
55.15,53.35,55.91,53.35
52.27,54.83,54.85,51.25
54.28,53.19,54.28,53.08
51.07,52.80,52.90,50.62
53.79,53.34,54.61,53.14
55.73,55.57,57.57,54.80
55.26,52.33,55.44,52.05
46.42,42.10,47.38,41.97
43.12,44.36,44.49,42.12
46.21,46.06,46.25,44.05
45.81,45.12,48.23,44.82
45.50,44.82,46.45,44.68
43.87,42.80,44.24,41.24
42.84,34.83,44.17,34.54
37.54,39.15,39.26,36.74
40.08,41.79,42.34,39.85
39.70,42.00,43.14,39.59
42.04,44.71,45.24,41.88
43.75,43.06,45.54,42.05
43.61,41.60,43.70,40.54
41.34,42.57,43.62,41.11
41.98,43.45,44.37,40.77
42.59,41.70,43.50,41.15
41.71,39.86,41.74,39.30
40.22,37.77,40.80,37.68
37.32,37.68,37.87,36.31
38.02,37.74,38.27,37.22
37.03,36.67,37.25,36.40
35.10,36.09,37.35,34.84
36.93,37.17,37.90,36.06
37.51,38.07,38.40,37.10
39.12,38.64,39.44,38.09
39.49,41.59,41.70,39.11
43.01,44.56,45.35,42.12
44.44,45.41,46.22,43.84
46.18,46.75,47.25,45.85
47.59,47.62,49.11,46.63
46.90,47.58,48.19,46.10
47.89,49.08,49.93,47.06
49.16,47.46,49.35,47.02
47.00,45.52,47.32,44.44
44.71,46.14,46.35,44.48
46.61,45.98,46.85,45.33
46.50,48.10,48.25,46.39
47.95,48.77,49.17,47.47
49.86,50.53,50.74,49.15
50.55,50.31,50.72,49.44
