ALV,Autoliv,NASDAQ
69.61,69.42,70.00,68.65
68.40,68.95,69.11,68.36
67.86,67.01,68.53,66.53
67.28,69.13,69.53,67.23
70.03,69.52,70.42,69.24
70.20,69.99,70.20,69.22
70.76,71.00,71.53,70.62
68.81,70.30,71.00,68.35
70.47,70.79,71.28,69.88
71.50,71.09,71.59,70.40
70.96,71.30,71.63,70.92
71.40,70.96,71.92,70.52
71.11,72.43,72.98,71.11
71.85,72.98,73.06,71.50
74.47,76.00,76.06,74.14
75.10,76.03,76.54,74.87
74.48,75.67,76.07,73.97
76.23,75.95,76.76,75.58
75.81,75.49,75.86,74.95
74.00,74.90,75.13,73.59
74.14,73.01,74.41,72.22
73.83,73.64,74.40,73.48
72.84,72.06,73.57,71.56
72.70,73.24,73.59,72.44
74.19,74.54,74.93,74.05
74.44,74.59,74.92,74.20
75.65,75.29,76.00,74.41
73.86,73.13,74.57,72.65
73.27,74.96,75.12,73.27
73.38,74.79,74.83,73.28
73.72,74.00,74.10,72.69
72.74,73.42,74.09,72.32
74.68,75.84,75.90,74.57
76.10,78.35,78.42,76.05
78.44,79.86,80.10,78.23
79.62,80.15,80.48,79.53
80.71,79.36,80.78,79.19
78.72,79.46,79.58,78.58
77.17,77.55,78.34,76.59
76.82,77.49,77.70,76.68
77.52,78.32,78.78,77.44
78.20,78.73,79.43,78.18
78.58,78.58,79.06,78.31
78.57,80.03,80.10,78.15
79.91,80.22,80.51,79.00
80.58,81.05,81.33,80.09
81.82,81.22,81.97,80.40
80.90,80.95,81.33,80.30
80.69,81.49,81.68,80.69
80.10,79.16,80.17,78.93
78.65,77.88,78.72,77.52
78.54,79.02,79.34,78.32
79.14,79.37,79.81,78.62
79.23,78.94,79.79,78.87
80.75,81.91,81.99,80.59
82.15,81.47,82.18,80.57
79.59,81.67,82.00,79.15
81.67,80.58,81.84,80.40
80.20,80.00,80.50,79.35
79.28,80.80,81.06,78.89
81.94,82.18,82.29,81.50
82.99,83.53,83.86,82.64
83.14,82.10,83.30,81.60
81.21,82.33,82.35,81.12
80.95,81.73,81.99,80.72
81.42,79.73,81.61,79.40
77.65,77.50,77.98,76.63
77.63,76.94,77.90,75.87
76.78,77.52,77.65,76.46
77.31,77.69,77.69,76.72
79.03,80.24,80.40,78.84
80.54,80.92,81.73,80.26
79.90,77.39,80.03,76.75
78.57,76.80,78.68,76.66
79.06,77.69,79.20,76.45
75.89,74.94,76.62,74.71
74.81,74.38,74.81,73.33
74.38,74.24,74.82,73.87
74.91,75.92,76.46,74.62
76.44,77.68,77.74,76.18
77.38,76.78,77.71,76.26
76.06,76.94,77.11,76.00
76.06,78.00,78.45,76.04
77.45,78.37,78.90,77.44
77.76,77.22,77.89,77.02
77.50,77.51,78.05,77.18
76.75,75.86,77.02,75.71
76.29,75.75,76.29,75.37
74.54,72.95,74.80,72.52
73.11,71.34,73.53,70.71
72.32,72.04,72.79,71.10
73.35,74.30,74.36,73.15
75.49,74.89,75.77,74.17
75.27,73.10,75.38,72.87
73.21,74.45,74.74,73.15
74.72,75.01,75.61,74.71
75.15,74.27,75.25,73.59
74.10,73.89,74.63,72.78
74.48,74.80,75.32,74.08
75.41,75.12,75.64,74.61
74.14,73.47,74.32,73.30
73.42,73.36,73.53,72.60
72.23,71.67,72.92,70.61
67.54,70.06,70.64,67.26
69.74,68.69,70.69,67.96
71.12,70.40,71.66,70.04
72.79,71.67,72.79,71.32
73.01,73.31,73.49,72.79
72.35,71.11,72.48,70.73
71.48,71.90,72.28,70.54
72.64,73.16,73.85,72.21
72.32,71.92,73.13,71.83
71.87,72.21,72.87,71.82
72.20,72.82,73.13,71.66
73.71,73.55,74.06,73.24
73.69,74.23,74.34,73.27
74.29,74.54,74.95,74.05
75.41,75.02,75.52,74.76
74.86,75.50,75.96,74.75
75.60,74.53,75.67,74.22
73.88,72.74,74.23,72.49
73.34,71.44,73.44,71.00
70.99,70.78,71.17,70.43
70.40,69.00,70.42,68.14
70.76,69.40,70.76,68.74
69.83,69.55,70.16,68.61
69.77,70.43,70.74,69.33
69.14,69.13,69.31,68.04
71.68,72.62,72.64,70.87
77.09,78.15,78.75,77.08
79.22,78.00,79.22,77.40
78.10,77.46,78.10,76.67
78.47,79.25,79.78,78.39
79.40,79.72,80.00,78.63
79.24,79.19,79.66,78.83
80.30,80.13,80.84,79.99
81.19,79.85,81.19,79.55
79.18,79.03,79.56,78.42
79.28,78.07,79.85,77.77
76.88,76.68,77.92,76.13
77.39,77.25,78.43,76.74
77.13,77.47,77.85,76.82
78.36,79.11,79.32,78.32
78.09,77.22,78.51,76.98
77.21,77.22,77.46,76.15
77.50,76.52,77.83,76.19
76.01,75.50,76.88,75.46
75.24,74.74,75.69,74.39
75.07,75.56,75.69,74.89
76.11,75.54,76.51,75.26
75.36,75.34,76.14,74.18
73.52,73.67,74.11,72.98
74.00,72.84,74.24,72.49
72.84,74.01,74.61,72.64
74.13,73.95,74.26,73.13
74.77,74.99,75.56,74.67
76.59,76.98,76.98,76.03
76.32,72.99,76.33,72.85
73.43,73.26,74.49,72.98
73.17,73.33,74.26,72.67
72.94,72.71,73.57,72.26
73.65,72.62,73.68,72.58
72.34,71.73,72.69,71.57
72.61,72.68,73.52,72.21
72.20,70.68,72.37,70.21
70.47,70.05,71.20,69.40
71.70,72.30,72.93,71.58
70.38,70.31,71.42,70.01
69.95,71.04,71.65,69.95
71.83,71.71,72.05,70.91
71.04,72.15,72.56,70.96
72.78,74.62,74.86,72.76
74.06,74.09,75.16,74.04
72.54,74.80,74.82,71.88
75.07,74.51,76.12,74.18
74.25,75.80,76.60,73.88
76.12,77.52,77.55,76.08
77.74,78.06,79.21,77.21
78.08,78.45,79.35,77.64
78.02,78.70,79.08,77.48
78.91,79.08,79.63,78.56
78.27,77.99,78.72,77.41
79.23,79.77,80.05,79.01
73.02,71.14,74.68,70.96
69.79,68.91,69.97,68.65
69.40,70.30,71.30,69.16
70.86,70.65,71.60,70.28
71.22,69.87,71.65,69.42
69.83,69.42,70.19,68.97
68.05,68.85,68.95,68.05
69.24,69.32,69.83,68.42
70.20,69.80,70.39,69.30
69.63,68.20,69.78,66.61
69.25,69.11,69.33,68.11
69.09,68.36,69.22,68.25
68.22,66.77,68.26,66.08
67.19,66.31,67.21,65.73
65.73,66.27,66.81,65.62
65.39,66.16,66.66,64.45
66.68,65.14,67.56,64.48
62.58,61.37,63.83,61.36
61.76,61.40,62.47,59.46
58.77,56.28,59.26,56.23
58.19,55.82,58.19,53.95
51.39,50.16,55.03,49.81
53.95,55.12,55.13,51.39
53.49,51.66,54.14,51.62
52.03,54.68,55.51,51.92
54.42,55.62,56.08,54.18
56.72,56.17,57.24,55.62
54.86,54.03,55.54,53.68
55.12,54.49,55.77,53.63
52.30,50.59,52.44,50.00
49.53,48.92,51.04,48.61
50.57,48.93,50.89,48.56
49.66,51.33,51.34,48.94
51.74,53.61,53.75,50.94
53.58,51.45,54.12,51.22
50.93,52.61,53.13,50.39
53.13,54.68,54.72,53.13
53.98,54.78,55.22,53.48
55.70,55.82,56.81,55.01
55.61,55.01,56.70,54.97
53.39,53.38,54.10,52.74
50.54,51.59,52.11,50.09
52.95,54.44,54.54,52.67
52.76,52.53,53.82,52.24
51.21,50.53,52.08,50.06
48.45,49.72,49.82,48.32
50.20,50.50,50.89,49.26
50.73,51.82,52.60,49.79
52.92,53.53,53.85,52.38
53.39,53.48,53.80,52.54
51.79,52.52,52.82,51.48
53.24,52.49,53.82,52.38
52.28,49.19,52.36,49.19
47.59,47.72,48.29,46.83
45.92,47.70,48.17,45.92
47.83,49.17,49.45,46.75
50.65,50.92,52.54,50.42
51.08,48.50,51.55,48.33
50.14,50.19,50.99,48.85
48.78,48.50,49.72,48.02
47.48,46.14,48.95,46.02
45.05,49.44,49.45,44.38
49.07,49.78,49.98,48.06
49.92,51.71,51.86,49.60
52.22,51.27,53.07,50.67
52.89,54.30,54.31,52.85
53.94,55.41,55.73,53.92
56.41,55.66,56.64,55.24
56.21,56.16,56.45,54.90
57.09,56.93,57.38,56.03
56.54,56.13,56.85,55.87
56.72,58.10,58.47,55.75
55.78,55.20,56.14,54.81
54.98,54.76,55.00,52.80
55.31,55.98,56.48,54.99
56.73,59.03,59.07,56.54
57.29,55.76,57.34,54.72
56.65,56.91,57.40,55.59
59.77,59.41,60.02,59.00
59.56,60.19,60.46,59.32
58.70,57.77,59.06,57.68
54.19,54.65,55.54,53.94
55.09,55.65,56.25,54.20
56.37,57.78,58.10,55.66
56.57,56.55,56.99,55.63
55.96,56.19,56.35,54.89
56.26,56.52,56.70,55.18
54.20,53.96,54.78,53.58
55.04,54.71,55.34,54.20
55.70,56.10,56.77,55.62
56.08,55.86,56.62,55.33
54.42,54.28,55.77,53.98
53.94,52.90,54.19,52.83
53.77,52.12,53.77,51.89
52.21,50.97,52.27,50.84
49.60,49.91,50.30,49.32
49.69,49.13,49.92,49.00
48.92,48.39,49.19,48.24
47.76,47.75,48.39,47.67
49.96,50.07,50.61,49.43
50.43,49.91,51.02,49.69
52.05,53.28,53.52,52.04
53.36,52.57,53.93,52.30
54.52,54.14,54.98,54.06
55.47,55.39,56.16,55.02
55.11,55.22,55.69,54.64
54.13,55.15,55.44,53.92
54.02,53.03,54.47,52.87
54.06,54.13,54.83,53.83
52.85,52.37,53.00,51.55
52.82,50.27,53.09,49.77
50.29,49.24,50.49,49.04
49.81,49.38,50.01,49.22
49.84,49.05,50.09,48.81
49.49,48.23,49.65,47.95
50.62,51.51,51.75,50.48
51.70,52.34,52.53,51.06
52.35,52.42,52.85,52.03
52.67,53.15,53.28,52.47
53.03,52.84,53.13,52.76
52.39,52.04,52.65,51.90
52.57,52.98,53.33,52.44
53.56,53.49,54.43,53.47
55.66,55.26,56.29,55.11
55.68,55.53,56.18,55.29
55.10,56.27,56.34,54.92
56.35,56.49,56.74,56.00
56.88,56.36,57.00,56.20
57.68,58.80,59.00,57.63
58.82,58.49,58.82,57.96
58.98,58.61,59.04,57.61
58.11,58.24,58.42,57.17
60.27,59.25,61.20,59.10
60.24,61.47,61.60,60.10
61.87,61.53,62.06,61.07
61.56,62.81,62.82,61.55
62.63,63.84,64.41,62.62
62.19,63.64,63.73,62.12
62.45,63.79,63.86,62.35
64.53,63.92,64.99,63.61
63.29,63.46,63.88,63.16
62.25,63.68,63.83,62.16
64.50,63.09,64.90,62.85
65.51,64.91,66.00,63.52
64.85,64.35,64.85,63.28
64.95,66.12,66.69,64.81
65.52,65.78,66.34,65.51
65.62,65.20,65.69,64.80
65.24,65.67,66.02,65.19
65.30,65.92,65.98,65.18
64.43,65.41,65.41,64.17
65.98,65.25,66.12,64.94
64.74,65.23,65.34,64.73
66.04,65.30,66.36,65.18
64.94,67.38,67.78,64.94
68.19,67.69,68.32,67.16
68.96,67.94,69.21,67.78
67.56,67.00,67.63,66.97
66.30,66.73,67.06,65.72
67.95,68.21,68.97,67.69
66.96,67.58,67.73,66.04
67.39,67.09,67.93,66.74
67.58,66.60,68.03,66.53
66.65,68.03,68.52,66.59
68.23,67.80,68.73,67.38
67.13,66.27,67.26,66.17
63.83,63.94,64.19,63.34
64.03,63.79,64.59,63.63
65.10,65.48,66.01,65.02
65.27,66.12,66.48,65.18
66.28,65.52,66.38,65.36
66.57,68.25,68.32,66.50
68.78,68.56,68.94,68.18
68.42,69.05,69.07,68.11
69.42,68.89,69.61,68.76
68.70,68.91,69.26,68.21
66.49,66.69,67.02,65.50
66.80,66.26,67.00,66.20
65.65,66.06,66.19,65.46
65.81,66.49,66.55,65.22
67.31,67.46,67.99,66.91
67.62,67.20,67.89,67.16
67.47,66.11,67.59,65.42
65.59,66.03,66.17,65.04
67.20,67.05,67.36,66.27
67.40,68.64,68.76,67.27
69.00,68.37,69.47,68.03
66.93,66.49,67.11,65.94
66.15,66.56,66.67,65.82
65.03,64.71,65.05,64.17
64.34,63.34,64.87,63.24
64.50,63.88,64.54,63.69
64.49,64.82,65.18,64.16
64.14,63.66,64.72,63.52
64.25,64.11,64.69,63.49
65.12,65.41,65.72,64.83
64.92,65.03,65.33,64.72
65.78,64.54,65.95,64.33
65.93,65.78,66.22,65.46
63.83,63.63,63.98,62.91
63.62,63.57,63.82,63.00
65.13,65.28,65.55,64.44
65.72,66.36,66.59,65.29
67.36,65.31,67.55,64.87
64.90,62.74,65.10,62.54
62.77,63.88,64.23,62.70
63.99,63.93,64.33,63.66
64.27,62.27,64.27,62.14
61.48,60.27,61.64,60.09
60.08,60.69,60.82,60.01
60.15,60.92,61.12,59.71
59.49,59.89,60.94,59.43
60.35,59.83,60.66,59.70
59.48,59.54,61.01,59.43
58.79,59.22,59.70,58.60
58.55,58.49,59.46,58.32
58.52,58.00,59.25,58.00
58.01,56.82,58.18,56.76
56.42,55.21,56.69,55.00
55.72,56.01,56.48,55.61
56.99,57.21,57.79,56.62
56.66,57.71,57.87,56.56
57.89,57.41,57.92,56.98
57.00,57.16,57.57,56.89
59.57,59.20,59.71,58.45
58.23,57.47,58.23,57.44
57.70,57.81,58.05,56.90
56.26,54.81,56.47,54.81
55.21,54.93,55.26,53.95
54.21,55.13,55.26,54.21
55.77,56.89,57.32,55.60
57.97,56.93,58.36,56.78
56.04,57.25,57.36,55.76
57.83,54.71,57.95,54.64
54.83,54.44,55.19,53.86
53.21,52.55,53.97,52.37
52.23,52.21,52.63,51.72
52.69,52.77,53.14,52.52
52.61,53.30,53.62,52.53
54.53,55.22,55.80,54.35
56.11,55.59,56.44,55.40
55.96,54.45,56.26,54.39
54.92,53.95,55.06,53.54
52.95,52.23,53.00,52.06
52.23,51.89,52.37,51.31
52.09,52.52,52.65,51.87
51.75,52.66,52.81,51.71
54.55,54.66,54.86,53.61
54.94,54.60,55.07,54.02
54.68,56.44,56.52,54.66
56.25,56.09,57.07,56.05
55.34,54.61,55.49,54.25
