OPHC,OptimumBank Holdings,NASDAQ
2.67,1.83,2.75,1.65
1.77,1.78,1.79,1.74
1.84,1.66,1.85,1.66
1.66,1.65,1.66,1.65
1.68,1.59,1.68,1.52
1.50,1.44,1.50,1.44
1.35,1.35,1.50,1.35
1.49,1.33,1.49,1.33
1.33,1.33,1.33,1.33
1.47,1.35,1.47,1.35
1.34,1.35,1.35,1.30
1.46,1.63,1.64,1.40
1.58,1.62,1.62,1.58
1.62,1.64,1.64,1.62
1.64,1.64,1.64,1.64
1.35,1.62,1.72,1.35
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.46,1.61,1.61,1.46
1.35,1.16,1.37,1.10
1.40,1.25,1.40,1.21
1.31,1.25,1.31,1.25
1.25,1.25,1.25,1.25
1.26,1.27,1.27,1.26
1.08,1.08,1.08,1.08
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.33,1.28,1.33,1.17
1.27,1.20,1.28,1.20
1.20,1.20,1.20,1.20
1.17,1.05,1.17,1.05
1.15,1.11,1.15,1.10
1.26,1.25,1.26,1.19
1.11,1.20,1.20,1.11
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.19,1.20,1.20,1.19
1.09,1.14,1.39,1.09
1.14,1.14,1.14,1.14
1.14,1.14,1.14,1.14
1.14,1.14,1.14,1.14
1.12,1.13,1.13,1.12
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.16,1.16,1.16,1.16
1.14,1.12,1.20,1.12
1.12,1.16,1.16,1.12
1.08,1.08,1.10,1.00
0.97,0.97,1.02,0.89
0.97,0.97,0.97,0.97
1.01,0.98,1.01,0.90
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.88,0.84,0.88,0.84
0.85,0.89,0.94,0.84
0.93,0.86,0.93,0.86
0.86,0.86,0.86,0.86
0.82,0.91,0.95,0.82
0.91,0.91,0.91,0.91
0.81,0.90,0.90,0.80
0.80,0.82,0.82,0.80
0.83,0.80,0.83,0.80
0.80,0.80,0.80,0.80
0.99,0.80,0.99,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.75
0.76,0.78,0.78,0.75
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.78,0.83,0.83,0.73
0.83,0.84,0.84,0.80
0.84,1.04,1.18,0.84
1.07,1.57,1.71,1.06
1.69,1.22,1.82,1.07
1.35,1.29,1.45,1.23
1.23,1.06,1.27,1.05
1.15,1.20,1.26,1.05
1.26,1.30,1.62,1.25
1.30,1.10,1.50,1.10
1.15,1.32,1.32,1.15
1.30,1.06,1.30,1.05
1.30,1.10,1.30,1.03
1.10,1.05,1.19,1.04
1.04,1.07,1.17,1.04
1.08,1.18,1.18,1.08
1.11,1.05,1.11,1.05
1.04,1.00,1.04,0.93
0.90,0.99,1.01,0.85
0.90,0.93,0.96,0.85
0.85,0.90,0.90,0.85
0.83,0.78,0.85,0.67
0.77,0.84,0.84,0.77
0.78,0.82,0.82,0.78
0.81,0.82,0.82,0.81
0.85,0.87,0.87,0.85
0.86,0.84,0.88,0.80
0.85,0.80,0.86,0.75
0.80,0.80,0.80,0.75
0.80,0.80,0.80,0.80
0.75,0.71,0.77,0.65
0.68,0.68,0.68,0.68
0.69,0.70,0.70,0.69
0.64,0.62,0.64,0.62
0.64,0.68,0.68,0.64
0.70,0.55,0.70,0.55
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.52,0.55,0.55,0.50
0.50,0.45,0.50,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.47,0.45,0.47,0.45
0.36,0.55,0.55,0.35
0.42,0.48,0.58,0.42
0.39,0.50,0.50,0.39
