TIK,Tel-Instrument Electronics Corp. Common Stock,NASDAQ
5.15,5.15,5.15,5.15
5.10,5.30,5.30,4.99
5.25,5.30,5.30,5.25
5.30,5.30,5.30,5.30
5.30,5.30,5.30,5.30
5.30,5.30,5.45,5.30
5.39,5.30,5.39,5.30
5.30,5.30,5.30,5.30
5.37,5.39,5.39,5.28
5.39,5.45,5.45,5.39
5.47,6.37,6.44,5.26
6.58,6.60,6.60,6.26
6.58,6.50,6.73,6.29
6.49,6.41,6.49,6.36
6.45,6.60,6.60,6.31
6.66,6.69,6.69,6.40
6.42,6.58,6.63,6.42
6.51,6.25,6.51,5.67
6.39,6.45,6.45,6.37
6.50,6.90,7.89,6.50
6.85,7.15,7.48,6.85
7.19,7.00,7.19,7.00
7.06,7.00,7.06,7.00
7.00,7.00,7.00,7.00
6.98,7.00,7.00,6.98
7.10,7.10,7.59,7.10
6.85,7.60,8.29,6.85
8.49,7.60,8.50,7.60
7.20,6.98,7.50,6.50
7.34,7.00,7.34,6.85
6.75,6.40,6.94,6.25
6.35,6.87,7.20,6.35
6.78,7.75,8.76,6.78
8.20,8.00,8.20,7.80
8.00,8.00,8.00,8.00
7.50,7.99,8.00,7.50
7.59,7.59,7.59,7.20
6.90,7.65,7.65,6.90
7.35,7.35,7.38,7.35
7.80,7.97,7.99,7.80
8.30,8.05,8.64,8.00
8.10,8.00,8.10,7.98
7.82,7.82,7.82,7.82
7.70,7.80,7.80,7.51
7.80,7.80,7.80,7.80
7.65,7.70,7.70,7.65
7.88,7.80,7.88,7.80
7.99,7.99,7.99,7.99
7.72,7.72,7.72,7.72
8.00,7.99,8.00,7.99
7.67,7.89,7.89,7.03
7.86,7.51,7.86,7.25
7.75,7.75,7.75,7.36
7.55,7.36,8.25,7.36
7.37,7.56,7.56,7.37
7.52,7.60,7.70,7.25
7.74,7.75,7.75,7.74
7.75,7.75,7.75,7.75
7.75,7.75,7.75,7.75
7.98,7.97,7.98,7.97
7.87,7.70,8.00,7.60
7.99,7.77,8.00,7.77
7.77,7.77,7.77,7.77
7.77,7.77,7.77,7.77
7.79,8.00,8.10,7.70
8.00,8.00,8.00,8.00
7.51,7.90,7.90,7.51
7.97,7.97,7.97,7.97
7.97,7.97,7.97,7.97
7.99,7.90,7.99,7.74
8.00,7.90,8.00,7.90
7.85,7.86,7.86,7.78
7.82,7.99,8.00,7.82
8.04,7.89,8.04,7.65
7.75,7.75,7.75,7.75
7.75,8.20,8.39,7.75
8.25,8.10,8.27,8.10
8.10,8.10,8.10,8.10
7.70,8.00,8.14,7.70
8.10,8.10,8.15,7.85
8.15,8.05,8.15,8.00
8.15,8.15,8.15,8.00
8.15,8.15,8.15,8.15
7.62,7.75,7.75,7.41
7.90,7.90,7.90,7.90
8.15,8.15,8.15,8.15
8.12,8.12,8.12,8.12
8.15,8.00,8.15,7.50
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
7.50,7.86,7.86,7.31
7.86,7.86,7.86,7.86
7.86,7.86,7.86,7.86
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
7.30,7.08,7.30,6.89
7.19,7.38,7.38,7.19
7.38,7.38,7.38,7.38
7.25,7.23,7.25,6.51
7.01,7.09,7.09,6.00
7.09,7.09,7.09,7.09
6.71,6.71,6.71,6.71
6.71,6.71,6.71,6.71
6.34,6.99,6.99,6.31
6.99,6.99,6.99,6.99
6.97,6.97,7.00,6.97
6.97,6.97,6.97,6.97
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.20,7.25,7.25,7.20
7.25,7.25,7.25,7.25
6.80,7.02,7.02,6.61
7.02,7.02,7.02,7.02
7.02,7.02,7.02,7.02
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
6.95,7.00,7.00,6.95
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
6.68,7.00,7.00,6.25
7.00,7.00,7.00,7.00
6.75,6.70,6.75,6.53
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
6.95,6.99,6.99,6.95
6.79,6.98,6.98,6.79
6.59,6.90,6.99,6.40
6.90,6.90,6.90,6.90
6.55,6.70,6.70,6.51
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.71,7.00,7.00,6.71
7.00,7.00,7.00,7.00
6.51,6.59,6.59,6.31
6.59,6.59,6.59,6.59
6.59,6.59,6.59,6.59
6.75,6.75,6.75,6.74
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.40,6.94,6.94,6.21
6.94,6.94,6.94,6.94
6.94,6.94,6.94,6.94
6.94,6.94,6.94,6.94
6.94,6.94,6.94,6.94
6.94,6.94,6.94,6.94
6.45,6.93,6.93,6.31
6.47,6.99,6.99,6.47
6.99,6.99,6.99,6.99
6.99,6.99,6.99,6.99
6.71,6.91,6.91,6.29
6.61,7.00,7.00,6.50
7.00,6.90,7.00,6.71
6.90,6.90,6.90,6.90
6.90,6.90,6.90,6.90
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.44,6.51,6.75,6.04
6.29,6.29,6.29,6.29
6.49,6.49,6.49,5.94
6.55,6.55,6.55,6.55
6.33,6.65,6.75,5.85
6.41,6.25,6.41,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.00,6.19,6.21,5.82
6.20,6.28,6.40,6.10
6.35,6.39,6.39,6.35
6.28,6.40,6.75,6.28
6.58,6.58,6.58,6.58
6.46,6.29,6.64,6.00
6.19,6.40,6.43,6.19
6.51,6.47,6.51,6.47
6.47,6.47,6.47,6.47
6.30,6.71,6.71,6.30
6.44,6.43,6.44,6.43
6.43,6.43,6.43,6.43
6.30,6.30,6.30,6.30
6.05,6.26,6.26,6.05
6.26,6.26,6.26,6.26
6.44,6.44,6.44,6.41
6.22,6.40,6.40,6.21
6.40,6.40,6.40,6.40
6.40,6.40,6.40,6.40
6.34,6.50,6.50,6.14
6.52,6.57,6.57,6.52
6.57,6.36,6.71,6.26
6.48,6.50,6.50,6.48
6.50,6.50,6.50,6.50
6.37,6.45,6.45,6.21
6.90,6.75,6.90,6.75
6.63,6.75,6.75,6.50
6.73,6.74,6.74,6.73
6.75,6.75,6.75,6.75
6.66,6.66,6.66,6.66
6.75,6.75,6.75,6.75
6.40,6.40,6.43,6.40
6.15,6.40,6.40,6.15
6.60,6.60,6.60,6.60
6.60,6.60,6.60,6.60
6.25,6.50,6.50,6.25
6.69,6.69,6.69,6.69
6.70,6.75,6.75,6.70
6.75,6.74,6.75,6.52
6.70,6.74,6.74,6.70
6.74,6.74,6.74,6.74
6.74,6.74,6.74,6.74
6.74,6.74,6.74,6.74
6.74,6.74,6.74,6.74
6.74,6.74,6.74,6.74
6.31,6.35,6.40,6.28
6.48,6.67,6.67,6.48
6.40,6.68,6.72,6.18
6.59,6.60,6.65,6.57
6.70,6.85,7.23,6.70
6.74,6.85,6.85,6.60
6.81,7.00,7.00,6.55
7.69,6.98,7.69,6.80
6.91,6.91,7.00,6.90
6.78,7.09,7.70,6.78
7.00,7.25,7.29,7.00
7.42,7.45,7.45,7.42
7.62,7.62,7.62,7.51
7.75,7.95,8.00,7.75
8.00,8.19,8.19,8.00
8.03,8.00,8.03,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
7.70,7.84,7.84,7.51
7.90,7.85,7.90,7.85
8.00,8.05,8.05,8.00
8.00,8.00,8.00,8.00
8.46,8.09,8.46,7.90
7.93,8.12,8.12,7.93
8.33,8.35,8.35,8.16
8.34,8.50,8.50,8.20
8.29,8.54,8.54,8.29
8.74,8.68,9.00,8.68
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.88,8.88,8.88,8.88
8.88,8.70,8.88,8.42
8.80,8.50,9.05,7.61
