ESL,Esterline Technologies Corporation Common Stock,NASDAQ
41.34,41.47,41.48,40.97
41.50,41.05,41.50,40.47
40.88,41.10,42.00,40.72
40.81,41.04,41.32,40.71
40.78,41.01,41.01,40.30
41.00,40.77,41.35,40.29
40.49,40.90,41.51,40.37
41.15,41.46,42.01,40.77
41.26,41.58,41.80,40.92
41.74,41.38,41.74,40.50
41.34,41.49,42.27,40.95
41.29,41.18,41.30,40.67
41.29,40.15,41.41,40.07
40.00,39.87,40.58,39.48
40.08,39.07,40.12,38.95
38.97,38.10,38.97,37.82
37.82,38.14,38.25,36.75
37.59,37.80,38.20,36.84
37.91,37.76,38.45,37.67
37.94,39.03,39.20,37.89
39.03,39.40,39.89,38.84
39.14,39.25,39.77,38.99
39.04,38.30,39.10,38.16
38.39,38.60,38.70,37.70
38.62,37.71,38.69,37.69
38.05,38.99,39.20,37.88
38.80,39.05,39.57,38.54
39.00,39.80,39.84,38.55
39.50,39.88,39.88,39.14
40.13,40.34,40.34,39.72
40.57,41.45,41.50,40.46
41.30,41.77,41.81,41.28
41.86,42.53,42.67,41.78
42.59,43.01,43.43,42.41
42.97,42.02,42.99,41.87
42.01,41.41,42.54,41.16
40.73,41.53,41.56,40.48
41.43,41.15,41.47,40.62
41.23,43.24,43.88,41.00
43.29,44.34,44.60,43.06
44.59,44.72,45.39,44.59
45.03,45.73,45.88,45.03
45.90,47.04,47.08,45.88
47.16,47.05,47.31,46.43
46.77,47.84,48.00,46.77
47.90,47.95,48.58,47.71
47.82,47.90,47.97,47.13
48.00,47.90,48.00,46.99
47.96,47.99,48.00,47.02
47.97,48.39,48.43,47.86
48.31,48.75,49.13,48.16
48.93,48.51,49.06,48.34
48.49,48.66,48.97,48.25
48.46,49.34,49.48,48.34
49.45,49.65,49.73,48.95
49.40,49.45,49.75,49.32
49.60,49.55,50.50,49.41
49.55,49.69,50.13,49.52
50.18,50.29,50.90,49.91
50.56,50.63,50.86,50.02
50.60,49.43,50.60,49.42
49.75,49.87,50.32,49.34
50.25,50.55,50.76,50.02
50.41,49.56,50.41,49.40
49.36,49.26,49.85,48.84
48.96,48.98,49.19,48.46
49.21,50.23,50.24,48.74
50.59,50.70,50.96,50.05
50.50,50.79,50.84,49.44
50.92,51.67,51.69,50.92
51.69,52.10,52.16,51.50
52.11,52.10,52.32,51.69
51.74,52.13,52.22,51.33
52.55,53.17,53.17,52.21
53.24,54.27,54.35,53.06
53.68,55.62,55.65,53.55
55.50,55.44,55.57,55.14
55.48,56.13,56.22,55.48
56.19,55.83,56.65,55.44
56.00,54.82,56.30,54.44
55.05,57.66,57.76,55.05
57.50,55.78,57.86,55.75
56.17,57.35,57.45,55.97
56.61,54.08,56.61,53.87
53.63,54.02,54.75,53.23
53.53,53.40,54.61,52.23
53.16,53.08,53.61,52.26
55.35,54.95,55.94,54.23
54.57,56.67,57.55,54.57
56.95,56.60,57.08,56.34
56.24,56.68,57.52,56.23
56.30,55.47,56.31,54.43
55.92,55.16,56.78,54.28
55.67,53.93,55.93,53.76
53.68,52.96,54.21,52.17
52.03,50.19,52.17,49.25
49.32,50.69,51.20,49.01
50.79,49.72,50.80,49.67
48.54,49.47,49.60,48.00
49.95,49.06,50.26,48.62
49.85,51.35,51.38,49.85
54.97,53.66,54.97,52.12
53.30,52.46,54.60,52.40
52.95,52.77,52.99,52.09
53.30,53.30,54.04,52.40
52.55,50.77,52.61,50.57
51.01,48.30,51.30,48.25
48.40,47.48,48.54,46.80
48.22,47.46,49.29,47.13
47.92,49.63,49.68,47.84
49.06,49.46,50.37,48.82
50.04,50.54,51.78,49.68
50.52,52.19,52.33,50.31
51.60,51.75,52.47,51.33
52.21,51.21,52.29,50.86
51.27,52.05,52.49,51.20
52.61,51.65,52.85,51.23
51.68,51.02,52.24,50.82
50.96,50.45,50.96,49.89
49.99,49.39,50.92,49.30
49.45,50.88,50.96,49.18
50.88,51.23,52.51,50.53
50.57,48.86,50.70,48.44
48.86,47.45,49.37,47.29
47.62,46.97,47.84,46.48
47.31,46.37,47.31,46.00
47.17,46.91,47.33,46.35
47.20,48.17,48.25,46.61
48.83,48.29,48.83,47.81
48.06,48.70,48.84,48.06
48.45,47.65,48.70,47.40
48.14,48.45,48.79,47.93
48.17,48.00,48.72,47.76
47.91,46.99,47.95,46.58
46.60,44.96,46.67,44.76
45.24,45.59,45.75,44.65
45.23,46.68,46.79,44.73
47.33,47.02,47.75,46.78
47.57,48.81,48.95,47.57
48.52,50.35,50.59,48.17
50.19,51.16,51.75,50.10
51.36,51.46,51.96,51.24
51.27,51.36,51.82,51.20
51.63,51.54,52.18,50.39
50.80,51.33,51.85,50.53
52.10,52.05,52.89,51.43
51.77,51.39,52.48,51.26
51.51,51.58,52.06,51.39
51.19,51.43,51.76,50.92
50.81,51.05,51.39,50.15
51.30,52.15,52.22,51.03
51.58,50.88,51.58,50.18
50.06,48.16,50.06,48.05
47.75,47.08,47.75,46.06
46.84,46.78,47.42,46.34
46.61,47.33,47.52,46.25
47.90,48.23,48.77,47.39
48.31,48.79,49.10,47.72
48.71,46.34,48.71,45.91
46.24,46.82,46.83,45.80
47.11,45.11,47.16,45.04
44.52,44.49,45.09,43.58
44.10,45.22,45.39,43.85
45.31,46.02,46.39,45.22
46.42,47.43,47.50,45.30
47.45,46.21,47.55,46.19
46.06,46.00,46.62,45.29
46.97,48.98,48.98,46.80
49.27,49.85,49.88,48.65
54.49,54.79,55.28,52.94
54.44,54.07,54.44,53.80
54.11,53.89,54.36,53.49
54.49,53.01,54.53,52.34
53.19,53.08,53.55,52.62
53.54,54.76,54.95,53.54
54.44,55.00,55.40,54.31
54.50,54.58,54.83,53.54
54.33,53.72,54.72,53.36
54.28,55.20,55.35,52.81
55.20,56.78,56.85,54.91
56.47,55.96,56.52,55.76
55.71,55.20,56.68,55.00
54.67,54.70,55.45,54.50
55.56,56.68,56.71,55.32
56.68,55.95,56.99,55.82
55.93,56.67,56.77,54.52
56.33,57.26,57.75,56.33
57.50,57.23,58.00,56.05
57.95,57.51,57.95,56.71
57.18,55.43,57.50,55.34
56.10,57.42,57.54,55.79
57.39,57.03,57.49,56.80
57.47,59.43,59.49,57.27
59.45,59.24,59.91,57.53
59.22,58.77,59.24,58.05
58.77,58.60,59.01,57.79
59.00,59.45,59.98,58.60
59.55,59.43,59.61,58.57
60.04,58.20,60.49,58.00
58.27,59.06,59.16,57.85
58.02,58.00,58.29,57.43
58.38,59.33,59.69,58.23
59.46,59.75,60.25,58.79
60.00,59.99,60.30,59.86
60.49,60.41,60.68,60.16
59.79,60.38,60.99,59.35
59.78,59.55,59.78,58.46
60.00,60.01,60.47,59.32
59.85,60.44,60.65,59.67
60.56,60.33,61.49,59.97
61.02,61.88,62.00,61.02
61.91,61.87,62.32,61.20
62.78,63.76,63.88,62.56
63.88,63.33,64.19,63.08
63.18,62.86,63.72,62.61
63.06,61.89,63.16,61.51
61.71,61.29,61.73,61.04
60.49,59.63,60.49,59.52
59.13,58.93,59.25,58.73
59.24,58.66,59.36,58.57
58.02,56.98,58.36,56.61
57.13,57.08,57.36,56.74
58.14,57.78,58.14,57.37
57.57,58.69,59.07,57.33
58.30,57.85,58.61,56.85
56.90,57.73,57.78,56.85
58.20,59.60,59.74,58.00
59.14,59.83,60.08,58.94
59.45,58.72,59.45,57.77
58.12,58.88,59.16,57.66
60.44,61.60,61.64,60.00
61.52,62.49,62.52,61.00
62.08,63.86,64.16,62.06
63.87,64.61,64.86,63.64
65.17,64.15,65.29,64.03
64.36,64.80,65.41,64.12
65.30,64.56,65.30,63.94
68.52,69.53,71.30,66.18
69.38,66.90,69.68,66.50
66.95,66.87,67.39,66.40
66.85,67.08,68.30,66.66
67.10,67.84,68.00,66.60
67.87,67.34,67.87,66.55
67.52,66.85,67.88,66.67
67.20,67.43,67.87,66.84
67.38,67.94,68.18,67.38
67.88,67.91,68.23,67.52
67.57,67.74,68.04,66.60
67.92,68.42,68.64,67.56
68.63,68.35,68.72,67.88
68.26,68.32,68.61,67.82
68.28,68.59,68.93,68.06
69.60,69.86,70.31,68.90
70.38,68.47,70.38,67.46
68.32,69.55,69.70,68.28
69.32,69.64,70.25,68.97
