FPP,FieldPoint Petroleum Corporation Common Stock,NASDAQ
2.39,2.34,2.40,2.26
2.29,2.27,2.34,2.24
2.29,2.32,2.44,2.25
2.34,2.40,2.47,2.26
2.39,2.36,2.41,2.35
2.42,2.30,2.50,2.30
2.34,2.26,2.34,2.26
2.26,2.38,2.39,2.26
2.43,2.38,2.43,2.32
2.32,2.36,2.41,2.32
2.32,2.34,2.47,2.32
2.33,2.32,2.35,2.32
2.35,2.35,2.42,2.32
2.34,2.36,2.40,2.33
2.36,2.50,2.50,2.35
2.49,2.40,2.49,2.38
2.38,2.33,2.38,2.32
2.31,2.36,2.38,2.31
2.35,2.26,2.35,2.26
2.26,2.17,2.26,1.93
2.13,2.33,2.34,2.09
2.32,2.26,2.32,2.26
2.25,2.20,2.25,2.17
2.24,2.15,2.24,2.00
2.14,2.28,2.30,2.14
2.25,2.26,2.26,2.20
2.26,2.26,2.29,2.25
2.29,2.23,2.29,2.12
2.18,2.21,2.21,2.18
2.19,2.24,2.24,2.13
2.22,2.25,2.25,2.21
2.25,2.20,2.25,2.20
2.18,2.17,2.22,2.17
2.18,2.17,2.20,2.10
2.12,2.16,2.16,2.08
2.16,2.13,2.16,2.02
2.05,2.12,2.13,2.02
2.07,2.11,2.11,2.04
2.15,2.15,2.15,2.11
2.21,2.17,2.21,2.14
2.16,2.14,2.16,2.12
2.11,2.12,2.20,2.05
2.12,2.06,2.18,2.02
2.04,2.08,2.10,2.04
2.11,2.13,2.13,2.05
2.10,2.08,2.12,2.08
2.10,2.06,2.10,2.05
2.04,2.04,2.10,2.04
2.05,2.05,2.15,2.05
2.14,2.13,2.15,2.06
2.15,2.09,2.15,2.07
2.10,2.04,2.17,2.04
2.11,2.11,2.14,2.03
2.14,2.06,2.14,2.01
2.04,2.04,2.09,2.04
2.04,2.01,2.05,2.00
2.00,2.04,2.07,2.00
2.00,2.11,2.15,1.98
2.11,2.11,2.12,2.11
2.08,2.06,2.09,2.01
2.02,2.17,2.30,2.00
2.17,2.31,2.35,2.15
2.35,2.46,2.50,2.34
2.40,2.50,2.62,2.34
2.46,2.50,2.61,2.46
2.46,2.51,2.57,2.24
2.47,2.59,2.60,2.47
2.55,2.73,2.80,2.55
2.76,2.68,2.77,2.63
2.65,2.69,2.69,2.64
2.66,2.67,2.75,2.66
2.67,2.66,2.67,2.66
2.67,2.65,2.72,2.51
2.70,2.89,2.89,2.70
2.98,2.77,2.98,2.76
2.80,2.77,2.80,2.76
2.85,2.86,2.97,2.82
2.86,2.77,2.90,2.76
2.72,2.70,2.78,2.65
2.89,2.75,2.89,2.75
2.76,2.66,2.76,2.55
2.63,2.53,2.63,2.53
2.77,2.71,2.77,2.69
2.76,2.64,2.76,2.61
2.53,2.62,2.80,2.46
2.69,2.48,2.69,2.40
2.71,2.38,2.71,2.38
2.40,2.39,2.57,2.39
2.40,2.36,2.42,2.36
2.36,2.53,2.76,2.36
2.56,2.93,3.20,2.56
2.80,2.78,2.82,2.65
2.72,2.58,2.72,2.53
2.58,2.52,2.63,2.46
2.52,2.44,2.52,2.44
2.41,2.35,2.46,2.29
2.28,2.32,2.49,2.25
2.31,2.25,2.37,2.16
2.11,2.25,2.30,2.11
2.23,2.29,2.35,2.23
2.20,2.30,2.40,2.20
2.26,2.29,2.33,2.23
2.30,2.27,2.32,2.25
2.30,2.39,2.45,2.20
2.40,2.34,2.41,2.32
2.30,2.27,2.31,2.25
2.31,2.44,2.45,2.31
2.37,2.65,2.65,2.37
2.73,2.68,2.78,2.59
2.70,2.69,2.78,2.62
2.75,2.62,2.75,2.58
2.59,2.64,2.67,2.59
2.66,2.82,2.82,2.63
2.88,2.85,2.98,2.83
2.80,2.98,3.10,2.80
2.99,2.94,3.00,2.92
2.95,2.87,3.14,2.81
2.81,2.88,2.94,2.73
2.81,2.86,2.89,2.81
2.88,2.83,2.90,2.83
2.84,2.89,2.89,2.75
2.80,2.83,2.87,2.80
2.76,2.80,2.80,2.70
2.76,2.71,2.79,2.62
2.77,2.73,2.77,2.63
2.72,2.77,2.86,2.72
2.72,2.80,2.86,2.72
2.76,2.81,2.86,2.70
2.78,2.78,2.79,2.77
2.78,2.73,2.78,2.71
2.79,2.75,2.79,2.75
2.75,2.75,2.77,2.73
2.74,2.72,2.77,2.69
2.70,2.77,2.77,2.70
2.77,2.75,2.77,2.64
2.66,2.77,2.77,2.66
2.80,2.76,2.80,2.76
2.74,2.75,2.88,2.72
2.76,2.98,2.99,2.75
2.97,2.92,2.97,2.92
2.89,2.93,2.98,2.86
2.96,2.95,3.09,2.65
2.96,3.07,3.08,2.96
3.07,3.11,3.12,3.07
3.15,3.07,3.15,3.03
3.10,3.14,3.20,3.09
3.13,3.14,3.14,3.10
3.11,3.27,3.29,3.11
3.30,3.42,3.42,3.22
3.42,3.53,3.53,3.31
3.51,3.74,3.74,3.51
3.80,3.42,3.90,3.15
3.32,3.23,3.36,3.18
3.15,3.24,3.28,3.12
3.31,3.43,3.47,3.24
3.48,3.56,3.63,3.46
3.69,3.61,3.82,3.54
3.56,3.38,3.56,3.29
3.50,3.39,3.50,3.33
3.46,3.33,3.46,3.28
3.35,3.36,3.46,3.32
3.36,3.19,3.37,3.13
3.09,3.03,3.19,3.03
3.07,3.05,3.09,3.03
3.07,3.11,3.11,3.06
3.11,3.05,3.11,3.05
3.09,2.95,3.09,2.87
2.93,2.99,3.00,2.93
3.00,3.07,3.11,3.00
3.11,3.12,3.12,3.07
3.13,3.16,3.21,3.13
3.22,3.29,3.34,3.21
3.24,3.25,3.34,3.06
3.30,3.21,3.32,3.20
3.31,3.08,3.31,3.06
3.00,2.99,3.06,2.99
2.92,3.02,3.03,2.92
2.97,2.98,2.99,2.94
2.98,3.20,3.20,2.98
3.07,3.03,3.19,3.03
3.11,3.06,3.12,3.06
3.06,3.03,3.10,3.03
3.00,3.03,3.03,3.00
3.03,3.07,3.09,3.00
3.03,2.97,3.05,2.97
2.96,2.95,2.97,2.92
2.96,3.02,3.12,2.96
3.02,3.08,3.09,3.00
