BIIB,Biogen Inc. - Common Stock,NASDAQ
53.97,53.64,53.97,53.60
54.72,53.38,55.00,53.00
53.10,53.43,53.70,52.80
53.23,52.99,53.50,52.46
53.00,54.08,54.33,52.81
54.10,53.90,54.35,53.53
53.66,53.25,54.03,52.94
53.33,54.08,54.33,52.96
53.81,54.36,54.36,53.59
54.06,54.18,54.85,53.78
54.29,55.23,55.31,54.29
55.04,54.72,55.37,54.01
54.53,53.21,54.53,52.67
53.19,53.06,53.71,52.60
53.22,52.67,53.50,52.17
52.52,53.00,53.11,52.16
52.47,53.58,53.62,52.37
54.28,53.27,54.51,52.60
53.31,53.74,53.91,53.01
53.41,53.91,53.93,52.98
53.76,54.94,54.95,53.24
54.52,54.60,54.81,54.03
54.17,53.10,54.46,52.99
53.14,53.53,53.70,52.23
53.54,52.84,53.56,52.47
53.88,54.09,54.88,53.33
54.20,54.39,54.91,54.07
54.12,55.69,55.92,53.92
55.08,55.21,55.80,54.72
55.55,55.12,55.77,54.92
55.31,56.23,56.26,55.31
56.03,55.98,56.37,55.80
55.88,56.61,56.99,55.49
56.53,55.67,56.66,55.53
55.63,55.25,56.12,54.85
55.30,55.29,55.95,54.74
54.30,54.89,54.97,54.03
54.81,55.01,55.19,54.54
55.48,56.78,56.90,55.34
56.54,57.31,57.47,56.52
57.26,56.79,57.59,56.70
56.79,56.66,56.90,56.34
56.66,57.21,57.21,56.61
56.99,57.67,58.48,56.91
57.64,57.84,58.31,57.53
57.91,58.71,58.96,57.90
58.55,58.78,58.86,57.72
58.81,58.76,58.93,58.08
58.86,58.90,58.99,58.32
59.23,59.73,59.85,58.64
59.63,59.36,59.73,59.23
59.12,59.20,59.35,58.32
59.82,59.63,60.17,58.59
59.78,59.82,60.28,59.57
59.67,59.84,59.94,59.41
59.76,58.85,59.80,58.72
59.27,58.27,59.27,58.27
58.57,58.15,58.76,57.82
57.92,58.42,58.70,57.89
58.22,57.71,58.45,57.50
57.50,57.39,57.94,57.24
N/A,N/A,N/A,N/A
57.56,57.53,57.96,57.13
57.42,57.50,57.89,57.27
57.51,57.27,57.77,56.99
57.30,56.43,57.30,56.19
56.34,56.52,56.90,56.30
56.52,56.00,56.52,55.69
55.78,55.07,56.07,54.90
54.81,54.96,55.23,54.05
54.72,54.41,55.03,53.93
54.20,53.64,54.28,53.12
53.64,54.79,55.05,53.50
54.40,53.91,54.97,53.26
53.40,52.72,53.80,52.40
52.61,52.03,52.61,51.62
52.13,52.59,52.63,51.88
52.35,52.25,52.78,52.10
52.15,52.10,53.13,52.02
52.19,52.12,52.68,52.06
52.23,53.31,53.70,51.80
53.51,53.29,54.04,53.13
53.50,53.60,53.92,53.26
53.00,52.30,53.09,51.80
52.33,52.70,52.91,52.02
52.58,50.70,52.58,49.43
49.80,50.39,51.02,49.36
51.28,51.13,51.80,50.74
50.93,51.38,51.71,50.72
51.32,52.04,52.06,50.85
51.74,51.40,51.89,51.33
51.20,50.13,51.36,49.64
49.80,50.57,50.68,49.29
50.69,50.70,51.25,50.44
50.51,50.46,51.04,50.01
49.58,49.25,50.31,49.25
48.91,48.98,50.01,48.73
48.77,48.27,48.97,48.23
47.77,48.35,48.43,47.10
48.09,47.36,48.74,47.32
47.94,48.28,48.30,47.40
48.14,47.43,48.44,47.43
47.25,47.22,48.10,46.98
47.20,48.35,48.43,46.98
48.25,49.25,49.34,48.09
48.50,47.84,48.84,47.77
48.05,47.64,48.27,47.63
48.20,46.85,48.23,46.56
47.10,47.08,47.80,46.37
47.72,48.14,48.26,47.29
47.39,46.22,47.62,45.96
46.43,46.79,47.48,46.38
47.12,48.12,48.18,46.93
47.92,48.35,48.47,47.77
48.22,49.01,49.09,48.22
49.12,49.86,50.15,49.10
50.02,49.49,50.28,49.39
49.73,49.54,50.55,49.46
49.44,49.69,49.88,49.22
49.46,49.38,49.88,49.07
49.50,49.57,50.28,49.18
49.58,49.57,49.94,48.81
49.04,48.70,49.09,48.09
48.51,47.45,49.05,47.43
47.70,46.73,47.76,46.15
47.50,49.42,50.91,47.50
49.68,48.38,49.68,48.09
48.35,49.84,49.91,48.18
49.96,50.85,51.00,49.85
51.09,51.71,51.77,50.75
51.09,51.66,52.00,51.05
51.87,52.68,52.96,51.86
52.40,52.97,53.00,52.29
52.99,53.43,53.58,52.62
53.29,51.86,53.78,51.84
52.06,53.18,53.32,51.77
52.65,54.02,54.13,51.74
54.15,54.97,56.40,53.59
55.18,56.17,56.49,55.11
55.88,53.47,56.48,52.40
53.91,57.89,58.16,53.91
57.61,57.75,58.06,56.63
57.58,55.92,57.75,55.89
56.36,56.53,57.00,55.46
54.62,55.88,56.30,54.20
56.59,57.19,57.32,56.45
57.25,57.34,57.87,56.96
57.23,57.39,57.90,56.85
57.41,57.16,57.55,56.77
56.62,57.66,57.73,56.03
57.88,57.58,57.88,57.21
57.20,57.86,58.16,56.28
57.15,55.80,57.37,55.58
55.14,56.61,57.06,55.14
56.08,55.94,56.43,55.68
55.79,55.85,56.03,55.16
56.25,56.91,57.38,55.88
56.27,56.52,57.13,55.85
56.21,55.06,56.28,54.68
55.17,55.38,55.66,54.52
55.47,54.91,56.09,54.75
54.67,53.84,54.69,53.60
53.68,55.37,55.73,53.59
55.50,53.91,55.50,53.82
54.00,54.60,54.92,53.14
54.32,53.92,54.83,53.76
53.80,53.80,54.30,53.24
54.48,55.31,55.63,53.97
55.23,55.25,55.49,54.66
55.66,56.24,56.25,55.35
55.98,56.14,56.44,55.67
56.30,57.15,57.27,56.28
57.23,57.01,57.44,56.60
57.26,57.68,57.86,56.95
57.85,57.81,58.00,57.47
57.50,57.91,58.09,57.33
57.45,58.42,58.52,57.45
58.37,57.67,58.64,57.45
57.76,57.92,58.33,57.55
58.00,57.80,58.22,57.26
57.64,58.23,58.28,57.21
54.80,54.86,56.10,54.48
54.62,55.24,55.80,54.13
55.77,56.42,56.78,55.66
56.25,54.79,56.33,54.74
55.17,55.42,56.20,54.38
55.48,55.36,55.74,54.93
55.71,56.12,56.34,55.47
56.00,56.53,56.55,55.63
56.75,56.66,57.49,56.41
56.99,57.53,57.86,56.66
57.32,56.63,57.34,56.20
56.63,57.24,57.38,56.22
57.05,57.59,58.20,56.92
57.49,57.06,57.64,56.83
57.06,56.93,57.10,55.98
56.99,57.19,57.50,56.73
56.93,56.98,57.24,56.49
57.24,57.66,57.67,56.67
57.38,58.53,58.55,57.26
58.39,58.27,58.88,57.73
58.02,58.66,59.21,57.73
58.52,58.31,58.75,57.58
58.54,58.75,58.97,58.15
59.13,59.90,60.19,59.01
59.25,59.99,60.10,58.30
59.76,62.48,62.62,59.66
62.60,63.85,64.92,62.26
63.58,62.71,64.06,62.63
62.89,62.55,63.50,62.41
63.16,63.00,63.32,62.59
63.09,63.00,63.33,62.67
62.32,62.50,62.98,61.82
62.49,62.78,62.80,61.82
62.45,63.03,63.17,62.12
62.91,63.39,63.41,62.72
63.28,64.95,64.97,62.99
64.70,64.73,65.43,64.22
64.22,64.50,64.61,63.56
64.85,65.46,66.43,64.74
63.56,64.33,65.52,63.56
64.26,64.52,64.92,63.94
64.62,64.78,65.60,64.52
64.88,64.91,65.44,64.62
64.85,64.86,65.39,64.22
64.57,63.82,64.81,63.58
64.45,65.33,65.68,64.40
65.00,65.33,65.52,64.85
64.80,64.72,65.00,63.77
64.06,63.97,64.54,63.85
64.89,65.37,66.07,64.63
65.51,67.08,67.09,65.35
66.93,67.00,67.31,66.56
66.84,66.71,67.08,66.28
67.20,67.11,67.27,66.82
67.30,67.36,67.63,67.03
65.05,66.37,66.79,65.00
66.30,66.30,66.70,66.21
66.19,65.89,66.42,65.79
66.14,65.74,66.31,65.52
65.44,66.06,66.27,65.29
65.95,67.92,68.00,65.84
67.91,68.14,68.60,67.75
68.24,67.98,68.38,67.31
68.21,68.22,68.48,68.00
68.06,67.70,68.25,67.62
67.54,67.22,67.74,67.02
67.19,66.92,67.29,66.36
66.86,66.64,67.20,66.53
66.87,66.64,66.95,66.59
66.45,66.80,66.97,66.45
66.83,67.05,67.25,66.45
67.68,67.20,68.14,66.97
67.00,66.40,67.01,65.80
66.15,66.68,67.04,65.96
66.64,67.26,67.71,66.63
67.55,67.38,67.59,66.96
66.92,66.90,67.33,66.70
66.99,68.30,68.33,66.79
67.90,67.40,67.90,67.20
67.43,67.52,67.79,67.19
67.31,66.57,67.50,66.46
66.55,67.01,67.11,66.00
66.79,66.24,66.84,65.91
66.36,68.78,68.99,66.36
66.59,66.77,67.34,66.27
66.66,67.14,68.25,66.54
67.07,66.84,67.24,66.49
67.02,67.50,67.86,66.65
67.34,67.09,67.61,67.08
67.30,65.08,67.48,64.85
65.57,65.47,65.94,64.28
67.75,65.49,68.00,65.13
65.28,66.15,66.28,64.92
66.17,65.58,66.21,65.12
65.64,65.93,65.93,64.61
65.88,65.25,66.13,65.20
65.14,66.15,66.16,64.77
65.98,66.00,66.13,65.48
66.00,66.22,66.35,65.83
65.85,65.83,66.11,65.39
65.66,67.27,67.29,65.66
66.88,67.09,67.19,66.71
67.17,67.36,67.48,66.83
67.01,67.65,67.95,66.69
67.54,67.64,67.87,67.13
67.29,67.09,68.18,67.07
67.17,66.76,67.64,66.75
67.23,67.26,67.72,66.79
67.42,67.78,68.25,67.35
67.80,68.40,68.50,67.74
68.41,70.18,70.73,68.26
69.73,70.00,70.46,69.00
70.05,71.42,71.95,70.04
71.25,71.15,71.76,70.63
71.41,71.24,71.88,70.45
71.31,71.60,72.00,70.83
71.33,71.74,71.83,70.99
71.05,70.60,71.41,70.10
70.62,71.00,71.34,70.47
70.46,70.65,71.50,70.11
69.27,69.56,69.94,68.81
69.14,68.70,69.68,68.31
69.40,69.25,69.71,69.12
69.43,69.53,70.26,69.25
70.00,69.61,70.54,69.53
69.58,69.76,70.12,69.13
69.72,70.07,70.31,69.19
70.17,71.27,71.45,69.65
71.55,71.20,71.93,71.20
71.17,70.54,71.32,70.38
70.41,71.10,71.24,70.39
71.48,71.90,72.20,71.45
71.95,73.47,73.53,71.90
73.59,72.96,73.66,72.80
73.25,73.27,73.32,72.97
72.90,73.25,73.99,72.90
73.57,73.60,74.20,73.40
73.32,73.03,73.95,72.70
73.37,73.29,73.66,72.97
76.71,78.55,78.75,76.40
78.99,78.19,79.23,78.16
78.19,80.96,81.01,78.19
80.41,82.19,82.23,79.93
82.23,82.96,83.10,81.24
82.21,82.61,82.75,81.26
82.88,83.99,83.99,82.61
84.41,86.57,86.57,84.41
100.00,99.70,106.99,99.30
99.71,100.28,100.43,99.22
99.78,101.80,106.19,99.40
102.06,99.49,102.88,98.96
99.67,98.97,99.78,98.08
98.89,97.65,99.31,97.14
97.44,98.67,99.19,96.36
98.23,97.99,98.90,97.64
97.56,96.48,97.97,95.08
95.84,95.47,97.59,95.11
96.49,96.12,97.88,95.97
96.31,98.10,98.94,96.00
98.58,97.34,98.71,96.53
97.29,96.59,97.50,95.29
96.36,98.24,98.48,95.64
98.10,96.61,98.65,96.11
96.04,96.14,97.42,95.81
95.53,97.57,97.91,95.53
97.41,97.76,97.93,96.90
98.41,96.72,98.47,96.57
96.80,97.11,98.25,96.80
96.06,95.31,96.22,85.16
95.31,94.85,95.71,94.31
94.54,93.67,94.76,93.17
93.32,93.28,93.63,92.30
93.31,93.21,94.05,93.03
93.96,94.73,94.78,93.08
94.36,93.18,94.52,93.18
93.40,95.17,95.52,93.01
93.96,94.40,96.08,93.52
94.12,93.16,94.70,93.11
93.43,93.30,94.04,92.59
92.34,92.80,93.28,92.12
93.00,93.72,94.07,92.19
93.43,91.21,93.43,91.20
91.23,91.78,92.32,91.08
92.49,94.88,95.13,92.10
93.89,93.76,95.32,93.08
94.10,93.53,94.58,92.64
94.74,94.76,96.13,94.23
99.57,98.60,100.48,98.24
100.54,98.65,101.83,98.28
99.79,99.47,100.67,98.90
98.64,100.67,100.78,97.80
100.03,103.42,103.53,99.60
102.86,104.65,104.76,102.60
104.90,108.39,108.52,104.63
108.48,108.98,109.63,107.61
109.16,106.92,109.46,106.73
107.35,108.50,108.64,106.92
108.62,107.91,109.14,107.56
106.73,107.89,108.10,106.73
108.73,106.52,108.88,106.40
107.04,107.39,107.56,105.82
106.35,105.43,107.64,104.90
105.84,104.05,106.33,103.99
104.73,105.31,106.20,104.05
105.47,103.19,106.23,103.06
102.72,104.00,104.69,102.55
103.65,103.75,103.99,102.36
104.14,107.21,107.33,104.12
106.99,104.37,106.99,104.13
104.48,105.62,106.06,104.44
105.54,105.56,106.05,104.89
105.35,103.99,106.82,103.97
104.11,105.00,106.00,104.11
104.21,101.81,106.05,101.50
101.29,102.15,104.04,101.02
101.76,101.87,102.75,99.54
105.91,102.90,105.98,101.88
102.04,98.42,99.98,95.42
98.41,98.78,99.98,95.42
97.37,92.55,97.68,92.50
93.19,93.18,94.50,90.24
91.29,88.00,93.87,87.14
86.91,89.43,90.56,83.83
86.50,85.03,88.36,84.94
85.36,88.41,89.44,84.22
88.38,90.98,91.22,87.35
91.34,91.67,92.70,90.38
91.36,91.10,92.34,90.25
91.57,90.03,92.15,89.39
88.45,88.46,89.39,86.86
