EET,ProShares Ultra MSCI Emerging Markets,NASDAQ
89.64,92.40,92.80,89.64
93.54,93.89,94.70,93.01
94.86,95.05,96.98,94.63
94.65,94.01,94.67,93.01
94.59,95.32,95.32,93.01
95.36,95.30,100.38,94.05
93.60,91.87,93.68,90.87
91.87,91.45,92.90,90.32
94.39,92.28,94.39,91.33
nan,90.11,nan,nan
90.82,93.29,93.48,90.82
92.01,88.28,92.01,87.58
87.80,83.94,87.97,82.66
81.12,78.65,82.73,78.65
79.65,80.59,82.49,79.60
77.52,77.65,79.74,73.12
78.00,77.22,78.00,75.01
78.22,76.03,78.75,74.99
77.03,75.34,77.91,73.55
75.20,78.22,78.23,74.74
79.28,79.69,79.69,77.97
80.13,78.94,80.96,78.45
76.74,71.55,76.74,71.29
70.55,69.82,70.55,65.99
70.71,68.73,71.16,67.97
71.30,72.66,74.15,71.30
73.46,73.08,75.20,71.40
73.80,76.55,76.71,73.52
nan,74.90,nan,nan
77.39,78.53,78.65,76.60
79.33,78.91,80.00,78.12
79.19,79.58,80.00,78.08
77.76,78.49,78.92,77.50
79.42,78.27,80.58,78.17
77.47,75.04,77.47,74.99
77.18,76.13,77.18,74.93
73.17,75.09,75.18,71.96
74.87,76.56,76.65,74.78
80.04,79.13,80.04,77.69
79.97,80.61,81.33,79.97
81.46,81.12,82.79,80.45
80.62,80.35,80.68,78.69
81.97,84.21,84.21,81.90
85.04,84.42,85.77,84.26
83.90,85.71,86.21,83.90
85.17,86.49,87.17,85.17
89.24,87.39,89.33,82.55
88.82,86.24,89.00,85.20
84.80,84.72,85.32,83.51
85.05,87.02,87.02,84.18
88.23,88.63,89.46,88.10
87.98,87.17,88.17,85.80
88.85,85.24,88.85,84.26
82.94,85.62,85.84,82.39
85.89,86.89,86.94,84.41
86.05,84.65,86.05,84.44
86.60,83.96,86.75,83.89
85.00,84.93,85.86,83.24
87.24,88.00,88.00,86.52
87.90,88.65,89.17,87.70
88.12,88.94,89.54,88.02
nan,93.56,nan,nan
96.95,95.50,96.95,94.35
96.20,95.90,96.20,94.30
95.65,94.31,95.65,93.33
92.20,94.79,94.89,92.19
95.50,95.91,95.93,94.65
95.38,94.61,95.46,94.61
93.66,94.33,94.33,92.54
95.82,96.85,97.04,95.37
96.48,95.87,97.00,95.79
94.30,90.56,94.30,89.74
88.01,89.76,90.06,87.04
91.46,91.72,92.05,90.62
91.93,91.17,92.24,89.80
89.00,91.91,91.92,88.54
91.80,93.04,93.04,90.60
94.74,91.21,94.74,88.57
90.21,86.55,91.00,86.23
87.55,87.76,89.23,85.64
90.03,90.54,90.67,88.99
90.88,88.81,90.88,88.66
89.90,89.42,89.95,87.93
84.30,81.82,84.54,80.24
80.82,78.89,81.19,76.90
77.07,72.55,96.00,60.25
73.55,73.08,75.85,70.25
84.64,83.18,84.69,81.24
80.18,80.42,82.40,78.82
81.00,82.24,82.29,81.00
82.54,80.81,83.32,80.78
78.96,77.48,78.96,75.96
77.50,76.39,77.70,73.12
78.80,73.43,78.80,72.81
71.03,71.68,72.29,69.41
66.94,64.81,68.01,62.74
65.06,68.87,68.89,65.03
69.57,67.25,69.57,67.25
61.77,66.12,66.23,61.43
67.84,66.33,69.48,65.94
73.39,73.65,73.65,70.23
nan,71.49,nan,nan
69.75,68.97,72.50,64.14
71.46,73.52,73.56,70.11
73.80,72.57,74.49,71.95
71.93,68.05,72.56,68.01
68.18,66.01,69.74,66.00
67.64,68.61,68.61,65.51
70.29,68.23,71.19,67.58
70.26,72.92,72.92,68.22
73.78,73.45,75.99,71.05
75.99,73.61,76.39,73.28
75.29,77.88,78.12,74.63
76.88,78.01,78.29,76.36
81.00,77.21,81.00,75.82
76.80,77.64,78.10,76.80
78.64,79.32,82.10,78.64
80.01,76.96,80.49,76.87
77.75,77.47,78.16,75.00
76.91,74.68,76.91,74.41
73.65,78.00,78.00,72.93
78.01,75.61,78.01,75.05
72.68,69.62,72.68,69.03
70.97,68.74,71.45,68.09
68.66,68.93,69.74,66.66
nan,70.74,nan,nan
72.69,72.16,74.24,71.11
72.16,75.44,75.44,72.16
76.19,76.13,76.26,74.51
76.92,77.50,78.15,72.84
76.94,76.61,78.02,76.19
77.68,78.54,78.95,77.68
77.61,78.10,78.37,77.18
77.20,77.48,77.90,75.47
75.69,72.67,75.69,72.32
74.26,74.46,74.87,73.18
74.59,77.89,77.97,74.59
79.10,76.45,79.10,75.75
77.20,80.77,81.19,77.20
80.54,81.80,82.13,80.47
83.44,83.33,83.44,81.48
84.10,83.24,84.10,81.86
82.60,81.98,82.70,81.41
83.12,82.54,83.95,78.90
78.75,83.05,83.06,78.75
85.72,87.25,87.64,85.72
87.28,86.56,87.28,84.98
86.22,86.80,88.74,85.68
85.50,86.02,86.20,85.06
84.24,85.87,85.95,83.97
87.96,86.79,87.96,86.36
84.68,84.44,85.13,82.50
81.00,79.03,81.00,78.73
77.53,79.36,79.53,77.50
81.82,80.18,81.82,79.66
82.50,80.98,82.50,80.12
83.07,83.35,84.04,83.03
82.24,83.15,83.92,82.18
83.27,81.75,83.27,81.18
82.01,81.36,82.17,80.07
81.67,80.04,82.35,80.03
79.37,77.78,79.37,76.64
75.98,77.57,77.57,75.02
77.81,76.26,77.81,76.10
78.56,79.33,79.33,76.65
78.47,76.84,78.80,76.71
76.48,77.50,78.13,76.37
80.97,82.81,82.81,80.00
84.22,83.41,84.75,82.28
nan,85.09,nan,nan
83.44,82.72,83.66,82.71
83.98,84.30,85.13,83.94
85.97,85.38,86.15,84.73
86.33,85.87,86.35,85.48
88.56,90.06,90.24,87.92
89.25,90.06,91.09,89.00
88.93,90.39,90.39,88.93
89.35,89.57,89.72,88.84
89.61,89.20,90.32,88.94
90.00,91.84,92.03,90.00
93.05,91.37,93.05,90.23
92.16,91.10,92.29,90.87
92.21,90.25,92.21,90.00
94.16,93.47,94.16,92.16
93.14,93.15,93.93,92.91
92.74,94.71,94.80,92.05
94.19,95.37,95.90,94.19
96.45,96.14,96.85,95.31
97.76,99.20,99.28,97.76
99.90,98.68,99.90,97.81
100.00,102.04,102.46,99.98
102.18,101.93,102.68,101.82
101.98,100.32,101.98,99.19
101.05,102.58,103.17,98.30
105.74,102.72,105.74,101.79
101.67,101.98,101.98,100.10
102.85,105.33,105.96,102.80
105.60,104.89,105.74,104.26
106.54,104.66,106.54,103.43
102.10,104.63,105.28,102.10
100.65,97.80,100.88,97.23
95.00,101.78,102.93,95.00
106.98,101.39,107.00,99.80
102.54,101.82,103.54,101.27
104.69,104.10,105.35,101.40
103.26,103.49,103.98,102.25
100.65,100.13,100.67,97.88
103.10,101.51,103.10,100.74
101.00,101.85,101.98,100.78
103.49,104.06,105.29,103.30
106.39,106.86,106.97,105.78
107.50,108.06,109.16,105.10
112.42,112.70,112.83,110.40
111.98,112.64,113.31,111.71
111.50,111.48,111.68,110.36
112.55,109.22,113.13,108.00
109.84,110.05,110.50,107.90
108.01,108.53,108.53,107.47
105.37,104.09,106.28,102.41
103.19,103.02,105.63,103.00
101.04,98.60,101.04,97.12
98.17,98.62,99.51,97.87
102.45,103.17,103.50,102.30
102.23,103.42,103.50,100.99
104.45,102.81,104.45,100.59
98.50,96.19,98.50,95.88
nan,100.61,nan,nan
99.17,96.51,99.17,95.50
96.14,97.10,97.67,93.76
94.84,95.73,96.95,94.84
100.31,101.27,101.64,99.80
102.00,105.13,105.13,101.75
104.90,105.93,106.16,103.67
104.90,105.38,105.66,104.52
108.36,104.69,108.93,104.37
104.00,103.24,104.00,101.78
103.44,102.59,103.50,101.80
102.00,103.29,103.29,102.00
104.55,104.56,105.52,104.02
104.92,105.13,106.00,104.49
103.81,102.00,104.00,101.38
102.96,102.08,102.96,100.83
101.68,102.37,102.67,101.28
102.11,101.44,102.34,100.97
103.66,104.32,104.95,103.60
104.41,105.21,105.22,104.24
nan,104.82,nan,nan
104.25,104.33,104.59,103.77
104.44,104.32,104.57,104.10
106.09,106.90,107.06,106.09
107.73,108.02,108.37,107.61
108.47,109.55,109.65,108.47
113.00,111.64,113.00,111.40
112.88,112.38,112.88,110.17
110.65,112.13,112.34,109.94
112.13,109.83,112.13,109.53
109.48,107.84,109.48,106.34
105.85,105.65,106.24,104.44
108.08,107.68,108.08,107.20
110.48,111.89,111.89,110.48
111.70,110.06,111.70,109.66
nan,110.28,nan,nan
108.67,110.50,110.70,108.67
110.92,108.61,110.92,108.01
107.19,106.17,107.19,104.36
107.28,104.34,107.28,103.50
104.50,105.70,105.81,103.17
104.90,104.44,105.13,103.13
106.23,106.22,106.68,105.73
106.97,105.36,106.97,105.19
104.81,99.04,104.81,98.50
99.21,100.85,101.72,99.21
103.51,105.82,105.94,103.07
105.43,104.14,106.64,104.14
102.44,103.98,104.52,102.44
105.58,103.95,105.58,102.68
103.73,104.03,104.69,103.57
103.00,104.42,104.42,102.87
103.20,99.55,103.20,98.83
96.95,97.83,98.00,96.43
95.34,100.01,100.17,95.34
100.37,99.20,100.37,99.20
97.90,99.66,99.66,97.90
100.66,101.76,101.76,100.26
100.76,101.88,101.88,100.76
nan,102.99,nan,nan
