VVR,Invesco Senior Income Trust Common Stock (DE),NASDAQ
4.24,4.32,4.34,4.22
4.29,4.32,4.34,4.27
4.32,4.27,4.35,4.26
4.28,4.28,4.30,4.26
4.26,4.36,4.36,4.26
4.40,4.39,4.40,4.36
4.38,4.40,4.40,4.37
4.39,4.37,4.39,4.37
4.37,4.41,4.41,4.35
4.37,4.43,4.43,4.37
4.42,4.45,4.46,4.41
4.43,4.46,4.46,4.42
4.44,4.47,4.47,4.42
4.44,4.48,4.49,4.43
4.48,4.57,4.57,4.48
4.62,4.53,4.62,4.51
4.55,4.48,4.56,4.46
4.53,4.51,4.54,4.45
4.54,4.59,4.63,4.51
4.60,4.58,4.60,4.55
4.60,4.62,4.62,4.56
4.64,4.60,4.64,4.58
4.58,4.59,4.61,4.55
4.58,4.48,4.59,4.41
4.53,4.41,4.53,4.41
4.44,4.50,4.50,4.43
4.49,4.51,4.51,4.46
4.53,4.53,4.55,4.51
4.53,4.52,4.53,4.49
4.52,4.58,4.58,4.52
4.58,4.60,4.60,4.56
4.62,4.66,4.68,4.60
4.68,4.66,4.68,4.64
4.66,4.71,4.74,4.65
4.69,4.72,4.72,4.68
4.74,4.72,4.76,4.71
4.70,4.74,4.75,4.68
4.76,4.73,4.76,4.73
4.76,4.81,4.81,4.75
4.79,4.79,4.82,4.78
4.85,4.73,4.85,4.72
4.76,4.77,4.78,4.73
4.87,4.86,4.89,4.80
4.86,4.90,4.90,4.84
4.90,4.99,5.03,4.90
5.06,5.00,5.06,4.95
5.00,4.92,5.00,4.92
4.94,4.93,4.97,4.92
4.94,4.91,4.96,4.88
4.94,4.91,4.94,4.89
4.93,4.91,4.94,4.91
4.93,4.96,4.96,4.92
5.00,5.00,5.04,4.94
5.00,4.99,5.01,4.98
5.00,4.99,5.03,4.99
5.00,5.01,5.03,4.99
5.03,5.02,5.05,5.02
5.02,5.05,5.05,5.01
5.06,5.09,5.11,5.05
5.10,5.09,5.12,5.02
5.09,5.10,5.15,5.03
5.12,5.16,5.17,5.10
5.16,5.25,5.25,5.16
5.35,5.23,5.35,5.22
5.23,5.23,5.25,5.17
5.20,5.22,5.26,5.20
5.22,5.14,5.25,5.12
5.15,5.10,5.18,5.07
5.08,5.09,5.11,5.01
5.10,5.06,5.11,5.06
5.04,4.89,5.06,4.86
4.99,4.74,4.99,4.52
4.81,4.86,4.87,4.71
4.86,4.94,4.99,4.84
4.94,4.78,4.94,4.66
4.77,4.85,4.85,4.75
4.86,4.95,4.96,4.85
4.88,5.01,5.02,4.88
5.00,4.87,5.01,4.82
4.84,4.91,4.91,4.84
4.94,4.94,4.95,4.89
4.99,4.86,4.99,4.86
4.92,4.97,4.97,4.88
4.94,4.95,4.95,4.90
4.85,4.86,4.92,4.80
4.85,4.47,4.86,3.79
4.48,4.50,4.63,4.39
4.69,4.66,4.72,4.63
