SGYP,Synergy Pharmaceuticals,NASDAQ
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.60,5.65,5.65,5.60
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
4.75,5.80,5.80,4.75
5.80,5.80,5.80,5.80
5.80,5.80,5.80,5.80
5.60,5.80,5.80,5.60
5.60,5.90,5.90,5.60
5.90,5.90,5.90,5.75
5.90,5.90,5.90,5.90
5.90,5.90,5.90,5.90
5.90,6.00,6.00,5.90
5.90,6.05,6.05,5.90
6.05,6.05,6.05,6.05
6.00,6.05,6.05,6.00
6.05,6.10,6.10,6.05
6.20,6.25,6.25,5.35
6.25,6.25,6.25,6.25
6.25,6.24,6.25,5.40
10.00,6.40,10.00,6.40
6.40,6.40,6.40,6.40
6.40,6.40,6.40,6.40
6.40,6.40,6.40,6.40
6.40,6.40,6.40,6.40
5.45,6.49,6.50,3.10
6.49,6.49,6.49,6.49
6.50,6.50,6.50,6.50
6.50,6.50,6.50,6.50
6.50,6.50,6.50,6.50
6.50,6.50,6.50,6.50
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
5.50,6.90,6.90,5.50
7.00,7.00,7.00,7.00
7.10,7.15,7.15,7.10
7.00,7.20,7.20,7.00
7.20,7.20,7.20,7.20
7.20,7.20,7.20,7.20
7.20,7.15,7.20,7.15
7.20,7.20,7.20,7.20
7.20,7.10,7.20,7.10
7.01,7.01,7.01,7.01
7.01,7.01,7.01,7.01
7.00,7.00,7.00,7.00
7.00,7.80,7.80,7.00
7.80,7.80,7.80,7.00
7.00,7.50,7.50,7.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
6.80,6.80,6.80,6.80
8.15,8.15,8.15,8.15
8.15,8.15,8.15,8.15
8.15,8.45,8.45,8.15
8.45,8.45,8.45,8.45
8.45,8.45,8.45,8.45
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.79,8.79,8.79,8.79
8.79,8.79,8.79,8.79
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
7.30,9.00,9.00,7.30
7.30,9.00,9.00,7.30
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,8.30,9.00,8.30
7.30,7.30,7.30,7.30
7.15,8.30,8.30,7.15
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,9.09,9.09,8.80
9.15,9.15,9.15,9.15
7.40,9.20,9.20,7.40
7.40,9.20,9.20,7.40
9.20,9.20,9.20,9.20
9.20,9.20,9.20,9.20
9.20,9.35,9.35,9.20
9.35,9.35,9.35,9.35
7.60,9.34,9.34,7.60
7.61,7.61,7.61,7.61
9.35,9.00,9.48,7.76
9.50,9.50,9.50,9.50
7.75,9.50,9.50,7.75
9.85,9.85,9.85,9.85
10.10,10.02,10.85,10.01
10.20,10.40,10.65,10.02
10.40,10.40,10.40,10.40
10.40,10.40,10.40,10.40
10.64,10.65,10.65,10.64
10.25,10.35,10.35,7.75
9.10,11.00,11.00,9.10
11.00,11.00,11.00,11.00
11.00,10.75,11.00,7.25
7.00,10.75,10.75,7.00
7.25,10.01,10.01,7.25
10.01,10.01,10.01,10.01
10.20,10.50,10.50,10.20
10.05,9.90,10.05,9.90
9.45,9.00,9.45,9.00
8.95,9.00,9.00,8.95
8.94,8.10,8.98,8.05
8.94,8.30,8.94,8.20
8.40,7.85,9.50,7.85
8.20,8.48,8.50,7.30
8.15,8.15,8.15,8.15
8.15,8.20,8.49,7.00
7.50,8.00,8.49,7.50
8.00,7.88,8.00,6.80
8.10,6.80,8.10,6.80
7.10,7.50,7.87,6.60
7.25,6.50,7.50,6.50
7.25,7.44,7.66,6.50
7.00,6.97,7.00,6.00
6.50,6.30,6.50,6.30
6.30,6.30,6.30,6.30
6.66,6.56,6.66,5.50
6.56,6.56,6.56,6.56
6.20,6.20,6.20,6.20
6.00,6.56,6.57,6.00
6.00,6.57,6.57,5.50
5.50,5.50,5.50,5.50
5.50,5.75,5.75,3.80
5.75,5.75,5.75,5.75
5.50,6.00,6.00,5.50
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.95,5.95,5.25
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
7.14,5.50,7.14,5.50
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.20,4.20,4.20,4.20
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
4.30,4.30,4.30,4.30
2.75,4.30,4.30,2.75
2.25,2.80,2.80,1.01
2.80,2.80,2.85,2.80
2.85,2.80,2.85,2.80
2.80,2.80,2.80,2.80
2.80,2.80,2.80,2.80
2.00,2.78,2.78,2.00
2.36,2.83,2.85,2.00
2.75,2.80,2.85,2.75
2.75,3.00,3.00,2.75
3.00,3.00,3.00,3.00
2.80,3.20,3.20,2.75
3.20,3.20,3.20,3.20
2.65,3.70,3.70,2.65
3.90,3.90,3.90,3.00
3.00,3.00,3.00,3.00
2.50,4.05,4.05,2.50
3.25,2.51,3.25,2.51
