SPHS,Sophiris Bio,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.41,0.40,0.41,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.41,0.39,0.42,0.39
0.40,0.40,0.40,0.39
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.43,0.43,0.39
0.42,0.39,0.42,0.39
0.38,0.39,0.39,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.39,0.38,0.39,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.45,0.46,0.46,0.45
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.46
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.50,0.49,0.50,0.49
0.50,0.59,0.59,0.50
0.58,0.59,0.59,0.58
0.54,0.56,0.56,0.54
0.56,0.56,0.56,0.56
0.52,0.56,0.56,0.52
0.55,0.58,0.59,0.55
0.60,0.57,0.60,0.57
0.59,0.57,0.59,0.57
0.57,0.57,0.57,0.57
0.52,0.48,0.52,0.48
0.48,0.47,0.49,0.47
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.53,0.54,0.54,0.53
0.51,0.53,0.53,0.51
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.49,0.49,0.49,0.49
0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55
0.53,0.53,0.53,0.53
0.55,0.59,0.59,0.55
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.60,0.60,0.60,0.60
0.63,0.63,0.63,0.62
0.62,0.67,0.67,0.62
0.73,0.75,0.75,0.72
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.72,0.75,0.72
0.69,0.69,0.69,0.69
0.71,0.72,0.72,0.71
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.67,0.67,0.67,0.67
0.67,0.67,0.67,0.67
0.69,0.71,0.71,0.69
0.72,0.72,0.72,0.72
0.70,0.71,0.71,0.70
0.70,0.70,0.70,0.70
0.69,0.69,0.69,0.69
0.65,0.65,0.65,0.65
0.65,0.68,0.68,0.65
0.69,0.68,0.69,0.68
0.70,0.66,0.70,0.66
0.66,0.66,0.66,0.66
0.65,0.65,0.65,0.65
0.66,0.66,0.67,0.65
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.68,0.68,0.68,0.68
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.67,0.67,0.67,0.67
0.67,0.67,0.67,0.67
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.67,0.69,0.70,0.67
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.70,0.69,0.70,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.56,0.58,0.58,0.56
0.49,0.49,0.49,0.49
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.51,0.49,0.51,0.49
0.50,0.49,0.50,0.49
0.49,0.49,0.49,0.49
0.50,0.50,0.50,0.50
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.66,0.60,0.66,0.60
0.62,0.62,0.62,0.62
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.62,0.62,0.62,0.62
0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64
0.64,0.71,0.71,0.64
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.76,0.77,0.79,0.76
0.74,0.76,0.76,0.73
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.68,0.67,0.68,0.67
0.67,0.67,0.67,0.67
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.62,0.58,0.62,0.57
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.61,0.61,0.61,0.61
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.62,0.69,0.69,0.62
0.67,0.67,0.67,0.67
0.70,0.67,0.70,0.67
0.66,0.67,0.67,0.66
0.66,0.66,0.66,0.66
0.65,0.65,0.65,0.64
0.65,0.65,0.65,0.65
