ICE,Intercontinental Exchange Inc. Common Stock,NASDAQ
113.09,112.87,113.50,111.90
112.00,108.62,112.01,107.75
107.20,105.27,108.55,104.63
104.77,108.14,108.56,104.55
107.71,108.48,110.60,106.78
108.81,108.50,109.81,107.67
107.87,105.73,108.97,104.78
106.13,107.62,108.24,105.44
107.55,109.61,110.69,106.98
109.41,107.03,110.03,107.00
106.88,109.08,109.64,106.40
108.34,107.64,108.75,106.36
107.76,103.56,108.19,101.51
103.27,100.16,104.60,99.81
103.65,100.92,104.47,100.90
100.44,95.31,100.44,95.20
96.61,97.06,97.35,93.50
97.70,95.34,97.74,94.50
96.31,95.48,99.00,94.68
96.34,97.93,98.24,94.90
98.19,99.04,100.48,97.53
99.62,99.81,101.67,99.37
99.10,95.57,99.10,94.01
95.65,98.47,98.54,94.46
99.49,97.04,100.66,97.04
98.25,98.87,99.78,97.17
96.57,95.68,97.94,94.45
96.89,99.49,100.37,96.70
98.67,100.51,100.80,98.30
101.29,104.16,104.33,101.11
104.38,102.81,104.75,101.60
102.76,102.36,103.43,101.64
101.69,103.50,104.10,101.63
103.81,102.76,104.22,102.59
102.16,102.18,103.73,101.85
102.61,104.20,104.51,102.51
102.54,105.09,105.45,101.85
105.40,107.29,107.47,104.63
107.23,108.09,108.45,106.28
108.37,108.19,109.67,107.60
108.38,107.34,109.18,107.13
107.29,108.95,109.44,107.19
109.46,109.44,109.78,108.35
109.30,110.22,110.40,108.30
109.90,109.71,110.25,108.97
109.84,110.00,110.39,108.18
109.79,111.66,111.98,109.44
111.99,110.23,112.59,109.17
108.60,108.89,109.20,107.01
109.01,108.71,109.50,107.97
109.25,109.45,110.30,108.80
109.85,109.54,111.43,108.58
108.11,108.11,110.41,107.73
107.43,109.88,110.16,106.89
110.21,109.85,110.23,108.69
109.65,110.49,111.25,108.71
111.07,109.90,112.19,109.77
110.26,111.08,112.35,110.25
111.49,111.36,112.00,110.33
111.36,110.36,111.50,109.91
110.32,112.18,113.62,110.20
112.73,112.68,113.96,111.89
112.63,110.39,113.14,110.04
108.92,107.07,109.07,105.65
106.88,106.17,107.52,105.74
105.76,107.03,107.49,105.53
107.08,107.04,108.01,106.62
106.97,108.58,109.72,106.97
108.75,108.92,109.48,108.28
109.32,110.68,110.77,109.01
110.33,111.65,111.65,110.33
111.17,107.51,111.55,107.20
107.03,109.44,109.73,106.80
109.97,112.42,112.50,108.89
112.70,111.87,112.88,110.30
111.17,116.84,118.71,110.65
117.29,118.26,118.68,115.95
118.50,120.28,122.66,118.03
120.96,115.82,121.00,115.62
116.81,116.45,118.20,115.21
117.99,118.82,119.49,116.01
118.18,116.63,119.35,116.59
117.30,116.86,117.98,116.00
115.70,113.43,116.08,113.05
112.90,118.94,120.00,112.27
118.95,117.04,120.42,110.00
117.30,114.68,118.60,113.49
119.21,123.39,123.56,118.46
122.47,120.43,124.85,120.25
120.97,122.58,123.89,120.97
122.56,121.92,125.00,121.86
121.28,118.19,121.39,117.00
118.74,119.36,119.73,116.57
120.04,114.69,121.21,113.87
113.97,114.02,115.40,111.26
111.49,109.52,113.00,109.40
108.99,115.09,115.20,107.93
115.54,114.18,117.80,114.16
111.62,113.90,114.10,109.40
114.28,113.10,115.76,112.56
114.43,117.35,117.45,114.43
117.10,116.13,118.24,115.60
115.69,115.83,118.25,114.14
117.07,121.40,121.50,117.07
122.22,121.22,122.49,120.29
118.64,117.90,120.53,117.35
118.66,116.97,120.43,116.88
117.64,116.07,118.13,113.50
116.10,114.78,118.80,114.18
115.81,118.97,119.19,115.81
118.23,123.41,124.00,118.23
125.28,122.92,125.42,122.71
123.16,123.25,124.41,121.93
121.93,126.94,129.53,121.93
123.91,122.33,124.50,120.80
122.23,122.17,123.23,121.58
123.20,121.48,124.03,120.83
121.75,119.41,123.41,119.19
118.87,117.52,120.15,116.61
116.40,114.52,116.95,114.26
115.50,118.36,119.14,115.00
118.36,118.00,119.50,115.85
116.60,113.88,116.98,113.08
113.78,113.03,115.90,112.58
113.62,112.63,114.44,109.72
112.71,106.23,112.72,104.76
107.60,103.91,107.89,101.74
104.08,106.78,107.07,102.57
107.15,107.31,108.01,105.56
107.09,106.64,108.20,105.64
106.34,106.61,107.31,105.79
107.71,108.00,108.60,107.26
107.39,105.90,107.81,104.43
105.81,105.53,106.75,103.65
104.30,101.54,105.38,101.34
101.79,102.89,103.59,101.45
103.01,107.54,107.83,102.51
109.08,104.38,109.08,104.20
105.80,106.52,107.49,105.23
105.65,108.36,108.49,105.65
108.67,108.00,108.67,106.90
108.47,107.20,108.90,106.80
107.15,106.65,108.22,106.45
107.02,106.47,108.16,105.70
105.67,105.62,106.47,104.13
107.00,108.64,108.85,106.74
108.25,107.41,108.43,106.75
108.25,110.31,111.55,108.25
110.00,108.96,110.00,107.96
