FDX,FedEx Corporation Common Stock,NASDAQ
84.21,83.45,85.00,83.11
83.44,84.54,84.59,82.64
84.33,83.84,85.12,83.61
83.85,82.93,83.85,82.40
84.08,84.99,85.26,82.95
85.59,87.25,88.29,85.40
86.44,86.58,88.68,85.60
86.95,85.82,87.33,85.15
85.58,86.29,86.45,85.09
86.34,85.11,86.80,84.93
84.97,85.90,86.26,84.97
84.75,84.06,84.80,83.08
84.35,81.60,84.48,81.30
81.32,80.29,81.86,80.19
81.22,80.69,81.22,79.15
80.46,80.76,81.23,79.51
80.75,80.42,80.77,78.61
80.98,79.07,80.98,78.39
79.68,78.35,80.70,78.30
78.81,80.67,80.73,78.76
81.07,82.33,82.55,80.36
81.66,82.12,82.85,80.91
81.36,78.85,81.74,78.75
78.85,76.69,79.25,75.17
76.82,76.69,77.77,75.31
77.27,79.22,79.72,76.96
79.16,78.29,79.29,77.52
78.38,79.53,79.78,77.44
78.40,78.55,78.68,77.51
78.92,79.97,80.20,78.92
79.90,79.94,80.49,78.93
79.63,80.10,80.39,79.37
80.10,81.76,82.44,80.10
82.25,82.36,83.14,81.52
82.06,81.49,83.12,80.92
81.73,83.08,83.61,81.73
81.54,83.18,83.27,80.27
83.13,84.76,84.98,82.32
84.92,85.81,86.45,84.83
86.44,85.41,87.12,85.21
85.82,86.14,87.80,85.66
87.23,86.36,87.48,85.47
87.02,86.95,87.75,86.63
87.26,86.67,87.54,86.14
86.48,86.85,87.34,85.64
87.01,87.26,88.34,86.88
86.61,86.49,87.00,85.64
86.53,86.18,86.69,84.80
86.20,87.83,87.83,86.15
88.04,88.63,88.94,87.68
89.05,89.80,90.51,89.05
87.85,92.67,92.96,87.00
91.05,91.05,92.17,90.36
90.50,89.68,91.00,89.52
89.66,91.63,92.01,89.64
91.42,90.24,91.50,90.10
91.18,90.94,91.94,90.01
91.19,91.35,91.88,90.34
91.75,92.23,92.43,90.84
92.52,92.82,93.23,91.68
92.17,93.40,93.66,91.60
94.01,92.17,94.53,91.69
92.12,92.46,92.63,91.66
92.09,92.37,92.84,91.76
92.03,90.67,92.35,90.20
90.45,90.72,90.94,89.82
90.48,91.26,91.64,90.28
91.07,90.82,91.70,90.57
90.69,90.72,90.95,89.92
91.12,94.01,94.23,90.77
95.30,95.62,97.75,95.30
95.24,93.87,95.39,93.41
93.32,92.55,94.27,91.93
93.34,92.04,93.56,91.55
91.98,91.50,92.50,91.12
91.01,91.71,91.94,89.90
91.93,92.81,92.83,91.30
93.03,92.50,93.99,92.27
91.73,89.72,92.71,89.43
90.37,90.84,91.42,89.66
91.47,92.58,92.80,91.28
92.42,90.01,93.80,89.90
90.68,92.47,92.74,90.32
91.03,89.37,91.24,88.34
88.45,88.56,89.64,87.85
87.95,85.99,89.28,81.50
86.16,83.14,86.16,81.80
87.03,87.72,88.46,86.10
86.93,88.11,89.62,86.32
88.62,89.76,89.92,88.00
89.35,87.98,89.62,87.67
87.30,85.91,87.42,85.01
86.13,85.89,86.96,84.00
85.96,84.06,86.82,83.77
83.27,84.09,84.71,82.12
82.55,81.10,83.17,81.02
80.14,83.06,83.35,79.41
82.66,81.47,83.47,81.41
79.11,80.71,80.89,78.29
81.44,81.64,82.71,81.01
83.16,84.16,84.29,82.13
84.04,83.49,84.63,82.67
82.49,81.29,83.41,81.20
81.93,83.32,83.41,81.49
83.84,83.98,84.85,82.66
82.21,79.37,82.62,78.84
79.93,76.52,79.93,76.45
77.07,78.68,79.01,76.03
79.38,77.55,80.25,77.12
79.14,80.26,80.34,78.65
79.53,80.63,80.74,78.82
81.18,81.47,82.50,80.75
82.10,83.01,83.15,81.63
81.40,78.07,82.05,77.92
78.50,78.11,78.52,77.13
78.47,78.70,78.82,77.91
79.69,78.58,80.09,78.02
78.52,76.20,78.96,75.88
76.43,76.59,77.22,75.44
76.22,75.96,77.33,75.69
76.12,75.96,76.24,74.42
75.80,75.13,76.55,74.93
74.01,71.51,74.27,70.94
71.47,70.11,71.90,69.98
70.71,72.00,72.19,69.78
72.39,71.41,72.60,71.02
72.23,70.70,72.71,70.06
71.00,72.89,72.91,70.57
73.49,73.68,74.44,72.63
73.87,74.22,74.36,72.52
75.21,74.16,75.40,73.58
75.16,77.29,77.68,75.11
77.01,78.73,79.12,76.91
78.75,77.22,78.80,76.24
76.80,74.61,76.99,74.37
74.91,74.99,75.22,73.70
74.10,75.91,76.04,73.26
76.53,74.03,76.57,73.35
75.71,78.53,78.74,75.71
78.49,78.96,79.00,77.57
82.26,83.39,83.64,82.00
84.00,82.37,84.24,81.81
81.75,82.84,83.05,81.41
83.47,82.07,83.68,81.15
81.23,82.55,82.99,80.67
83.90,84.60,84.67,83.06
84.46,83.63,84.46,82.75
84.02,85.96,86.09,83.75
85.18,85.75,86.05,84.85
84.56,85.32,85.79,84.08
85.56,87.29,87.74,85.52
86.44,87.10,87.47,85.77
85.42,83.13,85.48,82.47
81.75,81.94,82.19,80.89
81.78,80.80,82.20,80.78
80.18,80.98,81.50,79.88
81.95,83.76,84.47,81.74
83.54,84.04,84.55,82.74
83.50,81.58,83.92,80.94
81.06,81.23,81.66,79.98
82.27,81.44,83.27,81.33
80.26,79.09,80.69,78.13
78.11,78.75,79.14,77.25
78.47,78.76,80.11,78.47
79.51,80.46,80.57,77.89
79.67,78.78,80.87,78.75
78.51,78.05,79.40,77.34
79.31,81.37,81.69,79.04
81.51,81.72,82.15,81.01
82.79,82.75,84.12,82.48
82.24,81.98,82.76,81.33
82.03,83.81,84.61,82.03
85.12,84.28,85.86,84.13
84.70,84.16,85.00,83.96
85.25,84.62,86.35,84.28
84.84,85.09,85.59,84.06
84.86,85.94,86.31,84.60
83.41,82.72,84.00,81.80
82.85,82.28,82.85,81.81
82.57,82.91,83.67,82.09
83.22,83.63,83.75,82.41
83.61,84.30,85.08,83.31
83.56,82.66,84.42,82.37
83.88,84.23,84.80,83.67
84.61,84.07,84.87,83.95
84.06,84.71,84.86,82.76
84.51,86.37,86.57,84.01
87.00,85.50,88.46,85.43
86.41,85.64,87.42,85.23
85.53,85.43,86.64,84.74
86.23,87.83,88.45,86.12
87.59,87.38,88.00,86.73
87.65,86.74,87.68,85.93
86.93,88.69,88.93,86.34
88.96,88.40,88.96,88.10
87.96,87.98,88.38,86.55
88.56,89.75,90.63,88.26
89.73,89.39,89.75,88.84
90.05,89.62,90.50,88.65
89.45,89.47,89.90,88.89
88.19,87.14,88.71,86.43
87.57,88.92,89.25,87.50
88.92,88.57,89.87,87.80
88.66,88.86,88.86,87.90
89.39,89.56,90.20,88.92
88.97,89.64,90.30,88.25
88.63,88.13,88.75,86.70
88.70,88.83,89.18,87.57
88.72,87.72,89.13,87.67
87.69,86.42,88.77,86.04
87.10,87.03,87.69,86.23
87.00,87.44,88.38,85.84
88.38,88.80,89.14,87.93
88.73,90.00,90.55,88.73
89.18,90.31,90.46,89.05
90.42,88.12,90.65,87.79
88.33,88.48,88.75,87.25
87.48,87.98,88.45,87.35
87.39,87.32,87.75,86.77
87.68,86.39,88.25,86.23
85.88,85.87,86.23,84.49
86.12,85.63,86.73,85.35
86.76,87.09,87.59,86.14
87.35,86.79,87.97,86.55
86.50,87.34,87.50,85.88
86.32,86.14,86.90,85.81
86.86,88.47,88.60,86.59
87.57,87.50,87.99,87.44
89.00,91.59,91.98,88.47
91.21,91.12,93.03,91.00
93.24,93.99,95.00,93.10
94.35,95.21,96.23,94.10
94.51,95.00,95.48,94.36
94.53,93.29,94.67,93.04
94.18,92.66,94.60,92.64
92.43,92.81,93.28,92.10
93.67,94.09,94.28,93.30
94.10,93.98,94.10,92.63
94.90,94.31,95.19,94.26
94.42,93.33,94.77,92.93
93.33,92.39,93.50,92.39
91.86,94.22,94.79,91.28
94.23,93.07,94.31,92.24
93.81,93.56,93.89,92.81
93.80,93.69,94.49,93.47
93.83,93.37,93.90,92.82
93.03,93.01,93.52,92.57
92.49,93.03,93.20,92.49
93.24,93.02,93.36,92.59
93.07,92.80,93.25,92.64
92.82,92.96,93.24,92.70
92.53,93.01,93.41,92.41
93.54,93.19,94.29,93.12
93.38,93.12,93.87,92.06
92.52,93.87,94.27,92.37
93.70,93.10,93.93,92.91
93.00,93.15,94.32,91.80
93.01,94.06,94.98,92.25
94.79,93.31,94.79,92.45
93.92,95.00,95.14,93.28
94.91,95.63,96.17,94.62
95.65,95.83,97.00,95.31
96.31,95.80,96.79,95.08
95.63,94.34,95.72,93.57
93.54,93.51,94.02,92.79
94.42,93.34,94.64,92.87
93.12,94.37,94.44,92.97
94.03,93.99,94.35,93.30
94.13,94.31,94.77,93.27
94.41,94.36,94.84,93.80
94.52,90.48,94.64,90.18
91.00,90.32,91.50,90.01
92.75,92.69,93.96,92.28
92.07,90.80,92.13,90.52
91.94,91.46,92.30,91.10
91.60,91.74,91.82,90.54
91.84,91.46,92.75,91.30
91.38,92.05,92.40,91.17
91.71,91.60,92.17,91.00
91.31,94.44,94.69,91.31
93.87,95.42,95.89,93.80
95.03,93.99,95.70,93.81
95.01,95.98,96.70,94.89
96.37,96.84,97.10,95.90
96.39,97.47,97.70,96.37
97.86,98.32,98.52,97.31
96.05,93.29,96.20,92.91
93.10,89.25,93.11,87.54
89.35,89.81,90.76,89.08
90.57,89.88,90.92,89.75
91.01,90.02,91.02,89.77
90.57,87.88,90.58,87.60
88.01,87.32,88.65,86.32
88.33,89.79,90.58,88.18
89.87,88.69,90.00,87.80
88.88,88.26,89.38,87.11
88.27,89.95,90.30,88.27
89.53,90.78,91.00,89.00
89.72,89.95,91.33,88.80
90.08,90.71,91.25,89.86
89.72,88.63,89.86,87.20
86.02,87.79,89.06,85.97
87.36,85.28,87.66,85.03
89.79,87.89,90.40,87.49
90.10,89.28,90.21,88.27
