GBL,Gamco Investors,NASDAQ
49.01,48.84,49.82,48.49
48.86,48.39,49.55,47.86
48.37,47.39,48.37,47.28
47.46,47.48,48.02,46.75
47.18,47.04,47.23,46.08
47.43,46.64,47.50,46.54
46.16,45.40,46.81,45.25
45.70,45.95,46.15,45.44
45.69,45.70,45.89,45.26
45.83,45.15,45.84,45.00
45.15,45.51,45.53,44.45
45.18,44.82,45.18,44.44
44.82,44.10,45.20,44.10
44.06,43.47,44.67,43.33
43.79,43.24,44.05,42.47
43.02,42.00,43.83,42.00
41.75,43.89,44.44,41.75
44.10,43.16,44.44,42.69
43.16,41.07,44.00,40.78
41.20,42.15,42.61,41.20
42.05,41.90,42.52,41.87
41.84,42.02,42.84,41.31
39.65,40.27,40.71,38.97
40.28,40.90,40.97,39.85
40.67,39.73,40.78,39.47
40.32,40.64,40.97,39.56
40.36,40.38,40.77,39.34
41.60,42.80,43.07,41.60
42.50,41.79,42.93,40.27
42.21,42.20,42.55,41.54
42.46,42.47,42.92,42.21
42.35,43.05,43.05,42.35
43.06,43.14,43.33,42.48
43.14,43.26,43.64,42.80
43.32,42.75,43.55,42.64
42.82,43.00,43.91,42.80
42.26,42.83,42.95,41.58
42.80,43.51,43.58,42.53
43.94,44.85,46.49,43.94
46.18,46.34,46.41,45.14
46.54,46.78,46.97,46.24
46.99,47.50,47.88,46.82
47.61,48.85,49.34,46.15
49.20,48.69,49.60,48.68
48.61,48.35,49.59,48.11
48.35,47.25,48.35,46.56
46.82,46.86,47.27,46.36
47.00,46.29,47.48,45.79
46.34,45.79,46.50,45.33
45.74,45.55,45.81,44.99
45.50,46.08,46.40,44.81
45.90,45.97,46.37,45.01
45.86,45.86,46.38,44.81
45.37,46.56,46.66,45.37
46.66,46.99,47.05,46.46
46.52,46.41,46.87,46.17
46.86,46.05,47.40,45.90
46.16,45.54,46.34,45.41
45.79,46.19,46.48,45.44
46.27,46.81,46.97,45.97
46.50,45.50,46.98,45.50
45.85,45.64,45.85,45.09
45.67,46.43,46.44,45.54
46.25,46.89,46.90,46.23
46.68,46.78,46.90,46.28
46.65,45.92,46.75,45.50
46.25,45.76,46.48,45.58
45.72,45.15,45.84,44.89
45.09,45.42,45.53,45.00
45.80,46.39,46.42,44.97
46.66,47.23,47.23,46.15
47.05,46.73,47.05,45.71
46.05,46.70,47.02,46.05
47.10,46.73,47.74,46.55
46.97,46.65,47.18,46.38
46.04,43.70,46.53,42.30
43.11,45.67,46.19,43.11
45.74,46.25,46.77,45.74
46.19,45.23,47.25,45.21
45.65,46.26,47.21,45.53
46.52,47.81,48.46,45.90
47.49,46.01,48.19,46.01
46.43,47.03,47.26,46.04
46.14,45.40,46.47,45.04
45.01,45.09,46.11,44.97
44.95,42.68,45.45,42.52
42.68,43.79,44.28,41.59
45.51,44.62,45.56,43.88
43.97,43.78,45.47,43.01
43.77,46.68,47.08,43.77
46.66,46.42,46.78,46.10
46.21,45.22,46.57,44.00
45.36,45.32,46.06,45.01
