VRTX,Vertex Pharmaceuticals Incorporated - Common Stock,NASDAQ
42.85,44.24,44.24,42.80
43.06,42.78,43.35,42.50
42.51,42.03,42.87,41.86
42.00,41.50,42.49,41.44
41.45,40.67,41.50,40.41
40.81,41.83,42.13,40.50
41.87,41.79,42.61,41.11
41.80,42.72,42.94,41.60
42.48,41.30,42.69,41.11
41.74,40.21,41.74,39.80
40.33,41.68,41.78,40.33
41.43,40.74,41.86,40.61
40.96,39.85,40.96,39.54
39.88,40.14,40.75,39.88
40.23,39.52,40.34,39.41
39.50,39.02,39.75,38.95
38.81,39.00,39.34,38.63
39.01,38.65,39.37,38.20
38.75,38.40,39.17,38.36
39.93,39.34,39.93,39.18
39.25,40.49,40.50,38.93
40.36,40.23,40.42,39.54
39.78,38.42,39.84,38.27
38.50,37.61,38.68,36.15
37.00,37.42,37.60,37.00
37.74,37.90,38.36,37.33
37.77,37.50,37.90,37.11
37.58,38.10,39.00,37.48
37.76,38.38,38.39,37.76
38.46,38.68,38.73,37.80
38.80,39.78,39.98,38.74
39.93,40.25,40.43,39.93
40.23,40.70,40.72,40.23
40.72,39.92,40.74,39.63
39.61,39.42,40.16,39.04
39.70,40.36,40.51,39.70
39.93,40.14,40.19,39.18
40.18,40.54,40.62,39.51
40.66,41.43,41.78,40.61
41.83,41.84,42.03,41.27
41.79,41.98,42.11,41.71
42.00,41.60,42.08,41.25
41.62,41.52,41.86,41.39
41.33,41.40,41.55,41.26
41.18,42.08,42.19,41.17
42.22,43.02,43.14,42.11
42.89,43.00,43.11,42.40
43.04,43.46,43.46,42.52
43.39,43.24,43.73,42.75
43.32,43.71,43.94,43.23
43.64,42.40,43.91,42.39
42.36,41.70,42.68,41.58
42.10,42.72,42.72,41.91
42.61,42.48,42.95,42.33
42.33,42.18,42.46,42.02
42.16,41.71,42.38,41.58
42.04,41.55,42.12,41.54
41.78,41.61,42.12,41.29
41.73,41.16,41.94,40.97
41.25,40.86,41.39,40.71
40.89,40.87,41.67,40.83
41.08,40.85,41.62,40.60
40.86,40.65,41.05,40.53
40.51,40.47,40.66,40.06
40.31,40.49,41.45,40.12
40.43,39.81,40.50,39.42
40.01,39.68,40.01,39.22
38.77,39.26,39.75,38.22
39.24,40.01,40.17,38.94
40.09,39.99,40.21,39.51
39.76,39.66,40.22,39.23
39.62,39.99,40.12,38.92
40.00,40.04,40.26,39.66
40.23,40.50,40.55,39.71
40.37,39.35,40.47,39.10
39.06,38.09,39.06,37.98
38.42,38.75,38.81,37.87
38.63,38.50,38.99,38.38
38.50,38.67,39.30,38.50
