XLE,SPDR Select Sector Fund - Energy Select Sector,NASDAQ
57.92,58.81,58.81,57.79
58.89,59.29,59.41,58.62
59.32,60.00,60.18,59.19
59.74,59.91,60.01,59.30
59.70,60.30,60.35,59.49
60.69,60.22,60.87,59.73
59.30,59.35,59.71,59.04
59.32,59.57,59.80,58.52
59.56,59.74,59.89,59.33
59.67,59.26,59.80,58.85
59.10,59.80,59.90,58.99
59.16,58.87,59.16,58.42
58.92,57.67,59.10,57.53
57.39,56.30,57.72,56.14
56.68,56.67,57.22,56.49
56.20,56.31,57.30,55.92
56.15,56.09,56.65,55.18
56.50,55.50,56.62,54.80
55.91,54.50,56.46,54.22
55.15,56.30,56.31,55.11
56.51,57.04,57.14,56.05
56.88,56.55,57.35,56.42
56.10,54.23,56.12,54.20
54.22,54.24,54.48,52.67
54.25,53.74,54.89,53.73
54.48,54.87,55.56,54.31
54.89,54.64,54.98,53.78
54.53,55.57,55.69,54.29
54.90,55.59,55.62,54.54
56.30,56.90,57.10,56.24
57.06,56.82,57.18,56.44
56.76,57.14,57.28,56.48
56.93,57.36,57.56,56.66
57.50,56.57,57.51,56.45
56.30,55.63,56.44,55.37
55.61,55.98,56.19,55.44
55.18,56.01,56.04,54.72
56.14,56.14,56.34,55.65
56.40,56.66,56.80,56.35
57.03,57.13,57.56,56.91
57.35,57.38,57.88,57.35
57.47,57.08,57.65,56.84
57.64,58.15,58.28,57.58
58.31,58.06,58.51,57.81
57.75,58.06,58.38,57.67
58.12,58.57,58.65,57.85
58.35,58.47,58.58,58.17
58.85,58.50,58.85,58.25
58.28,57.90,58.36,57.29
58.19,58.42,58.48,57.73
58.71,59.06,59.42,58.63
59.06,58.18,59.15,57.86
57.28,57.28,58.25,56.76
56.56,57.13,57.39,56.33
57.26,57.35,57.44,56.89
56.97,57.02,57.52,56.84
57.43,56.06,57.57,55.97
56.25,56.08,56.44,55.72
56.44,57.17,57.28,56.40
57.30,57.26,57.37,56.91
57.37,57.52,57.78,57.13
58.09,58.54,58.67,58.04
58.90,59.58,59.69,58.70
59.50,59.58,59.78,59.26
59.44,58.99,59.48,58.65
58.55,59.20,59.39,58.27
59.59,59.83,59.93,59.50
59.78,59.97,60.38,59.76
59.89,59.76,60.04,59.13
60.06,60.33,60.38,59.53
60.26,60.32,60.54,60.07
59.98,59.30,60.25,58.91
58.76,59.38,59.40,58.58
59.83,60.54,60.76,59.78
60.56,60.48,60.93,60.04
59.97,60.63,60.64,59.52
60.65,62.09,62.09,60.57
62.20,61.88,62.30,61.78
61.45,59.98,61.91,59.83
60.39,60.59,60.75,59.77
60.90,60.66,61.39,60.25
60.80,59.91,60.83,59.53
60.17,60.59,61.07,59.49
59.79,58.97,59.84,58.35
57.89,58.04,58.85,57.52
57.52,56.06,58.18,52.29
55.90,54.99,56.63,54.29
57.13,57.34,57.56,56.52
56.74,56.96,57.83,56.69
57.08,57.75,57.94,57.08
57.66,57.38,58.11,57.11
56.85,56.24,57.02,55.36
56.42,55.66,56.58,54.46
56.47,55.23,56.86,54.91
54.91,54.60,55.32,53.66
53.20,52.16,53.37,52.00
51.13,53.07,53.19,51.01
52.96,51.86,53.10,51.78
50.47,51.98,52.00,50.15
52.59,51.87,53.08,51.70
53.18,54.07,54.14,52.99
53.94,53.05,54.01,52.65
52.17,50.53,52.54,50.44
50.88,52.72,52.80,50.79
53.27,53.43,53.54,52.13
52.29,51.55,53.44,51.18
51.76,51.10,52.36,51.00
51.18,51.95,52.11,50.69
52.47,51.41,53.28,51.14
52.78,53.99,54.10,52.66
53.23,54.32,54.35,53.23
54.99,54.04,55.39,54.01
54.60,55.62,55.70,54.46
55.23,55.58,55.96,55.00
55.75,55.52,55.75,54.92
55.26,55.61,55.70,54.86
56.53,55.49,56.70,55.07
55.45,53.87,55.48,53.69
53.80,53.46,53.85,53.15
53.14,52.34,53.47,52.10
52.42,52.49,52.96,51.77
52.73,51.78,52.73,51.72
51.05,50.07,51.06,49.70
49.99,49.68,50.75,49.57
49.85,49.50,50.13,48.56
49.81,49.38,50.03,48.96
50.24,49.86,50.76,49.31
50.12,51.62,51.65,50.00
52.22,52.35,52.50,51.41
52.30,52.62,52.70,52.08
52.42,52.48,52.87,51.99
53.18,53.11,53.51,52.92
52.87,53.05,53.34,52.50
52.98,52.99,53.20,52.09
52.53,51.73,52.73,51.35
51.94,52.06,52.36,51.51
51.32,53.25,53.32,51.31
53.59,52.38,53.59,51.99
53.11,53.54,54.02,52.96
