VCLT,Vanguard Long-Term Corporate Bond ETF,NASDAQ
74.21,74.08,74.21,73.94
74.88,75.00,75.09,74.71
75.01,74.53,75.01,74.49
74.50,74.53,74.53,74.50
74.40,74.58,74.58,74.26
74.60,74.57,74.61,74.50
75.76,74.92,75.76,74.87
75.30,74.46,75.30,74.46
74.89,74.97,74.97,74.60
75.27,75.15,75.33,75.15
75.15,74.80,75.27,74.23
74.90,75.01,75.20,74.90
75.16,75.73,76.09,75.14
75.49,75.06,75.51,74.98
75.09,75.16,75.28,75.09
75.04,74.80,75.09,74.80
74.88,74.68,75.02,74.50
74.85,74.61,74.85,74.61
74.40,74.41,74.41,74.40
74.40,74.59,74.59,74.40
74.60,74.68,74.68,74.60
74.58,74.26,74.61,74.26
74.00,74.51,74.59,73.89
74.17,74.33,74.33,74.17
74.66,74.47,74.66,74.19
74.01,73.94,74.02,73.94
74.02,73.50,74.07,73.40
73.50,73.38,73.55,73.38
73.45,73.39,73.46,73.32
73.22,73.33,73.33,73.07
73.57,73.32,73.57,73.00
73.58,73.16,73.58,72.67
73.02,73.13,73.24,73.02
73.13,73.54,73.77,73.13
73.88,73.92,73.93,73.52
74.45,74.25,74.45,74.25
74.85,74.64,74.85,74.16
74.70,74.94,74.94,74.70
74.91,74.82,74.91,74.79
74.75,74.83,74.87,74.71
74.70,74.72,74.81,74.25
74.82,74.82,74.82,74.82
74.68,74.57,74.68,74.09
74.09,74.74,74.74,74.09
74.16,74.58,74.59,74.16
74.63,74.45,74.63,74.42
74.34,74.61,74.61,73.99
74.72,75.00,75.00,74.60
75.09,74.93,75.09,74.86
75.17,75.17,75.17,75.17
75.90,75.60,75.90,75.25
76.02,76.02,76.02,76.02
75.79,75.79,75.79,75.72
75.88,75.80,75.88,75.80
75.91,75.76,75.91,75.76
75.02,74.80,75.28,74.80
74.61,73.99,74.61,73.99
74.58,74.39,74.74,74.30
74.62,74.58,74.62,74.06
74.41,74.42,74.58,74.37
74.50,74.59,74.66,74.48
74.41,74.63,74.70,74.38
73.90,73.85,74.18,73.45
74.00,74.07,74.07,74.00
73.99,74.82,74.82,73.99
74.73,74.66,74.79,74.31
74.70,74.86,74.92,74.63
74.90,75.16,75.16,74.90
75.84,75.49,75.84,75.01
75.05,75.32,75.49,75.05
75.28,75.64,75.64,74.91
76.05,75.61,76.05,75.46
75.77,75.71,75.77,75.71
75.50,75.96,76.03,75.50
76.16,76.35,76.35,76.16
76.42,76.13,76.49,75.74
76.05,75.99,76.07,75.67
76.35,75.59,76.35,75.59
75.99,76.33,76.33,75.99
76.17,76.21,76.31,76.17
76.00,76.09,76.30,76.00
76.06,76.56,76.56,76.06
76.56,76.15,76.56,76.15
77.27,76.95,77.27,76.47
77.38,76.95,77.48,76.89
77.14,76.83,77.61,75.94
76.57,75.73,76.80,75.73
75.31,76.59,76.78,75.31
76.92,76.02,76.92,75.46
76.39,75.65,76.39,75.65
75.88,75.56,75.95,75.55
76.06,76.30,76.70,76.06
76.10,76.00,76.40,75.78
76.34,76.50,76.61,76.08
76.63,76.76,76.96,76.57
78.00,76.38,78.00,76.18
77.75,77.17,77.75,77.00
76.95,76.96,77.36,76.91
77.16,76.58,77.16,76.58
76.22,76.39,76.42,75.93
75.55,75.18,75.55,74.60
74.83,74.97,74.97,74.59
76.00,74.80,76.00,74.50
74.80,74.75,74.80,74.61
74.40,74.54,74.90,74.40
75.77,75.16,75.77,74.71
75.64,75.68,75.77,75.57
76.13,75.53,76.13,75.07
75.24,75.43,75.58,74.75
75.07,74.33,75.07,74.33
74.50,75.12,75.12,74.50
74.71,74.96,74.96,74.58
75.00,74.96,75.04,74.56
74.75,75.21,75.24,74.75
76.06,75.99,76.06,75.64
75.99,75.92,76.00,75.61
75.57,76.14,76.21,75.50
76.00,76.42,76.42,76.00
76.75,76.75,76.83,76.44
76.89,76.25,76.89,76.25
76.28,76.62,76.71,76.20
77.15,77.23,77.23,76.85
77.40,77.60,77.60,77.01
77.70,77.95,77.96,77.25
78.06,78.01,78.34,77.46
77.79,77.51,77.79,77.49
77.45,78.00,78.00,76.91
78.00,77.78,78.05,77.51
77.51,77.49,77.64,77.15
77.45,77.25,77.47,77.06
77.27,77.29,77.58,77.27
77.34,77.17,77.36,77.07
77.31,77.71,77.76,77.19
78.07,78.28,78.37,78.07
78.70,78.41,78.85,78.41
78.76,78.39,78.76,78.39
78.55,78.41,78.57,78.41
78.43,79.63,79.63,78.43
79.38,79.04,79.38,78.86
78.78,78.68,79.04,78.40
78.25,78.51,78.51,78.04
78.75,78.61,78.75,78.40
79.09,79.01,79.09,78.52
79.25,79.04,79.32,78.45
79.24,79.51,79.54,79.10
79.21,79.08,79.31,78.71
79.23,79.26,79.27,79.05
79.49,79.00,79.49,79.00
79.86,79.10,79.86,78.85
79.52,79.54,79.55,79.03
79.50,79.54,79.62,79.47
79.44,79.63,80.33,79.10
79.51,79.82,79.96,79.16
80.16,79.79,80.28,79.79
80.29,80.45,80.53,80.17
81.57,81.85,81.90,81.19
