MKL,Markel Corporation Common Stock,NASDAQ
346.98,347.40,349.60,345.90
349.54,351.34,354.22,348.98
349.00,351.94,354.34,348.00
352.99,348.50,352.99,347.06
345.50,337.76,345.78,337.38
339.37,337.33,340.36,335.73
334.50,340.00,343.29,334.50
336.15,336.95,340.95,334.95
339.12,341.32,342.12,338.00
339.75,339.28,341.40,337.77
340.50,348.15,348.15,340.50
348.32,343.22,349.00,341.79
343.18,335.10,343.65,335.10
338.50,337.88,341.26,336.19
336.92,338.00,339.36,334.62
342.90,345.62,346.86,339.61
342.55,341.79,343.89,340.32
341.30,345.86,346.10,341.20
341.97,342.75,344.73,341.20
341.40,337.89,342.36,335.87
330.00,341.99,341.99,322.00
336.73,335.00,338.69,334.84
331.00,326.62,332.69,326.13
322.50,331.00,332.25,322.31
331.00,324.10,333.35,324.04
323.35,325.20,330.46,323.35
329.56,333.27,335.64,329.56
333.27,331.33,336.52,331.29
330.33,326.62,331.78,326.30
327.62,326.27,332.25,326.24
327.40,327.57,333.54,327.40
326.07,325.45,332.98,325.45
325.26,331.60,331.60,324.66
328.00,326.61,335.00,325.00
327.60,328.52,329.05,325.22
326.76,321.32,327.23,321.08
322.30,327.72,327.72,320.71
330.45,333.60,333.69,321.80
332.00,335.76,336.00,330.43
337.50,338.20,339.16,333.87
337.26,330.06,338.74,330.06
330.42,335.49,335.49,329.05
337.85,338.64,339.38,332.55
337.82,336.55,338.04,334.32
338.08,338.80,338.80,331.96
336.85,337.23,338.72,333.89
335.07,343.91,343.91,334.82
341.74,337.80,342.50,337.80
338.20,338.56,342.35,337.30
339.00,345.55,345.55,336.36
344.45,343.50,346.41,341.81
342.42,341.38,345.42,339.32
338.10,337.00,341.89,336.64
341.49,347.48,347.48,339.52
342.00,345.00,347.02,341.59
344.50,343.50,346.57,342.22
343.49,344.80,347.10,340.49
346.00,344.59,349.99,343.65
346.10,346.80,347.00,341.60
344.49,341.60,347.01,339.97
343.36,348.06,348.84,340.02
343.10,344.95,347.94,343.10
345.09,342.23,348.08,341.80
341.86,341.29,344.05,338.86
340.50,343.45,343.71,338.42
341.30,342.26,343.75,338.75
342.87,343.80,344.88,340.70
343.00,345.22,350.79,343.00
346.48,345.29,350.94,345.29
345.26,348.20,348.20,342.74
346.70,342.24,347.04,341.40
344.15,346.55,347.13,341.15
346.00,344.91,348.66,343.24
346.00,345.99,347.63,343.67
347.10,343.96,348.00,343.89
342.99,343.85,344.86,341.23
343.70,341.00,343.70,339.06
342.13,337.77,342.14,337.16
338.00,335.02,338.76,332.77
335.99,337.74,338.28,335.04
340.88,345.08,345.82,337.07
346.15,353.00,353.00,343.70
354.49,370.10,370.10,353.05
368.10,365.00,368.71,356.11
370.00,361.93,373.98,361.93
363.50,357.40,365.15,355.91
359.25,366.50,368.41,358.09
365.00,360.65,366.90,360.06
