IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,NASDAQ
1.09,1.09,1.09,1.09
1.10,1.09,1.13,1.09
1.17,1.17,1.17,1.17
1.23,1.26,1.26,1.23
1.35,1.29,1.35,1.29
1.35,1.35,1.35,1.35
1.32,1.30,1.32,1.30
1.30,1.30,1.30,1.30
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.30,1.30,1.30,1.30
1.29,1.59,1.85,1.29
1.58,1.59,1.60,1.58
1.54,1.40,1.54,1.40
1.36,1.32,1.36,1.32
1.34,1.35,1.35,1.33
1.60,1.60,1.60,1.60
1.40,1.29,1.40,1.19
1.45,1.35,1.45,1.30
1.35,1.35,1.35,1.35
1.31,1.30,1.31,1.29
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.29,1.29,1.29,1.29
1.30,1.30,1.30,1.30
1.34,1.34,1.34,1.34
1.34,1.34,1.34,1.34
1.34,1.34,1.34,1.34
1.34,1.34,1.34,1.34
1.33,1.33,1.33,1.33
1.26,1.26,1.26,1.26
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.30,1.30,1.30,1.30
1.33,1.33,1.33,1.33
1.33,1.33,1.33,1.33
1.33,1.33,1.33,1.33
1.23,1.33,1.33,1.16
1.33,1.33,1.33,1.33
1.23,1.30,1.30,1.23
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.33,1.34,1.35,1.33
1.34,1.34,1.34,1.34
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.40,1.40,1.40,1.40
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.36,1.25,1.36,1.12
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.17,1.17,1.17,1.17
1.23,1.28,1.29,1.23
1.40,1.40,1.40,1.40
1.34,1.40,1.40,1.34
1.33,1.36,1.36,1.30
1.24,1.30,1.30,1.24
1.40,1.40,1.40,1.40
1.35,1.30,1.35,1.30
1.31,1.35,1.35,1.31
1.35,1.35,1.35,1.35
1.28,1.27,1.28,1.27
1.27,1.27,1.27,1.27
1.21,1.20,1.21,1.20
1.25,1.30,1.30,1.25
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.12,1.45,1.45,1.12
1.14,1.39,1.40,1.14
1.44,1.44,1.44,1.44
1.44,1.44,1.44,1.44
1.50,1.52,1.52,1.50
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.50,1.21,1.50,1.21
1.21,1.21,1.21,1.21
1.22,1.22,1.22,1.22
1.25,1.27,1.27,1.25
1.27,1.27,1.27,1.27
1.23,1.22,1.23,1.22
1.28,1.28,1.28,1.28
1.33,1.38,1.38,1.33
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.38,1.38,1.38,1.38
1.40,1.28,1.40,1.28
1.30,1.37,1.44,1.26
1.40,1.44,1.46,1.36
1.44,1.44,1.44,1.44
1.45,1.45,1.45,1.45
1.40,1.43,1.48,1.40
1.46,1.49,1.50,1.41
1.43,1.43,1.43,1.43
1.43,1.43,1.43,1.43
1.46,1.50,1.50,1.40
1.50,1.50,1.50,1.50
1.43,1.36,1.43,1.36
1.43,1.30,1.43,1.30
1.29,1.38,1.43,1.29
1.38,1.38,1.38,1.38
1.31,1.35,1.39,1.25
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.38,1.37,1.38,1.37
1.37,1.36,1.37,1.36
1.36,1.36,1.36,1.36
1.36,1.36,1.36,1.36
1.36,1.36,1.36,1.36
1.36,1.36,1.36,1.36
1.36,1.36,1.36,1.36
1.36,1.40,1.40,1.36
1.32,1.32,1.32,1.25
1.25,1.32,1.32,1.25
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.25,1.31,1.31,1.25
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.25,1.31,1.31,1.25
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.24,1.15,1.24,1.15
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.26,1.32,1.32,1.26
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.25,1.20,1.25,1.20
1.32,1.36,1.36,1.32
1.29,1.16,1.29,1.15
1.10,1.13,1.13,1.06
1.20,1.25,1.25,1.20
1.11,1.15,1.15,1.11
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.21,1.21,1.21,1.21
1.27,1.27,1.27,1.27
1.26,1.26,1.26,1.26
1.26,1.26,1.26,1.26
1.26,1.26,1.26,1.26
1.26,1.26,1.26,1.26
1.32,1.26,1.52,1.10
1.26,1.26,1.26,1.26
1.17,1.17,1.17,1.17
1.17,1.17,1.17,1.17
1.15,1.21,1.21,1.15
1.21,1.27,1.27,1.21
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.27,1.27,1.27,1.27
1.21,1.12,1.22,1.11
1.17,1.22,1.23,1.17
1.11,1.11,1.11,1.11
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.11,1.21,1.21,1.11
1.25,1.20,1.25,1.19
1.20,1.20,1.20,1.20
1.14,1.10,1.14,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.16,1.20,1.22,1.16
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.22,1.18,1.22,1.18
1.18,1.18,1.18,1.18
1.12,1.10,1.12,1.10
1.13,1.16,1.19,1.11
1.16,1.16,1.16,1.16
1.16,1.20,1.20,1.16
1.11,1.29,1.30,1.11
1.29,1.47,1.50,1.29
1.47,1.47,1.47,1.47
1.42,1.42,1.42,1.42
1.42,1.42,1.42,1.42
1.49,1.52,1.52,1.49
1.52,1.52,1.52,1.52
1.52,1.52,1.52,1.52
1.52,1.52,1.52,1.52
1.51,1.50,1.51,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.51,1.52,1.52,1.50
1.52,1.52,1.52,1.52
1.52,1.52,1.52,1.52
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.44,1.44,1.44,1.44
1.41,1.41,1.41,1.41
1.45,1.45,1.45,1.45
1.52,1.32,1.52,1.24
