JAZZ,Jazz Pharmaceuticals plc - Ordinary Shares,NASDAQ
8.06,8.24,8.24,8.01
8.13,8.39,8.44,8.13
8.38,8.69,8.75,8.28
8.60,8.39,8.74,8.34
8.46,8.26,8.54,8.16
8.51,8.34,8.51,8.20
8.20,8.51,8.51,8.12
8.50,9.27,9.30,8.30
9.28,10.01,10.15,9.12
9.95,10.05,10.19,9.70
9.90,9.88,10.35,9.70
9.93,11.00,11.24,9.80
10.99,10.15,10.99,9.83
10.09,9.55,10.10,9.36
9.54,9.60,9.74,9.26
9.60,9.77,10.26,9.56
9.84,9.58,9.84,9.40
9.66,9.47,9.83,9.42
9.49,9.40,9.83,9.30
9.44,9.41,9.74,9.34
9.50,9.84,10.11,9.50
9.68,9.81,10.05,9.68
9.69,9.14,9.75,9.01
9.21,9.02,9.25,8.60
9.14,9.13,9.45,9.01
9.29,9.18,9.45,9.15
9.18,9.22,9.40,9.12
9.11,9.25,9.73,9.11
9.29,9.34,9.40,9.20
9.41,10.50,10.75,9.41
10.72,10.45,10.72,9.84
10.40,10.24,10.40,10.03
10.55,10.02,10.70,9.87
10.00,10.00,10.24,9.95
9.91,9.56,9.95,9.41
9.57,9.48,9.75,9.32
9.45,9.65,9.72,9.38
9.70,9.78,9.91,9.60
9.51,10.34,10.43,9.51
10.50,10.32,10.59,10.14
10.36,10.60,10.91,10.14
10.99,11.61,11.90,10.60
11.75,11.77,12.15,11.25
11.77,11.48,12.05,11.25
11.32,11.17,11.60,11.05
11.21,11.71,11.83,11.05
11.72,11.46,11.72,11.30
11.68,11.35,11.70,11.16
11.30,11.10,11.38,10.84
11.12,11.30,11.42,11.00
11.44,12.49,13.07,11.36
12.50,12.65,13.29,12.20
12.46,12.46,13.75,12.08
12.33,13.47,13.65,12.09
13.40,12.99,13.95,12.90
13.00,12.83,13.25,12.75
12.41,12.33,13.00,12.25
12.31,11.69,12.62,11.58
11.74,12.01,12.20,11.73
12.10,11.44,12.17,11.31
11.44,10.90,11.47,10.80
10.97,11.00,11.35,10.91
11.09,11.41,11.49,11.09
11.57,11.93,12.04,11.42
12.12,11.59,12.19,11.43
11.51,11.25,11.58,11.07
11.23,11.27,11.39,11.12
11.39,11.41,11.57,11.30
11.30,11.28,11.40,11.05
11.33,11.63,11.74,11.14
11.55,11.56,11.71,11.32
11.40,10.55,11.48,10.33
10.43,9.81,10.46,9.71
10.10,10.34,10.55,9.91
10.23,10.33,10.64,10.21
10.32,10.22,10.40,10.04
10.31,10.30,10.45,10.16
10.50,10.39,10.64,10.28
10.21,9.83,10.24,9.58
9.88,9.84,9.97,9.62
9.91,10.50,10.61,9.70
10.45,10.14,10.61,9.99
10.31,10.30,10.44,10.00
10.20,10.09,10.69,9.76
10.00,9.74,10.00,9.01
9.73,8.45,9.77,6.38
8.53,8.20,8.58,7.80
8.80,9.06,9.14,8.55
8.29,8.32,8.50,8.11
8.47,8.65,8.70,8.36
8.65,8.56,8.92,8.50
8.69,8.57,8.80,8.30
8.72,8.65,8.93,8.38
8.95,8.65,8.99,8.56
8.51,8.46,8.64,8.14
8.15,8.12,8.37,8.00
7.89,8.40,8.60,7.72
8.36,8.22,8.54,8.11
8.13,8.10,8.13,7.75
8.32,7.93,8.32,7.93
8.21,8.35,8.35,8.11
8.30,8.11,8.35,8.03
7.89,7.57,8.03,7.56
7.62,8.14,8.14,7.61
8.23,7.98,8.23,7.80
7.58,7.59,7.87,7.48
7.58,7.15,7.73,7.15
7.19,7.35,7.55,6.87
7.45,7.36,7.69,7.26
7.50,7.66,7.66,7.34
7.69,7.89,7.91,7.51
8.00,8.06,8.21,7.86
8.52,8.57,8.86,8.44
8.50,8.43,8.61,8.35
8.49,8.31,8.50,8.26
8.31,8.43,8.52,8.22
8.51,8.13,8.56,7.90
8.10,7.90,8.28,7.82
7.86,8.20,8.27,7.86
8.13,8.19,8.29,8.05
8.31,8.32,8.50,8.18
8.19,8.36,8.50,8.19
8.17,7.99,8.29,7.93
