REN           ,Resolute Energy Corporation,NYSE
58.25,58.55,59.50,58.25
58.20,59.95,61.15,58.20
60.05,60.10,60.25,59.65
59.80,59.70,60.16,59.10
59.70,59.35,60.32,59.20
60.25,59.05,60.45,58.85
59.30,57.55,59.35,57.50
57.90,59.40,59.90,57.28
60.35,59.50,60.40,59.05
60.00,58.65,60.70,58.40
59.65,58.00,59.65,57.90
57.90,56.85,58.50,56.60
57.15,56.80,57.35,55.80
56.40,55.95,57.05,55.25
56.55,56.15,56.60,55.75
56.00,55.55,56.15,54.75
56.10,54.99,57.05,54.70
54.70,54.95,56.00,54.35
54.85,54.25,55.85,53.75
54.30,56.05,56.10,54.30
56.60,56.40,57.15,55.90
56.50,56.90,57.20,56.40
56.25,53.85,56.25,53.55
53.60,55.00,55.25,52.50
54.45,54.95,55.40,53.75
55.50,55.30,56.25,54.75
55.40,54.30,55.40,54.25
54.55,54.25,54.85,53.95
53.80,54.45,54.60,53.30
55.15,56.35,56.40,54.75
56.40,55.00,56.75,54.80
55.20,54.90,55.60,54.75
55.00,54.95,55.25,54.60
55.00,54.55,55.10,54.25
54.45,52.80,54.70,52.65
53.10,53.00,53.30,52.65
52.50,53.10,53.10,52.30
53.45,53.25,53.55,52.70
53.45,54.20,54.35,53.45
55.00,55.40,55.85,54.75
55.35,54.15,55.60,54.15
54.70,57.65,57.65,54.70
57.65,56.60,57.65,55.60
56.70,58.60,59.50,56.50
58.60,59.35,60.50,58.20
59.75,59.65,60.35,58.75
59.65,60.30,60.50,58.40
60.90,61.90,62.25,60.50
61.15,59.85,61.35,58.85
60.30,60.10,60.48,59.45
59.80,60.00,60.65,59.45
60.30,59.05,60.30,57.80
58.95,58.30,60.00,58.00
57.25,58.95,59.05,56.80
58.75,60.80,61.80,58.35
60.55,60.60,61.00,59.70
59.45,61.20,63.30,57.35
61.05,60.40,61.15,59.55
61.05,61.05,61.05,59.55
61.55,59.75,61.55,59.40
59.75,60.55,61.15,58.85
60.65,61.65,62.55,60.30
62.50,62.85,62.95,61.75
62.80,64.95,65.10,62.35
65.15,65.50,65.95,64.75
65.65,65.60,65.95,64.65
65.95,65.75,66.00,65.05
65.95,65.95,66.40,65.75
66.00,66.60,66.65,65.75
67.60,67.95,69.15,67.60
67.55,67.85,68.30,67.50
67.80,64.70,67.80,64.05
64.05,64.35,64.45,62.60
64.60,65.50,65.85,64.10
65.50,65.00,65.75,64.80
64.50,65.75,65.95,64.35
65.65,66.50,67.15,64.80
66.20,67.90,68.25,65.50
67.90,66.50,68.20,66.20
67.10,65.10,68.05,64.50
66.15,66.70,67.70,65.85
66.90,66.90,67.25,65.40
67.00,67.75,68.35,66.35
66.90,66.70,67.55,65.10
65.70,65.00,67.15,64.10
64.50,62.50,65.65,59.25
62.05,62.00,64.10,60.75
63.65,64.00,64.55,62.50
63.05,63.50,63.95,61.25
63.80,67.45,67.45,63.35
67.00,67.55,68.90,65.70
67.10,65.60,67.55,64.80
65.60,63.80,66.10,62.90
64.45,65.00,65.66,64.00
64.25,64.50,64.95,63.20
62.75,61.90,63.05,60.20
61.00,60.15,62.20,59.95
59.85,60.30,61.65,59.10
58.35,60.65,61.05,57.96
60.50,60.75,61.95,59.65
61.80,62.05,62.25,60.95
62.05,62.95,63.25,61.60
62.50,60.95,63.10,60.75
61.15,64.55,64.65,59.90
64.25,64.00,65.10,63.70
62.45,61.40,63.38,61.05
61.55,61.00,62.00,60.60
61.05,61.00,61.35,60.60
61.60,61.75,62.50,60.85
63.05,63.00,63.60,62.35
62.65,65.10,65.15,62.65
65.75,65.70,66.80,65.55
66.20,67.05,67.10,65.75
66.00,66.80,67.80,64.35
66.70,65.80,67.00,65.50
66.20,67.95,68.75,65.10
68.75,65.80,69.35,65.45
65.75,64.20,66.65,63.05
63.75,63.65,65.30,63.00
63.30,62.45,64.45,62.10
62.70,64.10,64.50,61.38
62.95,63.25,64.40,62.40
62.20,61.55,62.50,61.05
61.60,61.20,62.10,60.35
61.00,62.25,63.40,60.30
62.75,61.00,63.10,60.20
62.20,60.80,63.40,60.45
61.15,62.70,62.75,60.75
63.25,62.55,63.85,61.70
62.65,63.65,63.85,62.65
63.55,61.35,63.95,61.30
62.15,63.25,63.65,61.85
62.90,62.45,64.10,61.50
62.30,62.35,62.50,61.10
