TEUM,Pareteum Corporation Common Stock,NASDAQ
1.35,1.35,1.35,1.35
1.30,1.22,1.30,1.20
1.22,1.20,1.22,1.18
1.20,1.20,1.20,1.20
1.20,1.27,1.29,1.20
1.27,1.27,1.27,1.25
1.29,1.26,1.29,1.25
1.27,1.26,1.27,1.20
1.27,1.27,1.27,1.27
1.40,1.49,1.53,1.30
1.45,1.49,1.50,1.35
1.50,1.49,1.50,1.45
1.40,1.44,1.50,1.31
1.50,1.55,1.55,1.50
1.55,1.55,1.55,1.55
1.41,1.41,1.41,1.41
1.51,1.49,1.55,1.49
1.50,1.51,1.51,1.50
1.51,1.51,1.51,1.51
1.35,1.35,1.35,1.35
1.51,1.50,1.51,1.50
1.51,1.51,1.51,1.51
1.35,1.51,1.51,1.35
1.55,1.35,1.55,1.35
1.50,1.55,1.55,1.50
1.36,1.33,1.36,1.29
1.32,1.30,1.33,1.30
1.30,1.25,1.30,1.25
1.25,1.30,1.30,1.25
1.40,1.25,1.40,1.25
1.26,1.23,1.30,1.21
1.30,1.35,1.40,1.24
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.30,1.40,1.40,1.22
1.50,1.45,1.50,1.45
1.45,1.45,1.45,1.45
1.55,1.55,1.55,1.45
1.45,1.45,1.45,1.30
1.39,1.35,1.39,1.35
1.38,1.40,1.50,1.38
1.45,1.45,1.55,1.45
1.55,1.65,1.65,1.50
1.64,1.65,1.80,1.60
1.60,1.58,1.65,1.52
1.58,1.55,1.58,1.55
1.55,1.55,1.55,1.50
1.60,1.55,1.60,1.55
1.60,1.59,1.70,1.59
1.59,1.60,1.60,1.59
1.58,1.58,1.58,1.58
1.58,1.60,1.70,1.58
1.60,1.65,1.67,1.60
1.69,1.61,1.70,1.60
1.60,1.55,1.60,1.55
1.58,1.58,1.60,1.58
1.65,1.51,1.65,1.51
1.70,1.65,1.70,1.60
1.65,1.70,1.75,1.65
1.75,1.73,1.80,1.72
1.72,1.75,1.75,1.70
1.75,1.75,1.75,1.69
1.75,1.71,1.75,1.70
1.71,1.70,1.71,1.70
1.66,1.75,1.75,1.66
1.74,1.75,1.75,1.70
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.76,1.75,1.76,1.75
1.75,1.75,1.75,1.75
1.75,1.80,1.80,1.75
1.75,1.79,1.79,1.75
1.80,1.79,1.80,1.76
1.79,1.75,1.80,1.75
1.75,1.79,1.80,1.75
1.80,1.85,1.85,1.80
1.90,2.05,2.15,1.85
2.05,2.05,2.10,2.00
1.78,1.98,1.99,1.77
1.97,1.87,1.99,1.85
1.90,1.90,1.90,1.86
1.87,1.85,1.90,1.85
1.85,1.75,1.85,1.71
1.75,1.60,1.75,1.50
1.60,1.55,1.65,1.50
1.60,1.50,1.60,1.49
1.52,1.50,1.55,1.50
1.55,1.60,1.65,1.50
1.65,1.65,1.65,1.61
1.82,1.55,1.82,1.50
1.55,1.55,1.55,1.55
1.60,1.63,1.65,1.55
1.65,1.72,1.74,1.65
1.72,1.75,1.75,1.63
1.55,1.55,1.64,1.53
1.57,1.67,1.75,1.57
1.60,1.70,1.70,1.50
1.70,1.67,1.74,1.67
1.64,1.65,1.65,1.64
1.65,1.73,1.75,1.65
1.73,1.76,1.77,1.73
1.80,1.95,1.96,1.80
1.90,1.95,1.96,1.90
1.95,1.95,1.98,1.90
1.95,1.94,1.98,1.90
1.94,1.99,2.00,1.94
1.98,1.93,1.99,1.93
1.93,1.91,2.00,1.85
1.91,1.90,1.91,1.90
1.97,1.95,2.00,1.86
1.95,1.90,1.98,1.90
1.90,1.97,1.97,1.90
1.97,1.95,1.97,1.85
1.95,1.90,1.95,1.90
1.89,1.87,1.89,1.85
1.89,1.98,1.98,1.89
1.98,1.95,1.98,1.87
1.87,1.95,1.95,1.87
1.86,1.88,1.95,1.85
1.88,1.86,1.93,1.86
1.90,1.88,1.90,1.85
1.86,1.89,1.92,1.85
1.94,1.80,1.95,1.80
1.85,1.82,1.85,1.80
1.82,1.82,1.82,1.82
1.85,1.90,1.90,1.85
1.85,1.90,1.90,1.85
1.86,1.90,1.90,1.86
1.90,1.85,1.90,1.85
1.85,1.90,1.90,1.85
1.92,1.90,1.92,1.90
1.87,1.78,1.87,1.75
1.78,1.66,1.78,1.66
1.67,1.60,1.75,1.50
1.65,1.75,1.75,1.65
1.75,1.78,1.80,1.75
1.75,1.72,1.75,1.70
1.70,1.85,1.85,1.70
1.80,1.80,1.84,1.80
1.80,1.85,1.85,1.80
1.80,1.85,1.85,1.80
1.80,1.80,1.85,1.80
1.80,1.87,1.90,1.80
1.90,1.85,1.90,1.85
1.92,1.90,1.92,1.85
1.85,1.81,1.90,1.80
1.90,1.85,1.90,1.80
1.80,1.85,1.85,1.80
1.80,1.85,1.85,1.80
1.85,1.84,1.85,1.84
1.84,1.85,1.85,1.84
1.82,1.82,1.82,1.82
1.88,1.75,1.88,1.75
1.77,1.80,1.80,1.75
1.80,1.80,1.80,1.80
1.75,1.74,1.79,1.74
1.75,1.70,1.75,1.70
1.70,1.70,1.78,1.70
1.70,1.70,1.70,1.64
1.75,1.75,1.75,1.58
1.70,1.70,1.74,1.69
1.65,1.58,1.65,1.58
1.65,1.60,1.65,1.58
1.60,1.52,1.60,1.52
1.54,1.54,1.55,1.53
1.55,1.55,1.60,1.52
1.56,1.58,1.63,1.56
1.52,1.57,1.58,1.52
1.57,1.50,1.57,1.50
1.50,1.70,1.75,1.50
1.70,1.70,1.72,1.63
1.72,1.75,1.75,1.72
1.84,1.74,1.84,1.73
1.80,1.75,1.90,1.75
1.77,1.77,1.79,1.77
1.79,1.80,1.89,1.79
1.80,1.77,1.84,1.77
1.78,1.77,1.85,1.77
1.92,1.95,1.96,1.84
1.96,1.93,2.00,1.84
1.90,2.00,2.00,1.89
1.99,2.22,2.25,1.99
2.25,2.40,2.65,2.20
2.45,2.50,2.54,2.45
2.45,2.50,2.52,2.41
2.50,2.50,2.55,2.40
2.58,2.60,2.60,2.40
2.60,2.60,2.60,2.50
2.60,2.65,2.70,2.52
2.75,2.85,2.85,2.65
2.85,3.25,3.30,2.85
3.25,3.28,3.30,3.10
3.27,3.25,3.30,3.18
3.30,3.30,3.45,3.21
3.35,3.10,3.35,3.10
3.09,3.00,3.09,2.77
3.00,2.95,3.08,2.90
2.95,2.80,3.00,2.60
2.90,2.85,2.90,2.85
2.95,2.95,3.05,2.93
