AMG,Affiliated Managers Group,NASDAQ
67.96,68.88,69.06,67.88
68.78,69.43,69.50,68.27
69.21,70.79,71.47,69.21
70.45,70.47,71.04,69.97
70.04,69.82,70.69,69.31
70.24,70.29,70.63,69.46
69.54,69.77,70.67,68.97
70.34,70.52,70.56,69.75
70.19,69.22,70.48,69.08
69.10,67.76,69.48,67.71
67.76,68.30,68.63,67.24
67.61,67.13,67.96,66.25
67.07,65.95,67.54,65.64
65.84,65.85,66.25,65.34
66.65,66.01,67.71,65.85
65.69,63.23,65.83,63.11
63.17,63.90,64.33,63.06
64.11,61.78,64.28,61.72
62.19,60.57,63.52,60.55
61.12,64.12,65.19,60.66
64.93,65.47,66.02,64.58
65.06,65.85,66.17,65.04
65.11,63.34,65.59,63.34
63.26,63.71,63.74,60.91
63.72,62.50,64.12,62.46
63.58,62.45,63.58,61.94
66.19,67.52,69.73,66.15
67.16,67.86,68.33,67.15
66.79,68.71,68.76,66.16
69.55,69.40,69.92,68.58
69.99,69.77,70.00,69.05
69.70,68.42,69.70,68.25
68.16,68.89,69.48,68.16
69.41,70.87,71.38,68.82
70.79,70.34,71.38,69.70
70.41,70.71,71.01,70.13
69.83,70.62,70.73,69.28
70.54,71.13,71.33,69.93
71.15,72.21,72.29,71.00
72.31,73.93,74.29,72.27
73.89,74.48,75.51,73.42
74.51,76.80,77.35,74.49
77.69,77.95,78.08,76.37
77.74,77.46,78.39,77.38
77.15,76.93,77.76,76.58
76.81,76.78,77.22,76.11
76.40,76.93,76.99,75.59
77.32,78.04,78.06,76.96
77.97,76.82,78.67,75.86
76.77,77.73,77.83,76.19
78.09,79.05,79.79,77.98
79.20,79.36,79.58,78.72
79.47,78.72,81.08,78.70
78.01,79.61,79.69,77.78
79.60,80.46,80.61,79.28
79.96,80.12,81.05,79.84
80.98,79.81,81.43,79.76
80.24,80.77,81.25,79.85
80.93,80.70,81.20,80.06
80.91,79.77,81.07,79.55
79.71,79.00,80.02,78.78
79.97,81.26,81.29,79.92
81.77,82.47,82.81,81.34
81.85,83.68,83.68,80.89
83.29,82.53,83.60,81.83
82.00,81.10,82.09,80.84
81.30,81.29,81.44,80.27
81.60,80.44,81.60,80.06
80.41,81.22,81.43,80.08
81.88,82.90,82.94,80.97
82.44,84.00,84.13,82.33
83.81,82.79,84.60,81.47
82.19,82.29,83.85,81.45
82.76,83.17,83.34,82.12
83.46,83.80,84.22,82.87
82.91,84.58,84.79,82.27
84.97,85.39,85.55,84.47
85.29,82.54,85.46,82.54
81.81,81.30,82.87,79.51
82.72,83.42,84.32,82.39
84.14,87.05,88.01,83.91
86.99,84.18,86.99,84.18
84.24,85.33,85.66,83.50
83.98,83.76,84.39,82.80
82.87,81.07,83.80,80.92
80.93,77.80,82.15,73.20
77.67,74.09,77.74,73.77
77.95,79.89,79.95,77.42
78.60,79.01,80.19,78.60
79.57,80.99,81.08,79.00
80.54,79.84,81.44,79.84
79.19,77.12,79.19,76.45
77.43,76.94,78.29,75.08
77.91,74.27,78.33,74.01
73.81,75.01,75.41,73.20
73.35,71.29,73.84,71.22
69.88,72.89,73.10,69.11
72.40,70.04,72.68,70.00
68.86,69.40,69.50,66.80
69.95,69.62,71.14,69.20
70.86,73.68,73.71,70.59
73.35,71.65,73.51,71.36
70.98,68.74,71.51,68.63
69.12,71.05,71.13,68.32
70.76,71.03,71.79,70.32
69.16,68.19,70.37,68.06
68.60,66.07,69.58,66.05
66.07,66.59,66.85,64.57
66.87,65.36,67.65,65.05
66.72,68.05,68.18,65.92
67.35,68.53,68.61,67.15
69.45,67.40,70.20,67.25
68.00,69.10,69.30,67.68
68.23,70.14,70.31,68.23
70.55,70.17,70.74,69.15
70.30,69.75,70.30,69.47
70.65,70.60,71.11,70.13
70.54,69.09,71.00,69.00
69.07,68.24,69.20,67.63
67.86,65.25,67.86,64.92
65.57,66.92,67.25,65.15
66.79,65.93,67.12,65.86
64.32,61.79,65.34,61.41
61.50,60.77,61.75,60.39
60.49,59.70,61.63,58.08
61.36,60.41,61.36,59.42
61.15,59.96,62.05,59.11
59.97,62.59,62.77,59.85
63.04,64.38,64.60,62.73
64.41,65.68,65.96,64.03
65.35,65.01,65.98,64.39
65.90,67.07,67.46,65.90
66.92,66.23,66.96,65.56
66.46,64.91,66.46,63.40
64.25,62.67,64.34,62.52
63.11,62.20,63.11,61.43
61.11,62.91,62.95,60.78
63.25,61.35,63.60,61.14
62.32,64.10,64.40,62.32
63.98,65.95,65.96,63.48
66.20,69.12,69.67,66.05
69.92,73.35,73.89,69.35
72.71,72.29,73.91,71.91
72.85,71.52,74.26,70.81
70.27,70.83,71.42,70.14
72.26,72.86,73.39,71.45
72.43,72.34,72.83,71.65
72.54,73.15,73.24,71.58
72.74,72.97,73.13,72.08
71.88,72.38,73.29,71.21
72.72,73.54,73.94,72.17
72.60,71.82,72.76,71.18
70.24,68.96,70.24,68.40
67.99,68.63,68.88,67.78
68.37,68.25,68.96,68.18
67.79,68.14,69.02,67.72
68.70,69.44,69.98,68.40
69.72,69.10,69.72,68.41
68.68,68.02,69.10,67.46
67.78,68.21,68.41,66.82
68.55,67.11,68.56,67.04
66.49,65.13,66.49,64.58
64.76,65.11,65.49,63.32
65.40,65.76,66.75,65.40
66.39,67.00,67.16,65.14
66.66,64.81,66.76,64.78
64.68,64.21,65.17,63.92
65.24,68.16,68.31,65.24
67.75,69.39,69.46,67.75
70.26,71.75,71.91,69.78
71.30,71.41,71.93,70.31
71.50,72.09,72.81,71.50
72.98,72.44,73.39,71.78
72.49,72.86,73.14,72.29
73.66,76.16,76.31,73.66
76.16,75.95,76.88,75.70
75.49,76.94,77.13,75.22
76.81,76.75,77.81,76.60
77.17,78.00,78.10,76.82
78.15,79.84,80.06,77.85
79.92,77.54,80.16,77.42
77.40,76.15,77.89,75.55
75.64,75.10,76.58,74.98
76.23,78.95,79.16,76.23
78.69,77.71,79.19,77.39
77.93,78.97,79.29,76.95
78.76,77.49,79.36,77.42
77.96,78.01,78.49,76.38
79.16,79.74,80.12,77.93
79.58,79.07,80.00,78.33
81.20,82.55,83.38,80.09
82.44,82.43,82.68,81.53
82.72,83.00,84.04,82.57
83.17,83.12,83.59,82.33
83.59,83.55,84.60,83.13
83.48,84.34,84.99,83.12
84.90,86.26,87.96,84.60
86.22,85.42,86.93,84.86
86.18,85.78,86.48,84.61
85.74,86.51,86.66,85.74
85.21,83.26,86.00,82.85
83.69,84.48,85.48,83.69
84.94,83.70,85.59,83.07
84.08,85.17,85.43,84.02
86.97,84.84,87.98,84.12
84.50,85.04,85.97,83.94
84.65,87.20,87.48,84.44
87.70,87.74,88.10,86.48
87.53,85.61,87.99,85.06
86.22,86.74,87.16,85.70
87.76,87.60,88.35,87.40
87.65,89.10,89.16,87.23
90.44,91.55,92.10,89.73
91.46,90.96,92.04,90.43
90.62,90.87,91.23,89.78
91.14,89.36,91.42,88.93
89.38,90.76,91.19,88.95
89.96,89.92,90.53,89.37
89.27,87.28,89.70,86.56
87.66,87.80,89.28,87.54
86.81,85.22,87.89,84.87
85.30,85.57,85.75,84.65
86.79,88.70,89.10,86.50
88.32,89.66,89.66,87.70
89.32,89.61,90.20,88.81
88.56,87.12,88.77,86.49
87.56,90.12,90.20,87.56
89.26,89.45,90.18,89.15
89.00,89.27,89.48,87.78
88.01,87.41,88.95,87.16
89.45,90.41,90.70,88.46
90.67,93.44,93.66,90.67
92.58,94.09,94.41,92.22
94.01,94.57,94.70,93.21
96.01,95.05,97.95,94.53
95.25,96.02,96.11,95.25
96.69,96.86,96.87,95.21
97.24,98.50,99.08,95.98
98.98,96.70,98.98,96.42
96.99,95.82,97.12,95.51
95.77,96.78,99.06,95.70
96.94,98.53,98.59,96.45
98.60,99.26,99.84,98.33
99.56,99.40,99.84,98.65
99.87,101.86,101.98,99.75
101.89,101.14,102.06,100.38
101.16,99.81,101.27,99.36
99.35,100.08,100.08,98.84
100.35,99.74,100.51,99.38
99.90,99.71,100.34,99.04
99.81,98.78,100.18,98.66
98.83,99.22,100.05,98.36
100.32,100.68,102.67,100.32
100.74,99.02,101.07,98.43
98.78,99.25,99.65,98.78
99.71,100.00,100.15,99.18
100.29,99.59,101.29,98.68
99.28,103.25,103.55,99.28
103.87,102.79,104.38,102.21
103.63,104.52,104.54,101.80
104.71,105.87,106.82,104.02
105.46,104.77,105.75,104.40
104.75,103.98,104.93,101.51
104.15,102.12,104.30,101.71
101.90,100.19,102.51,99.21
100.34,100.45,101.76,100.02
100.45,100.96,101.61,100.45
100.65,99.63,100.65,97.96
99.73,101.37,102.49,99.60
101.52,104.58,104.76,101.49
104.96,101.77,105.90,100.76
102.06,101.83,103.02,101.38
102.68,100.01,103.35,99.71
99.87,100.41,102.17,99.00
99.80,99.02,99.84,96.90
99.02,99.75,100.44,98.72
99.95,101.83,102.78,99.95
101.83,101.16,102.35,100.89
101.01,101.52,102.45,100.66
101.11,104.49,104.82,100.52
104.02,108.60,108.77,104.02
108.33,110.13,110.34,107.80
109.20,109.70,110.79,109.20
109.92,111.90,112.86,109.56
111.22,111.39,111.80,110.96
111.54,112.20,112.41,111.05
109.97,107.22,112.18,107.20
107.60,104.30,108.05,102.14
104.79,104.61,106.11,102.65
105.51,107.00,107.35,105.43
107.00,106.75,108.16,105.50
106.73,103.76,107.19,103.70
103.51,104.47,105.63,103.32
106.18,109.28,109.36,105.98
106.13,107.42,109.77,106.13
107.64,104.95,108.86,104.18
105.07,106.64,107.22,103.94
106.61,107.14,107.59,105.82
105.19,104.03,105.49,103.79
103.17,105.00,105.32,102.59
103.99,102.75,104.87,101.89
102.19,100.70,102.19,98.01
100.41,98.41,100.84,97.22
100.27,98.57,101.24,98.06
99.93,100.17,101.06,99.15
101.81,103.31,103.93,101.44
103.54,105.10,105.35,103.21
104.52,105.24,105.46,102.65
105.83,106.24,106.47,104.03
106.52,105.79,107.68,105.55
106.20,105.64,106.56,105.43
105.61,106.28,106.79,104.27
107.22,108.44,108.81,106.96
108.00,109.37,109.69,107.69
109.88,110.85,111.92,108.80
110.93,112.06,112.35,110.93
111.53,111.58,112.47,110.89
112.56,111.70,112.56,109.99
111.45,111.81,112.98,110.92
112.76,109.74,113.00,108.99
108.66,105.75,110.04,105.69
105.36,103.68,106.20,103.62
104.13,103.71,104.74,102.42
103.10,102.54,103.99,102.32
103.00,104.41,104.78,102.59
102.84,101.82,102.85,100.55
102.31,101.45,102.99,100.78
103.46,103.26,104.11,102.80
104.18,106.15,106.51,103.51
105.73,105.16,105.73,103.69
106.00,110.13,111.21,106.00
110.18,109.30,110.83,107.44
109.04,109.47,111.27,108.73
109.48,109.08,109.66,108.71
109.96,108.60,110.69,108.34
108.26,106.22,108.59,105.14
106.31,105.02,106.59,103.80
103.91,104.24,106.05,103.19
106.00,104.72,106.94,103.95
104.70,105.31,105.73,103.91
105.77,107.04,107.58,105.72
106.54,105.31,107.41,104.14
104.85,106.25,106.72,103.54
106.33,104.11,106.33,103.94
103.58,102.66,104.88,102.51
101.96,101.31,102.36,99.96
101.52,103.00,103.20,100.66
103.63,105.60,105.61,103.29
104.96,104.66,105.86,104.20
103.62,103.57,103.93,102.51
103.74,103.52,104.13,103.07
103.07,103.58,105.02,102.62
103.00,103.63,104.02,101.77
104.12,104.93,105.34,103.37
105.98,105.73,106.52,104.46
104.39,99.85,105.70,99.65
99.72,100.20,100.90,98.92
99.27,98.07,99.27,97.57
97.47,94.22,98.73,93.70
94.77,94.63,95.77,93.90
94.59,94.59,95.29,94.16
94.63,96.04,96.77,94.44
95.85,96.04,96.68,94.78
96.08,95.52,96.31,94.90
96.93,97.92,98.37,96.37
96.55,95.98,97.82,95.24
96.00,95.25,97.05,93.38
96.54,96.06,97.72,95.70
95.76,96.44,97.69,95.36
97.01,100.01,100.14,96.75
99.16,98.53,100.21,98.40
97.14,98.54,98.62,95.19
98.52,96.11,98.90,95.77
95.94,97.59,98.02,95.35
97.73,99.43,99.81,97.73
100.00,101.03,101.83,99.82
101.30,101.45,102.01,100.30
101.68,104.20,104.30,101.45
103.61,103.94,104.34,102.21
103.49,104.62,104.98,102.28
105.80,108.51,109.67,105.77
106.45,105.98,106.60,104.63
103.86,101.71,104.23,101.40
101.40,100.84,103.09,100.63
101.21,101.31,103.74,100.35
101.60,99.68,102.94,99.43
100.33,100.03,100.50,97.70
99.38,98.01,99.64,97.23
99.05,99.66,100.48,98.43
100.22,100.16,100.58,99.29
101.02,103.35,103.77,101.01
103.25,103.61,104.45,102.35
101.54,102.19,103.41,101.16
