AMGN,Amgen Inc. - Common Stock,NASDAQ
56.63,57.72,57.87,56.56
57.33,57.22,57.69,56.27
56.94,56.79,57.39,56.50
56.41,56.27,56.53,54.65
56.07,56.77,56.83,55.64
56.93,57.02,57.36,56.62
57.14,56.03,57.42,54.82
56.35,56.53,56.75,55.96
56.35,56.16,56.53,55.91
56.03,56.25,56.51,55.65
56.41,57.55,57.75,56.24
57.62,57.20,57.62,56.41
57.43,56.63,57.56,56.31
56.67,56.60,57.30,56.53
56.72,55.71,56.79,55.55
56.20,56.58,56.87,55.70
56.35,57.74,57.88,56.35
57.87,58.08,58.78,57.56
58.27,58.48,58.93,58.16
58.52,58.72,58.84,58.37
58.60,59.23,59.30,58.41
58.90,59.07,59.42,58.86
58.90,57.53,59.06,57.33
57.54,57.68,58.03,56.64
57.54,57.46,57.92,56.70
58.24,57.21,58.40,56.70
57.09,56.84,57.29,56.37
56.56,56.50,57.00,56.23
56.22,56.48,56.72,56.02
56.62,56.99,57.00,56.20
56.93,57.20,57.57,56.75
57.30,57.27,57.44,57.10
57.05,57.38,57.71,56.95
57.36,57.10,57.44,56.80
56.96,56.38,57.22,56.35
56.66,56.74,56.98,56.35
56.30,56.25,56.48,55.78
56.25,56.61,57.03,56.10
56.74,56.90,57.09,56.72
56.91,56.87,57.02,56.47
56.87,56.90,57.17,56.67
57.01,56.77,57.08,56.37
56.75,57.24,57.26,56.21
57.25,57.61,58.10,57.20
57.27,57.76,57.93,57.26
57.98,57.78,57.99,57.50
57.43,57.49,57.74,57.08
57.72,57.43,57.75,57.16
57.27,56.89,57.75,56.53
57.29,57.42,57.54,56.71
57.36,57.43,57.43,56.90
57.41,58.31,58.44,57.16
58.92,60.00,60.13,57.65
59.61,60.09,60.39,59.50
59.91,60.06,60.08,59.61
59.79,59.07,60.00,58.96
59.40,59.26,59.79,59.00
59.34,59.41,59.92,59.00
59.70,59.91,60.15,59.61
59.81,60.09,60.27,59.56
60.00,59.84,60.22,59.69
N/A,N/A,N/A,N/A
60.74,60.42,60.89,60.27
60.25,60.29,60.48,59.84
60.29,60.35,60.76,60.08
60.41,60.52,60.83,59.87
60.26,60.90,60.92,60.26
60.66,60.37,60.90,60.16
59.93,60.68,60.90,59.93
60.42,61.14,61.20,60.38
60.87,60.64,61.07,60.45
60.68,60.72,61.06,60.04
60.59,61.07,61.26,60.16
61.10,60.18,61.10,59.90
59.85,58.71,60.00,58.11
57.81,58.16,58.73,57.03
58.09,58.88,59.00,57.76
58.98,58.43,59.20,58.41
58.20,57.84,58.92,57.78
57.92,58.18,58.56,57.78
58.38,58.59,59.05,58.07
58.88,57.31,59.03,57.29
57.45,57.59,57.95,57.13
57.11,56.83,57.23,55.91
56.94,56.60,57.35,56.30
56.43,54.75,56.49,52.80
54.53,54.46,55.28,53.52
55.30,55.58,56.95,55.16
55.29,55.93,56.74,55.00
55.92,56.60,56.84,55.52
56.36,55.88,56.51,55.78
55.70,54.69,55.88,54.21
55.38,54.81,55.38,53.88
54.93,54.67,55.35,54.56
54.50,55.26,55.76,54.34
54.18,52.94,54.74,52.84
52.19,52.44,53.49,51.82
52.01,52.66,53.15,51.63
51.95,52.55,52.66,51.17
52.44,50.36,52.44,50.32
51.03,51.43,51.45,50.66
51.75,51.78,52.23,51.46
51.72,50.76,52.39,50.75
53.55,56.09,56.32,53.31
55.89,55.64,56.03,54.94
54.82,54.34,55.36,54.15
54.17,53.51,54.21,53.20
53.52,53.82,53.89,52.96
53.80,53.15,54.06,52.94
53.61,54.01,54.28,53.28
53.63,54.10,54.46,53.53
