PERF,Perfumania Holdings,NASDAQ
7.20,7.00,7.20,6.76
7.09,7.10,7.10,6.92
6.40,6.80,6.96,6.40
6.80,6.99,7.20,6.80
6.77,7.00,7.00,6.45
7.00,7.00,7.00,6.95
7.00,6.99,7.00,6.94
6.90,7.00,7.00,6.90
7.00,6.92,7.00,6.92
6.92,6.92,6.92,6.92
6.65,6.63,6.85,6.50
6.92,6.67,6.99,6.66
6.47,6.74,6.74,5.51
6.54,6.26,6.54,6.26
6.06,6.25,6.37,5.70
6.57,6.33,6.57,6.02
6.33,6.33,6.33,6.33
6.33,6.33,6.33,6.33
5.92,6.20,6.58,5.92
6.40,6.10,6.40,6.02
6.10,6.10,6.10,6.10
6.10,6.09,6.14,6.09
6.09,6.09,6.09,6.09
5.90,6.46,6.50,5.08
6.39,6.70,7.00,6.39
6.70,7.00,7.10,6.70
7.06,6.83,7.07,6.83
6.85,6.93,6.99,6.70
6.90,7.18,7.50,6.85
7.50,7.22,7.50,7.20
7.19,7.16,7.24,7.13
7.16,7.16,7.16,7.16
7.15,7.18,7.25,7.10
6.98,7.14,7.15,6.78
7.15,7.14,7.16,7.10
7.14,7.14,7.14,7.14
7.16,7.16,7.16,7.16
6.81,7.04,7.07,6.78
6.73,6.81,6.91,6.73
7.14,7.15,7.15,7.14
7.15,7.15,7.15,7.15
7.00,6.89,7.00,6.89
6.99,7.08,7.10,6.90
7.08,7.08,7.08,7.08
7.08,7.20,7.21,7.08
7.15,7.28,7.47,7.13
7.35,7.55,7.59,7.35
7.74,7.81,7.94,7.67
7.84,7.98,8.13,7.73
7.97,8.86,9.61,7.97
9.01,9.25,9.25,9.01
8.45,8.74,9.00,8.45
9.00,9.00,9.18,8.58
9.00,8.56,9.00,8.55
8.60,8.60,8.60,8.60
8.43,8.36,8.43,8.24
8.66,8.55,8.83,8.54
8.73,8.40,8.73,7.80
8.30,8.18,8.41,8.18
8.02,8.30,8.30,7.87
8.23,8.35,8.50,8.14
8.39,8.42,8.48,8.35
8.44,8.39,8.45,8.39
8.51,8.39,8.51,8.39
8.71,8.87,9.15,8.70
8.80,8.99,8.99,8.80
8.99,9.00,9.20,8.99
9.12,8.93,9.16,8.93
8.58,8.93,9.00,8.58
9.00,8.92,9.00,8.92
9.00,9.02,9.21,8.96
9.24,9.13,9.24,9.13
9.07,8.56,9.07,8.52
8.58,9.00,9.06,8.58
8.79,9.00,9.01,8.79
9.09,8.56,9.09,8.53
9.00,8.75,9.01,8.54
8.54,8.51,8.59,8.44
8.47,8.00,8.47,8.00
7.79,7.36,8.18,7.28
8.00,8.50,8.62,7.78
8.38,8.51,8.54,8.00
8.80,8.85,9.00,8.80
8.70,8.68,8.70,8.65
9.32,8.91,9.61,8.85
8.91,8.30,8.99,7.59
8.80,8.70,9.00,8.70
9.00,9.18,9.18,8.18
8.96,8.89,9.00,8.88
8.89,10.65,10.68,8.89
10.43,10.55,10.60,9.79
10.01,10.10,10.59,10.01
10.01,10.03,10.40,10.00
10.00,10.00,10.00,10.00
9.85,9.85,9.86,9.85
9.85,9.85,9.85,9.85
9.50,8.74,9.91,8.27
9.12,7.95,9.15,7.95
8.06,7.43,8.40,7.01
7.68,8.32,9.31,7.68
8.58,9.25,10.10,8.58
9.35,9.40,9.40,9.31
9.20,9.18,9.30,9.05
9.20,9.25,9.25,9.10
9.30,9.40,9.55,8.97
9.37,9.40,9.62,9.37
9.21,9.25,9.60,9.21
9.60,9.68,9.68,9.60
9.68,9.68,9.68,9.68
9.40,9.76,9.76,9.38
9.76,9.76,9.76,9.76
9.08,9.85,10.15,8.48
9.90,9.80,9.90,8.99
9.85,9.85,9.85,9.83
9.95,9.85,10.00,9.80
9.85,9.91,9.91,9.85
10.00,9.85,10.00,9.85
9.85,9.76,9.85,9.74
9.18,9.81,9.97,9.18
9.46,9.74,9.74,9.46
9.75,9.85,9.85,9.75
9.85,9.90,9.90,9.80
9.40,9.50,9.50,8.99
9.50,9.50,10.00,8.64
9.00,9.00,9.00,9.00
8.45,8.37,9.30,8.37
8.99,8.67,8.99,8.67
8.68,8.76,8.76,8.67
8.76,9.72,10.00,8.76
11.99,10.16,11.99,10.04
10.35,10.00,10.35,10.00
10.35,10.35,10.35,10.35
10.56,10.00,10.60,9.90
9.94,9.77,10.20,9.77
9.75,9.75,9.75,9.75
9.75,9.56,9.75,9.20
9.75,9.78,9.78,9.75
9.58,9.58,9.58,9.58
9.56,9.59,9.60,9.56
9.74,9.75,9.75,9.74
10.05,9.78,10.05,9.76
9.90,10.01,10.20,9.90
9.80,9.80,9.80,9.80
9.80,9.80,9.80,9.80
9.90,9.74,9.90,9.70
9.74,9.74,9.74,9.74
9.55,9.55,9.55,9.55
9.88,9.57,9.90,9.57
9.52,9.57,9.75,9.50
9.40,9.90,9.90,9.22
9.68,9.70,9.70,9.68
9.70,9.70,9.70,9.70
9.30,9.30,9.30,9.30
9.20,9.06,9.20,9.06
8.86,8.86,8.86,8.86
9.20,8.79,9.20,8.79
9.18,9.21,9.70,9.18
9.60,9.82,9.88,9.60
9.85,9.20,9.85,9.20
9.52,9.10,9.76,9.00
9.50,9.43,9.75,9.43
9.55,9.60,9.80,9.55
9.21,9.17,9.40,9.17
8.86,8.86,8.86,8.86
8.98,9.10,9.10,8.98
9.00,9.10,9.10,9.00
9.10,9.10,9.10,9.10
9.10,9.10,9.10,9.10
