CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,NASDAQ
34.32,34.11,34.39,33.96
33.56,33.82,33.86,32.75
33.85,34.00,34.37,33.71
34.13,33.92,34.13,33.77
33.77,33.59,33.97,33.55
33.67,33.68,33.82,33.37
33.60,33.75,33.80,33.40
33.84,33.86,34.08,33.76
33.65,34.10,34.21,33.65
34.26,34.41,34.60,33.98
34.50,34.52,34.97,34.45
34.46,33.67,34.46,33.33
33.79,33.20,33.94,32.86
33.28,33.04,33.35,32.72
33.22,32.99,33.28,32.60
32.90,32.98,33.24,32.81
32.89,33.17,33.30,32.61
34.17,33.55,34.75,33.51
33.29,31.98,33.50,31.80
32.09,32.05,32.20,31.41
31.98,32.40,32.52,31.81
32.24,32.61,32.74,32.00
32.46,32.47,32.72,32.25
32.60,32.32,32.60,31.70
32.25,32.31,32.39,31.79
32.41,32.88,33.04,32.22
32.95,32.75,32.96,32.59
32.71,32.92,33.05,32.44
32.70,32.74,32.89,32.41
32.62,32.79,32.84,32.25
33.09,32.87,33.22,32.76
32.80,32.84,32.93,32.46
32.91,33.10,33.24,32.83
33.24,32.83,33.24,32.73
32.78,32.63,33.00,32.31
32.71,32.78,32.84,32.49
32.42,32.58,32.70,32.04
32.47,32.60,32.74,32.31
32.83,32.91,33.00,32.48
33.03,33.13,33.47,32.92
33.15,33.20,33.46,33.09
33.28,33.56,33.65,33.06
33.58,33.75,34.13,33.55
33.94,33.76,33.94,33.61
33.73,34.04,34.11,33.63
34.14,34.50,34.62,33.96
34.50,34.70,34.78,34.28
34.73,34.76,34.87,34.59
34.73,34.60,34.90,34.38
34.91,34.51,34.91,34.36
34.51,34.36,34.60,34.18
34.28,34.44,34.52,34.07
34.61,34.30,34.74,34.08
34.24,34.81,34.96,34.24
34.88,34.85,34.99,34.66
34.85,34.93,35.12,34.85
34.99,34.84,35.21,34.78
34.94,34.70,35.07,34.44
34.69,34.65,34.94,34.56
34.61,34.80,34.93,34.44
34.60,35.07,35.18,34.51
N/A,N/A,N/A,N/A
35.24,35.80,35.94,35.24
35.88,36.23,36.32,35.59
36.29,35.93,36.34,35.64
35.92,35.92,36.09,35.50
36.01,36.14,36.17,35.67
36.06,36.09,36.27,35.86
35.93,35.95,36.15,35.81
36.03,36.11,36.17,35.89
35.76,35.65,36.08,35.47
35.54,35.32,35.63,35.19
35.30,35.26,35.48,35.00
35.00,35.58,35.69,34.99
35.58,35.67,35.74,35.36
35.39,35.67,35.69,35.12
35.77,36.02,36.22,35.60
36.35,35.53,36.40,34.56
35.16,35.96,36.04,35.08
36.00,35.65,36.01,35.51
35.59,35.79,35.99,35.59
35.86,35.62,36.06,35.52
35.78,35.35,35.78,35.20
35.20,34.35,35.25,33.90
34.20,33.62,34.31,33.59
33.51,32.34,33.57,28.96
32.38,31.93,32.81,31.27
32.75,32.58,32.90,32.35
32.20,32.47,32.83,31.98
32.29,33.07,33.27,32.14
