DECK,Deckers Outdoor Corporation Common Stock,NASDAQ
103.00,103.75,104.26,102.25
103.96,107.45,108.50,103.88
107.50,111.51,111.63,107.50
110.27,111.01,111.63,108.50
110.17,111.99,112.44,108.29
112.10,109.57,113.10,108.34
108.44,108.15,111.41,106.95
108.87,110.96,112.25,108.52
110.82,109.09,111.98,108.22
108.76,108.72,108.88,106.56
109.46,109.68,111.77,108.45
108.90,106.55,108.90,105.39
107.03,103.51,108.01,103.35
102.98,100.68,103.61,100.05
102.00,100.71,103.04,100.37
100.50,102.10,102.73,98.50
101.89,102.73,103.58,100.80
103.23,100.81,104.95,100.44
101.09,98.17,102.10,97.77
98.68,99.50,99.57,96.62
99.96,101.71,102.04,98.82
101.66,100.37,102.74,99.87
99.51,94.59,99.68,94.54
94.62,96.51,96.94,93.34
96.36,96.75,99.70,95.81
98.01,95.58,98.64,94.77
95.49,96.00,96.35,93.43
95.98,98.80,99.24,95.39
97.40,99.50,99.50,96.05
100.20,101.32,101.39,98.69
101.94,103.50,103.50,101.43
102.87,104.46,104.55,102.23
104.44,105.52,106.60,102.98
106.14,102.07,106.44,101.79
101.79,101.14,102.10,99.88
101.75,102.03,103.04,99.60
100.44,106.16,106.50,100.07
115.40,120.20,121.48,114.06
121.21,122.80,124.27,120.00
122.99,125.25,126.20,122.12
125.50,125.09,125.69,123.00
125.12,125.75,128.80,124.13
126.58,128.74,129.50,126.00
129.34,130.67,131.15,129.07
130.77,131.33,132.50,130.08
130.96,129.92,132.39,129.24
129.21,129.37,130.06,127.52
130.43,130.96,131.15,127.51
130.36,130.93,131.11,128.20
130.98,130.74,133.42,129.31
130.76,135.74,136.34,130.45
136.40,134.09,136.93,133.51
134.82,133.03,135.90,131.77
132.35,137.71,137.97,130.13
138.00,140.34,140.49,135.98
139.49,138.76,140.30,138.00
139.30,136.46,140.87,136.27
136.57,137.73,139.61,136.17
139.20,138.17,139.78,137.01
138.91,140.82,142.72,138.19
139.29,138.00,141.41,137.67
139.12,138.44,139.99,135.79
139.54,141.91,142.29,139.02
142.15,143.11,144.06,140.63
142.50,141.30,144.22,140.11
141.03,140.07,141.66,139.57
140.93,142.40,142.40,138.21
138.24,134.58,138.58,133.60
134.75,136.97,137.00,133.21
137.21,138.00,138.82,136.42
137.47,136.51,138.46,135.67
136.68,136.00,136.92,134.65
135.08,133.00,136.49,130.69
134.74,134.17,134.74,132.65
133.99,136.57,136.60,133.64
