GWW,W.W. Grainger,NASDAQ
97.24,97.24,97.97,96.20
96.96,97.28,97.49,96.14
97.27,97.65,98.25,97.27
97.27,98.57,98.70,96.71
98.00,99.73,99.85,97.77
99.46,100.15,100.38,99.22
99.46,100.11,100.22,99.25
100.16,100.55,100.60,99.60
100.57,100.39,100.68,99.75
100.02,100.04,100.47,99.13
100.08,101.34,102.00,99.57
101.03,100.87,101.09,99.78
101.00,99.57,101.24,99.04
98.95,98.89,99.61,98.63
99.45,100.94,101.38,99.12
100.16,99.42,101.49,98.15
99.55,100.12,100.34,99.00
100.24,100.76,101.31,99.24
100.86,99.28,102.13,99.28
99.67,99.94,100.36,98.26
100.40,102.39,102.45,99.94
102.02,102.26,103.00,101.97
101.50,99.18,101.50,99.12
98.90,99.33,100.11,97.88
98.98,98.57,100.00,97.99
99.36,100.26,101.08,98.73
100.26,99.65,100.92,99.09
99.81,100.81,100.87,98.73
99.90,100.85,101.11,99.34
101.00,102.04,102.04,100.70
102.17,102.64,102.86,101.61
102.69,104.27,104.32,102.32
103.90,104.14,104.91,103.55
104.68,103.64,104.81,103.52
103.32,102.84,104.43,102.75
103.40,103.51,104.00,102.91
102.21,102.49,102.76,100.98
102.43,101.65,102.92,101.10
101.80,104.21,104.40,101.80
104.38,103.58,104.84,103.32
103.94,104.54,104.77,103.75
104.54,104.70,105.17,103.86
104.90,106.89,106.97,104.79
107.00,106.65,107.61,106.54
106.28,107.56,107.73,106.28
107.37,108.08,108.33,107.09
107.55,108.67,108.81,107.14
108.48,107.83,108.67,106.53
107.52,107.13,107.99,106.41
107.65,107.75,107.89,107.06
108.26,108.35,108.86,107.97
108.05,108.37,109.10,107.96
107.56,107.56,109.07,106.94
107.10,108.40,108.67,107.10
108.37,109.34,109.42,107.98
109.19,108.88,109.19,108.28
109.37,108.75,109.98,108.69
108.98,109.05,109.76,108.67
109.17,109.47,109.73,109.09
109.62,109.26,109.96,108.93
108.97,108.12,109.35,107.96
108.79,109.53,109.88,108.75
109.97,112.19,112.87,109.61
111.81,112.70,112.97,111.51
112.86,113.92,115.56,112.10
113.46,114.17,114.67,113.02
114.64,114.77,114.91,113.42
114.55,114.23,115.37,113.96
115.14,115.64,116.07,114.08
110.94,111.15,113.59,110.35
109.50,107.78,109.50,106.91
107.84,104.93,107.96,104.15
104.80,105.75,106.51,104.37
106.83,107.51,107.66,106.20
107.80,107.59,108.15,107.11
106.73,110.65,110.77,106.72
110.02,110.92,111.46,109.73
110.91,110.20,111.25,110.09
110.20,108.15,110.83,107.77
108.41,108.43,108.86,107.88
108.44,111.38,111.38,108.44
111.32,110.54,111.99,110.46
110.79,112.27,112.92,110.32
111.05,109.11,111.05,108.42
108.12,108.60,109.58,107.36
107.92,106.50,109.04,101.17
106.55,104.94,107.47,104.21
108.70,110.71,111.05,108.55
109.60,110.33,111.40,109.27
108.92,110.37,110.50,107.60
109.88,108.90,110.32,108.52
108.78,107.67,108.78,106.26
108.09,108.31,108.58,106.39
108.87,107.05,109.78,107.00
106.40,104.91,106.99,103.86
103.40,100.14,103.40,100.14
98.78,102.77,103.14,98.46
102.50,100.86,102.50,100.79
98.28,101.24,101.46,97.92
101.78,100.14,102.52,99.82
102.01,103.34,103.34,101.19
103.18,101.75,103.30,101.24
101.27,100.22,102.78,100.22
100.29,103.10,103.10,99.76
102.83,103.55,104.47,102.32
100.78,99.19,101.88,98.72
99.22,97.29,99.53,97.26
97.63,98.91,99.12,96.50
99.48,99.38,101.20,99.03
101.23,103.80,103.95,101.03
102.07,104.26,104.64,102.07
104.32,104.64,105.78,104.32
104.95,107.48,107.56,104.75
107.17,107.70,107.99,106.78
107.65,107.82,107.99,106.32
108.07,108.26,108.27,107.09
109.57,107.86,109.57,107.17
107.74,104.89,108.14,104.62
104.35,105.24,105.61,103.15
104.87,102.91,105.09,102.65
103.41,103.38,104.05,102.41
103.60,103.91,104.88,102.89
102.54,100.04,102.78,99.33
99.74,99.45,101.44,99.22
99.62,98.75,99.90,96.81
99.21,98.17,99.58,97.47
98.69,97.54,99.98,96.84
97.44,99.82,100.00,97.44
100.38,101.57,101.62,100.24
101.80,102.99,103.34,101.35
102.55,103.78,103.93,102.06
104.86,105.49,106.23,104.28
104.24,103.75,105.50,103.50
106.30,106.89,109.03,103.43
106.40,104.98,106.46,103.95
104.98,104.79,105.28,103.87
103.66,105.90,106.08,102.49
106.31,105.60,107.41,104.81
106.51,108.39,108.72,106.51
108.37,109.61,109.66,107.37
109.89,110.95,110.95,109.21
111.35,110.46,111.35,109.53
110.42,110.78,110.97,109.67
111.93,111.25,111.96,109.78
109.56,112.01,112.28,108.95
113.57,114.16,115.48,112.51
113.99,113.54,114.32,113.09
113.57,115.44,115.68,113.12
114.38,114.09,114.69,113.60
112.90,114.03,114.48,112.59
114.44,115.00,115.00,113.36
113.67,113.38,113.94,112.40
111.53,109.85,111.88,108.86
108.45,110.74,111.00,108.45
110.42,109.66,110.54,109.44
109.04,109.22,109.83,108.23
110.28,111.24,112.00,110.21
111.12,111.18,111.83,110.38
110.75,108.11,111.06,107.65
107.19,107.68,108.05,106.59
108.50,108.88,109.63,108.10
107.54,106.35,107.86,106.13
105.85,105.86,106.51,104.48
106.51,105.79,107.43,105.54
106.37,107.72,107.92,104.88
107.25,106.30,108.03,106.28
105.71,105.79,106.87,105.09
107.32,109.59,109.66,107.27
109.23,110.84,111.04,108.85
111.81,111.43,112.00,110.57
110.61,110.36,111.31,110.20
110.55,110.73,111.13,110.50
112.00,113.05,113.29,111.29
