DDS,Dillard's,NASDAQ
18.75,18.69,19.02,18.44
18.63,18.80,19.07,18.46
18.71,18.97,19.19,18.71
19.04,18.50,19.04,18.33
18.41,18.11,18.47,18.05
18.20,17.94,18.33,17.63
17.75,17.47,17.85,17.12
17.50,17.68,17.81,17.14
17.61,17.27,17.61,17.15
17.29,17.28,17.60,17.02
17.38,17.72,17.82,17.28
17.58,17.29,17.62,16.88
17.30,16.84,17.68,16.74
16.81,16.55,17.33,16.38
16.72,16.90,17.03,16.59
16.79,16.63,17.06,16.54
16.54,16.48,16.63,16.20
16.49,16.25,16.51,16.07
16.30,16.56,16.78,16.30
16.66,17.09,17.11,16.42
17.09,16.81,17.15,16.51
16.83,17.27,17.28,16.69
17.11,16.22,17.59,16.21
16.20,15.87,16.20,14.94
15.80,15.61,16.41,15.36
15.86,16.01,16.15,15.52
15.98,15.87,16.12,15.63
15.84,16.37,16.39,15.54
16.24,16.42,16.69,15.76
16.51,17.28,17.35,16.51
17.33,17.12,17.41,16.89
17.05,17.07,17.08,16.76
16.96,17.18,17.20,16.93
17.24,17.01,17.29,16.98
16.93,16.49,17.00,16.26
16.50,16.75,16.82,16.50
16.46,17.02,17.07,16.33
17.09,16.87,17.15,16.75
17.60,20.03,20.17,17.52
20.00,19.31,20.29,19.07
19.46,19.95,20.15,19.45
20.24,21.36,21.48,20.17
21.60,22.14,22.28,20.99
22.30,22.14,22.46,21.92
22.00,21.91,22.12,21.79
21.90,22.51,22.91,21.78
22.35,22.78,22.78,22.19
22.87,22.85,22.99,22.70
22.73,23.01,23.02,22.44
23.12,23.42,23.42,22.94
23.48,23.59,23.77,23.20
23.50,23.34,23.58,23.17
22.84,22.84,23.51,22.81
22.83,23.86,23.86,22.61
23.79,24.39,24.39,23.51
24.27,24.00,24.32,23.92
24.17,24.07,24.40,23.98
24.16,23.67,24.35,23.62
23.66,23.67,23.81,23.14
23.55,23.66,23.98,23.55
23.46,23.60,23.95,23.44
23.89,24.06,24.47,23.86
24.26,25.66,25.70,23.93
25.40,25.64,25.86,25.36
25.75,25.94,26.15,25.30
26.03,25.75,26.11,25.45
25.78,26.92,27.03,25.70
27.03,26.30,27.03,26.26
26.30,26.40,26.68,26.11
26.55,27.50,27.53,26.55
27.51,28.10,28.17,27.26
27.91,27.32,28.08,27.19
27.32,27.63,27.74,26.53
27.80,27.78,28.10,27.47
27.78,28.19,28.35,27.72
27.77,29.41,29.54,27.75
29.58,30.57,30.63,29.43
30.48,30.93,31.22,30.36
30.68,29.62,30.91,29.59
29.84,29.36,30.25,29.18
29.68,29.98,30.18,29.48
30.00,28.08,30.10,27.98
28.57,29.72,29.88,28.44
29.33,28.27,29.33,28.06
27.75,28.55,28.94,27.00
26.55,24.56,27.08,22.33
24.40,23.19,25.10,22.70
24.57,26.81,26.86,24.57
26.27,26.60,27.45,26.01
26.84,27.20,27.30,26.58
27.20,25.72,27.24,25.65
27.54,27.76,29.17,27.02
28.45,27.74,28.63,26.61
28.30,26.53,28.47,26.36
26.35,26.68,27.16,26.11
25.57,25.57,26.39,25.07
25.01,27.28,27.40,25.01
27.48,27.18,27.70,26.93
26.24,27.64,27.70,26.05
27.91,27.24,28.53,27.09
28.07,28.49,28.56,27.59
28.44,28.69,28.91,28.00
28.21,27.49,29.00,27.47
27.85,27.29,27.89,26.56
27.58,27.72,27.99,26.95
26.77,25.33,26.77,24.87
25.40,24.59,25.85,24.50
24.69,25.10,25.25,23.81
25.37,25.11,25.99,24.89
25.68,26.55,26.55,25.52
26.06,26.24,26.66,25.79
26.75,27.27,27.64,26.68
27.15,27.58,27.63,26.82
27.26,27.40,27.77,27.10
27.40,27.46,27.71,26.82
27.54,26.87,27.74,26.81
27.24,25.95,27.45,25.78
26.12,24.95,26.52,24.62
24.82,25.01,25.53,24.07
24.81,23.68,24.82,23.63
23.93,23.85,24.44,23.50
23.74,23.02,24.12,22.97
22.52,21.10,22.52,20.88
21.05,21.50,22.13,20.93
21.54,21.81,21.98,20.59
22.05,20.97,22.22,20.65
21.40,20.27,21.83,19.91
20.43,20.99,21.07,20.27
21.59,21.11,21.68,20.68
20.89,21.45,21.46,20.74
21.39,21.37,21.54,20.80
21.76,22.41,22.56,21.74
22.36,22.11,22.36,21.60
22.15,21.86,22.32,21.37
21.68,20.69,21.72,20.59
20.94,20.80,20.96,20.25
20.46,21.31,21.33,20.10
21.54,21.14,21.85,20.92
21.54,22.35,22.50,21.54
22.26,23.16,23.21,21.75
23.46,23.92,24.03,22.84
24.21,23.31,24.32,23.23
23.16,22.56,23.30,22.28
22.75,22.95,23.27,22.20
22.52,23.14,23.41,22.09
23.66,24.00,24.24,23.29
23.77,23.37,23.92,22.94
23.50,23.95,24.06,23.34
23.22,22.70,23.73,22.59
22.19,22.13,22.69,21.61
22.31,22.64,22.75,22.25
22.30,22.21,22.47,21.81
21.60,21.27,21.99,21.13
20.42,20.91,21.16,20.31
20.34,19.85,20.90,19.69
19.75,19.34,20.09,19.26
19.57,19.42,19.98,19.41
19.29,21.00,21.07,19.29
20.91,20.96,21.25,20.63
20.85,21.60,21.61,20.64
21.90,21.35,21.99,21.33
21.00,21.36,21.81,20.62
21.05,21.52,21.70,20.89
21.59,21.33,21.67,21.23
21.65,21.57,21.74,21.03
21.37,20.99,21.45,20.98
20.90,21.87,21.98,20.76
22.28,22.59,22.75,22.15
22.79,23.37,23.39,22.69
23.74,23.50,23.78,23.16
23.37,23.07,23.42,22.99
23.19,23.22,23.50,23.11
23.72,23.26,23.92,22.99
23.28,23.53,23.73,23.09
23.87,23.54,24.20,23.45
23.51,23.92,24.17,23.51
23.84,23.99,24.09,23.50
23.93,23.90,24.05,23.59
24.15,23.77,24.19,23.45
24.01,24.14,24.43,23.67
24.13,23.81,24.14,23.55
23.66,23.49,24.01,23.14
23.30,23.28,23.82,23.00
23.76,23.87,23.95,23.48
23.85,23.74,24.10,23.60
23.74,23.88,23.90,23.24
23.79,23.76,23.94,23.54
23.96,23.64,24.08,23.20
23.85,23.99,24.26,23.81
23.88,23.54,23.97,23.31
23.87,23.96,24.01,23.58
23.86,23.88,24.01,23.68
24.31,25.65,25.87,23.89
25.75,27.64,27.73,25.66
27.72,27.12,27.79,27.05
27.05,26.46,27.05,26.25
26.61,26.79,27.27,26.46
26.82,26.56,26.91,26.19
