ALB,Albemarle Corporation Common Stock,NASDAQ
36.91,38.09,38.24,36.90
38.70,38.02,38.70,37.60
37.96,38.09,38.48,37.89
38.03,37.82,38.17,37.80
37.66,38.39,38.57,37.66
38.64,38.22,38.79,37.86
37.89,37.69,38.04,37.40
37.90,38.07,38.11,37.49
38.01,37.92,38.29,37.71
38.80,37.89,38.89,37.64
37.97,38.37,38.37,37.89
37.91,37.96,38.08,37.59
37.89,37.12,38.29,37.12
37.00,36.09,37.29,35.97
36.63,36.50,37.10,36.40
37.11,37.37,38.78,37.08
37.26,36.86,37.62,36.55
36.95,36.44,37.04,36.01
36.56,35.72,36.87,35.72
35.95,36.25,36.35,35.80
36.38,36.90,37.12,35.99
36.78,36.63,37.30,36.55
36.22,35.39,36.48,35.39
35.48,35.16,35.68,34.49
35.20,34.86,35.30,34.56
35.58,35.32,35.65,34.93
35.11,35.38,35.53,34.59
35.30,35.87,35.96,34.96
35.41,36.60,36.65,35.32
36.92,37.71,37.71,36.77
37.88,37.77,38.04,37.52
37.77,37.87,38.11,37.76
37.84,38.13,38.29,37.70
38.34,38.14,38.34,37.82
37.92,36.97,38.20,36.74
37.04,36.88,37.36,36.66
36.43,36.91,37.08,36.11
37.05,37.49,37.53,36.67
37.56,39.44,39.46,37.56
39.86,40.33,40.86,39.85
40.29,40.35,40.63,40.09
40.32,40.29,40.74,40.08
40.52,41.17,41.44,40.34
41.08,41.25,41.77,41.08
41.00,41.00,41.29,40.60
40.91,41.33,41.49,40.70
40.91,41.40,41.40,40.46
41.66,41.94,42.09,41.66
41.85,42.20,42.42,41.75
42.41,42.60,42.72,42.30
42.78,42.83,43.00,42.67
42.70,42.85,43.00,42.46
43.01,42.24,43.11,42.17
41.97,43.05,43.20,41.80
43.17,43.20,43.38,42.66
43.04,42.51,43.12,42.40
42.93,41.83,43.14,41.80
41.87,41.47,42.24,41.01
41.71,42.15,42.60,41.71
42.29,42.53,42.65,41.94
42.40,42.63,43.80,42.38
43.16,42.87,43.44,42.46
42.93,43.16,43.24,42.78
43.01,43.62,43.67,42.78
43.65,43.61,44.05,43.37
43.37,43.68,43.70,42.90
43.76,44.31,44.31,43.44
44.37,43.51,44.50,43.31
43.37,43.14,43.38,42.93
43.44,44.52,44.61,43.34
44.39,44.51,44.75,44.18
44.39,43.90,44.86,43.82
43.63,43.73,43.86,42.88
44.14,44.20,44.28,43.75
44.35,43.82,44.40,43.74
43.49,43.92,44.14,43.43
44.11,44.66,44.77,43.39
44.55,44.79,45.32,44.43
44.69,44.25,45.54,44.00
44.72,45.24,45.69,44.11
45.78,46.49,46.75,45.60
46.57,45.66,46.97,45.57
46.00,46.00,46.34,45.57
45.33,44.43,45.45,43.99
43.98,43.13,44.06,42.97
42.84,40.79,43.56,38.48
40.43,39.23,40.43,38.31
41.12,42.65,43.63,41.12
42.08,42.26,43.02,41.61
42.47,43.47,43.52,42.47
43.13,43.12,43.67,42.92
42.70,41.99,42.73,41.61
42.14,41.71,42.39,40.37
42.39,41.97,42.64,41.69
41.84,41.57,42.10,40.90
40.01,39.92,41.16,39.64
39.09,40.82,40.88,38.78
40.52,40.53,41.33,40.45
39.18,40.43,40.55,38.21
40.75,41.45,42.21,40.71
42.48,43.27,43.27,41.94
43.26,43.06,43.71,42.80
42.75,41.54,43.09,41.54
42.40,42.85,42.85,41.30
42.99,43.00,43.14,42.42
40.58,41.05,42.70,40.19
41.09,39.87,41.31,39.73
39.64,39.33,40.18,38.67
39.75,39.88,40.95,39.51
40.86,41.83,42.02,40.83
41.12,42.17,42.26,41.12
42.59,42.04,43.13,41.88
42.35,43.22,43.23,42.31
42.82,42.86,43.31,42.69
43.21,42.54,43.25,42.19
42.56,42.73,42.94,42.29
43.40,42.97,44.10,42.62
42.94,41.66,43.05,41.61
41.66,41.41,41.88,40.76
41.11,40.52,41.45,40.37
40.64,40.57,41.52,40.28
40.90,41.16,41.80,40.60
40.30,40.00,40.55,39.76
40.01,39.71,41.10,39.60
39.63,39.58,40.03,38.47
39.92,39.20,39.96,38.84
39.96,39.10,40.34,38.74
39.25,40.87,40.87,39.25
41.29,41.46,41.73,40.93
41.50,41.53,41.83,41.19
41.27,40.74,41.43,40.37
41.30,42.25,42.43,41.06
41.98,41.79,41.99,41.38
41.70,41.94,42.17,40.94
41.67,40.31,41.67,40.11
40.57,40.77,40.78,39.85
40.07,41.65,41.70,39.85
42.14,41.30,42.61,41.14
42.20,43.26,43.32,42.07
43.19,44.22,44.34,43.12
44.50,45.25,45.95,44.18
45.74,44.50,46.31,43.13
44.55,43.30,44.55,42.96
43.87,43.40,44.05,42.86
42.74,43.62,43.97,42.73
