HMTA,HomeTown Bankshares Corporation - Common Stock,NASDAQ
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.35,7.35,7.35,7.35
7.00,7.00,7.00,7.00
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.25,6.20,6.25,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.00,6.00,6.00,6.00
5.65,5.65,5.65,5.65
5.65,5.65,5.65,5.65
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.50,6.25,6.50,6.25
6.20,6.25,6.25,6.20
6.25,6.25,6.25,6.25
6.00,6.00,6.00,6.00
6.23,6.23,6.23,6.23
6.23,6.23,6.23,6.23
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
6.99,6.99,6.99,6.99
6.99,6.99,6.99,6.99
7.05,8.90,8.90,7.05
7.25,8.85,8.85,7.25
8.85,8.85,8.85,8.85
8.85,8.85,8.85,8.85
8.00,7.75,8.00,7.75
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.50,8.50,8.50,8.50
8.35,8.50,8.50,8.35
8.50,8.50,8.50,8.50
8.80,8.50,8.80,8.50
8.50,8.50,8.50,8.50
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.30,8.30,8.30,8.30
8.25,8.25,8.25,8.25
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.10,8.10,8.10
8.10,8.00,8.10,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
7.75,7.50,7.75,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.27,6.27,6.27,6.27
6.00,6.25,6.25,6.00
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
