TRV,The Travelers Companies,NASDAQ
50.15,49.81,50.44,49.66
49.63,48.63,49.69,48.52
48.26,47.94,48.39,47.35
47.82,48.63,48.85,47.82
48.65,48.56,48.76,48.07
48.70,48.54,48.84,48.10
48.99,48.85,49.39,48.60
48.93,49.02,49.33,48.83
48.93,49.28,49.40,48.73
49.11,48.79,49.46,48.26
48.75,49.43,49.60,48.43
49.26,48.93,49.70,48.55
48.79,48.95,49.08,48.03
48.81,48.31,49.64,48.20
48.83,48.89,49.11,47.95
50.55,50.23,51.13,50.15
50.29,50.90,50.91,50.03
51.07,50.27,51.07,49.98
50.30,50.67,50.99,50.09
50.95,50.69,50.95,50.22
50.60,51.09,51.18,50.26
50.46,50.57,50.95,50.28
50.27,49.73,50.74,49.69
49.61,50.28,50.50,49.24
50.18,49.05,50.29,49.01
49.54,49.57,49.75,48.88
49.65,49.69,49.91,49.25
49.61,50.20,50.27,49.26
49.77,50.45,50.49,49.28
50.59,51.61,51.61,50.26
51.71,51.75,51.92,51.17
51.65,52.74,52.88,51.60
52.69,52.88,53.13,52.56
53.00,53.04,53.29,52.76
52.73,52.36,53.42,52.32
52.49,52.79,52.97,52.40
52.12,52.75,52.88,52.12
52.79,52.59,52.99,52.32
52.76,53.08,53.42,52.76
53.22,53.29,53.44,52.91
53.43,53.12,53.72,53.12
53.27,53.55,53.62,53.03
53.85,53.94,53.97,53.45
53.45,53.80,53.99,53.41
53.96,53.57,54.20,53.44
53.56,52.89,53.78,52.60
52.88,53.62,53.66,52.80
53.84,53.16,54.00,53.00
52.99,52.73,53.06,52.28
52.74,52.85,52.96,52.49
53.11,52.99,53.54,52.85
53.08,53.38,53.71,52.95
53.46,53.46,53.60,52.78
53.30,53.39,53.58,53.18
53.55,53.90,53.90,53.35
53.86,54.06,54.26,53.70
54.30,54.08,54.50,54.01
54.28,54.35,54.74,54.16
54.48,54.76,54.82,54.35
54.83,53.93,54.83,53.80
53.80,53.94,54.15,53.69
54.24,53.92,54.33,53.59
54.15,53.33,54.15,53.18
53.16,52.59,53.18,52.43
52.52,52.50,53.19,52.28
52.32,52.26,52.52,52.19
52.36,52.40,52.46,52.14
52.54,52.02,52.68,51.93
51.92,52.22,52.42,51.92
52.19,52.91,52.96,52.18
52.86,52.88,52.97,52.32
52.86,52.14,53.21,52.05
52.04,53.19,53.20,51.94
53.40,53.17,53.47,52.79
52.99,52.80,53.12,52.40
52.44,53.79,53.84,52.18
52.87,53.38,53.66,52.73
53.20,51.92,53.38,51.86
51.59,50.53,51.83,50.48
50.38,51.12,51.26,50.34
51.32,51.42,51.42,50.70
51.23,50.74,51.35,50.49
50.88,51.21,51.28,50.76
50.60,50.00,50.74,49.81
49.78,50.62,51.05,49.75
50.58,49.80,51.16,48.53
49.67,49.26,50.23,48.82
50.58,50.09,50.73,49.46
49.60,49.78,50.20,49.52
50.01,50.19,50.25,49.38
50.10,50.17,50.82,50.01
49.87,50.12,50.83,49.87
50.20,50.12,50.48,49.35
50.37,49.83,50.78,49.69
49.74,50.14,50.37,49.41
49.15,48.42,50.19,48.38
48.00,49.23,49.26,47.91
49.23,48.49,49.37,48.43
47.69,48.67,48.72,47.69
48.66,48.00,48.80,47.87
48.48,49.73,49.77,48.46
49.91,49.47,50.05,49.28
49.12,48.60,49.64,48.54
48.81,49.78,49.78,48.54
49.81,49.72,49.99,49.39
49.10,48.61,49.54,48.43
48.62,48.27,48.82,48.26
47.77,49.09,49.12,47.77
49.39,48.79,49.54,48.72
49.26,49.99,50.03,49.19
49.76,50.41,50.42,49.63
50.80,50.05,50.80,50.03
50.50,51.23,51.29,50.15
50.97,50.83,51.05,50.41
51.04,51.71,51.73,50.82
51.80,51.35,51.91,51.26
51.75,51.17,52.00,51.02
51.40,51.01,51.84,50.99
51.03,51.11,51.40,50.88
51.06,50.54,51.20,50.43
50.82,51.12,51.27,50.32
51.24,51.07,51.37,50.98
50.70,49.73,50.92,49.47
49.46,49.25,49.93,49.20
49.43,48.93,49.49,48.38
48.80,48.54,49.15,48.23
48.95,48.58,49.10,48.17
48.90,49.95,49.99,48.42
50.04,50.09,50.15,49.51
50.15,51.15,51.16,50.11
50.92,51.12,51.43,50.79
51.48,51.20,51.64,51.14
51.13,51.39,51.48,50.83
51.35,50.30,51.35,49.99
50.11,49.62,50.50,49.51
49.79,49.71,50.00,49.27
49.20,50.35,50.39,49.20
50.31,49.87,50.72,49.80
48.77,49.29,50.19,48.77
48.88,50.14,50.14,48.60
50.28,50.45,50.47,49.96
50.75,50.58,50.75,50.14
50.56,50.29,50.81,50.15
50.61,50.52,50.95,50.10
50.03,50.45,50.61,50.02
51.04,50.85,51.22,50.51
50.56,50.12,50.83,50.03
50.32,50.68,50.76,50.30
50.50,50.67,50.71,50.32
50.38,50.27,50.45,49.48
50.61,50.61,50.70,50.20
50.15,49.40,50.29,49.31
49.02,48.96,49.56,48.86
48.70,49.63,49.87,48.64
49.68,50.14,50.58,49.41
49.81,49.91,49.92,49.50
50.32,49.91,50.32,49.83
49.92,50.08,50.30,49.61
49.87,49.84,50.07,49.49
49.97,50.09,50.41,49.66
49.77,49.74,50.19,49.51
49.51,49.26,49.71,49.14
49.20,49.52,49.73,48.96
49.70,49.03,49.91,48.89
49.19,49.87,49.87,49.19
49.64,48.95,49.71,48.92
48.80,48.99,49.29,48.46
49.31,50.31,50.36,49.06
50.31,50.22,50.48,49.66
50.71,51.03,51.05,50.25
50.79,50.13,50.88,50.08
50.15,49.86,50.42,49.76
50.36,50.27,50.56,49.98
49.89,50.06,50.11,49.53
50.41,50.44,50.64,50.00
50.40,51.02,51.28,50.26
50.93,52.49,52.63,50.92
52.50,52.70,52.88,52.30
52.59,52.67,52.95,52.43
52.95,53.56,53.67,52.58
53.30,52.93,53.39,52.72
52.78,52.33,53.03,52.32
52.09,52.40,53.06,52.06
53.23,53.12,53.50,52.88
53.05,52.16,53.05,52.12
52.25,52.69,52.96,52.08
52.42,51.99,52.52,51.85
52.23,52.10,52.83,52.00
52.67,52.12,52.67,51.68
52.00,52.12,52.32,51.59
52.30,52.87,53.02,51.79
53.14,52.82,53.15,52.45
52.64,52.61,53.09,52.14
52.81,52.81,52.91,52.23
53.03,52.95,53.03,52.62
53.10,52.82,53.18,52.60
53.19,53.41,53.91,52.79
53.23,53.46,53.90,53.14
53.77,53.63,53.99,53.55
53.75,54.40,54.40,53.52
54.00,53.76,54.49,53.51
53.79,54.64,54.75,53.75
55.22,54.98,55.70,54.52
55.09,55.10,55.49,54.82
55.26,55.59,55.90,55.12
54.54,55.03,55.25,54.52
54.65,54.73,54.99,54.18
55.16,54.74,55.37,54.57
54.73,55.20,55.29,54.63
55.48,55.77,56.40,55.41
56.19,55.52,56.25,55.50
55.61,55.91,56.03,55.48
56.31,57.24,57.37,56.01
57.03,57.44,57.55,56.58
57.34,56.58,57.46,56.46
56.63,56.58,56.76,56.25
56.63,56.76,57.29,56.29
56.73,56.41,57.12,55.85
56.15,56.31,56.81,56.09
56.49,56.78,57.23,56.40
56.27,54.73,56.45,54.53
54.86,55.37,55.55,54.77
55.91,55.79,56.19,55.56
55.58,55.49,55.71,55.21
55.15,55.03,55.19,54.65
54.41,54.30,54.56,53.93
54.73,55.11,55.15,54.53
54.64,54.37,54.92,54.37
53.95,54.18,54.33,53.69
53.87,53.99,54.43,53.75
54.70,54.89,55.05,54.49
54.89,55.11,55.29,54.71
55.14,54.86,55.14,54.64
54.97,55.02,55.25,54.70
55.46,54.84,55.67,54.82
54.77,55.06,55.33,54.59
55.18,54.63,55.34,54.14
54.63,54.78,54.81,54.35
54.87,55.29,55.57,54.80
55.26,55.34,55.96,55.21
55.29,55.15,55.53,55.10
55.27,55.36,55.54,54.98
55.44,55.18,55.50,54.92
55.18,55.45,55.68,55.14
55.60,55.87,55.98,55.39
55.79,55.85,55.98,55.56
55.67,55.48,55.86,55.37
55.29,55.79,55.95,54.66
55.92,55.66,56.10,55.60
55.66,55.59,55.82,55.58
55.64,55.54,55.85,55.52
55.51,55.71,55.93,55.49
56.09,55.82,56.34,55.72
55.73,55.57,56.06,55.30
55.38,55.24,55.52,55.09
55.20,54.39,55.34,54.34
54.43,53.33,54.44,52.88
53.12,53.85,54.06,52.96
53.92,53.90,54.35,53.75
54.08,54.59,54.71,53.86
54.45,54.67,54.84,54.28
54.49,54.63,54.65,53.98
54.62,54.67,54.80,54.20
54.50,54.45,54.67,54.07
54.28,54.88,54.88,54.21
55.16,55.00,55.24,54.63
55.14,55.62,55.82,54.97
57.20,56.23,57.78,56.14
56.39,56.20,56.62,55.89
56.31,56.63,56.71,56.20
56.68,55.81,56.81,55.66
55.81,56.26,56.64,55.81
56.42,56.81,57.01,56.27
56.66,56.71,56.98,56.57
56.65,57.25,57.52,56.63
57.16,57.41,57.50,57.08
57.32,57.18,57.49,56.97
57.15,57.88,57.99,57.07
57.80,58.81,59.03,57.66
58.76,58.46,59.12,58.08
58.41,58.99,58.99,58.28
58.84,58.84,59.00,58.53
58.78,59.35,59.50,58.71
59.41,59.46,59.86,59.25
59.43,59.78,59.99,59.36
59.70,60.92,61.02,59.59
60.60,60.53,61.15,60.48
60.54,60.42,60.91,60.32
60.57,59.33,60.99,59.13
59.20,59.60,59.81,59.05
59.60,59.93,60.02,59.34
59.91,59.22,59.99,59.22
59.08,58.81,59.27,58.76
59.36,59.05,59.84,59.01
58.94,59.18,59.52,58.53
59.26,58.96,59.70,58.87
58.76,59.06,59.46,58.71
59.10,59.40,59.72,58.99
59.01,58.52,59.18,58.45
58.36,58.88,58.96,57.88
