ITUS,ITUS Corporation - Common Stock,NASDAQ
0.64,0.62,0.64,0.62
0.62,0.62,0.62,0.60
0.60,0.61,0.62,0.59
0.60,0.60,0.64,0.59
0.60,0.61,0.62,0.57
0.61,0.59,0.61,0.58
0.61,0.63,0.67,0.60
0.64,0.63,0.64,0.63
0.63,0.64,0.64,0.62
0.62,0.63,0.63,0.62
0.62,0.60,0.63,0.60
0.60,0.56,0.60,0.56
0.56,0.56,0.56,0.56
0.56,0.50,0.56,0.50
0.48,0.48,0.50,0.46
0.48,0.47,0.48,0.35
0.47,0.46,0.52,0.46
0.46,0.49,0.52,0.46
0.50,0.52,0.52,0.48
0.51,0.48,0.52,0.46
0.50,0.52,0.52,0.47
0.47,0.46,0.50,0.45
0.45,0.49,0.52,0.45
0.47,0.49,0.50,0.47
0.47,0.46,0.49,0.45
0.47,0.49,0.49,0.46
0.46,0.48,0.48,0.37
0.48,0.48,0.49,0.47
0.47,0.49,0.49,0.36
0.49,0.49,0.49,0.41
0.44,0.48,0.48,0.44
0.48,0.49,0.49,0.45
0.49,0.49,0.49,0.45
0.49,0.47,0.49,0.43
0.46,0.49,0.49,0.46
0.49,0.48,0.49,0.43
0.50,0.48,0.50,0.45
0.48,0.49,0.50,0.48
0.49,0.44,0.50,0.42
0.45,0.44,0.50,0.42
0.45,0.49,0.49,0.43
0.43,0.48,0.48,0.43
0.47,0.49,0.49,0.43
0.37,0.49,0.49,0.37
0.48,0.48,0.49,0.44
0.45,0.46,0.48,0.44
0.46,0.47,0.48,0.45
0.45,0.45,0.45,0.40
0.44,0.44,0.44,0.41
0.44,0.45,0.45,0.43
0.40,0.42,0.42,0.40
0.40,0.40,0.41,0.40
0.40,0.40,0.41,0.40
0.40,0.41,0.42,0.40
0.41,0.40,0.41,0.39
0.39,0.40,0.40,0.38
0.40,0.42,0.42,0.36
0.40,0.42,0.42,0.36
0.40,0.41,0.41,0.36
0.36,0.39,0.40,0.36
0.40,0.39,0.40,0.36
0.40,0.38,0.40,0.36
0.37,0.36,0.38,0.36
0.47,0.36,0.47,0.36
0.36,0.38,0.38,0.35
0.38,0.38,0.38,0.35
0.35,0.37,0.38,0.35
0.37,0.38,0.38,0.35
0.40,0.35,0.40,0.35
0.36,0.36,0.36,0.33
0.36,0.33,0.36,0.32
0.32,0.32,0.35,0.32
0.30,0.31,0.32,0.30
0.30,0.29,0.32,0.28
0.29,0.29,0.31,0.28
0.29,0.30,0.30,0.28
0.30,0.32,0.32,0.29
0.42,0.39,0.42,0.32
0.38,0.37,0.39,0.33
0.31,0.33,0.39,0.31
0.31,0.36,0.37,0.30
0.39,0.39,0.39,0.34
0.35,0.38,0.39,0.33
0.35,0.36,0.38,0.33
0.36,0.36,0.36,0.33
0.33,0.35,0.36,0.33
0.35,0.35,0.35,0.33
0.35,0.37,0.37,0.33
0.34,0.37,0.37,0.34
0.35,0.35,0.35,0.33
0.33,0.34,0.35,0.33
0.33,0.35,0.35,0.33
0.35,0.35,0.35,0.33
0.34,0.35,0.35,0.33
0.33,0.34,0.34,0.33
0.35,0.35,0.36,0.33
0.35,0.35,0.35,0.32
0.32,0.35,0.35,0.32
0.35,0.35,0.35,0.32
0.34,0.34,0.34,0.30
0.32,0.32,0.32,0.32
0.30,0.32,0.32,0.30
0.32,0.37,0.37,0.32
0.33,0.39,0.39,0.33
0.37,0.35,0.37,0.32
0.35,0.31,0.35,0.31
0.31,0.33,0.33,0.31
0.35,0.33,0.35,0.31
0.31,0.31,0.32,0.31
0.30,0.29,0.31,0.29
0.29,0.30,0.30,0.27
0.30,0.30,0.30,0.28
0.30,0.28,0.30,0.27
0.27,0.30,0.30,0.26
0.28,0.28,0.30,0.28
0.30,0.31,0.31,0.28
0.29,0.30,0.32,0.29
0.29,0.30,0.30,0.28
0.30,0.28,0.30,0.28
0.30,0.28,0.30,0.28
0.29,0.28,0.30,0.28
0.26,0.27,0.28,0.26
0.26,0.27,0.28,0.24
0.26,0.29,0.29,0.25
0.27,0.27,0.27,0.25
0.27,0.28,0.29,0.26
0.25,0.27,0.28,0.25
0.28,0.28,0.28,0.26
0.26,0.28,0.28,0.25
0.25,0.25,0.25,0.25
0.26,0.27,0.28,0.26
0.26,0.25,0.28,0.25
0.28,0.25,0.28,0.25
0.26,0.24,0.26,0.24
0.24,0.24,0.26,0.24
0.27,0.22,0.27,0.22
0.23,0.23,0.25,0.23
0.24,0.24,0.24,0.23
