DOV,Dover Corporation Common Stock,NASDAQ
41.92,42.36,42.36,41.63
42.26,42.16,42.31,41.95
42.15,42.66,42.72,41.90
42.83,43.60,44.11,42.83
43.56,44.85,44.87,43.22
44.92,45.39,45.55,44.85
44.96,45.55,45.56,44.83
45.39,45.97,46.06,45.27
45.94,46.43,46.48,45.55
46.22,45.59,46.33,45.43
45.33,45.90,46.00,45.28
45.50,45.45,45.52,44.97
45.33,44.85,45.72,44.70
44.79,43.77,44.79,43.71
43.92,43.25,44.43,43.07
42.99,42.96,43.44,42.72
42.82,42.81,42.96,41.97
42.93,42.52,43.10,42.29
43.10,42.88,45.05,42.85
43.18,43.47,43.89,43.02
43.66,44.32,44.44,43.58
43.88,44.13,44.63,43.87
43.73,42.76,44.03,42.58
42.68,41.49,42.97,40.50
41.42,41.05,41.66,40.85
41.55,42.06,42.36,41.49
42.01,42.09,42.45,41.62
42.02,42.88,42.92,41.72
42.48,42.72,42.88,41.96
43.06,43.65,43.66,42.94
43.86,44.45,44.47,43.68
44.75,45.44,45.62,44.40
45.39,46.08,46.11,45.10
46.14,46.02,46.22,45.74
45.39,44.94,45.92,44.52
44.98,44.70,45.10,44.50
43.68,44.61,44.68,43.44
44.73,45.26,45.36,44.54
45.52,45.76,46.09,45.32
46.09,46.15,46.38,45.85
46.06,45.92,46.45,45.77
46.06,46.07,46.49,45.78
46.38,47.02,47.07,46.38
47.00,46.67,47.07,46.61
46.50,46.52,46.87,46.32
46.45,46.33,46.45,46.04
45.78,46.41,46.42,45.45
46.63,46.43,46.77,46.14
46.28,46.24,46.35,45.83
46.43,46.36,46.79,46.24
46.44,46.93,47.31,46.32
46.85,47.09,47.25,46.72
47.34,46.53,47.44,46.43
46.17,46.42,46.90,45.97
46.41,47.38,47.56,46.04
47.31,46.40,47.31,46.37
46.84,46.18,46.84,46.10
46.19,46.07,46.49,45.55
46.23,46.64,46.68,45.98
46.82,47.12,47.28,46.80
46.97,46.75,47.18,46.57
47.00,47.00,47.43,46.66
47.29,47.55,47.70,47.15
47.41,47.65,47.67,47.17
47.50,47.34,47.73,47.16
47.12,47.14,47.28,46.60
47.20,48.02,48.06,47.01
48.19,47.82,48.23,47.67
47.63,47.87,48.11,47.50
48.00,48.69,48.75,47.96
48.40,48.51,48.75,48.39
48.40,47.78,48.47,47.55
47.48,47.75,47.84,46.93
48.21,48.25,48.62,47.98
48.20,48.89,48.93,48.15
48.60,50.25,50.34,48.25
53.60,54.20,55.50,53.60
54.12,53.61,54.12,53.34
53.47,51.74,53.77,51.55
51.88,52.04,52.35,51.69
52.57,52.85,53.03,52.20
53.00,52.22,53.42,52.21
52.57,53.41,53.56,52.43
52.62,51.92,52.62,51.36
51.37,51.60,51.91,51.06
51.21,48.74,51.44,45.01
48.72,48.03,48.95,46.73
50.62,50.94,51.27,50.00
50.28,50.47,51.40,50.28
50.67,51.77,51.93,50.67
51.72,50.82,51.91,50.74
50.23,49.49,50.60,48.84
49.43,49.50,50.10,48.20
50.05,48.24,50.41,47.99
47.88,47.18,48.07,45.94
45.72,44.21,45.84,44.20
43.24,44.45,44.70,43.00
44.27,43.99,44.86,43.95
42.75,43.66,43.73,42.20
44.15,43.75,44.62,43.55
44.86,45.61,45.61,44.41
45.49,44.89,45.72,44.41
44.31,43.72,45.35,43.71
43.93,45.16,45.20,43.37
45.10,45.82,46.05,45.10
44.49,43.05,44.91,42.85
43.04,41.98,43.38,41.92
42.00,42.29,42.62,41.42
42.60,42.69,43.96,42.51
43.57,44.65,44.67,43.53
44.09,45.14,45.18,43.99
45.73,45.41,46.34,45.25
45.75,46.94,47.01,45.75
46.30,46.40,46.75,46.15
46.51,45.95,46.64,45.45
46.08,45.63,46.21,45.33
46.35,46.32,47.16,46.06
46.45,44.49,46.53,44.38
44.48,44.35,44.75,43.43
44.17,43.30,44.49,43.19
43.51,44.14,44.22,43.15
44.13,43.78,44.35,43.26
42.87,41.91,43.01,41.56
41.91,41.79,42.71,41.65
41.74,41.31,41.99,40.50
41.43,41.11,41.70,40.84
41.77,41.66,42.48,41.23
41.67,43.12,43.19,41.52
43.58,43.59,43.84,42.89
43.63,44.17,44.31,43.38
43.90,43.45,44.03,43.04
44.21,44.38,44.79,44.12
44.22,44.49,44.91,43.92
44.40,44.10,44.55,43.25
43.50,42.58,43.77,42.47
42.90,43.10,43.21,42.23
42.35,43.68,43.71,42.34
44.07,44.30,44.86,43.84
45.00,46.04,46.07,44.83
48.74,47.74,48.75,46.81
48.01,48.54,48.75,47.45
48.84,47.39,48.84,47.30
47.45,47.33,47.88,47.07
47.74,47.73,48.12,47.10
46.98,47.97,48.13,46.79
48.98,48.88,49.34,48.28
48.60,48.56,49.03,48.25
48.68,49.36,49.41,48.43
48.99,49.05,49.50,48.79
48.50,49.19,49.19,48.02
49.36,49.01,49.38,48.59
49.33,49.45,49.71,48.70
48.21,46.86,48.34,46.73
46.07,46.61,46.86,46.00
46.36,46.41,46.79,46.30
45.97,46.39,46.65,45.55
46.96,47.49,48.00,46.74
47.49,47.52,47.81,46.88
47.22,46.46,47.43,46.04
46.02,46.18,46.33,45.53
46.50,45.38,46.59,45.26
44.63,44.46,44.76,44.13
44.00,44.24,44.46,43.23
44.69,44.35,45.24,44.16
44.40,45.35,45.45,43.62
45.14,44.47,45.45,44.47
44.23,44.76,45.28,43.89
45.68,47.67,47.79,45.48
47.54,48.46,48.55,47.54
49.25,49.21,50.06,49.06
48.72,48.63,49.22,48.53
48.81,48.70,49.45,48.66
49.53,48.93,49.66,48.67
49.12,49.20,49.50,48.80
49.78,49.98,50.24,49.40
49.91,50.40,50.76,49.59
50.23,50.20,50.45,49.74
49.50,49.84,50.19,49.50
50.08,50.59,51.00,49.73
50.79,51.84,51.92,50.67
51.86,51.38,51.98,51.09
51.46,50.64,51.66,50.29
50.06,49.66,50.46,49.56
50.58,51.81,51.87,50.38
51.92,50.98,51.96,50.98
51.05,51.46,51.57,50.13
51.14,51.88,51.97,50.95
52.09,52.21,53.00,51.74
52.74,52.52,52.85,52.00
52.51,52.12,52.93,51.39
52.67,54.32,54.48,52.67
54.45,53.98,54.50,53.66
54.29,54.69,54.82,53.66
54.71,54.54,54.89,53.72
54.54,54.07,54.76,53.82
54.00,54.05,54.43,53.30
54.96,54.69,54.97,54.50
54.73,54.04,54.87,53.56
54.45,54.02,54.67,53.43
54.25,53.59,54.30,53.15
52.68,52.68,53.16,52.26
52.97,53.80,54.14,52.91
54.06,54.79,54.82,53.92
53.62,53.18,53.62,51.72
53.72,53.40,54.38,53.22
52.95,53.17,53.44,52.67
52.66,52.87,52.99,52.16
53.22,52.92,53.59,52.43
52.68,53.10,53.23,52.57
53.25,53.52,53.99,53.05
54.11,53.93,54.12,53.74
54.20,54.05,54.21,53.23
54.77,55.21,55.64,54.59
55.25,55.08,55.39,54.80
54.74,54.54,54.98,54.22
54.50,54.38,54.90,54.13
54.39,54.85,54.90,53.91
54.26,55.08,55.09,54.23
54.65,54.62,54.87,54.25
55.10,54.89,55.93,54.85
54.46,53.52,54.70,53.20
53.65,53.36,53.76,53.10
53.90,54.32,54.92,53.87
54.33,54.87,54.91,53.88
56.07,55.69,56.22,54.81
54.88,54.56,55.12,54.20
54.94,56.64,56.69,54.85
55.91,55.71,56.10,55.42
55.19,55.22,55.27,54.50
54.45,54.81,55.18,54.24
55.94,56.80,56.85,55.86
56.97,57.78,57.87,56.68
57.57,57.79,57.88,57.32
57.60,57.46,57.69,57.14
58.09,57.61,58.25,57.56
57.75,58.14,58.25,57.62
58.49,58.08,58.66,57.87
58.35,58.45,58.60,58.06
58.85,57.80,58.86,57.77
57.81,57.73,58.26,57.53
57.67,57.53,58.26,57.48
57.53,57.68,57.83,57.05
57.67,57.36,57.95,57.08
57.59,57.07,57.93,56.12
57.27,57.44,57.58,57.08
57.50,58.96,59.20,56.90
